Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,7.000000,7.100000,6.920000,7.030000,7.030000,10400
2014-07-08,6.980000,6.980000,6.820000,6.870000,6.870000,2500
2014-07-09,6.870000,6.900000,6.820000,6.900000,6.900000,7400
2014-07-10,6.650000,6.860000,6.630000,6.800000,6.800000,2600
2014-07-11,6.850000,6.880000,6.810000,6.880000,6.880000,1400
2014-07-14,6.870000,6.870000,6.870000,6.870000,6.870000,500
2014-07-15,6.870000,7.090000,6.710000,6.840000,6.840000,4700
2014-07-16,6.630000,6.990000,6.630000,6.980000,6.980000,10200
2014-07-17,6.880000,6.930000,6.850000,6.890000,6.890000,5500
2014-07-18,6.990000,7.000000,6.500000,6.910000,6.910000,7800
2014-07-21,6.840000,6.950000,6.770000,6.910000,6.910000,15500
2014-07-22,6.950000,7.000000,6.700000,6.990000,6.990000,22500
2014-07-23,6.910000,7.010000,6.910000,6.990000,6.990000,24000
2014-07-24,6.990000,7.020000,6.910000,6.990000,6.990000,9700
2014-07-25,6.980000,6.980000,6.860000,6.970000,6.970000,14500
2014-07-28,6.850000,6.880000,6.500000,6.660000,6.660000,8200
2014-07-29,6.630000,6.980000,6.570000,6.970000,6.970000,30500
2014-07-30,6.980000,6.980000,6.810000,6.900000,6.900000,7200
2014-07-31,6.830000,6.860000,6.630000,6.640000,6.640000,3000
2014-08-01,6.720000,6.720000,6.590000,6.590000,6.590000,4800
2014-08-04,6.610000,6.960000,6.610000,6.710000,6.710000,7500
2014-08-05,6.640000,6.900000,6.640000,6.740000,6.740000,23100
2014-08-06,6.810000,6.900000,6.590000,6.680000,6.680000,7100
2014-08-07,6.630000,6.780000,6.460000,6.630000,6.630000,17800
2014-08-08,6.580000,6.900000,6.420000,6.480000,6.480000,7200
2014-08-11,6.600000,6.600000,6.450000,6.500000,6.500000,5100
2014-08-12,6.540000,6.580000,6.480000,6.530000,6.530000,10100
2014-08-13,6.570000,6.840000,6.470000,6.610000,6.610000,19900
2014-08-14,6.540000,6.800000,6.520000,6.710000,6.710000,23000
2014-08-15,6.750000,6.890000,6.540000,6.860000,6.860000,17600
2014-08-18,6.760000,6.860000,6.580000,6.720000,6.720000,27300
2014-08-19,6.620000,6.810000,6.590000,6.680000,6.680000,13600
2014-08-20,6.630000,6.710000,6.510000,6.550000,6.550000,6400
2014-08-21,6.630000,6.720000,6.550000,6.660000,6.660000,5100
2014-08-22,6.620000,6.640000,6.530000,6.600000,6.600000,7300
2014-08-25,6.500000,6.580000,6.450000,6.460000,6.460000,6300
2014-08-26,6.580000,6.740000,6.460000,6.730000,6.730000,14100
2014-08-27,6.740000,6.750000,6.720000,6.750000,6.750000,3100
2014-08-28,6.780000,6.970000,6.780000,6.970000,6.970000,5300
2014-08-29,6.970000,6.970000,6.660000,6.960000,6.960000,40500
2014-09-02,6.950000,6.970000,6.850000,6.970000,6.970000,4200
2014-09-03,6.930000,7.120000,6.930000,7.120000,7.120000,31000
2014-09-04,7.040000,7.170000,7.040000,7.170000,7.170000,3800
2014-09-05,7.180000,7.190000,7.060000,7.170000,7.170000,3500
2014-09-08,7.140000,7.190000,7.020000,7.190000,7.190000,6400
2014-09-09,7.200000,7.400000,7.150000,7.390000,7.390000,13700
2014-09-10,7.400000,7.500000,7.320000,7.460000,7.460000,10600
2014-09-11,7.350000,7.380000,7.270000,7.380000,7.380000,3100
2014-09-12,7.370000,7.460000,7.260000,7.450000,7.450000,2100
2014-09-15,7.490000,7.500000,7.290000,7.410000,7.410000,11600
