Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,44.980000,45.150002,43.599998,43.970001,35.382072,849900
2014-07-08,43.849998,43.849998,43.310001,43.750000,35.205036,679000
2014-07-09,43.959999,44.180000,43.779999,43.980000,35.390118,417100
2014-07-10,43.290001,43.810001,42.950001,43.660000,35.132610,644500
2014-07-11,43.450001,43.450001,42.849998,43.110001,34.690044,680700
2014-07-14,43.250000,44.770000,43.250000,44.419998,35.744175,553000
2014-07-15,44.220001,44.459999,43.099998,43.430000,34.947540,626400
2014-07-16,43.619999,43.730000,43.119999,43.700001,35.164799,406800
2014-07-17,43.740002,43.790001,42.709999,42.919998,34.537155,453100
2014-07-18,42.750000,43.330002,42.650002,43.160000,34.730270,365100
2014-07-21,42.990002,43.340000,42.580002,43.169998,34.738312,546300
2014-07-22,43.220001,43.939999,42.919998,43.700001,35.164799,495300
2014-07-23,43.639999,43.680000,43.070000,43.200001,34.762455,343900
2014-07-24,43.369999,43.369999,42.619999,43.060001,34.649807,398300
2014-07-25,42.570000,43.040001,42.500000,42.849998,34.480824,444100
2014-07-28,42.799999,42.959999,42.509998,42.740002,34.392300,443900
2014-07-29,42.730000,43.389999,42.680000,42.980000,34.585426,384200
2014-07-30,43.230000,43.400002,42.720001,42.880001,34.504951,424200
2014-07-31,42.330002,42.810001,41.750000,42.250000,33.998009,956700
2014-08-01,42.150002,42.490002,41.669998,42.290001,34.030193,681600
2014-08-04,42.230000,42.660000,41.549999,41.889999,33.708321,1400600
2014-08-05,41.630001,44.259998,41.160000,43.740002,35.196995,1837400
2014-08-06,43.459999,44.340000,43.080002,43.369999,34.899258,795500
2014-08-07,43.080002,43.080002,42.389999,42.599998,34.398613,1377400
2014-08-08,42.580002,43.160000,42.450001,42.650002,34.438999,978500
2014-08-11,42.880001,43.189999,42.380001,42.590000,34.390549,713100
2014-08-12,42.660000,42.840000,42.299999,42.400002,34.237125,896200
2014-08-13,42.630001,42.840000,42.169998,42.290001,34.148304,355400
2014-08-14,42.230000,42.419998,41.439999,41.950001,33.873756,602700
2014-08-15,42.180000,42.389999,41.880001,42.259998,34.124069,749400
2014-08-18,42.590000,42.590000,41.950001,42.369999,34.212898,453200
2014-08-19,42.360001,42.750000,41.970001,42.110001,34.002956,522900
2014-08-20,42.009998,42.880001,41.700001,42.689999,34.471298,1041800
2014-08-21,42.680000,43.049999,42.369999,42.980000,34.705460,831900
2014-08-22,42.950001,43.169998,42.500000,42.990002,34.713535,531400
2014-08-25,43.119999,43.439999,42.900002,43.169998,34.858875,290400
2014-08-26,43.270000,44.279999,43.189999,44.099998,35.609844,806300
2014-08-27,44.029999,44.630001,43.820000,44.610001,36.021645,727500
2014-08-28,44.590000,45.349998,44.500000,44.889999,36.247742,652100
2014-08-29,45.070000,46.709999,44.990002,46.630001,37.652760,940000
2014-09-02,46.520000,47.009998,46.369999,46.470001,37.523560,1002800
2014-09-03,46.720001,46.730000,46.060001,46.110001,37.232868,614900
2014-09-04,46.240002,46.259998,45.130001,45.310001,36.586891,657600
2014-09-05,45.180000,45.759998,45.080002,45.549999,36.780685,448500
2014-09-08,45.410000,46.070000,45.389999,45.660000,36.869503,716600
2014-09-09,45.520000,46.070000,45.369999,45.540001,36.772610,557500
2014-09-10,45.509998,45.919998,45.330002,45.639999,36.853352,336200
2014-09-11,45.279999,46.180000,45.160000,45.740002,36.934109,770400
2014-09-12,45.610001,45.700001,44.709999,44.860001,36.223522,978500
2014-09-15,44.990002,46.200001,44.959999,45.490002,36.732235,717200
2014-09-16,45.369999,45.939999,45.189999,45.669998,36.877583,913800
2014-09-17,45.639999,46.639999,45.590000,45.990002,37.135979,722400
2014-09-18,46.049999,46.529999,45.869999,46.299999,37.386288,650500
2014-09-19,46.389999,46.700001,45.020000,45.779999,36.966408,2402100
2014-09-22,45.630001,45.759998,43.980000,44.139999,35.642139,755000
2014-09-23,44.009998,45.060001,43.849998,44.250000,35.730961,876400
2014-09-24,44.230000,44.810001,43.709999,44.250000,35.730961,930400
2014-09-25,44.209999,44.389999,43.110001,43.240002,34.915405,742800
2014-09-26,43.180000,44.060001,43.130001,44.029999,35.553314,693700
2014-09-29,43.720001,44.110001,43.459999,44.040001,35.561390,481900
2014-09-30,44.119999,45.230000,44.009998,44.310001,35.779411,1067800
2014-10-01,44.389999,45.349998,43.439999,43.790001,35.359524,1031600
2014-10-02,43.639999,43.820000,42.160000,43.070000,34.778133,770700
2014-10-03,43.430000,43.500000,42.470001,42.810001,34.568188,621200
2014-10-06,42.799999,43.290001,42.009998,42.430000,34.261345,1016700
2014-10-07,42.169998,43.459999,41.970001,42.500000,34.317875,1059200
2014-10-08,42.310001,42.740002,40.770000,42.660000,34.447067,1699000
2014-10-09,42.570000,42.639999,40.650002,40.910000,33.033981,1100900
2014-10-10,40.680000,40.840000,38.380001,38.500000,31.087959,2100300
2014-10-13,38.230000,38.660000,36.200001,36.349998,29.351871,2016000
2014-10-14,36.529999,36.680000,35.259998,36.009998,29.077333,1721900
2014-10-15,35.220001,36.529999,34.770000,35.709999,28.835087,1555100
2014-10-16,35.240002,37.000000,35.180000,36.169998,29.206524,1510100
2014-10-17,36.889999,37.820000,36.110001,36.840000,29.747541,1173800
2014-10-20,36.849998,37.419998,36.590000,36.860001,29.763691,488100
2014-10-21,37.209999,37.849998,37.200001,37.560001,30.328920,813400
2014-10-22,37.759998,38.200001,36.919998,36.959999,29.844439,708700
2014-10-23,37.410000,38.310001,37.360001,38.049999,30.724586,999700
2014-10-24,38.060001,38.180000,37.369999,37.910000,30.611534,536100
2014-10-27,37.270000,37.509998,36.660000,37.150002,29.997858,765100
2014-10-28,37.430000,38.200001,37.279999,38.200001,30.845711,827800
2014-10-29,38.410000,39.160000,37.869999,38.889999,31.402868,870600
2014-10-30,38.759998,39.200001,37.939999,38.389999,30.999132,629900
2014-10-31,38.799999,39.410000,37.990002,39.330002,31.758165,723700
2014-11-03,39.290001,39.820000,38.450001,38.919998,31.427092,1199800
2014-11-04,37.000000,37.810001,33.799999,34.910000,28.189102,3925800
2014-11-05,34.910000,34.959999,34.020000,34.810001,28.108358,1348200
2014-11-06,34.389999,34.779999,33.669998,34.459999,27.946159,1314300
2014-11-07,34.380001,35.009998,34.160000,34.310001,27.824514,1301100
2014-11-10,34.529999,34.869999,34.000000,34.400002,27.897507,1262500
2014-11-11,34.410000,34.820000,34.099998,34.470001,27.954271,988100
2014-11-12,34.389999,34.910000,34.169998,34.709999,28.148903,919800
2014-11-13,34.430000,34.770000,33.529999,34.090000,27.646099,2319700
2014-11-14,34.360001,34.740002,33.259998,33.770000,27.386589,1546100
2014-11-17,38.099998,38.110001,35.389999,36.810001,29.851948,5283100
2014-11-18,36.790001,37.500000,36.259998,37.230000,30.192560,2006600
2014-11-19,37.209999,37.450001,36.570000,36.970001,29.981707,1499000
2014-11-20,36.980000,37.669998,36.900002,37.520000,30.427742,1196400
2014-11-21,38.000000,38.540001,37.470001,37.959999,30.784571,998900
2014-11-24,37.939999,38.349998,37.689999,38.299999,31.060295,807200
2014-11-25,38.340000,38.689999,37.500000,37.520000,30.427742,1238400
2014-11-26,37.220001,37.480000,36.220001,36.310001,29.446468,1222700
2014-11-28,35.119999,35.119999,32.689999,33.500000,27.167629,2064000
2014-12-01,33.099998,33.630001,32.450001,33.090000,26.835129,2002900
2014-12-02,33.000000,33.770000,32.849998,33.070000,26.818907,861900
2014-12-03,33.040001,33.720001,32.869999,33.290001,26.997326,740800
2014-12-04,32.790001,33.529999,32.790001,33.110001,26.851347,656100
2014-12-05,33.009998,33.400002,32.689999,32.990002,26.754032,754100
2014-12-08,32.250000,32.740002,32.000000,32.360001,26.243116,1389500
2014-12-09,32.150002,32.830002,32.139999,32.580002,26.421534,1100800
2014-12-10,32.189999,32.520000,31.620001,32.150002,26.072817,1058900
2014-12-11,32.150002,32.650002,31.500000,32.049999,25.991709,926000
2014-12-12,31.049999,32.560001,30.980000,31.790001,25.780857,829700
2014-12-15,31.760000,32.360001,31.360001,31.389999,25.456469,988200
2014-12-16,31.250000,31.879999,30.580000,31.020000,25.156410,2292900
2014-12-17,31.219999,32.419998,31.040001,32.009998,25.959274,1479100
2014-12-18,32.700001,33.000000,31.760000,32.000000,25.951162,1522200
2014-12-19,32.209999,32.580002,31.469999,32.450001,26.316103,1995600
2014-12-22,32.060001,32.290001,30.920000,31.469999,25.521349,1621200
2014-12-23,31.719999,32.180000,30.920000,31.150000,25.261837,1411700
2014-12-24,31.000000,31.629999,30.920000,31.290001,25.375374,434800
2014-12-26,31.500000,32.240002,31.480000,31.900000,25.870064,698500
2014-12-29,32.070000,32.380001,31.790001,32.130001,26.056591,522200
2014-12-30,32.049999,32.610001,31.969999,32.290001,26.186348,883500
2014-12-31,32.020000,33.080002,31.820000,32.580002,26.421534,952100
2015-01-02,32.490002,33.279999,32.220001,33.230000,26.948664,920600
2015-01-05,32.849998,32.919998,31.639999,32.150002,26.072817,1021800
2015-01-06,32.099998,32.369999,30.990000,31.010000,25.148298,986700
2015-01-07,31.480000,31.620001,30.709999,30.980000,25.123970,1446800
2015-01-08,31.270000,32.169998,31.020000,31.440001,25.497023,881200
2015-01-09,31.490000,31.809999,30.690001,30.780001,24.961779,520000
2015-01-12,30.410000,30.680000,28.990000,29.150000,23.639885,717000
2015-01-13,29.230000,29.500000,28.190001,28.559999,23.161415,924100
2015-01-14,28.180000,28.820000,27.879999,28.719999,23.291172,765500
2015-01-15,29.100000,29.100000,27.920000,27.969999,22.682945,566600
2015-01-16,28.059999,28.940001,28.059999,28.639999,23.226292,936400
2015-01-20,28.430000,28.450001,27.690001,28.180000,22.853243,454500
2015-01-21,28.410000,28.889999,28.240000,28.590000,23.185747,465300
2015-01-22,28.930000,29.590000,28.120001,28.190001,22.861359,912400
2015-01-23,28.080000,28.299999,27.110001,27.129999,22.001722,976000
2015-01-26,27.290001,27.740000,27.209999,27.500000,22.301783,926900
2015-01-27,27.320000,28.320000,27.290001,28.290001,22.942451,565600
2015-01-28,28.100000,28.250000,27.240000,27.370001,22.196360,596500
2015-01-29,27.500000,27.709999,26.240000,26.690001,21.644896,813500
2015-01-30,26.510000,27.549999,26.379999,27.110001,21.985502,1914500
2015-02-02,27.440001,28.629999,27.120001,28.580000,23.177633,921400
2015-02-03,29.049999,30.040001,28.910000,29.290001,23.753431,1013100
