Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,44.700001,44.790001,44.430000,44.590000,39.222290,672100
2014-07-08,44.529999,44.799999,44.439999,44.590000,39.222290,591500
2014-07-09,44.689999,44.869999,44.419998,44.759998,39.371822,604000
2014-07-10,44.400002,44.599998,44.110001,44.470001,39.116737,765000
2014-07-11,44.389999,44.630001,44.230000,44.509998,39.151917,420300
2014-07-14,44.709999,45.029999,44.560001,44.700001,39.319050,273400
2014-07-15,44.630001,45.009998,44.630001,44.959999,39.547749,392500
2014-07-16,45.220001,45.220001,44.590000,44.950001,39.538963,762500
2014-07-17,44.750000,45.110001,44.509998,44.590000,39.222290,608900
2014-07-18,44.599998,44.650002,44.320000,44.389999,39.046364,402900
2014-07-21,44.259998,45.040001,44.259998,44.799999,39.407024,765600
2014-07-22,44.799999,44.799999,44.450001,44.639999,39.266270,387400
2014-07-23,44.740002,44.889999,44.490002,44.730000,39.345432,570700
2014-07-24,44.720001,44.820000,44.259998,44.470001,39.116737,413500
2014-07-25,44.290001,44.380001,43.869999,43.900002,38.615356,378700
2014-07-28,43.849998,44.270000,43.650002,44.189999,38.870438,518300
2014-07-29,44.139999,44.279999,43.630001,43.750000,38.483406,685400
2014-07-30,45.169998,45.180000,43.389999,43.549999,38.307487,1785300
2014-07-31,43.650002,43.900002,43.049999,43.150002,37.955631,1103400
2014-08-01,43.070000,44.259998,43.000000,44.000000,38.703320,831700
2014-08-04,45.549999,45.549999,44.360001,44.779999,39.389412,1302900
2014-08-05,44.930000,44.990002,44.529999,44.630001,39.257465,801100
2014-08-06,44.560001,44.700001,44.410000,44.619999,39.248676,707000
2014-08-07,44.740002,45.000000,44.619999,44.820000,39.424599,687500
2014-08-08,44.970001,45.430000,44.580002,45.299999,39.846825,895300
2014-08-11,45.500000,45.790001,45.330002,45.740002,40.233856,618200
2014-08-12,45.759998,46.150002,45.689999,45.950001,40.418579,575100
2014-08-13,46.139999,46.320000,46.070000,46.230000,40.664864,484000
2014-08-14,46.259998,46.669998,46.220001,46.630001,41.016720,674500
2014-08-15,46.830002,46.950001,46.380001,46.599998,40.990322,827100
2014-08-18,46.759998,46.910000,46.599998,46.720001,41.095882,504700
