Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,10.013774,10.048209,9.910468,9.986226,8.037253,5888000
2014-07-08,10.075758,10.075758,9.910468,9.924242,7.987371,5953300
2014-07-09,9.917356,10.358127,9.889807,10.055097,8.092688,15817600
2014-07-10,10.013774,10.227273,9.896694,10.172176,8.186915,13782400
2014-07-11,10.158402,10.275482,10.041323,10.247934,8.247890,8242900
2014-07-14,10.378788,10.688705,10.358127,10.674932,8.591546,10481500
2014-07-15,10.647383,10.750689,10.557851,10.695592,8.608175,9700300
2014-07-16,10.619835,10.681818,10.268595,10.358127,8.336574,12023100
2014-07-17,10.337465,10.468320,10.123967,10.172176,8.186915,8018000
2014-07-18,10.571626,10.840220,10.537190,10.730027,8.635892,8892000
2014-07-21,10.750689,10.964188,10.695592,10.909091,8.780005,8782000
2014-07-22,10.929752,10.984848,10.819559,10.964188,8.824354,8432800
2014-07-23,10.757576,10.902204,10.750689,10.895317,8.768924,8728500
2014-07-24,10.860882,11.060606,10.826447,11.012397,8.863155,9516000
2014-07-25,11.012397,11.039945,10.853994,10.915978,8.785554,9663100
2014-07-28,10.909091,10.929752,10.764462,10.833333,8.719038,6711900
2014-07-29,10.750689,11.081267,10.730027,10.785124,8.680240,6593500
2014-07-30,10.805785,10.860882,10.606061,10.674932,8.591546,7745100
2014-07-31,10.564738,10.661157,10.392562,10.523416,8.469605,11864600
2014-08-01,10.585400,10.723141,10.454545,10.633609,8.558297,9830600
2014-08-04,10.702479,10.743802,10.530303,10.723141,8.635387,9601200
2014-08-05,10.743802,10.826447,10.585400,10.612947,8.546645,6688000
2014-08-06,10.564738,10.819559,10.488980,10.654270,8.579925,8681600
2014-08-07,10.674932,10.674932,10.330579,10.399449,8.374714,8912200
2014-08-08,10.303030,10.337465,10.123967,10.227273,8.236063,10402600
2014-08-11,10.330579,10.544077,10.268595,10.537190,8.485638,8188300
2014-08-12,10.447659,10.599174,10.413223,10.544077,8.491186,7350200
2014-08-13,10.626721,10.757576,10.289256,10.482094,8.441271,17715200
2014-08-14,10.523416,10.785124,10.482094,10.778237,8.679756,10428900
2014-08-15,10.957300,10.971074,10.764462,10.943526,8.812864,9711900
2014-08-18,11.081267,11.129477,10.964188,11.108815,8.945971,8197300
2014-08-19,11.088154,11.487603,11.019283,11.425620,9.201093,12895500
2014-08-20,11.418733,11.501377,11.363636,11.466942,9.234375,9794700
2014-08-21,11.528926,11.639118,11.460055,11.611570,9.350841,12387600
2014-08-22,11.494491,11.515152,11.308540,11.391185,9.173368,6428700
2014-08-25,11.439394,11.611570,11.391185,11.584022,9.328663,5875800
2014-08-26,11.680441,11.866391,11.590909,11.804408,9.506141,8643000
2014-08-27,11.907714,12.231405,11.880165,12.217630,9.838902,13119100
2014-08-28,12.203856,12.307162,12.079890,12.258953,9.872180,15433600
2014-08-29,12.376033,12.658402,12.272727,12.561983,10.116213,10020800
2014-09-02,12.382920,12.789256,12.238292,12.761708,10.282127,11907800
2014-09-03,12.775482,12.858127,12.555097,12.754821,10.276579,11181000
2014-09-04,12.555097,12.741047,12.286501,12.348485,9.949192,18479200
2014-09-05,12.382920,12.561983,12.314050,12.527548,10.093464,11947000
2014-09-08,12.623967,12.720386,12.086777,12.141873,9.782727,15561900
2014-09-09,11.969697,12.086777,11.728650,11.804408,9.510833,12719000
2014-09-10,11.687327,11.701102,11.363636,11.425620,9.205636,27578200
2014-09-11,11.494491,11.597796,11.370523,11.425620,9.205636,15239000
2014-09-12,11.163912,11.170799,10.792011,10.888430,8.772825,22633800
2014-09-15,10.826447,11.191460,10.812673,11.184573,9.011427,11982900
2014-09-16,11.590909,11.914600,11.515152,11.577135,9.327712,17238700
2014-09-17,11.769973,11.776859,11.501377,11.508265,9.272227,14889100
2014-09-18,11.418733,11.522038,11.191460,11.308540,9.111305,11879400
2014-09-19,11.280992,11.280992,10.971074,10.998623,8.861605,9138300
2014-09-22,10.661157,10.847108,10.647383,10.798898,8.700692,11143200
2014-09-23,10.757576,10.991735,10.571626,10.674932,8.600809,13769200
2014-09-24,10.619835,10.888430,10.509642,10.826447,8.722886,9713100
2014-09-25,10.647383,10.716253,10.392562,10.420110,8.395497,11522500
2014-09-26,10.468320,10.977962,10.461432,10.936639,8.811667,12088800
2014-09-29,10.048209,10.303030,9.965565,10.020661,8.073660,20566600
2014-09-30,9.662535,9.917356,9.511020,9.814050,7.907197,23919200
2014-10-01,9.504132,9.662535,9.269973,9.325068,7.513225,20296400
2014-10-02,9.552341,9.731405,9.283747,9.586777,7.729217,24759400
2014-10-03,9.579890,9.889807,9.504132,9.758953,7.868036,16235200
2014-10-06,11.157024,11.177686,10.730027,10.743802,8.662059,31212800
2014-10-07,11.033058,11.143250,10.757576,10.826447,8.728685,23391300
2014-10-08,10.991735,10.991735,10.433885,10.826447,8.728685,18473000
2014-10-09,10.936639,11.157024,10.812673,10.964188,8.839738,18451400
2014-10-10,10.743802,10.750689,10.337465,10.351239,8.345559,13480600
2014-10-13,10.874656,11.460055,10.874656,11.280992,9.095159,24342300
2014-10-14,11.081267,11.480717,11.039945,11.391185,9.184003,17676800
2014-10-15,10.881543,10.929752,10.241047,10.585400,8.534348,21942900
2014-10-16,10.130854,10.433885,10.027548,10.103306,8.145664,15837100
2014-10-17,10.316804,10.688705,10.199724,10.626721,8.567663,15981600
