Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12.740000,12.790000,12.690000,12.780000,10.112881,1021200
2014-07-08,12.570000,12.580000,12.430000,12.480000,9.875490,1267000
2014-07-09,12.570000,12.690000,12.560000,12.690000,10.041664,776900
2014-07-10,12.210000,12.470000,12.190000,12.430000,9.835926,1412500
2014-07-11,12.320000,12.350000,12.250000,12.320000,9.748880,1319500
2014-07-14,12.450000,12.490000,12.390000,12.420000,9.828011,950100
2014-07-15,12.330000,12.360000,12.140000,12.230000,9.677662,1762100
2014-07-16,12.420000,12.460000,12.350000,12.400000,9.812185,699200
2014-07-17,12.250000,12.360000,12.090000,12.100000,9.574794,1062800
2014-07-18,12.110000,12.210000,12.040000,12.190000,9.646011,880800
2014-07-21,12.070000,12.170000,12.040000,12.130000,9.598533,1040800
2014-07-22,12.300000,12.410000,12.270000,12.320000,9.748880,1025400
2014-07-23,12.460000,12.470000,12.350000,12.400000,9.812185,859400
2014-07-24,12.650000,12.720000,12.620000,12.670000,10.025837,1317900
2014-07-25,12.720000,12.790000,12.640000,12.710000,10.057488,861000
2014-07-28,12.610000,12.670000,12.530000,12.640000,10.002097,1080000
2014-07-29,12.700000,12.720000,12.600000,12.610000,9.978360,983900
2014-07-30,12.790000,12.860000,12.700000,12.790000,10.120793,1786100
2014-07-31,12.380000,12.460000,12.270000,12.290000,9.725142,1550800
2014-08-01,12.260000,12.370000,12.080000,12.160000,9.622273,1874600
2014-08-04,12.190000,12.240000,12.080000,12.170000,9.630183,1089700
2014-08-05,11.990000,12.010000,11.750000,11.780000,9.321577,1984100
2014-08-06,11.780000,11.850000,11.730000,11.810000,9.345316,918100
2014-08-07,11.740000,11.780000,11.470000,11.520000,9.115838,1522000
2014-08-08,11.680000,11.790000,11.620000,11.790000,9.329491,1350100
2014-08-11,11.650000,11.730000,11.590000,11.610000,9.187053,1145500
2014-08-12,11.750000,11.850000,11.700000,11.760000,9.305750,1027100
2014-08-13,11.820000,11.880000,11.770000,11.820000,9.353230,1028800
2014-08-14,11.800000,11.800000,11.720000,11.780000,9.321577,956900
2014-08-15,11.930000,11.950000,11.590000,11.790000,9.329491,2049400
2014-08-18,11.830000,11.870000,11.820000,11.840000,9.369053,757300
2014-08-19,11.860000,11.880000,11.820000,11.850000,9.376966,674300
2014-08-20,11.760000,11.840000,11.740000,11.790000,9.329491,639900
2014-08-21,11.920000,12.020000,11.920000,11.980000,9.479836,1200200
2014-08-22,11.950000,12.010000,11.830000,11.890000,9.408619,895500
2014-08-25,12.070000,12.180000,12.030000,12.130000,9.598533,2125900
2014-08-26,12.260000,12.370000,12.240000,12.260000,9.701403,1740400
2014-08-27,12.420000,12.420000,12.280000,12.310000,9.740967,1112600
2014-08-28,12.140000,12.190000,12.090000,12.110000,9.582706,1414300
2014-08-29,12.120000,12.140000,12.010000,12.130000,9.598533,626500
2014-09-02,12.190000,12.190000,12.120000,12.160000,9.622273,837200
2014-09-03,12.420000,12.460000,12.360000,12.400000,9.812185,1108600
2014-09-04,12.540000,12.740000,12.530000,12.570000,9.946708,1566500
2014-09-05,12.680000,12.690000,12.570000,12.680000,10.033749,1044500
2014-09-08,12.540000,12.620000,12.460000,12.470000,9.867576,1038300
2014-09-09,12.460000,12.460000,12.290000,12.330000,9.756795,1381100
2014-09-10,12.410000,12.460000,12.370000,12.460000,9.859664,1072500
2014-09-11,12.360000,12.420000,12.330000,12.360000,9.780532,1233200
2014-09-12,12.390000,12.430000,12.310000,12.380000,9.796358,1051900
2014-09-15,12.370000,12.370000,12.290000,12.320000,9.748880,675100
2014-09-16,12.250000,12.400000,12.240000,12.390000,9.804272,850700
2014-09-17,12.520000,12.550000,12.400000,12.400000,9.812185,1084300
2014-09-18,12.530000,12.610000,12.530000,12.560000,9.938795,915100
2014-09-19,12.570000,12.620000,12.440000,12.490000,9.883403,1530300
2014-09-22,12.490000,12.500000,12.300000,12.350000,9.772620,846800
2014-09-23,12.320000,12.370000,12.170000,12.170000,9.630183,812800
2014-09-24,12.050000,12.160000,12.000000,12.150000,9.697227,1224600
2014-09-25,12.130000,12.150000,12.000000,12.040000,9.609432,937500
2014-09-26,12.080000,12.220000,12.050000,12.220000,9.753098,907400
2014-09-29,11.880000,11.970000,11.840000,11.940000,9.529618,1563900
2014-09-30,11.970000,12.120000,11.920000,12.000000,9.577508,1593900
2014-10-01,12.090000,12.140000,11.970000,12.010000,9.585489,1977500
2014-10-02,11.870000,11.880000,11.600000,11.750000,9.377978,2295200
2014-10-03,11.650000,11.760000,11.640000,11.730000,9.362015,1450300
2014-10-06,11.890000,11.930000,11.760000,11.840000,9.449806,1126100
2014-10-07,11.670000,11.690000,11.530000,11.540000,9.210371,1202200
2014-10-08,11.640000,11.790000,11.520000,11.770000,9.393941,1585400
2014-10-09,11.600000,11.620000,11.350000,11.410000,9.106612,2702300
2014-10-10,11.520000,11.600000,11.300000,11.310000,9.026801,1631000
2014-10-13,11.540000,11.590000,11.350000,11.350000,9.058728,1841700
2014-10-14,11.410000,11.480000,11.320000,11.380000,9.082670,1296400
2014-10-15,11.230000,11.260000,10.930000,11.190000,8.931026,5521300
2014-10-16,10.710000,11.040000,10.690000,10.900000,8.699569,2613100
2014-10-17,11.210000,11.270000,11.100000,11.130000,8.883139,1569500
2014-10-20,11.160000,11.280000,11.140000,11.260000,8.986896,1315800
2014-10-21,11.420000,11.540000,11.410000,11.500000,9.178445,1383800
2014-10-22,11.430000,11.490000,11.320000,11.340000,9.050746,1737800
2014-10-23,11.500000,11.610000,11.460000,11.500000,9.178445,1286900
2014-10-24,11.700000,11.740000,11.630000,11.740000,9.369997,1584100
2014-10-27,11.380000,11.560000,11.340000,11.520000,9.194407,1279400
2014-10-28,11.700000,11.740000,11.650000,11.740000,9.369997,2169500
2014-10-29,11.320000,11.350000,11.060000,11.130000,8.883139,4476100
2014-10-30,10.870000,11.020000,10.820000,10.990000,8.771400,2415400
2014-10-31,11.110000,11.190000,11.080000,11.160000,8.907083,1514700
2014-11-03,11.040000,11.070000,10.910000,10.950000,8.739476,1598600
2014-11-04,10.860000,10.880000,10.750000,10.810000,8.627738,1579600
2014-11-05,10.910000,10.910000,10.820000,10.850000,8.659663,748500
2014-11-06,10.920000,10.960000,10.670000,10.740000,8.571871,3085600
2014-11-07,10.500000,10.620000,10.420000,10.620000,8.476095,1522700
2014-11-10,10.620000,10.850000,10.570000,10.710000,8.547925,1311700
2014-11-11,10.800000,10.830000,10.730000,10.790000,8.611776,963300
2014-11-12,10.600000,10.620000,10.500000,10.550000,8.420227,1146100
2014-11-13,10.450000,10.610000,10.440000,10.530000,8.404263,1185400
2014-11-14,10.500000,10.660000,10.500000,10.660000,8.508019,1202600
2014-11-17,10.640000,10.820000,10.630000,10.770000,8.595816,932900
2014-11-18,10.950000,10.990000,10.890000,10.950000,8.739476,1094500
2014-11-19,10.910000,10.910000,10.460000,10.520000,8.396282,4170600
2014-11-20,10.220000,10.270000,10.190000,10.240000,8.172806,4084200
2014-11-21,10.370000,10.470000,10.340000,10.360000,8.268582,2440700
2014-11-24,10.580000,10.620000,10.520000,10.600000,8.460134,1811500
2014-11-25,10.680000,10.730000,10.630000,10.670000,8.516004,1543300
2014-11-26,10.670000,10.720000,10.640000,10.720000,8.555908,1133500
2014-11-28,10.740000,10.750000,10.700000,10.710000,8.547925,621900
2014-12-01,10.630000,10.650000,10.550000,10.600000,8.460134,1173000
2014-12-02,10.660000,10.680000,10.600000,10.660000,8.508019,1301300
2014-12-03,10.730000,10.740000,10.620000,10.670000,8.516004,992400
2014-12-04,10.500000,10.510000,10.310000,10.470000,8.356376,3048000
2014-12-05,10.610000,10.660000,10.580000,10.630000,8.484077,1570500
2014-12-08,10.550000,10.590000,10.440000,10.450000,8.340414,1536100
2014-12-09,10.280000,10.380000,10.260000,10.350000,8.260600,2593900
2014-12-10,10.260000,10.260000,10.120000,10.130000,8.085013,2531500
2014-12-11,10.170000,10.260000,10.070000,10.100000,8.061070,1404000
2014-12-12,10.060000,10.100000,9.790000,9.800000,7.821631,6868400
2014-12-15,9.840000,9.870000,9.550000,9.580000,7.646044,2447900
2014-12-16,9.440000,9.820000,9.410000,9.630000,7.685950,3432900
2014-12-17,9.450000,9.670000,9.440000,9.590000,7.734341,2482300
2014-12-18,9.720000,9.830000,9.640000,9.820000,7.919835,1767100
2014-12-19,9.620000,9.740000,9.560000,9.680000,7.806926,2205600
2014-12-22,9.660000,9.720000,9.590000,9.690000,7.814992,2004400
2014-12-23,9.690000,9.800000,9.690000,9.780000,7.887575,1185000
2014-12-24,9.790000,9.800000,9.710000,9.790000,7.895640,640900
2014-12-26,9.850000,9.850000,9.790000,9.790000,7.895640,730700
2014-12-29,9.550000,9.730000,9.540000,9.670000,7.798861,1977300
2014-12-30,9.600000,9.620000,9.540000,9.550000,7.702080,1432000
2014-12-31,9.570000,9.570000,9.390000,9.390000,7.573041,1504300
2015-01-02,9.610000,9.640000,9.470000,9.530000,7.685952,1715300
2015-01-05,9.160000,9.170000,9.010000,9.050000,7.298831,3824100
2015-01-06,9.060000,9.110000,8.830000,8.880000,7.161726,2690300
2015-01-07,8.940000,8.970000,8.790000,8.930000,7.202050,3242600
2015-01-08,8.800000,8.970000,8.800000,8.810000,7.105270,3166700
2015-01-09,8.800000,8.810000,8.560000,8.700000,7.016554,3148000
2015-01-12,8.740000,8.800000,8.590000,8.710000,7.024621,2100000
2015-01-13,8.830000,8.880000,8.630000,8.710000,7.024621,2845700
2015-01-14,8.730000,8.800000,8.680000,8.770000,7.073010,4166600
2015-01-15,8.720000,8.740000,8.610000,8.640000,6.968164,4265700
2015-01-16,8.650000,8.790000,8.590000,8.770000,7.073010,4552800
2015-01-20,9.070000,9.080000,8.980000,9.020000,7.274636,3962000
2015-01-21,8.940000,9.120000,8.930000,9.100000,7.339157,3014900
2015-01-22,9.140000,9.220000,9.050000,9.170000,7.395610,2428900
2015-01-23,8.930000,9.000000,8.870000,8.930000,7.202050,2428500
2015-01-26,9.040000,9.070000,8.980000,9.020000,7.274636,2508500
2015-01-27,8.950000,9.030000,8.880000,8.990000,7.250440,1516400
2015-01-28,8.680000,8.690000,8.440000,8.440000,6.806865,2792500
2015-01-29,8.560000,8.670000,8.540000,8.650000,6.976230,2975900
2015-01-30,8.610000,8.670000,8.490000,8.520000,6.871385,3208800
2015-02-02,8.510000,8.720000,8.510000,8.710000,7.024621,2195100
2015-02-03,9.000000,9.170000,9.000000,9.150000,7.379481,4357900
2015-02-04,9.280000,9.340000,9.140000,9.160000,7.387546,5159200
2015-02-05,9.230000,9.320000,9.190000,9.310000,7.508519,2124900
2015-02-06,9.310000,9.370000,9.210000,9.230000,7.443999,2782600
2015-02-09,9.000000,9.110000,8.980000,9.070000,7.314961,2744100
2015-02-10,9.240000,9.250000,9.120000,9.210000,7.427870,2596800
2015-02-11,9.150000,9.150000,9.000000,9.080000,7.323026,3701400
2015-02-12,9.350000,9.450000,9.330000,9.450000,7.621428,2349400
2015-02-13,9.640000,9.760000,9.630000,9.690000,7.814992,3254200
2015-02-17,9.790000,9.820000,9.640000,9.770000,7.879510,1943400
2015-02-18,9.890000,9.950000,9.840000,9.900000,7.984355,2533500
2015-02-19,9.920000,10.000000,9.880000,9.920000,8.000485,1605000
2015-02-20,9.820000,10.160000,9.740000,10.120000,8.161787,4380300
2015-02-23,9.970000,10.040000,9.940000,10.000000,8.065004,1715600
2015-02-24,10.000000,10.060000,9.960000,10.020000,8.081136,1630700
2015-02-25,9.940000,9.990000,9.910000,9.960000,8.032745,1331900
2015-02-26,9.970000,10.010000,9.910000,9.950000,8.024680,1541700
2015-02-27,9.960000,10.050000,9.890000,9.980000,8.048875,1920400
2015-03-02,10.010000,10.030000,9.960000,10.020000,8.081136,1299600
2015-03-03,9.900000,9.920000,9.820000,9.900000,7.984355,1496700
2015-03-04,9.840000,9.860000,9.740000,9.860000,7.952095,1578900
2015-03-05,9.870000,9.910000,9.810000,9.890000,7.976291,1223300
2015-03-06,9.770000,9.820000,9.690000,9.710000,7.831121,1809700
2015-03-09,9.700000,9.770000,9.660000,9.750000,7.863381,1263200
2015-03-10,9.530000,9.560000,9.470000,9.500000,7.661754,1456800
2015-03-11,9.400000,9.540000,9.370000,9.510000,7.669822,1268000
2015-03-12,9.610000,9.660000,9.590000,9.660000,7.790797,1513300
2015-03-13,9.590000,9.620000,9.500000,9.620000,7.758535,1777100
2015-03-16,9.660000,9.730000,9.660000,9.700000,7.823055,1394800
2015-03-17,9.580000,9.660000,9.520000,9.640000,7.774665,1517000
2015-03-18,9.540000,9.770000,9.470000,9.710000,7.831121,2511400
2015-03-19,9.650000,9.680000,9.590000,9.600000,7.742405,1427700
2015-03-20,9.920000,10.140000,9.890000,10.060000,8.113397,2340900
2015-03-23,10.220000,10.280000,10.180000,10.250000,8.266631,1234000
2015-03-24,10.330000,10.420000,10.300000,10.360000,8.355346,2098100
2015-03-25,10.220000,10.260000,10.170000,10.190000,8.328375,3632000
2015-03-26,10.150000,10.190000,10.010000,10.160000,8.303856,1630700
2015-03-27,10.110000,10.170000,10.050000,10.110000,8.262990,1683900
2015-03-30,10.180000,10.210000,10.100000,10.110000,8.262990,2167000
2015-03-31,10.010000,10.110000,9.990000,10.030000,8.197605,1504100
2015-04-01,10.250000,10.330000,10.140000,10.300000,8.418279,1863600
2015-04-02,10.420000,10.490000,10.410000,10.460000,8.549048,1755900
2015-04-06,10.460000,10.660000,10.420000,10.590000,8.655299,2023100
2015-04-07,10.540000,10.610000,10.490000,10.490000,8.573565,15261700
2015-04-08,10.450000,10.460000,10.310000,10.410000,8.508183,5671600
2015-04-09,10.330000,10.340000,10.240000,10.310000,8.426452,6815700
2015-04-10,10.100000,10.120000,10.030000,10.110000,8.262990,4128700
2015-04-13,10.190000,10.270000,10.160000,10.170000,8.312028,1308600
2015-04-14,10.140000,10.210000,10.110000,10.180000,8.320203,2176500
2015-04-15,10.270000,10.320000,10.190000,10.290000,8.410106,2366600
2015-04-16,10.160000,10.170000,10.060000,10.120000,8.271164,3987400
2015-04-17,9.880000,9.940000,9.840000,9.920000,8.107701,1803400
2015-04-20,9.780000,9.870000,9.760000,9.810000,8.017797,1231500
2015-04-21,9.940000,9.980000,9.900000,9.920000,8.107701,2163100
2015-04-22,9.940000,9.990000,9.860000,9.980000,8.156737,1084500
2015-04-23,9.950000,10.200000,9.930000,10.150000,8.295682,1773100
2015-04-24,10.160000,10.190000,10.030000,10.180000,8.320203,1701000
2015-04-27,10.310000,10.370000,10.270000,10.270000,8.393760,1441200
2015-04-28,10.310000,10.360000,10.280000,10.360000,8.467317,1882300
2015-04-29,10.110000,10.230000,10.050000,10.090000,8.246645,2826500
2015-04-30,10.010000,10.100000,9.980000,10.020000,8.189434,3271400
2015-05-01,10.070000,10.130000,10.030000,10.110000,8.262990,998200
2015-05-04,10.120000,10.140000,10.040000,10.070000,8.230297,807300
2015-05-05,9.970000,9.970000,9.820000,9.830000,8.034145,2362000
2015-05-06,10.070000,10.190000,10.020000,10.090000,8.246645,2524900
2015-05-07,10.090000,10.150000,10.010000,10.080000,8.238470,1966100
2015-05-08,10.140000,10.270000,10.140000,10.250000,8.377413,1081600
2015-05-11,10.110000,10.160000,10.090000,10.120000,8.271164,959500
2015-05-12,10.120000,10.170000,10.080000,10.120000,8.271164,1081500
2015-05-13,10.270000,10.340000,10.210000,10.220000,8.352893,1422500
2015-05-14,10.380000,10.460000,10.350000,10.410000,8.508183,2033600
2015-05-15,10.310000,10.400000,10.270000,10.400000,8.500009,1193100
2015-05-18,10.200000,10.240000,10.150000,10.190000,8.328375,1541400
2015-05-19,10.190000,10.250000,10.170000,10.200000,8.336548,1335300
2015-05-20,10.290000,10.340000,10.250000,10.300000,8.418279,983500
2015-05-21,10.240000,10.370000,10.220000,10.340000,8.450970,1221700
2015-05-22,10.270000,10.280000,10.210000,10.220000,8.352893,908800
2015-05-26,9.880000,9.880000,9.710000,9.760000,7.976932,2240700
2015-05-27,9.780000,9.990000,9.740000,9.950000,8.132221,2988200
2015-05-28,9.900000,9.970000,9.800000,9.960000,8.140393,1408500
2015-05-29,9.930000,9.970000,9.820000,9.890000,8.083182,1458400
2015-06-01,9.910000,9.920000,9.760000,9.830000,8.034145,1441500
2015-06-02,10.110000,10.140000,10.040000,10.090000,8.246645,1637500
2015-06-03,10.190000,10.340000,10.190000,10.250000,8.377413,1362000
2015-06-04,10.180000,10.360000,10.040000,10.070000,8.230297,1496400
2015-06-05,9.910000,10.030000,9.860000,9.970000,8.148567,1625000
2015-06-08,9.930000,9.940000,9.860000,9.890000,8.083182,1268300
2015-06-09,9.880000,9.960000,9.810000,9.900000,8.091354,1017500
2015-06-10,10.050000,10.240000,10.040000,10.220000,8.352893,1741700
2015-06-11,10.200000,10.260000,10.130000,10.240000,8.369240,1244900
2015-06-12,10.060000,10.210000,10.000000,10.210000,8.344721,3244000
2015-06-15,9.900000,10.040000,9.880000,10.020000,8.189434,3494200
2015-06-16,9.940000,10.070000,9.930000,10.030000,8.197605,2705800
2015-06-17,10.050000,10.070000,9.890000,9.960000,8.140393,2047300
2015-06-18,10.060000,10.420000,10.050000,10.200000,8.336548,3022300
2015-06-19,10.210000,10.270000,10.180000,10.250000,8.377413,1626600
2015-06-22,10.590000,10.750000,10.570000,10.650000,8.704337,3314000
2015-06-23,10.540000,10.590000,10.480000,10.490000,8.573565,1542600
2015-06-24,10.410000,10.460000,10.370000,10.370000,8.475491,1647000
2015-06-25,10.420000,10.440000,10.330000,10.380000,8.483664,1523800
2015-06-26,10.510000,10.580000,10.440000,10.480000,8.565394,2226300
2015-06-29,9.920000,9.990000,9.780000,9.800000,8.009624,3259100
2015-06-30,10.010000,10.030000,9.770000,9.870000,8.066835,2503200
