Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,3.090000,3.090000,3.090000,3.090000,3.090000,200
2014-07-08,3.050000,3.080000,3.000000,3.000000,3.000000,12900
2014-07-09,3.030000,3.040000,3.030000,3.030000,3.030000,500
2014-07-10,3.030000,3.030000,3.030000,3.030000,3.030000,0
2014-07-11,3.060000,3.160000,3.000000,3.030000,3.030000,15400
2014-07-14,3.180000,3.180000,3.050000,3.120000,3.120000,2000
2014-07-15,3.010000,3.020000,3.010000,3.020000,3.020000,600
2014-07-16,3.000000,3.010000,3.000000,3.010000,3.010000,800
2014-07-17,3.010000,3.010000,3.010000,3.010000,3.010000,0
2014-07-18,3.000000,3.030000,3.000000,3.010000,3.010000,7400
2014-07-21,3.040000,3.140000,3.020000,3.090000,3.090000,34800
2014-07-22,3.080000,3.200000,3.030000,3.200000,3.200000,13500
2014-07-23,3.030000,3.130000,3.030000,3.120000,3.120000,800
2014-07-24,3.090000,3.100000,3.090000,3.100000,3.100000,900
2014-07-25,3.100000,3.100000,3.100000,3.100000,3.100000,300
2014-07-28,3.070000,3.090000,3.020000,3.020000,3.020000,6400
2014-07-29,3.020000,3.020000,3.000000,3.000000,3.000000,4400
2014-07-30,3.000000,3.000000,3.000000,3.000000,3.000000,0
2014-07-31,3.000000,3.000000,3.000000,3.000000,3.000000,0
2014-08-01,3.000000,3.000000,2.940000,2.950000,2.950000,7400
2014-08-04,2.950000,2.980000,2.900000,2.940000,2.940000,13600
2014-08-05,2.920000,3.010000,2.900000,3.010000,3.010000,2100
2014-08-06,3.010000,3.010000,3.010000,3.010000,3.010000,0
2014-08-07,3.010000,3.010000,3.010000,3.010000,3.010000,0
2014-08-08,2.900000,3.020000,2.900000,2.930000,2.930000,2300
2014-08-11,2.930000,2.950000,2.920000,2.920000,2.920000,1900
2014-08-12,2.980000,3.020000,2.980000,3.020000,3.020000,300
2014-08-13,3.020000,3.020000,2.900000,3.000000,3.000000,2400
2014-08-14,2.920000,2.990000,2.920000,2.990000,2.990000,3200
2014-08-15,2.950000,2.990000,2.950000,2.960000,2.960000,500
2014-08-18,2.920000,2.920000,2.920000,2.920000,2.920000,100
2014-08-19,2.940000,3.000000,2.940000,3.000000,3.000000,1600
2014-08-20,2.930000,2.940000,2.900000,2.900000,2.900000,4000
2014-08-21,2.950000,2.970000,2.900000,2.900000,2.900000,8300
2014-08-22,2.900000,2.940000,2.900000,2.940000,2.940000,700
2014-08-25,2.900000,3.030000,2.900000,3.000000,3.000000,8100
2014-08-26,2.950000,2.950000,2.950000,2.950000,2.950000,1400
2014-08-27,2.950000,2.950000,2.950000,2.950000,2.950000,0
2014-08-28,2.950000,2.950000,2.950000,2.950000,2.950000,0
2014-08-29,2.950000,2.950000,2.950000,2.950000,2.950000,0
2014-09-02,2.920000,3.000000,2.920000,3.000000,3.000000,700
2014-09-03,3.000000,3.000000,3.000000,3.000000,3.000000,0
2014-09-04,3.000000,3.000000,3.000000,3.000000,3.000000,0
2014-09-05,2.990000,2.990000,2.990000,2.990000,2.990000,200
2014-09-08,2.910000,2.980000,2.910000,2.980000,2.980000,400
2014-09-09,2.910000,2.930000,2.910000,2.930000,2.930000,500
2014-09-10,2.910000,2.910000,2.910000,2.910000,2.910000,200
2014-09-11,2.900000,2.940000,2.900000,2.940000,2.940000,1600
2014-09-12,2.940000,2.940000,2.940000,2.940000,2.940000,0
2014-09-15,2.980000,2.980000,2.900000,2.900000,2.900000,1100
2014-09-16,2.870000,2.870000,2.710000,2.840000,2.840000,8000
2014-09-17,2.810000,2.910000,2.810000,2.910000,2.910000,400
2014-09-18,2.810000,2.930000,2.800000,2.800000,2.800000,1300
2014-09-19,2.840000,2.920000,2.800000,2.920000,2.920000,8300
2014-09-22,2.800000,2.800000,2.640000,2.780000,2.780000,2800
2014-09-23,2.800000,2.800000,2.800000,2.800000,2.800000,800
2014-09-24,2.800000,2.800000,2.800000,2.800000,2.800000,0
2014-09-25,2.800000,2.800000,2.800000,2.800000,2.800000,0
2014-09-26,2.730000,2.730000,2.730000,2.730000,2.730000,200
2014-09-29,2.660000,2.730000,2.620000,2.690000,2.690000,2200
2014-09-30,2.620000,2.670000,2.570000,2.620000,2.620000,9600
2014-10-01,2.740000,2.750000,2.740000,2.750000,2.750000,800
2014-10-02,2.530000,2.700000,2.530000,2.700000,2.700000,300
2014-10-03,2.600000,2.660000,2.600000,2.660000,2.660000,300
2014-10-06,2.570000,2.750000,2.520000,2.690000,2.690000,3400
2014-10-07,2.570000,2.570000,2.390000,2.530000,2.530000,9400
2014-10-08,2.460000,2.460000,2.430000,2.450000,2.450000,9100
2014-10-09,2.450000,2.450000,2.380000,2.400000,2.400000,21200
2014-10-10,2.400000,2.400000,2.400000,2.400000,2.400000,3500
2014-10-13,2.380000,2.400000,2.350000,2.400000,2.400000,2900
2014-10-14,2.560000,2.990000,2.530000,2.530000,2.530000,7800
2014-10-15,2.600000,2.600000,2.500000,2.500000,2.500000,2900
2014-10-16,2.570000,2.600000,2.500000,2.500000,2.500000,1700
2014-10-17,2.600000,2.650000,2.320000,2.320000,2.320000,5900
2014-10-20,2.490000,2.490000,2.410000,2.410000,2.410000,600
2014-10-21,2.590000,2.590000,2.590000,2.590000,2.590000,200
2014-10-22,2.420000,2.600000,2.420000,2.540000,2.540000,2800
2014-10-23,2.580000,2.600000,2.580000,2.590000,2.590000,2200
2014-10-24,2.590000,2.590000,2.590000,2.590000,2.590000,1300
2014-10-27,2.580000,2.580000,2.550000,2.550000,2.550000,400
2014-10-28,2.410000,2.440000,2.410000,2.440000,2.440000,1900
2014-10-29,2.400000,2.400000,2.320000,2.320000,2.320000,3100
2014-10-30,2.320000,2.320000,2.320000,2.320000,2.320000,0
2014-10-31,2.560000,2.570000,2.560000,2.560000,2.560000,2200
2014-11-03,2.350000,2.460000,2.350000,2.450000,2.450000,4500
2014-11-04,2.490000,2.560000,2.490000,2.550000,2.550000,1700
2014-11-05,2.410000,2.520000,2.330000,2.520000,2.520000,44900
2014-11-06,2.450000,2.520000,2.450000,2.520000,2.520000,1900
2014-11-07,2.520000,2.520000,2.520000,2.520000,2.520000,0
2014-11-10,2.390000,2.800000,2.370000,2.750000,2.750000,32200
2014-11-11,2.750000,2.850000,2.680000,2.740000,2.740000,4500
2014-11-12,2.760000,2.760000,2.570000,2.570000,2.570000,7800
2014-11-13,2.550000,2.600000,2.350000,2.470000,2.470000,4900
2014-11-14,2.430000,2.600000,2.390000,2.600000,2.600000,3000
2014-11-17,2.600000,2.600000,2.600000,2.600000,2.600000,0
2014-11-18,2.460000,2.470000,2.410000,2.410000,2.410000,2500
2014-11-19,2.410000,2.410000,2.410000,2.410000,2.410000,0
2014-11-20,2.330000,2.330000,2.330000,2.330000,2.330000,1000
2014-11-21,2.320000,2.480000,2.320000,2.480000,2.480000,3700
2014-11-24,2.480000,2.480000,2.480000,2.480000,2.480000,0
2014-11-25,2.330000,2.470000,2.330000,2.450000,2.450000,800
2014-11-26,2.320000,2.400000,2.320000,2.400000,2.400000,3700
2014-11-28,2.330000,2.360000,2.330000,2.330000,2.330000,1800
2014-12-01,2.340000,2.340000,2.320000,2.330000,2.330000,7600
2014-12-02,2.350000,2.350000,2.350000,2.350000,2.350000,100
2014-12-03,2.460000,2.460000,2.320000,2.320000,2.320000,4000
2014-12-04,2.340000,2.830000,2.180000,2.250000,2.250000,48900
2014-12-05,2.410000,2.410000,2.250000,2.270000,2.270000,3200
2014-12-08,2.260000,2.380000,2.250000,2.370000,2.370000,8600
2014-12-09,2.410000,2.490000,2.400000,2.400000,2.400000,2500
2014-12-10,2.260000,2.520000,2.230000,2.300000,2.300000,2400
2014-12-11,2.410000,2.410000,2.200000,2.200000,2.200000,1500
2014-12-12,2.340000,2.400000,2.220000,2.400000,2.400000,900
2014-12-15,2.410000,2.600000,2.330000,2.580000,2.580000,14800
2014-12-16,2.400000,2.540000,2.400000,2.440000,2.440000,5100
2014-12-17,2.420000,2.460000,2.400000,2.400000,2.400000,800
2014-12-18,2.470000,2.860000,2.400000,2.700000,2.700000,15900
2014-12-19,2.700000,2.900000,2.530000,2.620000,2.620000,39100
2014-12-22,2.540000,2.650000,2.520000,2.520000,2.520000,4000
2014-12-23,2.510000,2.590000,2.450000,2.590000,2.590000,4400
2014-12-24,2.720000,2.740000,2.530000,2.600000,2.600000,5300
2014-12-26,2.350000,2.960000,2.280000,2.670000,2.670000,99200
2014-12-29,2.700000,2.800000,2.470000,2.800000,2.800000,26000
2014-12-30,2.700000,2.760000,2.700000,2.700000,2.700000,2500
2014-12-31,2.700000,2.740000,2.670000,2.670000,2.670000,2800
2015-01-02,2.830000,2.830000,2.830000,2.830000,2.830000,200
2015-01-05,2.830000,2.830000,2.700000,2.830000,2.830000,20600
2015-01-06,2.720000,2.850000,2.700000,2.850000,2.850000,1100
2015-01-07,2.800000,2.970000,2.700000,2.750000,2.750000,2900
2015-01-08,2.700000,2.850000,2.700000,2.850000,2.850000,1200
2015-01-09,2.700000,2.930000,2.700000,2.930000,2.930000,500
2015-01-12,2.990000,2.990000,2.830000,2.830000,2.830000,3600
2015-01-13,2.970000,2.970000,2.800000,2.800000,2.800000,6800
2015-01-14,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-01-15,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-01-16,2.800000,2.980000,2.660000,2.910000,2.910000,6600
2015-01-20,3.060000,3.060000,2.750000,2.810000,2.810000,8500
2015-01-21,2.990000,2.990000,2.800000,2.860000,2.860000,4300
2015-01-22,2.860000,2.900000,2.810000,2.810000,2.810000,1600
2015-01-23,2.910000,2.910000,2.600000,2.670000,2.670000,3600
2015-01-26,2.830000,3.000000,2.820000,2.880000,2.880000,6000
2015-01-27,2.900000,2.960000,2.750000,2.940000,2.940000,2200
2015-01-28,2.940000,2.940000,2.940000,2.940000,2.940000,0
2015-01-29,2.890000,2.890000,2.620000,2.800000,2.800000,1200
2015-01-30,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-02,2.800000,2.800000,2.800000,2.800000,2.800000,1200
2015-02-03,2.890000,2.900000,2.700000,2.800000,2.800000,3200
2015-02-04,2.800000,2.800000,2.800000,2.800000,2.800000,0
2015-02-05,2.770000,2.770000,2.770000,2.770000,2.770000,100
2015-02-06,2.650000,2.670000,2.350000,2.600000,2.600000,26400
2015-02-09,2.610000,2.660000,2.600000,2.660000,2.660000,20600
2015-02-10,2.630000,2.670000,2.630000,2.630000,2.630000,2400
2015-02-11,2.600000,2.600000,2.600000,2.600000,2.600000,200
2015-02-12,2.610000,2.610000,2.610000,2.610000,2.610000,400
2015-02-13,2.660000,2.700000,2.660000,2.700000,2.700000,1100
2015-02-17,2.700000,2.700000,2.700000,2.700000,2.700000,0
2015-02-18,2.620000,2.620000,2.600000,2.600000,2.600000,2800
2015-02-19,2.500000,2.610000,2.430000,2.430000,2.430000,5300
