Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,17.770000,17.860001,17.770000,17.799999,12.442582,29300
2014-07-08,17.799999,17.809999,17.730000,17.760000,12.414621,50200
2014-07-09,17.760000,17.780001,17.690001,17.750000,12.407630,56600
2014-07-10,17.750000,17.809999,17.709999,17.709999,12.379665,33500
2014-07-11,17.719999,17.969999,17.719999,17.969999,12.561419,56000
2014-07-14,17.980000,17.990000,17.900000,17.990000,12.575390,44100
2014-07-15,17.930000,17.980000,17.879999,17.920000,12.526463,60300
2014-07-16,17.940001,18.049999,17.920000,18.000000,12.582382,83000
2014-07-17,17.959999,18.090000,17.959999,18.070000,12.631311,79600
2014-07-18,18.000000,18.049999,17.969999,18.010000,12.589372,30600
2014-07-21,18.020000,18.080000,18.020000,18.080000,12.638304,31600
2014-07-22,17.990000,18.000000,17.930000,17.980000,12.638305,29600
2014-07-23,17.990000,18.090000,17.990000,18.090000,12.715627,34800
2014-07-24,18.080000,18.100000,18.010000,18.040001,12.680479,49800
2014-07-25,18.010000,18.049999,17.870001,17.910000,12.589101,39600
2014-07-28,17.920000,17.990000,17.910000,17.969999,12.631280,45300
2014-07-29,17.930000,17.940001,17.889999,17.889999,12.575044,35900
2014-07-30,17.910000,17.969999,17.900000,17.930000,12.603159,26200
2014-07-31,17.860001,17.889999,17.680000,17.750000,12.476637,62800
2014-08-01,17.830000,17.840000,17.690001,17.700001,12.441485,59900
2014-08-04,17.709999,17.750000,17.610001,17.620001,12.385261,35500
2014-08-05,17.590000,17.629999,17.540001,17.600000,12.371198,47400
2014-08-06,17.490000,17.570000,17.389999,17.500000,12.300910,131200
2014-08-07,17.480000,17.620001,17.480000,17.549999,12.336055,106400
2014-08-08,17.490000,17.570000,17.480000,17.520000,12.314968,51100
2014-08-11,17.559999,17.680000,17.559999,17.650000,12.406343,60800
2014-08-12,17.639999,17.700001,17.469999,17.520000,12.314968,68500
2014-08-13,17.530001,17.620001,17.520000,17.620001,12.385261,39100
