Date,Open,High,Low,Close,Adj Close,Volume
2014-08-11,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-12,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-13,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-14,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-15,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-18,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-19,0.040000,0.040000,0.040000,0.040000,0.040000,41578
2014-08-20,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-21,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-08-22,0.045000,0.045000,0.045000,0.045000,0.045000,40421
2014-08-25,0.045000,0.045000,0.045000,0.045000,0.045000,0
2014-08-26,0.045000,0.045000,0.045000,0.045000,0.045000,0
2014-08-27,0.045000,0.045000,0.045000,0.045000,0.045000,0
2014-08-28,0.045000,0.050000,0.045000,0.050000,0.050000,14631
2014-08-29,0.055000,0.055000,0.055000,0.055000,0.055000,55000
2014-09-02,0,0,0,0,0,0
2014-09-03,0,0,0,0,0,0
2014-09-04,0,0,0,0,0,0
2014-09-05,0,0,0,0,0,0
2014-09-08,0,0,0,0,0,0
2014-09-09,0,0,0,0,0,0
2014-09-10,0,0,0,0,0,0
2014-09-11,0,0,0,0,0,0
2014-09-12,0,0,0,0,0,0
2014-09-15,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-09-16,0.060000,0.060000,0.060000,0.060000,0.060000,2105
2014-09-17,0.060000,0.060000,0.060000,0.060000,0.060000,0
2014-09-18,0.060000,0.060000,0.060000,0.060000,0.060000,0
2014-09-19,0.060000,0.060000,0.060000,0.060000,0.060000,0
2014-09-22,0.060000,0.060000,0.060000,0.060000,0.060000,0
2014-09-23,0.060000,0.060000,0.060000,0.060000,0.060000,0
2014-09-24,0.055000,0.055000,0.055000,0.055000,0.055000,21959
2014-09-25,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-09-26,0.055000,0.055000,0.055000,0.055000,0.055000,2263
2014-09-29,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-09-30,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-01,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-02,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-03,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-06,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-07,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-08,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-09,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-10,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-13,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-14,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-15,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-16,0.055000,0.055000,0.055000,0.055000,0.055000,0
2014-10-17,0.045000,0.045000,0.045000,0.045000,0.045000,2631
2014-10-20,0.045000,0.045000,0.045000,0.045000,0.045000,0
2014-10-21,0.040000,0.040000,0.025000,0.025000,0.025000,33947
2014-10-22,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-10-23,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-10-24,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-10-27,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-10-28,0.025000,0.025000,0.025000,0.025000,0.025000,0
2014-10-29,0.040000,0.040000,0.040000,0.040000,0.040000,35000
2014-10-30,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-10-31,0.040000,0.040000,0.040000,0.040000,0.040000,10526
2014-11-03,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-04,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-05,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-06,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-07,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-10,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-11,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-12,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-13,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-14,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-17,0.050000,0.050000,0.050000,0.050000,0.050000,12000
2014-11-18,0.050000,0.050000,0.050000,0.050000,0.050000,0
2014-11-19,0.050000,0.050000,0.050000,0.050000,0.050000,0
2014-11-20,0.040000,0.040000,0.040000,0.040000,0.040000,6368
2014-11-21,0.040000,0.040000,0.040000,0.040000,0.040000,15000
2014-11-24,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-25,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-26,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-11-28,0.040000,0.040000,0.040000,0.040000,0.040000,0
2014-12-01,0.040000,0.040000,0.030000,0.030000,0.030000,6973
2014-12-02,0.030000,0.030000,0.030000,0.030000,0.030000,5263
2014-12-03,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-04,0.030000,0.030000,0.030000,0.030000,0.030000,2105
2014-12-05,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-08,0.030000,0.030000,0.030000,0.030000,0.030000,10526
2014-12-09,0.030000,0.030000,0.030000,0.030000,0.030000,7000
2014-12-10,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-11,0.025000,0.025000,0.025000,0.025000,0.025000,14002
2014-12-12,0.020000,0.020000,0.020000,0.020000,0.020000,4736
2014-12-15,0.020000,0.020000,0.020000,0.020000,0.020000,0
2014-12-16,0.025000,0.030000,0.025000,0.030000,0.030000,7000
2014-12-17,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-18,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-19,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-22,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-23,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-24,0.030000,0.030000,0.030000,0.030000,0.030000,2000
2014-12-26,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-29,0.030000,0.030000,0.030000,0.030000,0.030000,0
2014-12-30,0.030000,0.030000,0.030000,0.030000,0.030000,10526
2014-12-31,0.030000,0.030000,0.030000,0.030000,0.030000,0
2015-01-02,0.030000,0.030000,0.030000,0.030000,0.030000,0
2015-01-05,0.030000,0.030000,0.030000,0.030000,0.030000,0
2015-01-06,0.030000,0.030000,0.030000,0.030000,0.030000,0
2015-01-07,0.030000,0.030000,0.030000,0.030000,0.030000,2789
2015-01-08,0.030000,0.030000,0.030000,0.030000,0.030000,0
