Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,8.225108,8.683983,8.225108,8.658009,8.390327,19100
2017-02-21,8.640693,8.640693,8.389610,8.389610,8.130227,151300
2017-02-22,8.234632,8.234632,2.709957,3.991342,3.867941,531300
2017-02-23,4.329004,5.497836,4.112554,4.580087,4.438483,192900
2017-02-24,4.632035,5.497836,4.389610,4.943723,4.790877,19100
2017-02-27,4.935065,4.935065,4.506494,4.881385,4.730467,16100
2017-02-28,4.935065,4.978355,4.545455,4.761905,4.614680,7600
2017-03-01,4.664935,5.047619,4.545455,5.038961,4.883171,27400
2017-03-02,5.047619,5.238095,5.030303,5.186147,5.025806,14800
2017-03-03,4.761905,5.324676,4.761905,4.987013,4.832829,1800
2017-03-06,4.935065,4.943723,4.329004,4.761905,4.614680,15300
2017-03-07,4.761905,4.935065,4.727273,4.848485,4.698584,21100
2017-03-08,5.040693,5.272727,4.969697,5.004329,4.849609,13300
2017-03-09,5.170563,5.238095,5.167965,5.212121,5.050977,4000
2017-03-10,5.134199,5.411255,5.122078,5.411255,5.243955,7700
2017-03-13,5.411255,5.411255,5.290043,5.385282,5.218784,6300
2017-03-14,5.385282,5.385282,5.385282,5.385282,5.218784,0
2017-03-15,5.601732,5.619048,5.365368,5.593073,5.420151,12100
2017-03-16,5.653680,6.022511,5.653680,5.799134,5.619842,2700
2017-03-17,5.703030,5.703030,5.655411,5.655411,5.480562,4800
2017-03-20,5.619048,5.887446,4.900433,5.272727,5.109710,31200
2017-03-21,5.367965,5.376623,5.367965,5.376623,5.210393,900
2017-03-22,5.124675,5.627706,5.124675,5.619914,5.619914,11000
2017-03-23,5.558442,5.610390,5.541126,5.575758,5.575758,5200
2017-03-24,5.329004,5.714286,5.160173,5.160173,5.160173,20100
2017-03-27,5.575758,5.688312,5.255411,5.255411,5.255411,1400
2017-03-28,5.385282,5.385282,5.385282,5.385282,5.385282,1100
2017-03-29,5.168831,5.168831,5.151515,5.151515,5.151515,2700
2017-03-30,5.339394,5.341991,5.202598,5.278788,5.278788,6100
2017-03-31,5.354979,5.445888,5.354979,5.411255,5.411255,2700
2017-04-03,5.264069,5.346320,5.263204,5.263204,5.263204,2500
2017-04-04,5.267532,5.267532,5.194805,5.194805,5.194805,2500
