Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,8.100000,8.320000,8.000000,8.290000,5.186492,4817800
2014-07-08,7.740000,7.770000,7.640000,7.740000,5.228373,5403200
2014-07-09,7.740000,7.960000,7.700000,7.820000,5.282413,5672800
2014-07-10,7.860000,8.180000,7.820000,8.160000,5.512084,6600700
2014-07-11,8.130000,8.270000,7.910000,8.030000,5.424268,7713100
2014-07-14,8.010000,8.200000,7.980000,8.170000,5.518839,5636200
2014-07-15,8.200000,8.290000,8.110000,8.270000,5.586389,4426700
2014-07-16,8.300000,8.350000,8.090000,8.160000,5.512084,3485500
2014-07-17,8.230000,8.230000,8.080000,8.110000,5.478308,4027300
2014-07-18,8.400000,8.590000,8.290000,8.500000,5.741754,6292500
2014-07-21,8.620000,8.800000,8.560000,8.780000,5.930894,3783800
2014-07-22,8.890000,9.000000,8.840000,8.990000,6.072749,4707900
2014-07-23,8.910000,8.990000,8.710000,8.820000,5.957913,4207000
2014-07-24,8.840000,9.020000,8.810000,9.010000,6.086258,4230900
2014-07-25,8.960000,8.990000,8.880000,8.890000,6.005198,3959700
2014-07-28,8.920000,8.960000,8.800000,8.890000,6.005198,3069500
2014-07-29,8.810000,8.880000,8.450000,8.580000,5.795793,4303600
2014-07-30,8.680000,8.710000,8.480000,8.550000,5.775528,3484600
2014-07-31,8.350000,8.370000,8.160000,8.220000,5.552614,6100500
2014-08-01,8.220000,8.400000,8.210000,8.340000,5.633673,4856500
2014-08-04,8.500000,8.650000,8.350000,8.640000,5.836324,5779500
2014-08-05,8.440000,8.580000,8.350000,8.490000,5.734999,5905400
2014-08-06,8.510000,8.700000,8.390000,8.670000,5.856588,6380200
2014-08-07,8.590000,8.710000,8.470000,8.540000,5.768774,6528400
2014-08-08,8.480000,8.550000,8.330000,8.550000,5.775528,5315200
2014-08-11,8.640000,8.660000,8.560000,8.630000,5.829569,3170800
2014-08-12,8.560000,8.640000,8.500000,8.590000,5.802548,3299500
2014-08-13,8.640000,8.660000,8.280000,8.300000,5.606653,4943100
2014-08-14,8.320000,8.480000,8.290000,8.420000,5.687714,3437000
2014-08-15,8.540000,8.640000,8.470000,8.630000,5.829569,3398300
2014-08-18,8.710000,8.740000,8.530000,8.600000,5.809303,3434700
2014-08-19,8.640000,8.700000,8.540000,8.570000,5.789039,4671200
2014-08-20,8.560000,8.760000,8.550000,8.680000,5.863344,5864700
2014-08-21,8.730000,8.830000,8.720000,8.750000,5.910629,4005600
2014-08-22,8.660000,8.720000,8.540000,8.630000,5.829569,3209600
2014-08-25,8.660000,8.750000,8.580000,8.730000,5.897119,2280900
2014-08-26,8.680000,8.700000,8.370000,8.390000,5.667449,5312500
2014-08-27,8.460000,8.580000,8.420000,8.570000,5.789039,4518400
2014-08-28,8.580000,8.690000,8.460000,8.550000,5.775528,3431700
2014-08-29,8.590000,8.670000,8.460000,8.590000,5.802548,3563700
2014-09-02,8.360000,8.500000,8.290000,8.480000,5.728243,3296000
2014-09-03,8.560000,8.670000,8.510000,8.590000,5.802548,5036900
2014-09-04,8.580000,8.680000,8.510000,8.550000,5.775528,3409400
2014-09-05,8.540000,8.590000,8.430000,8.480000,5.728243,3215700
2014-09-08,8.500000,8.520000,8.100000,8.120000,5.485064,3531200
2014-09-09,8.050000,8.050000,7.780000,7.830000,5.289168,4364900
2014-09-10,7.850000,7.850000,7.630000,7.770000,5.248639,5707500
2014-09-11,7.710000,7.770000,7.500000,7.530000,5.086518,6470400
2014-09-12,7.360000,7.410000,7.150000,7.200000,4.863603,5316500
2014-09-15,7.300000,7.380000,7.240000,7.330000,4.951419,3966000
2014-09-16,7.150000,7.370000,7.120000,7.340000,4.958174,7474400
2014-09-17,7.060000,7.090000,6.740000,6.750000,4.559627,8426300
2014-09-18,6.700000,6.850000,6.650000,6.680000,4.512342,6027200
2014-09-19,6.730000,6.750000,6.580000,6.590000,4.451548,3800200
2014-09-22,6.450000,6.500000,6.360000,6.420000,4.336713,3132100
2014-09-23,6.490000,6.650000,6.460000,6.520000,4.404263,5560400
2014-09-24,6.310000,6.360000,6.180000,6.330000,4.275918,3505600
2014-09-25,6.270000,6.350000,6.210000,6.220000,4.201612,2821900
2014-09-26,6.160000,6.310000,6.120000,6.280000,4.242143,3514300
2014-09-29,5.940000,6.140000,5.940000,6.090000,4.113798,4391200
2014-09-30,6.160000,6.340000,6.120000,6.230000,4.208367,5791800
