Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,22.969999,23.430000,21.520000,21.559999,21.559999,335600
2014-07-08,21.820000,21.820000,19.750000,20.430000,20.430000,521200
2014-07-09,20.450001,20.870001,19.940001,20.600000,20.600000,179200
2014-07-10,20.000000,20.930000,19.990000,20.490000,20.490000,163800
2014-07-11,20.400000,20.559999,20.100000,20.430000,20.430000,78200
2014-07-14,20.620001,21.230000,20.600000,20.730000,20.730000,138600
2014-07-15,20.680000,20.980000,19.820000,20.240000,20.240000,275700
2014-07-16,20.360001,20.400000,19.760000,20.299999,20.299999,177600
2014-07-17,20.059999,20.400000,19.059999,19.350000,19.350000,235600
2014-07-18,19.309999,20.700001,19.219999,20.590000,20.590000,150600
2014-07-21,20.520000,21.219999,20.389999,20.799999,20.799999,93300
2014-07-22,20.879999,22.160000,20.879999,21.580000,21.580000,162900
2014-07-23,21.760000,22.950001,21.490000,22.870001,22.870001,262700
2014-07-24,22.840000,22.959999,22.170000,22.420000,22.420000,148900
2014-07-25,22.160000,22.660000,22.070000,22.459999,22.459999,213500
2014-07-28,22.500000,22.500000,21.709999,22.260000,22.260000,241700
2014-07-29,22.219999,23.430000,21.840000,23.309999,23.309999,234500
2014-07-30,23.400000,24.059999,23.120001,23.500000,23.500000,305500
2014-07-31,23.160000,23.270000,21.680000,22.719999,22.719999,234200
2014-08-01,22.670000,23.469999,21.980000,22.709999,22.709999,287000
2014-08-04,22.879999,23.379999,22.309999,23.040001,23.040001,369500
2014-08-05,22.780001,23.110001,22.410000,22.750000,22.750000,248400
2014-08-06,22.530001,23.190001,22.480000,22.889999,22.889999,149500
2014-08-07,22.959999,23.180000,22.100000,23.110001,23.110001,352600
2014-08-08,23.250000,24.240000,23.180000,23.870001,23.870001,288700
2014-08-11,24.100000,24.129999,23.389999,23.709999,23.709999,207200
2014-08-12,23.500000,24.170000,23.219999,23.969999,23.969999,249000
2014-08-13,24.190001,25.480000,24.010000,25.290001,25.290001,291900
2014-08-14,25.379999,25.740000,24.780001,25.240000,25.240000,111900
2014-08-15,25.580000,25.600000,24.250000,24.980000,24.980000,105600
2014-08-18,25.400000,25.420000,23.959999,25.200001,25.200001,136000
2014-08-19,25.219999,25.400000,24.120001,24.320000,24.320000,131100
2014-08-20,24.150000,24.219999,23.600000,23.809999,23.809999,103100
2014-08-21,23.830000,23.840000,22.760000,23.090000,23.090000,140200
2014-08-22,23.049999,23.980000,22.870001,23.930000,23.930000,130300
2014-08-25,24.000000,25.680000,24.000000,25.400000,25.400000,240000
2014-08-26,25.500000,25.870001,25.350000,25.750000,25.750000,218600
2014-08-27,25.740000,25.940001,24.950001,25.240000,25.240000,215400
2014-08-28,25.000000,25.780001,25.000000,25.480000,25.480000,112000
2014-08-29,25.660000,25.830000,25.340000,25.540001,25.540001,185000
2014-09-02,25.780001,25.920000,24.299999,24.740000,24.740000,234600
2014-09-03,25.059999,25.549999,23.760000,24.059999,24.059999,465600
2014-09-04,24.180000,24.790001,24.049999,24.299999,24.299999,269300
2014-09-05,24.209999,24.209999,22.760000,23.350000,23.350000,260100
2014-09-08,23.320000,25.610001,23.320000,25.530001,25.530001,538900
2014-09-09,25.990000,29.969999,25.990000,28.540001,28.540001,2101200
2014-09-10,28.500000,30.100000,28.260000,30.030001,30.030001,965100
2014-09-11,30.100000,30.990000,29.290001,29.900000,29.900000,990400
2014-09-12,30.000000,30.340000,28.110001,28.270000,28.270000,275200
2014-09-15,28.180000,28.180000,26.150000,26.260000,26.260000,596700
2014-09-16,26.270000,26.700001,25.420000,25.750000,25.750000,405500
2014-09-17,25.780001,27.860001,25.780001,27.670000,27.670000,421600
2014-09-18,27.870001,28.000000,26.799999,27.209999,27.209999,221000
2014-09-19,27.309999,27.730000,26.240000,27.280001,27.280001,1497700
2014-09-22,27.090000,27.190001,26.129999,26.360001,26.360001,235100
2014-09-23,25.910000,27.330000,25.240000,27.250000,27.250000,273400
2014-09-24,27.290001,28.049999,26.629999,28.010000,28.010000,390700
2014-09-25,27.730000,28.520000,26.770000,28.500000,28.500000,622700
2014-09-26,28.650000,29.180000,27.879999,29.049999,29.049999,329400
2014-09-29,28.530001,29.420000,28.459999,28.860001,28.860001,287200
2014-09-30,28.799999,28.889999,27.510000,27.620001,27.620001,330400
2014-10-01,27.780001,29.350000,27.450001,29.090000,29.090000,616600
2014-10-02,29.020000,30.500000,28.209999,29.959999,29.959999,1037800
2014-10-03,30.830000,30.830000,29.690001,30.059999,30.059999,898500
2014-10-06,32.000000,33.900002,30.520000,31.469999,31.469999,6744100
2014-10-07,33.279999,35.160000,32.009998,33.230000,33.230000,6407500
2014-10-08,35.200001,35.980000,28.000000,32.910000,32.910000,13596800
2014-10-09,33.299999,33.320000,31.400000,31.809999,31.809999,2026400
2014-10-10,31.260000,32.709999,29.700001,31.059999,31.059999,1540400
2014-10-13,32.709999,32.720001,30.100000,30.780001,30.780001,1077900
2014-10-14,30.100000,31.900000,28.660000,29.049999,29.049999,1062900
2014-10-15,29.530001,33.150002,28.700001,32.180000,32.180000,1876200
2014-10-16,34.250000,36.450001,33.279999,35.400002,35.400002,4495600
2014-10-17,35.990002,36.750000,33.419998,34.150002,34.150002,3302000
