Date,Open,High,Low,Close,Adj Close,Volume
2014-07-09,6.373000,6.373000,6.277000,6.277000,6.007435,26300
2014-07-10,6.235000,6.267100,6.235000,6.250000,5.981594,48400
2014-07-11,0,0,0,0,0,0
2014-07-14,6.346000,6.462000,6.322000,6.323800,6.052224,9800
2014-07-15,6.266000,6.266000,6.175200,6.264000,5.994993,95900
2014-07-16,6.297100,6.353000,6.297100,6.353000,6.080170,4300
2014-07-17,0,0,0,0,0,0
2014-07-18,6.380000,6.548000,6.380000,6.548000,6.266797,7100
2014-07-21,6.530000,6.639100,6.530000,6.639100,6.353984,7500
2014-07-22,0,0,0,0,0,0
2014-07-23,0,0,0,0,0,0
2014-07-24,0,0,0,0,0,0
2014-07-25,0,0,0,0,0,0
2014-07-28,6.517300,6.556000,6.517300,6.536000,6.255311,205563
2014-07-29,6.536000,6.536000,6.536000,6.536000,6.255311,0
2014-07-30,0,0,0,0,0,0
2014-07-31,6.398100,6.398100,6.398100,6.398100,6.123334,0
2014-08-01,0,0,0,0,0,0
2014-08-04,0,0,0,0,0,0
2014-08-05,0,0,0,0,0,0
2014-08-06,0,0,0,0,0,0
2014-08-07,0,0,0,0,0,0
2014-08-08,0,0,0,0,0,0
2014-08-11,0,0,0,0,0,0
2014-08-12,0,0,0,0,0,0
2014-08-13,6.395000,6.395000,6.395000,6.395000,6.120368,50000
2014-08-14,0,0,0,0,0,0
2014-08-15,0,0,0,0,0,0
2014-08-18,0,0,0,0,0,0
2014-08-19,0,0,0,0,0,0
2014-08-20,6.624700,6.832400,6.616800,6.832400,6.538982,14346
2014-08-21,6.850400,6.850400,6.850400,6.850400,6.556210,150000
2014-08-22,0,0,0,0,0,0
2014-08-25,0,0,0,0,0,0
2014-08-26,0,0,0,0,0,0
2014-08-27,6.900000,6.920000,6.790000,6.829900,6.536590,377200
2014-08-28,0,0,0,0,0,0
2014-08-29,0,0,0,0,0,0
2014-09-02,0,0,0,0,0,0
2014-09-03,0,0,0,0,0,0
2014-09-04,0,0,0,0,0,0
2014-09-05,7.040000,7.040000,7.035000,7.040000,6.737668,1000
2014-09-08,0,0,0,0,0,0
2014-09-09,0,0,0,0,0,0
2014-09-10,0,0,0,0,0,0
2014-09-11,0,0,0,0,0,0
2014-09-12,0,0,0,0,0,0
2014-09-15,0,0,0,0,0,0
2014-09-16,0,0,0,0,0,0
2014-09-17,0,0,0,0,0,0
2014-09-18,0,0,0,0,0,0
2014-09-19,0,0,0,0,0,0
2014-09-22,0,0,0,0,0,0
2014-09-23,0,0,0,0,0,0
2014-09-24,0,0,0,0,0,0
2014-09-25,7.356000,7.356000,7.212300,7.212300,6.902568,17850
2014-09-26,0,0,0,0,0,0
2014-09-29,7.500000,7.500000,7.500000,7.500000,7.177913,0
2014-09-30,0,0,0,0,0,0
2014-10-01,0,0,0,0,0,0
2014-10-02,0,0,0,0,0,0
2014-10-03,7.700000,7.700000,7.656900,7.656900,7.328075,5812
2014-10-06,7.656900,7.656900,7.656900,7.656900,7.328075,0
