Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,24.469999,24.670000,24.420000,24.540001,12.122454,13700
2014-07-08,24.620001,24.700001,24.450001,24.580000,12.142215,17500
2014-07-09,24.690001,24.700001,24.459999,24.629999,12.166912,18400
2014-07-10,24.639999,24.700001,24.469999,24.639999,12.171851,12800
2014-07-11,24.610001,24.639999,24.610001,24.610001,12.157034,3700
2014-07-14,24.700001,24.700001,24.559999,24.600000,12.152091,19400
2014-07-15,24.600000,24.610001,24.530001,24.530001,12.117513,23700
2014-07-16,24.370001,24.400000,24.240000,24.370001,12.117513,53100
2014-07-17,24.389999,24.590000,24.389999,24.510000,12.187123,16000
2014-07-18,24.549999,24.700001,24.549999,24.639999,12.251765,25100
2014-07-21,24.650000,24.650000,24.510000,24.620001,12.241820,16500
2014-07-22,24.590000,24.700001,24.440001,24.459999,12.162264,22400
2014-07-23,24.440001,24.620001,24.290001,24.570000,12.216962,29800
2014-07-24,24.559999,24.559999,24.379999,24.490000,12.177176,17400
2014-07-25,24.500000,24.580000,24.410000,24.420000,12.142374,12400
2014-07-28,24.540001,24.660000,24.360001,24.520000,12.192096,43000
2014-07-29,24.530001,24.530001,24.309999,24.309999,12.087682,17000
2014-07-30,24.299999,24.340000,24.110001,24.120001,11.993202,17300
2014-07-31,24.160000,24.160000,23.879999,23.889999,11.878838,17000
2014-08-01,23.950001,24.170000,23.860001,23.930000,11.898729,23100
2014-08-04,24.049999,24.129999,23.900000,23.980000,11.923594,11300
2014-08-05,23.910000,24.240000,23.900000,23.980000,11.923594,52400
2014-08-06,23.879999,24.240000,23.879999,24.139999,12.003146,23200
2014-08-07,24.260000,24.370001,24.059999,24.160000,12.013093,20100
2014-08-08,24.250000,24.400000,24.129999,24.400000,12.132432,17800
2014-08-11,24.440001,24.660000,24.440001,24.530001,12.197069,11500
2014-08-12,24.650000,24.650000,24.450001,24.559999,12.211989,11600
2014-08-13,24.450001,24.629999,24.440001,24.440001,12.152322,24000
2014-08-14,24.450001,24.610001,24.450001,24.549999,12.207011,5200
2014-08-15,24.459999,24.700001,24.440001,24.450001,12.157294,17900
2014-08-18,24.480000,24.549999,24.459999,24.459999,12.162264,9400
2014-08-19,24.420000,24.530001,24.420000,24.480000,12.172206,16700
2014-08-20,24.270000,24.389999,24.270000,24.309999,12.167206,38500
2014-08-21,24.290001,24.330000,24.219999,24.330000,12.177214,30300
2014-08-22,24.230000,24.299999,24.100000,24.110001,12.067102,25800
2014-08-25,24.110001,24.240000,23.840000,23.910000,11.966996,45200
2014-08-26,23.910000,24.250000,23.910000,24.250000,12.137168,44200
2014-08-27,24.250000,24.370001,24.250000,24.370001,12.197232,28700
2014-08-28,24.200001,24.490000,23.969999,24.440001,12.232270,34200
2014-08-29,24.480000,24.520000,24.350000,24.520000,12.272306,14200
2014-09-02,24.590000,24.590000,24.260000,24.280001,12.152191,26000
2014-09-03,24.240000,24.410000,24.180000,24.270000,12.147184,23500
2014-09-04,24.270000,24.379999,24.270000,24.340000,12.182215,16800
2014-09-05,24.250000,24.440001,24.250000,24.270000,12.147184,16900
2014-09-08,24.250000,24.350000,24.190001,24.280001,12.152191,19700
2014-09-09,24.260000,24.490000,24.200001,24.260000,12.142179,15800
2014-09-10,24.209999,24.370001,24.190001,24.250000,12.137168,32900
2014-09-11,24.160000,24.350000,24.160000,24.309999,12.167206,11700
2014-09-12,24.370001,24.410000,24.190001,24.299999,12.162193,22700
2014-09-15,24.360001,24.430000,24.100000,24.180000,12.102141,37100
2014-09-16,24.100000,24.320000,24.100000,24.219999,12.122158,60800
2014-09-17,24.120001,24.150000,24.049999,24.100000,12.142310,31500
2014-09-18,24.000000,24.230000,24.000000,24.110001,12.147346,28400
2014-09-19,24.160000,24.270000,24.040001,24.190001,12.187655,34300
2014-09-22,24.059999,24.250000,24.030001,24.059999,12.122156,43500
2014-09-23,23.900000,24.110001,23.900000,24.110001,12.147346,19800
2014-09-24,24.120001,24.209999,23.959999,24.080000,12.132238,34900
2014-09-25,24.080000,24.180000,24.049999,24.059999,12.122156,37900
2014-09-26,23.980000,24.100000,23.809999,23.950001,12.066740,72800
2014-09-29,24.010000,24.139999,23.840000,23.900000,12.041542,62700
2014-09-30,23.850000,24.040001,23.809999,24.040001,12.112082,24800
2014-10-01,24.000000,24.100000,23.910000,23.959999,12.071773,37500
2014-10-02,24.000000,24.129999,23.969999,24.020000,12.102004,32800
