Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,5.440000,5.760000,5.440000,5.680000,5.680000,55400
2014-07-08,5.560000,5.680000,5.280000,5.320000,5.320000,52000
2014-07-09,5.200000,5.680000,5.200000,5.520000,5.520000,74800
2014-07-10,5.600000,5.960000,5.280000,5.720000,5.720000,80100
2014-07-11,5.720000,5.840000,5.440000,5.640000,5.640000,30300
2014-07-14,5.720000,5.720000,5.440000,5.520000,5.520000,33000
2014-07-15,5.520000,5.520000,5.320000,5.400000,5.400000,65000
2014-07-16,5.400000,5.400000,5.240000,5.320000,5.320000,27600
2014-07-17,5.240000,5.240000,5.000000,5.040000,5.040000,73800
2014-07-18,5.000000,5.200000,5.000000,5.160000,5.160000,26000
2014-07-21,5.160000,5.240000,4.960000,5.160000,5.160000,38400
2014-07-22,5.160000,5.280000,5.140000,5.240000,5.240000,25800
2014-07-23,5.240000,5.480000,5.160000,5.480000,5.480000,37200
2014-07-24,5.520000,5.600000,5.480000,5.600000,5.600000,29500
2014-07-25,5.600000,5.600000,5.440000,5.520000,5.520000,8500
2014-07-28,5.440000,5.600000,5.400000,5.520000,5.520000,19000
2014-07-29,5.600000,5.600000,5.400000,5.440000,5.440000,17800
2014-07-30,5.400000,5.480000,5.280000,5.320000,5.320000,16400
2014-07-31,5.320000,5.480000,5.160000,5.240000,5.240000,20200
2014-08-01,5.120000,5.360000,5.120000,5.360000,5.360000,27600
2014-08-04,5.320000,5.560000,5.280000,5.480000,5.480000,13700
2014-08-05,5.520000,5.600000,5.280000,5.480000,5.480000,22100
2014-08-06,5.360000,5.532000,5.360000,5.440000,5.440000,14900
2014-08-07,5.520000,5.520000,5.040000,5.240000,5.240000,30300
2014-08-08,5.360000,5.400000,5.200000,5.320000,5.320000,16000
2014-08-11,5.320000,5.560000,5.120000,5.200000,5.200000,72200
2014-08-12,5.200000,5.320000,5.040000,5.160000,5.160000,33500
2014-08-13,5.080000,5.200000,4.880000,5.200000,5.200000,36100
2014-08-14,5.200000,5.200000,4.640000,4.960000,4.960000,46800
2014-08-15,5.000000,5.080000,4.600000,4.640000,4.640000,69200
2014-08-18,4.680000,5.000000,4.600000,4.800000,4.800000,63800
2014-08-19,4.840000,5.000000,4.800000,4.840000,4.840000,20500
