Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,36.970001,37.070000,36.290001,36.310001,32.752953,310200
2014-07-08,36.169998,36.360001,35.820000,36.169998,32.626671,289800
2014-07-09,36.299999,36.389999,35.950001,36.250000,32.698830,189700
2014-07-10,35.639999,36.330002,35.610001,36.250000,32.698830,232900
2014-07-11,36.250000,36.250000,35.779999,36.020000,32.491364,180800
2014-07-14,36.220001,36.509998,36.070000,36.230000,32.680798,319000
2014-07-15,36.150002,36.610001,35.720001,35.810001,32.301933,250100
2014-07-16,36.139999,36.970001,36.090000,36.730000,33.131817,361500
2014-07-17,36.750000,37.500000,35.900002,36.040001,32.509396,419800
2014-07-18,35.939999,36.209999,35.700001,35.889999,32.374096,503400
2014-07-21,35.730000,36.139999,35.290001,36.009998,32.482349,417000
2014-07-22,36.090000,36.860001,35.990002,36.840000,33.231041,461200
2014-07-23,36.830002,36.930000,36.529999,36.660000,33.068657,336100
2014-07-24,36.630001,36.950001,36.450001,36.619999,33.032585,471500
2014-07-25,36.520000,38.380001,36.439999,37.189999,33.546741,505800
2014-07-28,37.200001,37.730000,36.889999,37.639999,33.952663,504000
2014-07-29,40.119999,42.410000,39.740002,39.950001,36.036373,1499600
2014-07-30,40.439999,40.439999,39.009998,39.650002,35.765755,881400
2014-07-31,39.509998,39.740002,38.320000,38.330002,34.575069,705800
2014-08-01,38.410000,38.990002,38.340000,38.480000,34.710369,697000
2014-08-04,38.700001,38.939999,38.410000,38.709999,34.917843,618900
2014-08-05,38.720001,40.009998,38.599998,39.240002,35.395927,709900
2014-08-06,39.060001,39.529999,38.939999,39.480000,35.612404,412000
2014-08-07,39.639999,39.750000,39.150002,39.320000,35.468090,293900
2014-08-08,39.240002,39.490002,38.820000,39.340000,35.486130,379400
2014-08-11,39.500000,39.660000,39.150002,39.509998,35.639454,302900
2014-08-12,39.349998,39.619999,39.049999,39.200001,35.359829,343900
2014-08-13,39.250000,39.830002,39.230000,39.770000,35.874004,331800
2014-08-14,39.880001,40.009998,39.810001,39.990002,36.072460,260200
2014-08-15,40.330002,40.349998,39.220001,39.520000,35.648483,348800
2014-08-18,39.750000,40.209999,39.560001,40.070000,36.144611,352400
2014-08-19,40.150002,40.310001,40.029999,40.130001,36.198730,412500
2014-08-20,40.029999,40.130001,39.599998,39.730000,35.837921,265500
2014-08-21,39.810001,39.939999,39.529999,39.810001,35.910080,387600
2014-08-22,39.860001,39.939999,39.439999,39.660000,35.774773,527100
2014-08-25,39.950001,40.060001,39.590000,39.680000,35.792820,343600
2014-08-26,39.820000,39.959999,39.720001,39.840000,35.937153,427900
2014-08-27,39.840000,39.959999,39.580002,39.689999,35.801838,377600
2014-08-28,39.619999,39.630001,39.240002,39.320000,35.468090,303300
2014-08-29,39.299999,39.840000,39.230000,39.389999,35.531227,415500
2014-09-02,39.549999,39.549999,38.849998,39.389999,35.531227,359600
2014-09-03,39.549999,39.889999,39.209999,39.259998,35.413960,293400
2014-09-04,39.230000,39.400002,38.490002,38.540001,34.764496,498000
2014-09-05,38.500000,39.209999,38.419998,39.049999,35.224525,232900
2014-09-08,39.139999,40.070000,39.099998,40.049999,36.126568,442800
2014-09-09,40.000000,40.630001,39.470001,40.000000,36.081474,640000
2014-09-10,39.910000,40.130001,39.610001,39.740002,35.846943,283000
2014-09-11,39.599998,40.410000,39.459999,40.389999,36.433270,340500
2014-09-12,40.410000,40.610001,39.480000,39.650002,35.765755,397900
2014-09-15,39.669998,39.810001,38.740002,38.759998,34.962944,246100
2014-09-16,38.709999,39.299999,38.560001,39.110001,35.278656,307700
2014-09-17,39.049999,39.250000,38.560001,38.750000,34.953930,205000
2014-09-18,38.860001,39.119999,38.740002,38.970001,35.152378,132500
2014-09-19,39.040001,39.040001,38.270000,38.430000,34.665268,476500
2014-09-22,38.430000,38.439999,37.689999,38.279999,34.529961,373500
2014-09-23,38.259998,38.450001,37.740002,37.779999,34.078941,303700
2014-09-24,37.750000,38.009998,37.439999,37.830002,34.124050,248200
2014-09-25,37.669998,37.959999,36.860001,36.860001,33.249077,336100
2014-09-26,36.849998,36.849998,35.919998,36.220001,32.671776,598700
2014-09-29,35.910000,36.810001,35.840000,36.709999,33.306877,691000
2014-09-30,36.900002,37.259998,36.369999,36.900002,33.479275,728300
2014-10-01,36.779999,37.290001,36.099998,36.779999,33.370384,699500
2014-10-02,36.779999,37.660000,36.540001,37.599998,34.114361,550400
2014-10-03,38.009998,38.349998,37.650002,38.180000,34.640606,410500
2014-10-06,38.180000,38.369999,37.689999,37.770000,34.268616,432200
2014-10-07,37.509998,37.840000,37.290001,37.400002,33.932903,495500
2014-10-08,37.360001,38.419998,37.169998,38.380001,34.822060,424900
2014-10-09,38.490002,38.590000,37.520000,37.750000,34.250469,476600
2014-10-10,37.619999,38.500000,37.439999,37.480000,34.005497,381600
2014-10-13,37.430000,38.330002,37.220001,37.660000,34.168804,410300
2014-10-14,37.869999,38.540001,37.400002,37.529999,34.050861,447600
2014-10-15,37.040001,38.060001,36.380001,37.820000,34.313976,563300
2014-10-16,37.459999,38.759998,37.430000,38.459999,34.894650,524000
2014-10-17,38.950001,39.240002,38.169998,38.220001,34.676907,426800
2014-10-20,38.119999,38.560001,37.919998,38.549999,34.976311,394900
2014-10-21,38.650002,39.880001,38.599998,39.880001,36.183018,475500
2014-10-22,39.810001,39.950001,38.820000,39.009998,35.393669,286300
2014-10-23,39.430000,40.119999,39.310001,39.840000,36.146717,318300
2014-10-24,39.990002,40.500000,39.639999,40.439999,36.691097,320000
2014-10-27,40.349998,40.599998,39.939999,40.549999,36.790897,386500
2014-10-28,38.959999,39.299999,37.500000,39.200001,35.566048,1454400
2014-10-29,39.490002,39.799999,38.959999,39.299999,35.656784,698800
2014-10-30,39.220001,39.990002,38.970001,39.610001,35.938046,533000
2014-10-31,40.259998,40.660000,39.750000,40.330002,36.591293,521500
2014-11-03,40.250000,40.580002,39.730000,39.950001,36.246517,370700
2014-11-04,39.799999,40.049999,39.169998,39.580002,35.910831,410200
2014-11-05,39.759998,40.240002,39.419998,39.750000,36.065060,318000
2014-11-06,39.869999,40.250000,39.320000,40.220001,36.491489,256400
2014-11-07,40.020000,40.290001,38.959999,39.130001,35.502541,644600
2014-11-10,39.259998,39.540001,38.610001,39.110001,35.484398,525200
2014-11-11,39.110001,39.250000,38.889999,39.049999,35.429951,350400
2014-11-12,38.820000,39.020000,38.439999,38.840000,35.239422,359400
2014-11-13,38.930000,39.240002,38.669998,38.849998,35.248497,340600
2014-11-14,38.790001,39.000000,38.310001,38.509998,34.940014,219300
2014-11-17,38.549999,38.880001,38.290001,38.439999,34.876492,282800
2014-11-18,38.500000,39.220001,38.500000,38.759998,35.166836,317700
2014-11-19,38.750000,38.799999,38.020000,38.180000,34.640606,467400
2014-11-20,38.080002,38.820000,37.980000,38.500000,34.930946,326000
2014-11-21,39.000000,39.230000,38.180000,38.250000,34.704124,336400
2014-11-24,38.470001,40.360001,38.459999,40.240002,36.509640,771700
2014-11-25,40.419998,40.590000,40.119999,40.209999,36.482414,468400
2014-11-26,40.320000,40.840000,40.080002,40.590000,36.827194,572600
2014-11-28,40.779999,41.660000,40.410000,41.130001,37.317139,245300
2014-12-01,41.160000,41.310001,41.000000,41.110001,37.298988,444400
2014-12-02,41.209999,41.549999,41.090000,41.189999,37.371574,410400
2014-12-03,41.290001,41.939999,41.110001,41.740002,37.870579,251800
2014-12-04,41.740002,42.000000,41.439999,41.630001,37.770782,157000
2014-12-05,41.590000,41.830002,41.369999,41.509998,37.661911,377300
2014-12-08,41.509998,41.930000,40.910000,40.910000,37.117531,373000
2014-12-09,40.430000,40.770000,40.130001,40.189999,36.464272,634300
2014-12-10,40.150002,40.279999,38.279999,38.310001,34.758553,870400
2014-12-11,38.590000,38.980000,38.500000,38.599998,35.021671,373000
2014-12-12,38.070000,38.560001,37.450001,37.459999,33.987358,510800
2014-12-15,37.599998,37.939999,36.580002,37.369999,33.905689,694600
2014-12-16,37.220001,37.680000,36.950001,36.959999,33.533707,561100
2014-12-17,37.459999,38.540001,37.180000,37.980000,34.459137,1173200
2014-12-18,38.529999,39.740002,38.340000,39.540001,35.874531,850500
2014-12-19,39.570000,40.169998,38.730000,40.130001,36.409836,1587900
2014-12-22,39.990002,41.119999,39.820000,41.040001,37.235477,531600
2014-12-23,41.200001,41.270000,40.209999,40.330002,36.591293,359000
2014-12-24,40.490002,40.770000,40.070000,40.450001,36.700165,136900
2014-12-26,40.680000,40.680000,39.919998,40.000000,36.291882,347900
2014-12-29,39.939999,40.180000,39.400002,39.459999,35.801949,406500
2014-12-30,39.240002,39.599998,38.810001,38.900002,35.482693,436100
2014-12-31,39.040001,39.119999,38.380001,38.459999,35.081345,316500
2015-01-02,38.529999,38.660000,37.070000,37.259998,33.986771,689700
2015-01-05,37.150002,37.930000,36.830002,37.139999,33.877312,989700
2015-01-06,37.290001,37.459999,36.459999,36.849998,33.612785,514300
2015-01-07,37.220001,38.099998,37.000000,37.980000,34.643517,777900
2015-01-08,38.189999,38.889999,38.189999,38.880001,35.464458,953700
2015-01-09,39.000000,39.849998,38.849998,39.509998,36.039108,832100
2015-01-12,39.660000,39.709999,38.580002,39.410000,35.947895,621500
2015-01-13,39.410000,39.990002,37.290001,38.599998,35.209045,978100
2015-01-14,38.389999,39.180000,38.090000,39.029999,35.601273,617200
2015-01-15,39.110001,40.099998,38.779999,39.830002,36.330997,876300
2015-01-16,39.590000,41.080002,39.299999,41.000000,37.398212,743800
2015-01-20,41.240002,41.660000,40.230000,40.869999,37.279629,767100
2015-01-21,40.860001,41.610001,40.290001,41.150002,37.535034,566800
2015-01-22,41.299999,43.709999,41.119999,43.680000,39.842770,1100400
2015-01-23,43.590000,43.759998,42.930000,43.160000,39.368450,716700
2015-01-26,43.270000,43.590000,42.759998,43.570000,39.742439,576600
2015-01-27,43.160000,43.950001,43.090000,43.740002,39.897511,745300
2015-01-28,43.889999,44.180000,43.560001,43.930000,40.070820,897900
2015-01-29,44.020000,44.750000,43.680000,44.750000,40.818779,816700
2015-01-30,44.369999,44.799999,44.000000,44.099998,40.225880,1485200
2015-02-02,44.099998,44.310001,43.450001,44.310001,40.417442,568200
2015-02-03,44.320000,45.099998,44.049999,44.930000,40.982964,460700
2015-02-04,44.509998,44.830002,43.990002,44.209999,40.326218,683200
2015-02-05,44.200001,45.459999,44.189999,45.360001,41.375191,608000
2015-02-06,45.360001,45.389999,44.349998,44.869999,40.928234,603700
2015-02-09,44.630001,44.840000,44.330002,44.410000,40.508648,677800
2015-02-10,44.700001,45.009998,44.419998,44.849998,40.909992,336000
2015-02-11,44.750000,45.259998,44.549999,44.720001,40.791412,400700
2015-02-12,44.889999,45.099998,44.660000,44.709999,40.782295,265600
2015-02-13,44.669998,45.040001,44.029999,45.009998,41.055943,378000
2015-02-17,44.869999,45.430000,44.430000,45.000000,41.046818,723100
2015-02-18,44.900002,45.060001,44.099998,44.610001,40.691078,571800
2015-02-19,44.599998,45.160000,44.439999,44.910000,40.964722,318400
2015-02-20,44.740002,45.180000,44.419998,44.740002,40.809662,560900
2015-02-23,44.750000,45.299999,44.310001,45.290001,41.311344,553200
2015-02-24,45.400002,46.450001,44.860001,45.360001,41.375191,517900
2015-02-25,45.290001,45.290001,42.750000,43.150002,39.359333,1918600
2015-02-26,43.040001,44.310001,42.810001,44.080002,40.207645,1159600
2015-02-27,43.939999,44.020000,43.320000,43.459999,39.642109,586200
2015-03-02,43.459999,44.820000,43.459999,44.110001,40.235004,561700
2015-03-03,43.709999,43.820000,42.820000,43.139999,39.350212,737100
2015-03-04,42.849998,43.900002,42.400002,42.720001,38.967113,1107500
2015-03-05,42.830002,42.840000,42.130001,42.279999,38.565762,550100
2015-03-06,42.029999,42.480000,41.619999,41.930000,38.246517,455000
2015-03-09,41.919998,42.480000,41.020000,41.040001,37.434700,675100
2015-03-10,40.610001,42.189999,40.610001,41.779999,38.109684,1079000
2015-03-11,41.980000,42.639999,41.810001,42.480000,38.748199,1013400
2015-03-12,42.639999,43.180000,42.480000,43.000000,39.222511,626300
2015-03-13,42.849998,43.209999,42.240002,42.950001,39.176914,547200
2015-03-16,43.259998,43.770000,42.799999,43.080002,39.295498,437700
2015-03-17,42.840000,43.299999,42.630001,43.250000,39.450554,587200
2015-03-18,43.279999,44.160000,43.070000,44.049999,40.180271,403300
2015-03-19,44.000000,44.970001,43.730000,44.950001,41.001213,411800
2015-03-20,45.209999,45.360001,44.700001,45.299999,41.320457,771200
2015-03-23,45.290001,46.919998,45.060001,46.580002,42.488018,1202200
2015-03-24,46.400002,46.599998,45.790001,46.029999,41.986332,551900
2015-03-25,46.000000,46.000000,44.279999,44.349998,40.453922,973700
2015-03-26,44.099998,44.720001,43.529999,44.270000,40.380943,573200
2015-03-27,44.200001,45.349998,44.200001,45.189999,41.220131,502500
2015-03-30,45.230000,45.820000,44.730000,44.799999,41.055176,400400
2015-03-31,44.599998,44.750000,44.200001,44.360001,40.651951,430100
2015-04-01,44.250000,44.439999,43.480000,44.200001,40.505329,497100
2015-04-02,44.270000,44.860001,44.009998,44.139999,40.450333,561700
2015-04-06,43.930000,44.910000,43.880001,44.709999,40.972694,476800
2015-04-07,44.830002,45.000000,44.450001,44.500000,40.780239,423500
2015-04-08,44.500000,45.160000,44.349998,44.930000,41.174301,596600
2015-04-09,44.919998,45.070000,44.410000,44.720001,40.981850,604400
2015-04-10,44.970001,45.340000,44.599998,44.669998,40.936035,626700
2015-04-13,44.820000,45.060001,44.549999,44.700001,40.963539,420600
2015-04-14,44.610001,45.080002,44.130001,44.419998,40.706940,232300
2015-04-15,44.840000,46.090000,44.689999,46.049999,42.200684,768000
2015-04-16,45.919998,46.330002,45.840000,46.310001,42.438953,478800
2015-04-17,46.080002,46.080002,45.169998,45.740002,41.916607,519100
2015-04-20,45.919998,45.970001,45.340000,45.700001,41.879944,315700
2015-04-21,45.799999,46.310001,45.740002,45.869999,42.035728,432500
2015-04-22,46.000000,46.500000,44.779999,46.349998,42.475601,713400
2015-04-23,46.270000,46.830002,45.810001,46.709999,42.805508,385400
2015-04-24,46.680000,46.820000,46.410000,46.759998,42.851337,573200
2015-04-27,46.770000,46.830002,46.250000,46.389999,42.512260,1399600
2015-04-28,46.490002,47.959999,46.029999,47.930000,43.923538,1080200
2015-04-29,47.900002,47.900002,46.709999,47.790001,43.795238,1227900
2015-04-30,47.470001,47.770000,45.200001,45.220001,41.440063,1415800
2015-05-01,45.299999,45.299999,42.529999,43.509998,39.873005,2614500
2015-05-04,43.500000,43.910000,43.130001,43.340000,39.717209,1058600
2015-05-05,43.200001,43.299999,41.369999,41.950001,38.443405,1812900
2015-05-06,42.009998,42.290001,41.599998,41.810001,38.315105,896100
2015-05-07,41.799999,42.259998,41.520000,41.980000,38.470901,462900
2015-05-08,42.500000,42.730000,42.130001,42.349998,38.809967,1662000
2015-05-11,42.320000,42.759998,42.299999,42.509998,38.956585,589800
2015-05-12,42.110001,43.009998,42.110001,42.299999,38.764149,929400
2015-05-13,42.439999,42.450001,41.410000,42.009998,38.498386,1034700
2015-05-14,42.169998,43.480000,41.980000,43.310001,39.689724,723100
2015-05-15,43.310001,43.740002,43.090000,43.380001,39.753876,458000
2015-05-18,43.320000,44.290001,42.990002,44.180000,40.486996,486700
2015-05-19,44.139999,44.689999,44.009998,44.160000,40.468670,515900
2015-05-20,44.169998,44.959999,44.060001,44.599998,40.871880,494500
2015-05-21,44.439999,44.689999,43.630001,43.849998,40.184582,607400
2015-05-22,43.799999,44.570000,43.669998,43.849998,40.184582,505200
2015-05-26,43.650002,43.950001,42.799999,43.119999,39.515602,477300
2015-05-27,43.320000,43.549999,42.750000,43.400002,39.772198,758600
2015-05-28,43.270000,43.599998,43.060001,43.369999,39.744701,436000
2015-05-29,43.320000,43.720001,42.750000,43.160000,39.552261,367900
