Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,20.000000,22.459999,20.000000,21.500000,14.950557,9685200
2015-04-30,21.389999,22.070000,21.150000,21.190001,14.734993,1016400
2015-05-01,21.250000,21.600000,20.000000,21.400000,14.881018,606400
2015-05-04,21.760000,21.840000,21.059999,21.260000,14.783669,118200
2015-05-05,21.290001,21.559999,21.250000,21.350000,14.846253,78300
2015-05-06,21.350000,21.350000,21.059999,21.160000,14.714128,103600
2015-05-07,21.150000,21.500000,20.910000,21.190001,14.734993,77300
2015-05-08,21.330000,21.940001,21.330000,21.750000,15.124401,208600
2015-05-11,21.750000,21.750000,21.510000,21.650000,15.054859,159600
2015-05-12,21.510000,21.760000,21.100000,21.180000,14.728040,122800
2015-05-13,21.590000,21.590000,21.000000,21.030001,14.623733,139900
2015-05-14,21.049999,21.245001,20.610001,20.850000,14.498565,84100
2015-05-15,20.690001,21.070000,20.690001,21.010000,14.609821,72300
2015-05-18,21.000000,22.260000,20.320000,20.340000,14.143923,74400
2015-05-19,20.500000,20.650000,20.344000,20.570000,14.303858,21700
2015-05-20,20.490000,20.816999,20.010000,20.100000,13.977032,44600
2015-05-21,20.100000,20.670000,20.100000,20.670000,14.373402,41200
2015-05-22,20.540001,21.100000,20.540001,21.100000,14.672410,104700
2015-05-26,21.100000,21.490000,20.950001,20.959999,14.575053,206100
2015-05-27,21.010000,21.170000,20.850000,20.889999,14.526380,41200
2015-05-28,20.900000,20.917999,20.059999,20.330000,14.136968,159100
2015-05-29,20.320000,20.790001,20.250000,20.360001,14.157830,77100
2015-06-01,20.280001,20.719999,20.250000,20.450001,14.220413,82100
2015-06-02,20.610001,20.690001,20.020000,20.100000,13.977032,354300
2015-06-03,20.100000,20.350000,20.070000,20.250000,14.081340,141300
2015-06-04,20.049999,20.290001,18.035000,19.260000,13.392919,652700
2015-06-05,19.160000,19.969999,19.160000,19.820000,13.782330,159000
2015-06-08,19.959999,20.030001,19.530001,19.900000,13.837959,74200
2015-06-09,19.990000,20.200001,19.760000,19.799999,13.768419,71700
2015-06-10,20.000000,20.139999,19.840000,19.940001,13.865773,28600
2015-06-11,20.000000,20.000000,19.000000,19.059999,13.253842,147200
2015-06-12,19.040001,19.250000,18.760000,19.030001,13.232980,93200
2015-06-15,19.000000,19.209999,18.903000,19.160000,13.323380,87300
2015-06-16,19.010000,19.219999,18.724001,18.900000,13.142580,76500
2015-06-17,18.990000,19.830000,18.830000,19.219999,13.365105,111300
2015-06-18,19.219999,19.719999,18.930000,19.549999,13.594577,52500
2015-06-19,19.549999,19.590000,19.000000,19.559999,13.601530,53000
2015-06-22,19.700001,19.700001,18.860001,18.900000,13.142580,49400
2015-06-23,18.950001,19.080000,18.180000,18.450001,12.829664,82200
2015-06-24,18.469999,18.900000,18.469999,18.740000,13.031323,43800
2015-06-25,18.730000,18.760000,18.020000,18.040001,12.544560,106100
2015-06-26,18.030001,18.403999,17.830000,18.139999,12.614099,58900
2015-06-29,18.250000,18.250000,17.709999,18.040001,12.544560,42300
2015-06-30,18.040001,18.309999,17.730000,18.090000,12.579329,53700
2015-07-01,18.080000,18.400000,17.969999,18.250000,12.690590,33100
2015-07-02,17.990000,18.520000,17.990000,18.520000,12.878342,14600
2015-07-06,18.299999,18.479000,18.049999,18.270000,12.704496,19800
2015-07-07,18.400000,18.400000,18.100000,18.250000,12.690590,35300
2015-07-08,18.150000,18.190001,16.790001,16.920000,11.765743,110300
2015-07-09,17.350000,17.440001,16.920000,16.930000,11.772695,91500
2015-07-10,17.100000,17.176001,16.600000,16.639999,11.571035,85100
2015-07-13,16.650000,17.410000,16.549999,16.730000,11.633618,40900
2015-07-14,16.770000,17.190001,16.770000,16.959999,11.793557,69300
2015-07-15,17.010000,17.350000,16.799999,16.930000,11.772695,26900
2015-07-16,16.980000,17.030001,16.700001,16.889999,11.744879,64100
2015-07-17,16.740000,17.070000,16.680000,16.680000,11.598852,167800
2015-07-20,16.730000,16.749001,16.530001,16.549999,11.508451,57400
2015-07-21,16.400000,16.590000,16.129999,16.139999,11.223349,101000
2015-07-22,16.180000,16.250000,15.560000,15.980000,11.112090,78700
2015-07-23,15.920000,16.090000,15.550000,15.990000,11.119042,33900
2015-07-24,15.840000,15.920000,15.605000,15.680000,10.903477,24000
2015-07-27,15.860000,15.960000,15.500000,15.530000,10.799170,17100
2015-07-28,15.580000,15.750000,15.010000,15.210000,10.576651,59000
2015-07-29,15.070000,15.230000,14.750000,14.950000,10.395852,293400
2015-07-30,15.000000,15.270000,14.895000,14.940000,10.388898,47700
2015-07-31,14.940000,15.850000,14.940000,15.450000,10.743542,105900
2015-08-03,15.400000,16.980000,15.400000,16.290001,11.327656,82100
2015-08-04,16.000000,16.230000,15.810000,15.870000,11.035598,137500
2015-08-05,16.090000,16.389999,15.760000,15.820000,11.000830,54300
2015-08-06,16.000000,16.120001,15.460000,15.500000,10.778309,124500
2015-08-07,15.750000,16.059999,15.160000,15.160000,10.541883,114200
2015-08-10,15.370000,15.750000,15.090000,15.210000,10.576651,285400
2015-08-11,15.200000,15.390000,14.500000,14.870000,10.340221,190900
2015-08-12,14.560000,15.240000,14.510000,14.910000,10.554715,162300
2015-08-13,15.100000,15.220000,14.900000,14.950000,10.583030,108800
