Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,9.900000,10.000000,8.000000,8.750000,8.750000,600
2014-07-08,9.250000,10.000000,7.450000,8.500000,8.500000,3000
2014-07-09,7.250000,9.250000,7.250000,8.250000,8.250000,500
2014-07-10,9.250000,9.250000,9.250000,9.250000,9.250000,200
2014-07-11,9.250000,9.250000,9.250000,9.250000,9.250000,300
2014-07-14,9.500000,9.950000,9.000000,9.500000,9.500000,2700
2014-07-15,9.500000,9.950000,8.300000,8.300000,8.300000,700
2014-07-16,9.000000,9.750000,8.750000,9.750000,9.750000,1500
2014-07-17,10.000000,10.000000,9.500000,9.500000,9.500000,300
2014-07-18,9.000000,9.500000,9.000000,9.500000,9.500000,300
2014-07-21,9.500000,10.000000,9.500000,10.000000,10.000000,400
2014-07-22,9.500000,9.750000,9.000000,9.750000,9.750000,400
2014-07-23,9.750000,9.750000,9.750000,9.750000,9.750000,100
2014-07-24,9.750000,9.750000,9.750000,9.750000,9.750000,200
2014-07-25,9.750000,9.750000,9.750000,9.750000,9.750000,0
2014-07-28,9.500000,9.500000,9.500000,9.500000,9.500000,200
2014-07-29,9.750000,9.750000,9.500000,9.500000,9.500000,0
2014-07-30,9.250000,9.750000,9.000000,9.500000,9.500000,700
2014-07-31,9.500000,9.500000,9.000000,9.000000,9.000000,300
2014-08-01,9.000000,9.500000,8.500000,9.500000,9.500000,200
2014-08-04,9.500000,9.500000,8.000000,9.500000,9.500000,200
2014-08-05,9.500000,9.500000,9.500000,9.500000,9.500000,100
2014-08-06,9.500000,9.500000,8.000000,9.500000,9.500000,200
2014-08-07,9.500000,9.500000,9.500000,9.500000,9.500000,200
2014-08-08,9.500000,9.500000,8.000000,8.250000,8.250000,100
2014-08-11,9.000000,9.000000,8.500000,8.750000,8.750000,300
2014-08-12,9.000000,9.000000,8.500000,8.500000,8.500000,400
2014-08-13,9.000000,9.000000,8.500000,8.500000,8.500000,200
2014-08-14,9.000000,9.000000,8.500000,8.500000,8.500000,500
2014-08-15,8.050000,8.050000,8.050000,8.050000,8.050000,400
2014-08-18,8.050000,9.000000,8.050000,9.000000,9.000000,1300
2014-08-19,8.150000,9.000000,8.050000,8.050000,8.050000,100
2014-08-20,8.500000,9.000000,8.000000,9.000000,9.000000,200
2014-08-21,8.050000,8.250000,8.050000,8.150000,8.150000,100
2014-08-22,8.500000,8.500000,8.500000,8.500000,8.500000,0
2014-08-25,8.050000,9.000000,8.050000,8.500000,8.500000,1200
2014-08-26,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-08-27,8.500000,8.750000,8.250000,8.500000,8.500000,400
2014-08-28,8.000000,8.750000,8.000000,8.750000,8.750000,400
2014-08-29,8.250000,8.500000,8.000000,8.500000,8.500000,500
2014-09-02,9.000000,9.000000,8.000000,8.000000,8.000000,100
2014-09-03,8.000000,9.000000,8.000000,8.000000,8.000000,900
2014-09-04,8.500000,8.500000,7.600000,8.100000,8.100000,900
2014-09-05,7.500000,8.500000,7.500000,7.500000,7.500000,500
2014-09-08,8.000000,8.000000,7.950000,8.000000,8.000000,500
2014-09-09,8.000000,8.000000,8.000000,8.000000,8.000000,500
2014-09-10,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-09-11,8.500000,8.500000,7.500000,8.000000,8.000000,900
2014-09-12,7.750000,7.750000,7.500000,7.500000,7.500000,200
2014-09-15,8.000000,8.250000,7.050000,7.050000,7.050000,600
2014-09-16,7.500000,8.500000,7.050000,8.000000,8.000000,800
2014-09-17,8.000000,8.000000,8.000000,8.000000,8.000000,400
2014-09-18,8.000000,8.500000,8.000000,8.000000,8.000000,1500
2014-09-19,7.500000,7.750000,7.500000,7.750000,7.750000,400
2014-09-22,8.000000,8.500000,7.500000,8.400000,8.400000,900
2014-09-23,8.000000,8.000000,7.050000,8.000000,8.000000,100
2014-09-24,7.500000,8.000000,7.500000,8.000000,8.000000,100
2014-09-25,7.300000,7.750000,7.300000,7.300000,7.300000,200
2014-09-26,7.300000,8.000000,7.050000,8.000000,8.000000,400
2014-09-29,7.050000,7.050000,7.050000,7.050000,7.050000,200
2014-09-30,7.050000,8.000000,7.050000,8.000000,8.000000,300
2014-10-01,7.150000,7.250000,7.050000,7.150000,7.150000,900
2014-10-02,7.500000,8.500000,7.500000,7.500000,7.500000,1200
2014-10-03,8.000000,8.450000,7.500000,8.000000,8.000000,1000
2014-10-06,8.000000,8.500000,7.300000,8.300000,8.300000,2000
2014-10-07,8.500000,8.500000,8.250000,8.500000,8.500000,0
2014-10-08,8.500000,8.500000,8.250000,8.500000,8.500000,400
2014-10-09,7.750000,7.750000,7.750000,7.750000,7.750000,0
2014-10-10,7.750000,8.500000,7.750000,7.750000,7.750000,200
2014-10-13,8.500000,8.500000,7.500000,7.500000,7.500000,600
2014-10-14,8.000000,8.150000,6.550000,6.550000,6.550000,200
2014-10-15,6.550000,8.150000,6.550000,8.150000,8.150000,0
2014-10-16,6.550000,8.150000,6.550000,8.150000,8.150000,0
2014-10-17,8.000000,8.000000,6.750000,6.750000,6.750000,100
2014-10-20,8.000000,8.000000,7.000000,8.000000,8.000000,400
2014-10-21,8.250000,8.500000,7.600000,8.500000,8.500000,600
2014-10-22,8.500000,8.500000,7.950000,8.000000,8.000000,300
2014-10-23,8.500000,9.500000,8.050000,8.250000,8.250000,2200
2014-10-24,8.500000,8.500000,6.000000,8.000000,8.000000,2000
2014-10-27,8.450000,8.450000,7.550000,8.350000,8.350000,300
2014-10-28,8.300000,8.300000,8.200000,8.200000,8.200000,100
2014-10-29,8.150000,8.350000,7.750000,7.750000,7.750000,300
2014-10-30,8.000000,8.000000,7.800000,7.800000,7.800000,400
2014-10-31,7.800000,8.500000,7.800000,8.500000,8.500000,400
2014-11-03,8.500000,8.500000,7.550000,8.500000,8.500000,1000
2014-11-04,6.000000,8.450000,6.000000,8.450000,8.450000,300
2014-11-05,7.850000,7.850000,7.500000,7.750000,7.750000,500
2014-11-06,6.000000,7.750000,6.000000,7.500000,7.500000,300
2014-11-07,7.500000,7.550000,7.500000,7.550000,7.550000,0
2014-11-10,7.900000,7.900000,7.500000,7.500000,7.500000,100
2014-11-11,7.500000,7.750000,7.500000,7.500000,7.500000,500
2014-11-12,7.750000,8.000000,7.750000,8.000000,8.000000,200
2014-11-13,8.000000,8.000000,8.000000,8.000000,8.000000,0
2014-11-14,7.500000,7.750000,7.300000,7.750000,7.750000,1000
2014-11-17,7.250000,7.650000,7.250000,7.250000,7.250000,300
2014-11-18,7.250000,8.000000,7.250000,7.300000,7.300000,0
2014-11-19,8.000000,8.000000,8.000000,8.000000,8.000000,0
