Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,5.070000,5.070000,4.800000,4.830000,4.435813,497500
2014-07-08,4.930000,4.970000,4.740000,4.940000,4.536837,645300
2014-07-09,4.930000,4.990000,4.790000,4.940000,4.546040,645600
2014-07-10,5.000000,5.200000,4.840000,4.870000,4.481620,827200
2014-07-11,4.890000,5.120000,4.870000,5.030000,4.628863,790800
2014-07-14,4.910000,4.980000,4.860000,4.900000,4.509230,434500
2014-07-15,4.930000,4.990000,4.780000,4.820000,4.435609,557400
2014-07-16,4.870000,5.000000,4.830000,4.940000,4.546040,630800
2014-07-17,5.000000,5.310000,4.960000,5.180000,4.766899,1151500
2014-07-18,5.100000,5.110000,4.830000,5.040000,4.638063,764500
2014-07-21,5.040000,5.070000,4.850000,5.020000,4.619658,752800
2014-07-22,5.030000,5.030000,4.850000,4.940000,4.546040,598900
2014-07-23,4.950000,5.110000,4.900000,5.050000,4.647265,674100
2014-07-24,5.040000,5.380000,4.850000,5.310000,4.886531,5177500
2014-07-25,5.260000,5.320000,5.170000,5.320000,4.895734,552300
2014-07-28,5.300000,5.490000,5.250000,5.450000,5.015368,862100
2014-07-29,5.490000,5.700000,5.360000,5.640000,5.190214,820900
2014-07-30,5.610000,5.700000,5.360000,5.450000,5.015368,552300
2014-07-31,5.390000,5.480000,5.200000,5.280000,4.858925,650300
2014-08-01,5.350000,5.500000,5.260000,5.370000,4.941744,640400
2014-08-04,5.350000,5.390000,5.110000,5.250000,4.831317,514900
2014-08-05,5.250000,5.330000,5.150000,5.300000,4.877329,432300
2014-08-06,5.350000,5.630000,5.350000,5.540000,5.098189,652100
2014-08-07,5.500000,5.530000,5.370000,5.380000,4.959899,465100
2014-08-08,5.400000,5.750000,5.380000,5.750000,5.301008,1137800
2014-08-11,5.700000,6.170000,5.500000,6.080000,5.605241,1191400
2014-08-12,6.150000,6.240000,6.090000,6.130000,5.651338,903700
2014-08-13,6.140000,6.230000,6.120000,6.140000,5.660558,487400
2014-08-14,6.150000,6.160000,5.960000,6.040000,5.568365,1122300
2014-08-15,5.990000,6.190000,5.900000,6.140000,5.660558,573800
2014-08-18,6.100000,6.180000,5.960000,6.090000,5.614461,576300
2014-08-19,6.070000,6.140000,5.970000,6.050000,5.577585,310400
2014-08-20,6.000000,6.020000,5.860000,5.870000,5.411640,441300
2014-08-21,5.800000,5.850000,5.700000,5.830000,5.374762,561400
2014-08-22,5.800000,5.840000,5.710000,5.790000,5.337888,302000
2014-08-25,5.770000,5.990000,5.750000,5.980000,5.513049,351400
2014-08-26,6.100000,6.220000,6.000000,6.120000,5.642120,2116800
2014-08-27,6.240000,6.350000,6.110000,6.170000,5.688214,907700
2014-08-28,6.250000,6.260000,6.130000,6.190000,5.706653,401200
2014-08-29,6.300000,6.330000,6.130000,6.200000,5.715872,1146900
2014-09-02,6.050000,6.090000,5.860000,5.870000,5.411640,674400
2014-09-03,5.930000,5.950000,5.800000,5.830000,5.374762,455100
2014-09-04,5.900000,6.020000,5.600000,5.630000,5.190382,762300
2014-09-05,5.710000,5.790000,5.520000,5.730000,5.282572,465200
2014-09-08,5.700000,5.710000,5.350000,5.480000,5.052094,905300
2014-09-09,5.500000,5.670000,5.410000,5.660000,5.227578,615300
2014-09-10,5.600000,5.730000,5.560000,5.650000,5.218342,379200
2014-09-11,5.540000,5.880000,5.490000,5.850000,5.403063,518300
2014-09-12,5.720000,5.820000,5.620000,5.660000,5.227578,387500
2014-09-15,5.660000,5.770000,5.500000,5.710000,5.273756,519800
2014-09-16,5.710000,5.870000,5.620000,5.800000,5.356881,365500
2014-09-17,5.770000,6.040000,5.740000,5.790000,5.347647,586500
2014-09-18,5.770000,5.880000,5.700000,5.830000,5.384588,421300
2014-09-19,5.820000,5.920000,5.430000,5.430000,5.015149,1207000
2014-09-22,5.400000,5.440000,5.180000,5.250000,4.848902,587400
2014-09-23,5.460000,5.460000,5.290000,5.370000,4.959733,403700
2014-09-24,5.340000,5.430000,5.270000,5.340000,4.932026,301900
2014-09-25,5.250000,5.420000,5.110000,5.360000,4.950497,446600
2014-09-26,5.270000,5.360000,5.230000,5.280000,4.876611,241100
2014-09-29,5.310000,5.380000,5.280000,5.310000,4.904318,310100
2014-09-30,5.280000,5.320000,5.120000,5.120000,4.728832,389700
2014-10-01,5.170000,5.270000,5.110000,5.110000,4.719598,345600
2014-10-02,5.130000,5.360000,5.120000,5.290000,4.885845,390000
2014-10-03,5.230000,5.290000,4.680000,4.690000,4.331685,742100
2014-10-06,4.740000,4.840000,4.480000,4.700000,4.340921,631600
2014-10-07,4.640000,4.700000,4.320000,4.320000,3.989955,821800
2014-10-08,4.350000,4.820000,4.160000,4.770000,4.415794,705900
2014-10-09,4.750000,4.800000,4.410000,4.470000,4.138071,842200
2014-10-10,4.510000,4.630000,4.300000,4.380000,4.054754,598600
2014-10-13,4.390000,4.720000,4.390000,4.570000,4.230648,617500
2014-10-14,4.610000,4.950000,4.590000,4.770000,4.415794,632100
2014-10-15,4.950000,5.220000,4.780000,5.180000,4.795352,867100
2014-10-16,5.020000,5.350000,5.020000,5.210000,4.823122,454400
2014-10-17,5.250000,5.270000,5.000000,5.050000,4.675002,541600
2014-10-20,5.150000,5.270000,4.960000,5.120000,4.739805,348300
2014-10-21,4.970000,4.990000,4.820000,4.870000,4.508369,516100
2014-10-22,4.840000,4.940000,4.660000,4.690000,4.341735,349400
2014-10-23,4.610000,4.950000,4.610000,4.930000,4.563913,505500
2014-10-24,4.930000,4.930000,4.740000,4.760000,4.406538,276100
2014-10-27,4.680000,4.720000,4.610000,4.640000,4.295448,320900
2014-10-28,4.750000,4.990000,4.620000,4.880000,4.517626,333900
2014-10-29,4.850000,4.890000,4.580000,4.630000,4.286192,493800
2014-10-30,4.550000,4.550000,4.170000,4.190000,3.878864,697900
2014-10-31,4.000000,4.090000,3.840000,3.890000,3.601141,1450300
2014-11-03,3.930000,4.110000,3.870000,3.940000,3.647429,808500
2014-11-04,3.780000,3.950000,3.720000,3.740000,3.462280,551600
2014-11-05,3.530000,3.730000,3.500000,3.510000,3.249358,768400
2014-11-06,3.570000,3.860000,3.510000,3.630000,3.370049,684800
2014-11-07,3.770000,4.050000,3.750000,4.030000,3.741404,824800
