Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,24.820000,24.879999,24.620001,24.868999,23.557289,99600
2018-05-07,24.940001,24.940001,24.820000,24.889999,23.577181,36800
2018-05-08,24.900000,24.900000,24.799999,24.799999,23.491930,12000
2018-05-09,24.850000,24.870001,24.799999,24.870001,23.558237,14700
2018-05-10,24.850000,24.850000,24.660000,24.750000,23.444565,16400
2018-05-11,24.820000,24.840000,24.750000,24.796000,23.488138,19400
2018-05-14,24.799999,24.840000,24.719999,24.760000,23.454039,29500
2018-05-15,24.719999,24.719999,24.309999,24.584999,23.288269,34900
2018-05-16,24.580000,24.590000,24.459999,24.500000,23.207752,7200
2018-05-17,24.600000,24.600000,24.360001,24.500000,23.207752,28600
2018-05-18,24.480000,24.580000,24.480000,24.549999,23.255114,3900
2018-05-21,24.580000,24.580000,24.360001,24.570000,23.274059,10600
2018-05-22,24.549999,24.549999,24.299999,24.299999,23.018299,7900
2018-05-23,24.450001,24.540001,24.350000,24.520000,23.226698,9300
2018-05-24,24.549999,24.600000,24.540001,24.600000,23.302477,14200
2018-05-25,24.690001,24.750000,24.600000,24.601000,23.303427,25900
2018-05-29,24.500000,24.680000,24.493999,24.670000,23.368786,8100
2018-05-30,24.940001,24.940001,24.830000,24.840000,23.529818,4500
2018-05-31,24.840000,24.840000,24.809999,24.840000,23.529818,8600
2018-06-01,24.700001,24.709999,24.680000,24.680000,23.378260,4200
2018-06-04,24.690001,24.790001,24.680000,24.680000,23.378260,5700
2018-06-05,24.700001,24.700001,24.440001,24.469999,23.179335,22400
2018-06-06,24.620001,24.850000,24.580000,24.808001,23.499506,18800
2018-06-07,24.639999,24.850000,24.549999,24.549999,23.255114,32300
2018-06-08,24.709999,24.736000,24.520000,24.520000,23.226698,13300
2018-06-11,24.639999,24.639999,24.400000,24.500000,23.207752,14300
2018-06-12,24.549999,24.559999,24.400000,24.490000,23.198278,12900
2018-06-13,24.500000,24.649000,24.430000,24.492001,23.200176,5500
2018-06-14,24.500000,24.719999,24.500000,24.660000,23.359314,4400
2018-06-15,24.670000,24.809000,24.670000,24.750000,23.444565,7800
2018-06-18,24.743000,24.780001,24.580000,24.590000,23.293007,7000
2018-06-19,24.590000,24.700001,24.590000,24.700001,23.397205,3300
2018-06-20,24.670000,24.670000,24.625000,24.650000,23.349840,2300
2018-06-21,24.650000,24.820000,24.549999,24.820000,23.510874,4100
2018-06-22,24.820000,24.820000,24.500000,24.549999,23.255114,11500
2018-06-25,24.490000,24.540001,24.490000,24.500000,23.207752,8500
2018-06-26,24.500000,24.549999,24.455000,24.455000,23.165127,2300
2018-06-27,24.530001,24.600000,24.500000,24.590000,23.293007,11800
2018-06-28,24.639999,24.780001,24.620001,24.780001,23.472986,3800
2018-06-29,24.799000,24.950001,24.791000,24.830000,23.520346,9000
2018-07-02,24.930000,24.930000,24.896999,24.896999,23.583813,5800
2018-07-03,24.920000,24.920000,24.889999,24.889999,23.577181,2300
2018-07-05,24.889999,24.910000,24.889999,24.910000,23.596127,6700
2018-07-06,24.879999,24.920000,24.879999,24.920000,23.605600,4000
2018-07-09,24.930000,24.950001,24.860001,24.860001,23.548765,4500
2018-07-10,24.840000,24.840000,24.840000,24.840000,23.529818,500
2018-07-11,24.930000,25.170000,24.860001,25.000000,23.681379,14400
2018-07-12,24.799999,25.020000,24.790001,25.010000,24.020411,14000
2018-07-13,25.020000,25.020000,24.910000,24.990000,24.001204,4100
2018-07-16,25.020000,25.020000,24.900000,25.020000,24.030016,4700
2018-07-17,24.799999,24.799999,24.480000,24.639999,23.665052,23400
2018-07-18,24.639999,24.719999,24.639999,24.660000,23.684261,4300
2018-07-19,24.660000,24.990000,24.660000,24.990000,24.001204,5100
2018-07-20,24.940001,25.000000,24.870001,25.000000,24.010807,3100
2018-07-23,24.843000,25.000000,24.809999,25.000000,24.010807,6800
2018-07-24,24.830999,24.830999,24.700001,24.820000,23.837929,3300
2018-07-25,24.969000,24.969000,24.756001,24.856001,23.872505,3400
2018-07-26,24.700001,24.836000,24.700001,24.750000,23.770699,1400
2018-07-27,24.809999,24.809999,24.750000,24.809000,23.827366,1900
2018-07-30,24.900000,24.969999,24.864000,24.969999,23.981995,2700
2018-07-31,24.856001,24.980000,24.770000,24.799999,23.818722,7700
2018-08-01,24.770000,24.770000,24.450001,24.569000,23.596861,26900
2018-08-02,24.770000,24.770000,24.450001,24.450001,23.482571,6800
2018-08-03,24.469999,24.549999,24.400000,24.500000,23.530592,7200
2018-08-06,24.540001,24.580000,24.450001,24.500000,23.530592,7300
2018-08-07,24.260000,24.530001,24.260000,24.530001,23.559406,14100
2018-08-08,24.459999,24.670000,24.459999,24.670000,23.693865,8100
2018-08-09,24.546000,24.870001,24.546000,24.870001,23.885952,8800
2018-08-10,24.639999,24.740000,24.459999,24.459999,23.492172,18300
2018-08-13,24.670000,24.670000,24.420000,24.450001,23.482571,14600
2018-08-14,24.450001,24.568001,24.450001,24.480000,23.511381,15600
2018-08-15,24.469999,24.471001,24.290001,24.350000,23.386526,20800
2018-08-16,24.400000,24.610001,24.400000,24.549999,23.578611,24900
2018-08-17,24.780001,24.850000,24.540001,24.540001,23.569012,22800
2018-08-20,24.600000,24.760000,24.480000,24.480000,23.511381,18200
2018-08-21,24.551001,24.980000,24.500000,24.980000,23.991600,21900
2018-08-22,24.719999,24.900000,24.629999,24.660000,23.684261,36400
2018-08-23,24.750000,24.799999,24.750000,24.770000,23.789907,5300
2018-08-24,24.740000,24.959999,24.719999,24.959999,23.972389,16700
2018-08-27,24.760000,24.900000,24.750000,24.889999,23.905159,10300
2018-08-28,24.889999,24.900000,24.850000,24.889999,23.905159,14300
2018-08-29,24.900000,24.950001,24.898001,24.950001,23.962788,10600
2018-08-30,24.950001,24.950001,24.680000,24.680000,23.703470,16300
2018-08-31,24.690001,24.850000,24.690001,24.850000,23.866743,12400
2018-09-04,24.747000,24.850000,24.670000,24.840000,23.857138,6000
2018-09-05,24.650000,24.850000,24.650000,24.850000,23.866743,24400
2018-09-06,24.900000,24.900000,24.750000,24.799999,23.818722,22700
2018-09-07,24.750999,24.809999,24.750999,24.790001,23.809118,19300
2018-09-10,24.900000,24.900000,24.709999,24.780001,23.799515,10300
2018-09-11,24.799999,24.850000,24.500000,24.700001,23.722679,59200
2018-09-12,24.680000,24.857000,24.650999,24.830000,23.847534,21100
2018-09-13,24.830000,24.840000,24.660000,24.680000,23.703470,28500
2018-09-14,24.799999,24.850000,24.680000,24.850000,23.866743,9300
2018-09-17,24.709999,24.879999,24.709999,24.850000,23.866743,7800
2018-09-18,24.719999,24.770000,24.575001,24.700001,23.722679,30900
2018-09-19,24.840000,24.840000,24.809999,24.840000,23.857138,1600
2018-09-20,24.816000,24.839001,24.680000,24.700001,23.722679,11500
2018-09-21,24.760000,24.799999,24.650000,24.650000,23.674656,14000
2018-09-24,24.650000,24.840000,24.570000,24.570000,23.597820,15500
