Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,6.270000,6.340000,6.150000,6.180000,6.180000,189600
2014-07-08,6.140000,6.140000,5.810000,5.850000,5.850000,222400
2014-07-09,5.840000,6.080000,5.840000,5.930000,5.930000,156900
2014-07-10,5.840000,5.870000,5.700000,5.810000,5.810000,229600
2014-07-11,5.800000,5.900000,5.710000,5.760000,5.760000,112000
2014-07-14,5.820000,6.090000,5.780000,6.030000,6.030000,171400
2014-07-15,6.050000,6.050000,5.730000,5.750000,5.750000,116500
2014-07-16,5.790000,5.840000,5.660000,5.750000,5.750000,132100
2014-07-17,5.670000,5.770000,5.630000,5.650000,5.650000,148900
2014-07-18,5.620000,5.810000,5.620000,5.770000,5.770000,93100
2014-07-21,5.720000,5.720000,5.580000,5.620000,5.620000,108500
2014-07-22,5.650000,5.790000,5.570000,5.780000,5.780000,138800
2014-07-23,5.610000,6.140000,5.600000,5.820000,5.820000,105300
2014-07-24,5.850000,5.880000,5.670000,5.750000,5.750000,82600
2014-07-25,5.660000,5.890000,5.660000,5.780000,5.780000,107800
2014-07-28,5.650000,5.820000,5.400000,5.480000,5.480000,302000
2014-07-29,5.420000,5.440000,4.790000,4.810000,4.810000,305000
2014-07-30,4.760000,4.910000,4.630000,4.760000,4.760000,473400
2014-07-31,4.650000,4.880000,4.600000,4.810000,4.810000,292600
2014-08-01,4.140000,4.280000,4.020000,4.170000,4.170000,2642700
2014-08-04,4.170000,4.320000,4.170000,4.250000,4.250000,612800
2014-08-05,4.210000,4.400000,4.200000,4.370000,4.370000,456600
2014-08-06,4.360000,4.530000,4.320000,4.400000,4.400000,291200
2014-08-07,4.540000,4.550000,4.340000,4.490000,4.490000,343000
2014-08-08,4.450000,4.580000,4.290000,4.340000,4.340000,487400
2014-08-11,4.550000,4.850000,4.450000,4.700000,4.700000,568200
2014-08-12,4.670000,4.690000,4.440000,4.490000,4.490000,249300
2014-08-13,4.590000,4.700000,4.570000,4.610000,4.610000,287700
2014-08-14,4.550000,4.630000,4.460000,4.600000,4.600000,162200
2014-08-15,4.620000,4.740000,4.490000,4.490000,4.490000,329600
2014-08-18,4.510000,4.610000,4.510000,4.550000,4.550000,220800
2014-08-19,4.530000,4.560000,4.420000,4.500000,4.500000,227000
2014-08-20,4.450000,4.530000,4.420000,4.470000,4.470000,158700
2014-08-21,4.430000,4.490000,4.300000,4.360000,4.360000,268100
2014-08-22,4.350000,4.450000,4.310000,4.350000,4.350000,127400
2014-08-25,4.390000,4.550000,4.310000,4.520000,4.520000,554000
2014-08-26,4.520000,4.740000,4.490000,4.740000,4.740000,266100
2014-08-27,4.760000,4.800000,4.510000,4.560000,4.560000,325100
2014-08-28,4.520000,4.600000,4.300000,4.490000,4.490000,435000
2014-08-29,4.480000,4.510000,4.300000,4.400000,4.400000,964700
2014-09-02,4.380000,4.490000,4.330000,4.380000,4.380000,542600
2014-09-03,4.410000,4.450000,4.270000,4.380000,4.380000,492900
2014-09-04,4.380000,4.550000,4.370000,4.430000,4.430000,341900
2014-09-05,4.400000,4.600000,4.290000,4.560000,4.560000,1024700
2014-09-08,4.580000,4.810000,4.580000,4.760000,4.760000,502200
2014-09-09,4.770000,4.770000,4.590000,4.630000,4.630000,307100
2014-09-10,4.610000,4.720000,4.570000,4.650000,4.650000,149800
2014-09-11,4.650000,4.740000,4.620000,4.690000,4.690000,139900
2014-09-12,4.700000,4.740000,4.580000,4.600000,4.600000,143900
2014-09-15,4.580000,4.580000,4.430000,4.460000,4.460000,298000
2014-09-16,4.440000,4.660000,4.410000,4.510000,4.510000,144700
2014-09-17,4.560000,4.570000,4.450000,4.470000,4.470000,106900
2014-09-18,4.470000,4.530000,4.400000,4.480000,4.480000,109900
2014-09-19,4.450000,4.480000,4.250000,4.330000,4.330000,533200
2014-09-22,4.280000,4.340000,4.160000,4.220000,4.220000,193200
2014-09-23,4.180000,4.220000,3.950000,4.070000,4.070000,477500
2014-09-24,4.080000,4.100000,4.000000,4.040000,4.040000,181900
2014-09-25,3.980000,4.040000,3.610000,3.880000,3.880000,1125600
2014-09-26,3.870000,4.010000,3.840000,4.000000,4.000000,131100
2014-09-29,3.950000,4.100000,3.900000,4.010000,4.010000,278700
2014-09-30,4.020000,4.100000,3.960000,4.000000,4.000000,250700
2014-10-01,4.000000,4.000000,3.750000,3.810000,3.810000,231400
2014-10-02,3.810000,3.840000,3.670000,3.750000,3.750000,262200
2014-10-03,3.800000,3.870000,3.750000,3.810000,3.810000,126800
2014-10-06,3.800000,3.880000,3.770000,3.790000,3.790000,141600
2014-10-07,3.730000,3.800000,3.680000,3.680000,3.680000,169100
2014-10-08,3.680000,3.780000,3.560000,3.730000,3.730000,184400
2014-10-09,3.760000,3.790000,3.600000,3.610000,3.610000,154600
2014-10-10,3.570000,3.750000,3.550000,3.570000,3.570000,224300
2014-10-13,3.570000,3.640000,3.540000,3.590000,3.590000,283900
2014-10-14,3.680000,3.770000,3.610000,3.670000,3.670000,193300
2014-10-15,3.640000,3.660000,3.490000,3.590000,3.590000,271500
2014-10-16,3.530000,3.710000,3.470000,3.570000,3.570000,186500
2014-10-17,3.620000,3.650000,2.910000,3.010000,3.010000,789500
2014-10-20,3.010000,3.300000,3.010000,3.260000,3.260000,438100
2014-10-21,3.260000,3.310000,3.180000,3.280000,3.280000,193300
2014-10-22,3.270000,3.300000,3.040000,3.080000,3.080000,333500
2014-10-23,3.020000,3.210000,2.830000,3.210000,3.210000,655400
2014-10-24,3.230000,3.410000,3.180000,3.340000,3.340000,191100
2014-10-27,3.330000,3.330000,3.250000,3.310000,3.310000,136700
2014-10-28,3.310000,3.480000,3.260000,3.440000,3.440000,226000
2014-10-29,3.400000,3.500000,3.400000,3.460000,3.460000,138400
2014-10-30,3.460000,3.690000,3.400000,3.630000,3.630000,328600
2014-10-31,3.770000,3.910000,3.750000,3.880000,3.880000,507400
2014-11-03,3.900000,3.930000,3.850000,3.880000,3.880000,204600
2014-11-04,3.890000,3.960000,3.800000,3.840000,3.840000,188700
2014-11-05,3.880000,3.880000,3.800000,3.860000,3.860000,125500
2014-11-06,3.860000,3.980000,3.820000,3.950000,3.950000,173400
2014-11-07,3.950000,3.960000,3.860000,3.950000,3.950000,148400
2014-11-10,3.930000,3.970000,3.910000,3.960000,3.960000,191300
2014-11-11,3.940000,4.000000,3.910000,3.950000,3.950000,207500
2014-11-12,3.900000,4.040000,3.900000,4.030000,4.030000,156900
2014-11-13,4.020000,4.070000,3.970000,4.000000,4.000000,195500
2014-11-14,3.980000,4.010000,3.940000,3.960000,3.960000,140900
2014-11-17,3.940000,3.990000,3.680000,3.820000,3.820000,304800
2014-11-18,3.820000,3.940000,3.750000,3.800000,3.800000,327900
2014-11-19,3.780000,3.790000,3.670000,3.720000,3.720000,225800
2014-11-20,3.700000,3.760000,3.500000,3.760000,3.760000,318400
2014-11-21,3.830000,3.830000,3.690000,3.730000,3.730000,179500
2014-11-24,3.720000,3.770000,3.720000,3.750000,3.750000,146900
2014-11-25,3.740000,3.800000,3.670000,3.730000,3.730000,319100
2014-11-26,3.710000,3.730000,3.690000,3.720000,3.720000,138100
2014-11-28,3.710000,3.730000,3.640000,3.650000,3.650000,109300
2014-12-01,3.630000,3.630000,3.570000,3.590000,3.590000,240900
2014-12-02,3.600000,3.690000,3.580000,3.610000,3.610000,200300
2014-12-03,3.630000,3.810000,3.600000,3.800000,3.800000,240000
2014-12-04,3.780000,3.810000,3.730000,3.740000,3.740000,106600
2014-12-05,3.740000,3.890000,3.740000,3.780000,3.780000,120000
2014-12-08,3.760000,3.840000,3.630000,3.680000,3.680000,98300
2014-12-09,3.610000,3.760000,3.520000,3.590000,3.590000,224800
2014-12-10,3.540000,3.610000,3.490000,3.490000,3.490000,269100
2014-12-11,3.520000,3.720000,3.470000,3.540000,3.540000,211600
2014-12-12,3.470000,3.530000,3.440000,3.500000,3.500000,130700
2014-12-15,3.510000,3.540000,3.420000,3.420000,3.420000,128000
2014-12-16,3.400000,3.550000,3.400000,3.480000,3.480000,157900
2014-12-17,3.480000,3.580000,3.380000,3.560000,3.560000,120700
2014-12-18,3.750000,3.780000,3.630000,3.650000,3.650000,153900
2014-12-19,3.670000,3.730000,3.580000,3.700000,3.700000,154800
2014-12-22,3.690000,3.740000,3.650000,3.720000,3.720000,111600
2014-12-23,3.720000,3.770000,3.690000,3.740000,3.740000,62700
2014-12-24,3.700000,3.710000,3.650000,3.690000,3.690000,43400
2014-12-26,3.650000,3.760000,3.650000,3.720000,3.720000,101000
2014-12-29,3.690000,3.740000,3.660000,3.730000,3.730000,55400
2014-12-30,3.730000,3.860000,3.730000,3.820000,3.820000,74100
2014-12-31,3.840000,3.910000,3.800000,3.840000,3.840000,114800
2015-01-02,3.850000,3.950000,3.790000,3.910000,3.910000,92700
2015-01-05,3.860000,3.920000,3.810000,3.830000,3.830000,115300
2015-01-06,3.840000,3.840000,3.710000,3.810000,3.810000,92400
2015-01-07,3.820000,3.820000,3.660000,3.810000,3.810000,74900
2015-01-08,3.830000,4.380000,3.790000,4.270000,4.270000,549700
2015-01-09,4.250000,4.300000,4.090000,4.110000,4.110000,147200
2015-01-12,4.090000,4.140000,4.000000,4.020000,4.020000,68300
2015-01-13,4.070000,4.200000,4.040000,4.190000,4.190000,134600
2015-01-14,4.130000,4.210000,4.070000,4.140000,4.140000,107100
