Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,25.500000,25.500000,25.250000,25.440001,22.907049,64200
2017-10-05,25.450001,25.510000,25.400000,25.400000,22.871031,51000
2017-10-06,25.400000,25.549999,25.400000,25.549999,23.006096,17700
2017-10-09,25.615000,25.650000,25.410000,25.410000,22.880035,9000
2017-10-10,25.535000,25.535000,25.400000,25.490000,22.952072,24200
2017-10-11,25.500000,25.549999,25.450001,25.500000,22.961073,18400
2017-10-12,25.579000,25.580000,25.500000,25.559999,23.015100,12300
2017-10-13,25.620001,25.990000,25.600000,25.600000,23.051119,18700
2017-10-16,25.590000,25.750000,25.469999,25.480000,22.943066,24300
2017-10-17,25.490000,25.620001,25.469999,25.549999,23.006096,19600
2017-10-18,25.540001,25.549999,25.450001,25.510000,22.970079,22900
2017-10-19,25.580000,25.580000,25.450001,25.459999,22.925055,16200
2017-10-20,25.480000,25.580000,25.440001,25.500000,22.961073,12900
2017-10-23,25.559999,25.639999,25.520000,25.549999,23.006096,7700
2017-10-24,25.615000,25.719999,25.590000,25.700001,23.141159,10300
2017-10-25,25.860001,25.860001,25.480000,25.549999,23.006096,12300
2017-10-26,25.600000,25.650000,25.500000,25.580000,23.033110,17200
2017-10-27,25.549999,25.590000,25.540001,25.549999,23.006096,7400
2017-10-30,25.510000,25.549999,25.459999,25.530001,22.988089,14100
2017-10-31,25.469999,25.799999,25.459999,25.780001,23.213196,28300
2017-11-01,25.879999,25.889999,25.780001,25.870001,23.294235,4000
2017-11-02,25.799999,25.799999,25.480000,25.520000,22.979084,12700
2017-11-03,25.665001,25.680000,25.530001,25.530001,22.988089,13600
2017-11-06,25.660000,25.680000,25.469999,25.629000,23.077229,33000
2017-11-07,25.570000,25.600000,25.500000,25.530001,22.988089,19800
2017-11-08,25.549999,25.850000,25.540001,25.700001,23.141159,18000
2017-11-09,25.750000,25.780001,25.620001,25.770000,23.204189,5800
2017-11-10,25.799999,25.850000,25.700001,25.799999,23.231203,7600
2017-11-13,25.799999,25.799999,25.700001,25.790001,23.222198,3300
2017-11-14,25.929001,25.929001,25.750000,25.750000,23.186182,2000
2017-11-15,25.719999,25.799999,25.559999,25.580000,23.033110,3700
2017-11-16,25.690001,25.700001,25.580000,25.580000,23.033110,5400
2017-11-17,25.690001,25.690001,25.621000,25.621000,23.070024,1200
2017-11-20,25.660000,25.700001,25.660000,25.700001,23.141159,2500
2017-11-21,25.791000,25.889999,25.700001,25.700001,23.141159,1000
2017-11-22,25.639999,25.790001,25.639999,25.780001,23.213196,6000
2017-11-24,25.900000,25.900000,25.900000,25.900000,23.321245,800
2017-11-27,25.670000,25.889999,25.670000,25.750000,23.186182,5100
2017-11-28,25.889999,25.889999,25.750000,25.750000,23.186182,4600
2017-11-29,25.870001,25.870001,25.818001,25.818001,23.247414,700
2017-11-30,25.580000,25.580000,25.510000,25.510000,23.267479,2300
2017-12-01,25.730000,25.730000,25.730000,25.730000,23.468138,600
2017-12-04,25.650000,25.650000,25.600000,25.600000,23.349567,1100
2017-12-05,25.730000,25.740000,25.730000,25.740000,23.477259,300
2017-12-06,25.650000,25.650000,25.650000,25.650000,23.395170,1000
2017-12-07,25.570000,25.570000,25.570000,25.570000,23.322203,100
2017-12-08,25.580000,25.580000,25.580000,25.580000,23.331326,100
2017-12-11,25.600000,25.600000,25.600000,25.600000,23.349567,100
2017-12-12,25.650000,25.650000,25.520000,25.520000,23.276600,1000
2017-12-13,25.510000,25.510000,25.510000,25.510000,23.267479,100
2017-12-14,25.639000,25.639000,25.615000,25.615000,23.363249,1000
2017-12-15,25.650000,25.650000,25.580000,25.600000,23.349567,4600
2017-12-18,25.660000,25.660000,25.660000,25.660000,23.404293,100
2017-12-19,25.639999,25.639999,25.500000,25.500000,23.258356,3100
2017-12-20,25.538000,25.780001,25.500000,25.510000,23.267479,11500
2017-12-21,25.590000,25.590000,25.520000,25.590000,23.340445,4400
2017-12-22,25.590000,25.739000,25.590000,25.739000,23.476347,2600
2017-12-26,25.650000,25.650000,25.650000,25.650000,23.395170,600
2017-12-27,25.730000,25.740000,25.490000,25.490000,23.249235,20200
2017-12-28,25.450001,25.580000,25.360001,25.440001,23.203632,23500
2017-12-29,25.459999,25.559999,25.350000,25.400000,23.167150,16700
2018-01-02,25.480000,25.480000,25.400000,25.450001,23.212753,9400
2018-01-03,25.400000,25.590000,25.400000,25.500000,23.258356,10900
2018-01-04,25.500000,25.660000,25.500000,25.639999,23.386051,5600
2018-01-05,25.680000,25.780001,25.680000,25.691000,23.432568,2300
2018-01-08,25.610001,25.629999,25.500000,25.510000,23.267479,7400
2018-01-09,25.540001,25.650000,25.500000,25.549999,23.303963,14300
2018-01-10,25.450001,25.600000,25.450001,25.590000,23.340445,8200
2018-01-11,25.510000,25.510000,25.510000,25.510000,23.267479,100
2018-01-12,25.448999,25.580000,25.410000,25.559999,23.313084,6100
2018-01-16,25.450001,25.670000,25.430000,25.620001,23.367811,3400
2018-01-17,25.698999,25.698999,25.535000,25.600000,23.349567,6000
2018-01-18,25.500000,25.650000,25.440001,25.650000,23.395170,6100
2018-01-19,25.450001,25.770000,25.410000,25.770000,23.504623,7300
2018-01-22,25.650000,25.650000,25.549999,25.650000,23.395170,9500
2018-01-23,25.610001,25.780001,25.549999,25.730000,23.468138,9000
2018-01-24,25.650000,25.719999,25.650000,25.650000,23.395170,2400
2018-01-25,25.660000,25.660000,25.549999,25.600000,23.349567,7300
2018-01-26,25.459999,25.459999,25.459999,25.459999,23.221872,100
2018-01-29,25.410000,25.410000,25.410000,25.410000,23.176266,100
2018-01-30,25.270000,25.430000,25.260000,25.363001,23.133400,8700
2018-01-31,25.403000,25.430000,25.365000,25.400000,23.167150,1700
2018-02-01,25.430000,25.450001,25.430000,25.430000,23.194513,1700
2018-02-02,25.400000,25.533001,25.400000,25.533001,23.288458,1200
2018-02-05,25.540001,25.570000,25.540001,25.570000,23.322203,500
2018-02-06,25.400000,25.570000,25.400000,25.540001,23.294842,3100
2018-02-07,25.600000,25.639999,25.600000,25.639999,23.386051,1800
2018-02-08,25.580000,25.580000,25.580000,25.580000,23.331326,100
2018-02-09,25.580000,25.587999,25.500000,25.559999,23.313084,2500
2018-02-12,25.500000,25.799999,25.500000,25.790001,23.522865,5300
2018-02-13,25.695000,25.780001,25.695000,25.780001,23.513744,600
2018-02-14,25.600000,25.610001,25.600000,25.600000,23.349567,4000
2018-02-15,25.601000,25.780001,25.549999,25.780001,23.513744,3000
2018-02-16,25.700001,25.780001,25.549999,25.780001,23.513744,1700
2018-02-20,25.559999,25.559999,25.559999,25.559999,23.313084,1000
2018-02-21,25.549999,25.549999,25.459999,25.459999,23.221872,5200
2018-02-22,25.540001,25.549999,25.500000,25.500000,23.258356,3300
2018-02-23,25.590000,25.590000,25.590000,25.590000,23.340445,2000
2018-02-26,25.735001,25.735001,25.600000,25.600000,23.349567,1200
2018-02-27,25.730000,25.730000,25.680000,25.730000,23.468138,5000
2018-02-28,25.480000,25.480000,25.430000,25.469999,23.589466,3100
2018-03-01,25.430000,25.430000,25.415001,25.430000,23.552422,1700
2018-03-02,25.660000,25.660000,25.660000,25.660000,23.765440,100
2018-03-05,25.450001,25.450001,25.450001,25.450001,23.570944,100
2018-03-06,25.469999,25.469999,25.469999,25.469999,23.589466,100
2018-03-07,25.700001,25.700001,25.700001,25.700001,23.802486,1100
2018-03-08,25.600000,25.653999,25.600000,25.600000,23.709869,1000
2018-03-09,25.600000,25.600000,25.600000,25.600000,23.709869,400
2018-03-12,25.600000,25.600000,25.600000,25.600000,23.709869,100
2018-03-13,25.570000,25.570000,25.570000,25.570000,23.682083,100
2018-03-14,25.570000,25.570000,25.570000,25.570000,23.682083,100
2018-03-15,25.690001,25.690001,25.650000,25.653000,23.758955,1900
2018-03-16,25.650000,25.650000,25.650000,25.650000,23.756176,1100
2018-03-19,25.620001,25.660000,25.549999,25.610001,23.719130,4600
2018-03-20,25.670000,25.670000,25.549999,25.549999,23.663559,2600
2018-03-21,25.500000,25.500000,25.500000,25.500000,23.617250,100
2018-03-22,25.500000,25.500000,25.400000,25.400000,23.524633,2400
2018-03-23,25.500000,25.705000,25.500000,25.700001,23.802486,2300
2018-03-26,25.469999,25.750000,25.469999,25.750000,23.848791,2200
2018-03-27,25.600000,25.600000,25.600000,25.600000,23.709869,100
2018-03-28,25.730000,25.750000,25.719999,25.750000,23.848791,1700
2018-03-29,25.750000,25.750000,25.750000,25.750000,23.848791,2200
2018-04-02,25.530001,25.530001,25.530001,25.530001,23.645037,100
2018-04-03,25.610001,25.610001,25.610001,25.610001,23.719130,100
2018-04-04,25.600000,25.600000,25.600000,25.600000,23.709869,100
2018-04-05,25.680000,25.680000,25.680000,25.680000,23.783960,100
2018-04-06,25.700001,25.700001,25.700001,25.700001,23.802486,100
2018-04-09,25.510000,25.730000,25.500000,25.700001,23.802486,2200
2018-04-10,25.698000,25.698000,25.698000,25.698000,23.800632,100
2018-04-11,25.700001,25.700001,25.600000,25.680000,23.783960,2700
2018-04-12,25.639999,25.650000,25.540001,25.549999,23.663559,2600
2018-04-13,25.750999,25.760000,25.552000,25.552000,23.665413,6600
2018-04-16,25.548000,25.548000,25.548000,25.548000,23.661709,100
2018-04-17,25.549999,25.570000,25.549999,25.570000,23.682083,200
2018-04-18,25.570000,25.695000,25.570000,25.650000,23.756176,2700
2018-04-19,25.600000,25.600000,25.600000,25.600000,23.709869,200
2018-04-20,25.650000,25.650000,25.400000,25.549999,23.663559,2700
2018-04-23,25.570000,25.580000,25.531000,25.531000,23.645964,900
2018-04-24,25.530001,25.615000,25.500000,25.600000,23.709869,5600
2018-04-25,25.559999,25.590000,25.559999,25.590000,23.700607,1500
2018-04-26,25.430000,25.760000,25.420000,25.420000,23.543158,4400
2018-04-27,25.520000,25.719999,25.500000,25.600000,23.709869,3000
2018-04-30,25.700001,25.879999,25.700001,25.879999,23.969194,600
2018-05-01,25.650000,25.650000,25.650000,25.650000,23.756176,100
2018-05-02,25.770000,25.770000,25.770000,25.770000,23.867319,300
2018-05-03,25.770000,25.790001,25.650000,25.650000,23.756176,7700
2018-05-04,25.820000,25.820000,25.650000,25.650000,23.756176,400
2018-05-07,25.650000,25.650000,25.650000,25.650000,23.756176,100
2018-05-08,25.650000,25.900000,25.650000,25.820000,23.913624,6800
2018-05-09,25.750000,25.990000,25.750000,25.990000,24.071074,1200
2018-05-10,25.750000,25.830000,25.750000,25.830000,23.922886,3100
2018-05-11,25.780001,25.881001,25.780001,25.830000,23.922886,9700
2018-05-14,26.000000,26.000000,25.889999,26.000000,24.080336,4500
2018-05-15,25.701000,25.783001,25.700001,25.783001,23.879358,4100
2018-05-16,25.570000,25.570000,25.570000,25.570000,23.682083,400
2018-05-17,25.600000,25.799999,25.600000,25.799999,23.895103,1100
2018-05-18,25.750000,25.770000,25.750000,25.750000,23.848791,900
2018-05-21,25.750000,25.750000,25.559999,25.559999,23.672823,900
2018-05-22,25.700001,25.700001,25.700001,25.700001,23.802486,200
2018-05-23,25.650000,25.690001,25.650000,25.680000,23.783960,2100
2018-05-24,25.580000,25.905001,25.580000,25.840000,23.932150,17400
2018-05-25,25.860001,25.860001,25.850000,25.850000,23.941408,200
2018-05-29,25.719999,25.719999,25.719999,25.719999,23.821005,200
2018-05-30,25.850000,25.850000,25.850000,25.850000,23.941408,2300
2018-05-31,25.650000,25.650000,25.629999,25.650000,24.121025,900
2018-06-01,25.650000,25.650000,25.650000,25.650000,24.121025,400
2018-06-04,25.520000,25.520000,25.520000,25.520000,23.998774,100
2018-06-05,25.490000,25.490000,25.490000,25.490000,23.970564,100
2018-06-06,25.459999,25.459999,25.459999,25.459999,23.942348,100
2018-06-07,25.500000,25.500000,25.500000,25.500000,23.979965,200
2018-06-08,25.531000,25.531000,25.531000,25.531000,24.009119,100
2018-06-11,25.620001,25.629999,25.620001,25.629999,24.102217,600
2018-06-12,25.900000,25.990000,25.900000,25.990000,24.440758,1000
2018-06-13,25.559999,25.559999,25.559999,25.559999,24.036392,100
2018-06-14,25.959999,25.959999,25.610001,25.610001,24.083408,1000
2018-06-15,25.980000,25.980000,25.799999,25.900000,24.356123,2100
2018-06-18,25.620001,25.753000,25.620001,25.750000,24.215063,2500
2018-06-19,25.750000,25.750000,25.750000,25.750000,24.215063,300
2018-06-20,25.600000,25.760000,25.600000,25.700001,24.168047,5000
2018-06-21,25.570000,25.750000,25.570000,25.750000,24.215063,1600
2018-06-22,25.600000,25.610001,25.600000,25.608999,24.082468,900
2018-06-25,25.629999,25.629999,25.500000,25.549999,24.026985,5000
2018-06-26,25.466999,25.500000,25.400000,25.450001,23.932947,3600
2018-06-27,25.400000,25.400000,25.400000,25.400000,23.885927,100
2018-06-28,25.459999,25.459999,25.459999,25.459999,23.942348,100
2018-06-29,25.620001,25.620001,25.450001,25.450001,23.932947,900
2018-07-02,25.459999,25.620001,25.410000,25.480000,23.961157,7600
2018-07-03,25.480000,25.520000,25.450001,25.450001,23.932947,700
2018-07-05,25.440001,25.480000,25.440001,25.480000,23.961157,600
2018-07-06,25.480000,25.480000,25.480000,25.480000,23.961157,100
2018-07-09,25.434999,25.490000,25.434999,25.490000,23.970564,1100
2018-07-10,25.537001,25.537001,25.480000,25.480000,23.961157,700
2018-07-11,25.490000,25.490000,25.490000,25.490000,23.970564,100
2018-07-12,25.510000,25.559999,25.410000,25.490000,23.970564,3000
2018-07-13,25.568001,25.568001,25.500000,25.500000,23.979965,1100
2018-07-16,25.490000,25.580000,25.370001,25.370001,23.857716,4100
2018-07-17,25.400000,25.410000,25.400000,25.400000,23.885927,2300
2018-07-18,25.340000,25.424000,25.340000,25.350000,23.838909,3800
2018-07-19,25.400000,25.400000,25.400000,25.400000,23.885927,1000
2018-07-20,25.400000,25.400000,25.400000,25.400000,23.885927,1000
2018-07-23,25.457001,25.480000,25.437000,25.480000,23.961157,3300
