Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12.410000,12.540000,12.170000,12.190000,10.993334,56200
2014-07-08,12.220000,12.310000,12.170000,12.220000,11.020391,52200
2014-07-09,12.240000,12.450000,12.230000,12.320000,11.110573,52600
2014-07-10,12.150000,12.240000,12.150000,12.180000,10.984318,33900
2014-07-11,12.190000,12.280000,12.160000,12.260000,11.056463,32500
2014-07-14,12.360000,12.450000,12.230000,12.400000,11.182718,63800
2014-07-15,12.510000,12.650000,12.190000,12.250000,11.047444,30600
2014-07-16,12.340000,12.340000,12.140000,12.200000,11.002354,37700
2014-07-17,12.150000,12.250000,12.090000,12.220000,11.020391,65300
2014-07-18,12.170000,12.400000,12.170000,12.350000,11.137630,75400
2014-07-21,12.300000,12.420000,12.260000,12.420000,11.200757,93400
2014-07-22,12.580000,12.580000,12.440000,12.490000,11.263883,58800
2014-07-23,12.500000,12.580000,12.390000,12.490000,11.263883,62800
2014-07-24,12.500000,12.500000,12.340000,12.460000,11.236830,62000
2014-07-25,12.400000,12.410000,12.260000,12.380000,11.164684,65700
2014-07-28,12.350000,12.440000,12.240000,12.340000,11.128610,52700
2014-07-29,12.420000,12.420000,12.300000,12.330000,11.119590,50200
2014-07-30,12.370000,12.400000,12.230000,12.270000,11.065483,53100
2014-07-31,12.190000,12.330000,12.010000,12.010000,10.831004,46500
2014-08-01,12.050000,12.060000,11.980000,12.010000,10.831004,58700
2014-08-04,12.050000,12.110000,11.920000,12.050000,10.867080,80900
2014-08-05,12.040000,12.120000,11.920000,12.060000,10.876097,101300
2014-08-06,11.980000,12.300000,11.980000,12.270000,11.065483,80700
2014-08-07,12.260000,12.360000,12.010000,12.330000,11.119590,95900
2014-08-08,12.290000,12.400000,12.200000,12.270000,11.065483,73600
2014-08-11,12.370000,12.370000,12.150000,12.280000,11.074501,53900
2014-08-12,12.180000,12.420000,12.180000,12.390000,11.173700,82800
2014-08-13,12.290000,12.400000,12.290000,12.390000,11.282978,43500
2014-08-14,12.380000,12.630000,12.360000,12.570000,11.446897,55200
2014-08-15,12.650000,12.870000,12.490000,12.840000,11.692773,116200
2014-08-18,12.900000,13.080000,12.790000,13.050000,11.884010,74500
2014-08-19,13.010000,13.190000,13.010000,13.060000,11.893117,67900
2014-08-20,13.020000,13.130000,12.880000,13.020000,11.856691,38200
2014-08-21,13.050000,13.140000,12.930000,13.080000,11.911329,47700
2014-08-22,13.110000,13.190000,13.060000,13.110000,11.938648,29600
2014-08-25,13.190000,13.260000,13.100000,13.110000,11.938648,35900
2014-08-26,13.100000,13.230000,13.080000,13.130000,11.956862,36900
2014-08-27,13.070000,13.150000,13.050000,13.100000,11.929542,31500
2014-08-28,13.070000,13.130000,12.990000,13.100000,11.929542,31000
2014-08-29,13.100000,13.100000,12.940000,13.020000,11.856691,33200
2014-09-02,13.080000,13.190000,13.000000,13.180000,12.002397,35500
2014-09-03,13.190000,13.190000,12.820000,12.860000,11.710984,33600
2014-09-04,13.010000,13.030000,12.840000,12.900000,11.747413,27300
2014-09-05,12.840000,12.930000,12.770000,12.790000,11.647240,22100
2014-09-08,12.750000,12.770000,12.590000,12.700000,11.565281,19900
2014-09-09,12.640000,12.640000,12.430000,12.440000,11.328511,41900
2014-09-10,12.470000,12.860000,12.410000,12.830000,11.683665,68800
2014-09-11,12.730000,12.930000,12.710000,12.910000,11.756519,41100
2014-09-12,12.950000,12.960000,12.810000,12.940000,11.783838,49500
2014-09-15,12.890000,12.950000,12.690000,12.780000,11.638134,34800
2014-09-16,12.790000,12.860000,12.680000,12.710000,11.574388,19500
2014-09-17,12.670000,12.750000,12.560000,12.650000,11.519748,22300
2014-09-18,12.530000,12.740000,12.530000,12.710000,11.574388,43900
2014-09-19,12.730000,12.760000,12.400000,12.760000,11.619921,83600
2014-09-22,12.650000,12.650000,12.470000,12.600000,11.474216,24700
2014-09-23,12.590000,12.610000,12.400000,12.430000,11.319407,39000
2014-09-24,12.460000,12.560000,12.370000,12.410000,11.301192,30900
2014-09-25,12.360000,12.500000,12.160000,12.160000,11.073530,44100
2014-09-26,12.160000,12.530000,12.150000,12.460000,11.346725,28800
2014-09-29,12.310000,12.370000,12.120000,12.190000,11.100849,28400
2014-09-30,12.140000,12.310000,11.980000,11.980000,10.909613,52300
2014-10-01,12.010000,12.110000,11.790000,11.890000,10.827654,49600
2014-10-02,12.110000,12.150000,11.910000,11.990000,10.918718,22300
2014-10-03,12.140000,12.250000,12.000000,12.110000,11.027996,24200
2014-10-06,12.100000,12.100000,11.870000,11.880000,10.818546,34000
2014-10-07,11.780000,11.870000,11.600000,11.610000,10.572671,30600
2014-10-08,11.560000,12.290000,11.520000,12.200000,11.109955,57100
2014-10-09,12.180000,12.180000,11.690000,11.700000,10.654630,32700
2014-10-10,11.620000,11.950000,11.510000,11.550000,10.518033,48700
2014-10-13,11.590000,12.220000,11.590000,12.090000,11.009785,69200
2014-10-14,12.150000,12.500000,12.090000,12.440000,11.328511,56200
2014-10-15,12.320000,12.650000,12.170000,12.590000,11.465110,60200
2014-10-16,12.390000,12.750000,12.290000,12.550000,11.428683,41700
2014-10-17,12.700000,12.700000,12.060000,12.090000,11.009785,68300
2014-10-20,12.060000,12.270000,12.020000,12.230000,11.137276,43700
2014-10-21,12.250000,12.550000,12.250000,12.490000,11.374045,67300
2014-10-22,12.480000,12.510000,12.130000,12.140000,11.055317,21900
2014-10-23,12.280000,12.350000,12.200000,12.320000,11.219233,36700
2014-10-24,12.310000,12.330000,12.150000,12.190000,11.100849,35500
2014-10-27,12.100000,12.330000,12.010000,12.270000,11.173700,35100
2014-10-28,12.290000,12.750000,12.290000,12.750000,11.610815,54100
2014-10-29,12.800000,13.020000,12.700000,12.950000,11.792944,56100
2014-10-30,12.940000,13.520000,12.780000,13.330000,12.138992,81000
2014-10-31,13.540000,13.600000,13.380000,13.560000,12.348441,107200
2014-11-03,13.570000,13.850000,13.570000,13.690000,12.466827,68600
2014-11-04,13.570000,13.850000,13.570000,13.760000,12.530574,47100
2014-11-05,13.890000,14.000000,13.800000,14.000000,12.749129,51400
2014-11-06,13.800000,13.940000,13.370000,13.490000,12.284698,146400
2014-11-07,13.430000,13.700000,13.260000,13.310000,12.120780,59400
2014-11-10,13.290000,13.290000,13.010000,13.240000,12.057034,21000
2014-11-11,13.200000,13.250000,13.100000,13.200000,12.020608,60900
2014-11-12,13.280000,13.740000,13.070000,13.200000,12.130888,63500
2014-11-13,13.170000,13.450000,13.150000,13.200000,12.130888,27900
2014-11-14,13.220000,13.250000,13.080000,13.160000,12.205083,37800
2014-11-17,13.180000,13.180000,13.010000,13.010000,12.065969,20600
2014-11-18,13.010000,13.200000,13.010000,13.150000,12.195807,29600
2014-11-19,13.090000,13.160000,12.720000,12.790000,11.861932,31600
2014-11-20,12.700000,12.940000,12.700000,12.850000,11.917579,37600
2014-11-21,13.080000,13.110000,12.650000,12.770000,11.843382,41500
2014-11-24,12.790000,12.880000,12.730000,12.800000,11.871205,32200
2014-11-25,12.800000,12.940000,12.790000,12.930000,11.991772,66300
2014-11-26,12.890000,13.250000,12.890000,13.100000,12.149439,77800
