Date,Open,High,Low,Close,Adj Close,Volume
2017-06-09,9.250000,9.260000,8.200000,8.355000,8.355000,185700
2017-06-12,8.450000,8.700000,8.150000,8.700000,8.700000,39200
2017-06-13,8.600000,8.600000,7.800000,7.900000,7.900000,46500
2017-06-14,8.500000,8.500000,7.750000,8.000000,8.000000,28400
2017-06-15,7.660000,8.500000,7.660000,8.355000,8.355000,25600
2017-06-16,8.280000,8.900000,8.250000,8.550000,8.550000,137700
2017-06-19,8.270000,9.910000,8.250000,9.780000,9.780000,327000
2017-06-20,9.790000,10.000000,8.610000,9.110000,9.110000,109600
2017-06-21,8.700000,9.160000,8.130000,8.600000,8.600000,45200
2017-06-22,8.500000,8.700000,8.150000,8.310000,8.310000,28400
2017-06-23,8.480000,8.682000,8.290000,8.650000,8.650000,29000
2017-06-26,8.690000,8.699000,8.201000,8.320000,8.320000,6400
2017-06-27,8.240000,8.350000,8.137000,8.290000,8.290000,6300
2017-06-28,8.630000,8.766000,8.120000,8.300000,8.300000,18700
2017-06-29,8.270000,8.590000,8.112000,8.500000,8.500000,20100
2017-06-30,8.520000,8.619000,8.300000,8.600000,8.600000,12600
2017-07-03,9.200000,9.200000,8.180000,8.480000,8.480000,9600
2017-07-05,8.350000,8.800000,8.330000,8.690000,8.690000,16900
2017-07-06,8.300000,8.460000,8.254000,8.460000,8.460000,10900
2017-07-07,8.490000,8.548000,8.258000,8.340000,8.340000,9000
2017-07-10,8.200000,8.450000,6.595000,7.400000,7.400000,49700
2017-07-11,7.350000,7.766000,6.630000,6.980000,6.980000,24200
2017-07-12,6.900000,7.500000,5.770000,6.070000,6.070000,26000
2017-07-13,6.250000,6.610000,5.470000,5.790000,5.790000,22000
2017-07-14,6.230000,6.420000,5.700000,6.340000,6.340000,21300
2017-07-17,6.290000,6.540000,5.805000,6.400000,6.400000,15300
2017-07-18,6.400000,6.790000,6.350000,6.500000,6.500000,12200
2017-07-19,6.360000,6.360000,6.200000,6.303000,6.303000,2900
2017-07-20,6.342000,6.342000,6.342000,6.342000,6.342000,200
2017-07-21,5.960000,6.130000,5.900000,6.018000,6.018000,3300
2017-07-24,6.070000,6.500000,6.070000,6.490000,6.490000,7400
2017-07-25,6.500000,6.500000,6.300000,6.319000,6.319000,6700
2017-07-26,6.350000,6.420000,6.300000,6.400000,6.400000,6000
2017-07-27,6.210000,6.393000,6.000000,6.000000,6.000000,7200
2017-07-28,5.980000,6.131000,5.892000,6.100000,6.100000,2200
2017-07-31,6.150000,6.173000,5.700000,5.720000,5.720000,12000
2017-08-01,5.800000,5.850000,5.400000,5.810000,5.810000,11000
2017-08-02,5.750000,5.750000,4.990000,5.300000,5.300000,14000
2017-08-03,5.500000,5.880000,5.500000,5.500000,5.500000,2600
2017-08-04,5.500000,5.500000,5.500000,5.500000,5.500000,1200
2017-08-07,5.460000,5.770000,4.470000,5.010000,5.010000,1000
2017-08-08,5.700000,5.700000,5.030000,5.150000,5.150000,8400
2017-08-09,5.100000,5.200000,4.740000,5.000000,5.000000,9900
2017-08-10,4.950000,5.250000,4.592000,5.250000,5.250000,3700
2017-08-11,5.210000,5.484000,4.940000,5.370000,5.370000,2500
2017-08-14,5.340000,5.350000,5.210000,5.280000,5.280000,9300
2017-08-15,5.160000,5.280000,5.160000,5.280000,5.280000,500
2017-08-16,5.500000,5.720000,5.500000,5.640000,5.640000,8800
2017-08-17,5.700000,5.750000,5.700000,5.700000,5.700000,3100
2017-08-18,5.250000,5.250000,5.250000,5.250000,5.250000,100
2017-08-21,5.250000,5.450000,5.250000,5.414000,5.414000,1600
2017-08-22,5.250000,6.350000,5.250000,5.450000,5.450000,29600
2017-08-23,5.550000,6.360000,5.550000,6.360000,6.360000,16500
2017-08-24,6.200000,6.500000,5.962000,6.090000,6.090000,18100
2017-08-25,6.010000,6.450000,5.701000,5.950000,5.950000,10200
2017-08-28,6.050000,6.158000,5.650000,5.880000,5.880000,31700
2017-08-29,5.830000,6.034000,5.830000,5.870000,5.870000,7700
2017-08-30,5.870000,5.870000,5.870000,5.870000,5.870000,0
2017-08-31,6.400000,6.500000,5.800000,6.440000,6.440000,4600
2017-09-01,6.230000,6.230000,5.950000,6.000000,6.000000,12000
2017-09-05,6.000000,6.500000,5.880000,6.490000,6.490000,32100
2017-09-06,6.060000,6.200000,5.500000,5.500000,5.500000,11800
2017-09-07,5.445000,5.672000,5.420000,5.658000,5.658000,3500
2017-09-08,5.683000,5.683000,5.334000,5.450000,5.450000,7300
2017-09-11,5.540000,5.662000,5.446000,5.500000,5.500000,12700
2017-09-12,5.752000,5.940000,5.597000,5.597000,5.597000,7000
2017-09-13,6.000000,6.500000,5.600000,5.790000,5.790000,9700
2017-09-14,5.728000,6.212000,5.728000,5.880000,5.880000,9600
2017-09-15,5.570000,5.840000,5.546000,5.790000,5.790000,9700
2017-09-18,5.960000,6.380000,5.560000,5.750000,5.750000,12500
2017-09-19,6.100000,6.230000,5.950000,6.230000,6.230000,7100
2017-09-20,5.950000,6.230000,5.810000,6.070000,6.070000,37000
2017-09-21,6.170000,6.200000,6.110000,6.110000,6.110000,9600
2017-09-22,6.180000,6.320000,5.950000,5.950000,5.950000,16400
2017-09-25,5.958000,6.250000,5.550000,5.550000,5.550000,26300
2017-09-26,5.630000,5.850000,5.230000,5.400000,5.400000,16900
