Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,7.000000,7.000000,6.780000,6.870000,6.870000,67600
2014-07-08,6.900000,6.900000,6.680000,6.750000,6.750000,72400
2014-07-09,6.730000,6.930000,6.700000,6.800000,6.800000,59900
2014-07-10,6.740000,6.900000,6.680000,6.740000,6.740000,54500
2014-07-11,6.790000,6.860000,6.610000,6.690000,6.690000,78000
2014-07-14,6.710000,6.840000,6.600000,6.670000,6.670000,66200
2014-07-15,6.660000,6.820000,6.660000,6.710000,6.710000,45000
2014-07-16,6.750000,6.810000,6.610000,6.650000,6.650000,44000
2014-07-17,6.600000,6.660000,5.870000,6.170000,6.170000,368400
2014-07-18,6.170000,6.430000,6.170000,6.400000,6.400000,73500
2014-07-21,6.370000,6.480000,6.090000,6.250000,6.250000,42200
2014-07-22,6.290000,6.360000,6.180000,6.270000,6.270000,66100
2014-07-23,6.260000,6.390000,6.200000,6.250000,6.250000,24000
2014-07-24,6.300000,6.400000,6.200000,6.320000,6.320000,48300
2014-07-25,6.330000,6.350000,6.200000,6.230000,6.230000,64100
2014-07-28,6.220000,6.240000,6.130000,6.190000,6.190000,25900
2014-07-29,6.230000,6.330000,6.190000,6.300000,6.300000,26400
2014-07-30,6.390000,6.390000,6.230000,6.330000,6.330000,49800
2014-07-31,6.290000,6.320000,6.150000,6.250000,6.250000,18900
2014-08-01,6.200000,6.270000,6.200000,6.230000,6.230000,34000
2014-08-04,6.220000,6.250000,6.150000,6.190000,6.190000,17600
2014-08-05,6.160000,6.160000,5.820000,5.940000,5.940000,90700
2014-08-06,5.960000,6.160000,5.860000,6.070000,6.070000,45900
2014-08-07,5.990000,6.080000,5.900000,6.020000,6.020000,43100
2014-08-08,6.030000,6.030000,5.900000,6.000000,6.000000,29500
2014-08-11,6.000000,6.300000,6.000000,6.270000,6.270000,27800
2014-08-12,6.220000,6.400000,6.080000,6.180000,6.180000,37300
2014-08-13,6.150000,6.200000,6.030000,6.090000,6.090000,43000
2014-08-14,6.070000,6.200000,6.010000,6.150000,6.150000,55100
2014-08-15,6.200000,6.400000,6.100000,6.290000,6.290000,80600
2014-08-18,6.320000,6.560000,6.320000,6.490000,6.490000,39600
2014-08-19,6.530000,6.530000,6.430000,6.460000,6.460000,32700
2014-08-20,6.360000,6.490000,6.360000,6.390000,6.390000,13300
2014-08-21,6.450000,6.490000,6.380000,6.400000,6.400000,10400
2014-08-22,6.420000,6.890000,6.400000,6.800000,6.800000,97800
2014-08-25,7.000000,7.000000,6.630000,6.850000,6.850000,64200
2014-08-26,6.930000,6.930000,6.740000,6.780000,6.780000,53600
2014-08-27,6.850000,6.900000,6.720000,6.870000,6.870000,43600
2014-08-28,6.820000,6.920000,6.610000,6.870000,6.870000,46200
2014-08-29,6.850000,6.930000,6.830000,6.880000,6.880000,36800
2014-09-02,6.880000,7.360000,6.880000,7.280000,7.280000,166600
2014-09-03,7.340000,7.350000,7.150000,7.200000,7.200000,51700
2014-09-04,7.160000,7.330000,7.100000,7.120000,7.120000,36200
2014-09-05,7.170000,7.300000,7.010000,7.200000,7.200000,91700
2014-09-08,7.210000,7.350000,7.140000,7.210000,7.210000,37500
2014-09-09,7.230000,7.400000,6.880000,7.220000,7.220000,115800
2014-09-10,6.900000,6.990000,6.140000,6.200000,6.200000,420800
2014-09-11,6.250000,6.330000,6.000000,6.030000,6.030000,195200
2014-09-12,5.960000,6.180000,5.950000,6.090000,6.090000,73900
2014-09-15,6.020000,6.130000,5.610000,5.840000,5.840000,223600
2014-09-16,5.790000,5.970000,5.790000,5.890000,5.890000,90900
2014-09-17,5.890000,6.000000,5.720000,5.970000,5.970000,72300
2014-09-18,6.000000,6.000000,5.800000,5.980000,5.980000,70000
2014-09-19,5.920000,5.980000,5.840000,5.840000,5.840000,45400
2014-09-22,5.840000,5.850000,5.650000,5.700000,5.700000,77700
2014-09-23,5.700000,5.710000,5.540000,5.560000,5.560000,44200
2014-09-24,5.560000,5.620000,5.400000,5.430000,5.430000,70000
2014-09-25,5.340000,5.630000,5.340000,5.590000,5.590000,57300
2014-09-26,5.560000,5.730000,5.550000,5.650000,5.650000,68800
2014-09-29,5.620000,5.620000,5.500000,5.580000,5.580000,25100
2014-09-30,5.610000,5.710000,5.480000,5.490000,5.490000,19900
2014-10-01,5.520000,5.520000,5.260000,5.270000,5.270000,57000
2014-10-02,5.270000,5.690000,5.260000,5.640000,5.640000,94100
2014-10-03,5.720000,5.720000,5.430000,5.550000,5.550000,58300
2014-10-06,5.600000,6.000000,5.600000,5.770000,5.770000,199100
2014-10-07,5.760000,5.860000,5.500000,5.570000,5.570000,81200
2014-10-08,5.390000,5.710000,5.290000,5.660000,5.660000,45500
2014-10-09,5.670000,5.870000,5.420000,5.510000,5.510000,130600
2014-10-10,5.450000,5.710000,5.350000,5.400000,5.400000,68100
2014-10-13,5.430000,5.550000,5.360000,5.480000,5.480000,35900
2014-10-14,5.600000,5.600000,5.330000,5.370000,5.370000,53100
2014-10-15,5.310000,5.560000,5.270000,5.450000,5.450000,55900
2014-10-16,5.440000,5.950000,5.400000,5.900000,5.900000,160500
2014-10-17,5.980000,6.000000,5.600000,5.710000,5.710000,61200
2014-10-20,5.700000,5.820000,5.600000,5.650000,5.650000,32000
2014-10-21,5.640000,5.820000,5.640000,5.740000,5.740000,14200
2014-10-22,5.740000,5.840000,5.640000,5.730000,5.730000,22600
2014-10-23,5.730000,5.730000,5.670000,5.710000,5.710000,34900
2014-10-24,5.750000,5.750000,5.550000,5.580000,5.580000,26100
2014-10-27,5.560000,5.610000,5.520000,5.530000,5.530000,6200
2014-10-28,5.550000,5.690000,5.550000,5.580000,5.580000,10900
2014-10-29,5.580000,5.700000,5.580000,5.670000,5.670000,15600
2014-10-30,5.680000,5.710000,5.620000,5.710000,5.710000,16200
2014-10-31,5.750000,5.770000,5.660000,5.720000,5.720000,15100
2014-11-03,5.640000,5.780000,5.640000,5.730000,5.730000,21200
2014-11-04,5.710000,5.780000,5.640000,5.780000,5.780000,8900
2014-11-05,5.780000,5.840000,5.750000,5.780000,5.780000,14600
2014-11-06,5.780000,5.780000,5.720000,5.740000,5.740000,11000
2014-11-07,5.710000,5.780000,5.660000,5.680000,5.680000,29000
2014-11-10,5.690000,5.730000,5.610000,5.620000,5.620000,15100
2014-11-11,5.620000,5.730000,5.540000,5.580000,5.580000,46300
2014-11-12,5.560000,5.610000,5.450000,5.490000,5.490000,58100
2014-11-13,5.460000,5.700000,5.390000,5.430000,5.430000,41200
2014-11-14,5.400000,5.580000,5.380000,5.520000,5.520000,31900
2014-11-17,5.540000,5.560000,5.500000,5.550000,5.550000,17700
2014-11-18,5.540000,5.570000,5.490000,5.540000,5.540000,30800
2014-11-19,5.560000,5.570000,5.470000,5.530000,5.530000,16100
2014-11-20,5.530000,5.550000,5.460000,5.500000,5.500000,13500
2014-11-21,5.520000,5.540000,5.410000,5.460000,5.460000,23300
2014-11-24,5.520000,5.640000,5.460000,5.610000,5.610000,42200
2014-11-25,5.640000,5.690000,5.580000,5.670000,5.670000,31600
2014-11-26,5.700000,5.750000,5.600000,5.700000,5.700000,31900
2014-11-28,5.670000,5.850000,5.520000,5.700000,5.700000,19600
2014-12-01,5.600000,5.840000,5.300000,5.350000,5.350000,81400
2014-12-02,5.340000,5.480000,5.300000,5.430000,5.430000,21800
2014-12-03,5.390000,5.490000,5.380000,5.420000,5.420000,31300
2014-12-04,5.400000,5.590000,5.400000,5.560000,5.560000,26600
2014-12-05,5.570000,5.640000,5.370000,5.470000,5.470000,33400
2014-12-08,5.410000,5.630000,5.300000,5.360000,5.360000,42900
2014-12-09,5.210000,5.480000,4.500000,5.260000,5.260000,98600
2014-12-10,5.250000,5.420000,5.090000,5.340000,5.340000,37200
2014-12-11,5.380000,5.450000,5.310000,5.410000,5.410000,22800
2014-12-12,5.320000,5.410000,5.320000,5.390000,5.390000,13200
2014-12-15,5.360000,5.380000,5.200000,5.280000,5.280000,38100
2014-12-16,5.220000,5.360000,5.220000,5.260000,5.260000,34200
2014-12-17,5.050000,5.330000,5.050000,5.180000,5.180000,81500
2014-12-18,5.170000,5.310000,5.120000,5.300000,5.300000,48800
2014-12-19,5.330000,5.390000,5.250000,5.300000,5.300000,39600
2014-12-22,5.250000,5.440000,5.200000,5.260000,5.260000,52900
2014-12-23,5.200000,5.250000,5.150000,5.150000,5.150000,50300
2014-12-24,5.190000,5.230000,5.150000,5.210000,5.210000,16500
2014-12-26,5.190000,5.340000,5.190000,5.250000,5.250000,32800
2014-12-29,5.250000,5.400000,5.250000,5.320000,5.320000,67600
2014-12-30,5.270000,5.360000,5.220000,5.220000,5.220000,39300
2014-12-31,5.200000,5.300000,5.090000,5.130000,5.130000,77600
2015-01-02,5.110000,5.200000,5.030000,5.190000,5.190000,42500
2015-01-05,5.200000,5.200000,5.050000,5.160000,5.160000,52400
2015-01-06,5.060000,5.240000,4.850000,4.970000,4.970000,127800
2015-01-07,4.980000,4.980000,4.790000,4.890000,4.890000,77400
2015-01-08,4.900000,5.000000,4.820000,4.930000,4.930000,48000
2015-01-09,4.920000,5.030000,4.850000,4.860000,4.860000,73600
2015-01-12,4.870000,4.970000,4.820000,4.900000,4.900000,30200
2015-01-13,4.900000,5.000000,4.900000,4.970000,4.970000,49200
2015-01-14,4.960000,5.050000,4.940000,4.960000,4.960000,22800
2015-01-15,5.020000,5.050000,4.910000,4.910000,4.910000,56600
2015-01-16,4.950000,5.060000,4.940000,5.060000,5.060000,42600
2015-01-20,5.160000,5.500000,5.080000,5.420000,5.420000,110200
2015-01-21,5.390000,5.510000,5.300000,5.490000,5.490000,58400
2015-01-22,5.500000,5.600000,5.350000,5.600000,5.600000,60000
2015-01-23,5.990000,6.200000,5.250000,5.300000,5.300000,348700
2015-01-26,5.490000,5.560000,4.960000,5.200000,5.200000,126300
2015-01-27,5.140000,5.370000,5.040000,5.110000,5.110000,84100
2015-01-28,5.210000,5.210000,5.110000,5.160000,5.160000,20800
2015-01-29,5.190000,5.190000,5.110000,5.110000,5.110000,29400
2015-01-30,5.100000,5.150000,5.000000,5.050000,5.050000,42400
2015-02-02,5.080000,5.110000,4.980000,5.030000,5.030000,38700
2015-02-03,5.000000,5.380000,5.000000,5.190000,5.190000,60300
2015-02-04,5.230000,5.230000,5.130000,5.180000,5.180000,37800
2015-02-05,5.190000,5.200000,5.050000,5.170000,5.170000,43600
2015-02-06,5.100000,5.150000,5.000000,5.110000,5.110000,17000
2015-02-09,5.140000,5.160000,5.010000,5.130000,5.130000,43800
2015-02-10,5.130000,5.160000,5.030000,5.120000,5.120000,55100
2015-02-11,5.080000,5.200000,5.080000,5.080000,5.080000,24200
2015-02-12,5.080000,5.160000,4.980000,5.050000,5.050000,58600
2015-02-13,5.050000,5.080000,4.970000,5.060000,5.060000,31000
2015-02-17,5.050000,5.080000,5.000000,5.030000,5.030000,47500
2015-02-18,5.000000,5.070000,4.990000,5.060000,5.060000,29200
2015-02-19,5.090000,5.100000,5.010000,5.090000,5.090000,24500
2015-02-20,5.120000,5.140000,5.050000,5.050000,5.050000,31500
2015-02-23,5.080000,5.080000,4.870000,4.960000,4.960000,85100
2015-02-24,5.000000,5.050000,4.970000,4.990000,4.990000,10300
2015-02-25,4.950000,5.020000,4.950000,4.970000,4.970000,15600
2015-02-26,4.910000,5.020000,4.910000,4.990000,4.990000,60800
2015-02-27,4.990000,5.100000,4.990000,5.030000,5.030000,47100
2015-03-02,5.060000,5.100000,4.940000,5.100000,5.100000,70700
2015-03-03,5.100000,5.100000,5.000000,5.020000,5.020000,44000
2015-03-04,5.030000,5.070000,5.000000,5.060000,5.060000,17700
2015-03-05,5.080000,5.080000,4.980000,5.070000,5.070000,49200
2015-03-06,5.080000,5.180000,4.750000,4.920000,4.920000,196600
2015-03-09,4.880000,4.920000,4.390000,4.450000,4.450000,165500
2015-03-10,4.500000,4.670000,4.440000,4.590000,4.590000,70400
2015-03-11,4.700000,4.750000,4.610000,4.710000,4.710000,32100
2015-03-12,4.600000,4.850000,4.590000,4.780000,4.780000,42700
2015-03-13,4.820000,4.840000,4.740000,4.810000,4.810000,51700
2015-03-16,4.620000,4.760000,4.520000,4.650000,4.650000,86200
2015-03-17,4.680000,4.680000,4.510000,4.560000,4.560000,63000
2015-03-18,4.560000,4.580000,4.500000,4.540000,4.540000,28900
2015-03-19,4.500000,4.710000,4.500000,4.700000,4.700000,36200
2015-03-20,4.730000,4.750000,4.690000,4.700000,4.700000,33100
2015-03-23,4.690000,4.750000,4.690000,4.740000,4.740000,14600
2015-03-24,4.750000,5.000000,4.750000,4.960000,4.960000,90000
2015-03-25,4.950000,4.980000,4.820000,4.820000,4.820000,44100
2015-03-26,4.810000,4.860000,4.740000,4.790000,4.790000,13600
2015-03-27,4.750000,4.790000,4.740000,4.750000,4.750000,4700
2015-03-30,4.750000,4.880000,4.750000,4.830000,4.830000,17700
2015-03-31,4.830000,4.900000,4.730000,4.870000,4.870000,9200
