Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,40.180000,40.240002,39.689999,39.930000,24.807034,91700
2014-07-08,39.799999,39.919998,39.549999,39.720001,24.676573,97500
2014-07-09,39.369999,39.680000,39.160000,39.680000,24.953268,49700
2014-07-10,39.400002,39.680000,39.180000,39.639999,24.928120,71100
2014-07-11,39.770000,39.939999,39.520000,39.939999,25.116768,64700
2014-07-14,39.880001,39.980000,39.529999,39.869999,25.072754,89400
2014-07-15,39.939999,39.939999,39.549999,39.730000,24.984715,40700
2014-07-16,39.770000,39.889999,39.580002,39.889999,25.085333,51700
2014-07-17,39.799999,40.099998,39.669998,39.919998,25.104195,79000
2014-07-18,39.980000,40.279999,39.849998,40.090000,25.211107,110100
2014-07-21,40.020000,40.160000,39.830002,40.099998,25.217394,59700
2014-07-22,40.250000,40.459999,40.000000,40.220001,25.292858,47200
2014-07-23,40.419998,40.650002,40.299999,40.540001,25.494095,40300
2014-07-24,40.720001,40.720001,40.299999,40.470001,25.450071,31000
2014-07-25,40.320000,40.490002,40.000000,40.169998,25.261414,37200
2014-07-28,40.200001,40.320000,40.090000,40.169998,25.261414,24300
2014-07-29,40.340000,40.340000,40.049999,40.070000,25.198526,26000
2014-07-30,40.330002,40.330002,39.259998,39.509998,24.846363,115100
2014-07-31,39.430000,39.430000,38.529999,38.650002,24.305538,61000
2014-08-01,38.830002,38.990002,38.110001,38.630001,24.292965,68600
2014-08-04,38.270000,38.820000,38.270000,38.779999,24.387299,77500
2014-08-05,38.689999,38.689999,38.250000,38.500000,24.211212,41800
2014-08-06,38.270000,38.520000,38.009998,38.389999,24.142036,50400
2014-08-07,38.410000,38.610001,38.150002,38.230000,24.041422,58100
2014-08-08,38.279999,38.459999,38.070000,38.459999,24.186058,33600
2014-08-11,39.930000,39.930000,39.520000,39.730000,24.984715,86000
2014-08-12,39.669998,39.900002,38.910000,39.389999,24.770908,51200
2014-08-13,39.360001,39.709999,39.060001,39.299999,24.714306,75100
2014-08-14,39.330002,39.630001,39.310001,39.580002,24.890385,31200
2014-08-15,39.610001,40.110001,39.610001,40.080002,25.204815,72900
2014-08-18,40.430000,41.169998,40.430000,40.919998,25.733057,172200
2014-08-19,41.189999,41.560001,41.099998,41.480000,26.085226,86200
2014-08-20,41.509998,42.490002,41.349998,42.410000,26.670069,135800
2014-08-21,42.410000,42.959999,42.410000,42.689999,26.846149,80400
2014-08-22,42.849998,42.930000,42.570000,42.820000,26.927902,54200
2014-08-25,43.070000,43.250000,42.320000,42.669998,26.833565,72300
2014-08-26,42.849998,44.669998,42.660000,43.500000,27.355524,63100
2014-08-27,43.990002,43.990002,42.779999,43.310001,27.236040,73700
2014-08-28,42.910000,43.330002,42.389999,42.790001,26.909031,64400
2014-08-29,42.990002,44.180000,42.759998,43.910000,27.613363,81900
2014-09-02,43.959999,44.240002,43.009998,43.349998,27.261196,80600
2014-09-03,43.230000,43.450001,43.000000,43.320000,27.242331,54500
2014-09-04,43.369999,43.470001,42.950001,43.020000,27.053679,52600
2014-09-05,42.880001,43.130001,42.430000,42.700001,26.852434,57700
2014-09-08,42.730000,42.919998,42.299999,42.590000,26.783260,40100
2014-09-09,42.480000,42.689999,42.220001,42.419998,26.676353,52800
2014-09-10,42.549999,42.549999,42.130001,42.310001,26.607183,76100
2014-09-11,42.119999,42.180000,41.619999,41.830002,26.305332,76400
2014-09-12,41.650002,41.810001,40.759998,41.090000,25.839970,113100
2014-09-15,40.950001,41.000000,40.299999,40.470001,25.450071,99100
2014-09-16,40.430000,40.830002,40.259998,40.779999,25.645023,109300
2014-09-17,40.799999,41.090000,40.669998,40.810001,25.663883,89100
2014-09-18,40.820000,41.110001,40.459999,40.980000,25.770788,79200
2014-09-19,40.910000,41.139999,40.810001,40.990002,25.777081,63000
2014-09-22,40.770000,40.939999,39.910000,39.930000,25.110487,59800
2014-09-23,39.849998,40.080002,39.529999,39.650002,24.934406,83600
2014-09-24,39.540001,39.950001,38.860001,39.709999,24.972141,69700
2014-09-25,39.709999,39.910000,39.200001,39.500000,24.840078,66800
2014-09-26,39.580002,40.549999,39.540001,40.529999,25.487804,66300
2014-09-29,40.040001,40.299999,39.639999,40.090000,25.211107,88700
2014-09-30,39.990002,40.169998,39.799999,40.090000,25.211107,53000
2014-10-01,40.000000,40.250000,39.500000,39.630001,24.921829,56400
2014-10-02,39.419998,39.680000,37.779999,39.060001,24.563374,155000
2014-10-03,39.369999,39.369999,38.770000,39.090000,24.582237,62600
2014-10-06,39.180000,39.360001,38.740002,39.060001,24.563374,74200
2014-10-07,38.980000,39.009998,38.660000,38.680000,24.324408,48800
2014-10-08,38.700001,38.849998,37.669998,38.360001,24.123169,76000
2014-10-09,38.430000,38.439999,36.880001,37.099998,23.330805,84000
2014-10-10,37.040001,37.209999,34.369999,35.700001,22.450399,218900
2014-10-13,35.639999,36.000000,33.049999,33.330002,20.959995,166300
2014-10-14,33.410000,33.939999,31.690001,33.139999,20.840511,315600
2014-10-15,32.009998,34.720001,30.930000,33.759998,21.547703,270300
2014-10-16,33.080002,36.560001,32.950001,35.810001,22.856142,281500
2014-10-17,36.029999,37.980000,36.029999,37.630001,24.017778,306100
2014-10-20,37.500000,37.610001,36.560001,37.349998,23.839060,110500
2014-10-21,37.500000,37.750000,37.330002,37.549999,23.966711,68600
2014-10-22,37.720001,37.900002,36.660000,36.990002,23.609283,92400
2014-10-23,37.549999,37.849998,37.180000,37.520000,23.947565,52300
2014-10-24,37.520000,38.580002,37.520000,38.029999,24.273083,188700
2014-10-27,37.790001,38.009998,37.689999,37.930000,24.209255,88300
2014-10-28,37.919998,38.570000,37.750000,38.419998,24.521997,62000
2014-10-29,38.400002,38.799999,38.009998,38.490002,24.566679,52900
2014-10-30,38.560001,38.560001,37.630001,37.869999,24.170954,88600
2014-10-31,38.000000,38.000000,37.360001,37.740002,24.087982,120500
2014-11-03,37.540001,38.669998,37.290001,38.400002,24.509239,267100
2014-11-04,38.119999,38.119999,36.610001,36.750000,23.456099,136800
2014-11-05,36.790001,37.160000,36.360001,37.040001,23.641203,82300
2014-11-06,36.889999,37.000000,36.439999,36.990002,23.609283,63500
2014-11-07,36.779999,37.610001,36.770000,37.610001,24.005016,67800
2014-11-10,37.509998,37.630001,36.650002,36.849998,23.519934,89900
2014-11-11,36.650002,36.840000,36.250000,36.790001,23.481640,68000
2014-11-12,36.400002,36.910000,36.150002,36.650002,23.392282,68300
2014-11-13,36.750000,36.869999,36.070000,36.320000,23.181656,39500
2014-11-14,36.459999,36.720001,36.080002,36.689999,23.417809,53900
2014-11-17,36.650002,36.959999,36.590000,36.840000,23.513548,32100
2014-11-18,36.900002,37.230000,36.770000,37.119999,23.692263,35700
2014-11-19,37.130001,38.160000,36.570000,37.799999,24.126280,99900
2014-11-20,37.799999,38.090000,37.439999,38.090000,24.311378,44500
2014-11-21,38.610001,38.650002,37.759998,37.930000,24.209255,65600
2014-11-24,37.919998,38.180000,37.209999,37.590000,23.992247,52700
2014-11-25,37.790001,38.020000,37.520000,37.689999,24.056070,53600
2014-11-26,37.770000,37.889999,37.450001,37.840000,24.151812,43900
2014-11-28,37.540001,37.540001,35.549999,35.820000,22.862520,66600
2014-12-01,35.590000,35.639999,33.849998,34.380001,21.943422,184700
2014-12-02,34.439999,35.740002,34.020000,35.490002,22.651897,155700
2014-12-03,35.730000,36.099998,35.700001,35.820000,22.862520,63300
2014-12-04,35.730000,35.910000,35.160000,35.490002,22.651897,121500
2014-12-05,35.720001,35.720001,34.529999,34.660000,22.122139,92500
2014-12-08,34.500000,34.509998,32.250000,32.599998,20.807322,182800
2014-12-09,32.299999,33.200001,31.980000,32.779999,20.922203,183300
2014-12-10,32.639999,32.750000,31.600000,32.139999,20.513721,196600
2014-12-11,31.920000,32.919998,31.719999,31.990000,20.417982,226800
2014-12-12,31.500000,32.090000,31.209999,31.670000,20.213736,201000
2014-12-15,31.969999,31.990000,30.270000,30.370001,19.383997,228200
2014-12-16,30.030001,31.360001,29.010000,30.799999,19.658451,189400
2014-12-17,30.799999,33.590000,30.799999,33.570000,21.426434,231100
2014-12-18,34.259998,34.549999,32.830002,33.990002,21.694506,159400
2014-12-19,33.930000,34.740002,33.029999,33.959999,21.675356,100000
2014-12-22,33.869999,33.939999,32.419998,33.029999,21.081772,109800
2014-12-23,33.700001,33.840000,32.669998,33.750000,21.541323,81600
2014-12-24,33.669998,33.700001,33.470001,33.549999,21.413664,30900
2014-12-26,33.360001,34.000000,33.310001,33.500000,21.701946,30900
2014-12-29,33.189999,34.259998,33.189999,33.830002,21.915730,53900
2014-12-30,33.849998,34.020000,33.349998,34.020000,22.038815,64100
2014-12-31,34.009998,34.439999,33.810001,34.040001,22.051769,53900
2015-01-02,33.709999,34.580002,33.450001,34.400002,22.284988,55100
2015-01-05,34.139999,34.139999,32.250000,32.549999,21.086519,139500
2015-01-06,32.570000,32.950001,31.500000,32.029999,20.749651,69100
2015-01-07,32.490002,32.849998,31.670000,32.299999,20.924566,77200
2015-01-08,32.730000,32.880001,32.139999,32.590000,21.112431,91100
2015-01-09,32.770000,32.770000,31.980000,32.540001,21.080042,76700
2015-01-12,32.080002,32.200001,31.010000,31.320000,20.289700,218300
2015-01-13,31.170000,32.020000,30.010000,30.129999,19.518795,155900
2015-01-14,29.530001,30.559999,29.280001,30.330000,19.648359,163300
2015-01-15,30.840000,31.290001,30.299999,30.770000,19.933401,63500
2015-01-16,30.799999,31.840000,30.799999,31.750000,20.568266,121700
2015-01-20,31.670000,31.770000,30.959999,31.020000,20.095356,160100
2015-01-21,31.260000,31.570000,31.040001,31.459999,20.380392,173100
2015-01-22,31.990000,31.990000,31.150000,31.299999,20.276743,123400
2015-01-23,31.270000,31.639999,30.860001,31.340000,20.302660,156100
2015-01-26,31.490000,31.719999,31.070000,31.629999,20.490524,128200
2015-01-27,31.340000,31.660000,30.950001,31.190001,20.205482,124400
2015-01-28,31.459999,31.459999,30.360001,30.559999,19.797365,163300
2015-01-29,30.610001,30.910000,30.000000,30.719999,19.901007,127100
2015-01-30,30.469999,31.240000,30.080000,31.049999,20.114792,115500
2015-02-02,31.190001,31.719999,30.750000,31.719999,20.548832,153800
2015-02-03,31.910000,32.650002,31.870001,32.549999,21.086519,152600
2015-02-04,32.450001,32.770000,32.279999,32.700001,21.183693,206800
2015-02-05,33.090000,33.939999,32.889999,33.849998,21.928684,131800
2015-02-06,34.110001,34.360001,33.799999,33.939999,21.986986,115000
2015-02-09,34.160000,34.430000,33.939999,34.160000,22.129513,89200
2015-02-10,34.439999,34.439999,33.610001,34.209999,22.161900,61100
2015-02-11,33.910000,34.060001,33.540001,33.919998,21.974030,53600
2015-02-12,34.230000,34.330002,33.680000,33.939999,21.986986,121400
2015-02-13,34.169998,34.279999,33.500000,33.709999,21.837984,95800
2015-02-17,33.939999,33.939999,33.490002,33.619999,21.779684,82600
2015-02-18,33.549999,33.910000,33.540001,33.740002,21.857426,54700
2015-02-19,33.230000,34.090000,33.230000,34.020000,22.038815,45700
2015-02-20,34.150002,34.700001,34.020000,34.619999,22.427502,77500
2015-02-23,34.570000,34.919998,34.459999,34.639999,22.440462,130600
2015-02-24,34.959999,34.970001,34.369999,34.820000,22.557072,182500
2015-02-25,34.970001,35.240002,34.900002,35.150002,22.770849,81300
2015-02-26,35.209999,35.209999,34.430000,34.490002,22.343290,116600
2015-02-27,34.520000,34.759998,34.410000,34.419998,22.297943,103400
2015-03-02,34.259998,34.439999,33.830002,33.830002,21.915730,105100
2015-03-03,33.869999,34.139999,33.840000,33.959999,21.999943,91100
2015-03-04,34.130001,34.130001,33.750000,34.070000,22.071203,82400
2015-03-05,34.049999,34.419998,34.049999,34.230000,22.174858,101700
2015-03-06,33.930000,34.060001,33.790001,33.959999,21.999943,73300
2015-03-09,33.880001,34.029999,33.330002,33.330002,21.591820,65900
2015-03-10,33.090000,33.180000,32.779999,32.950001,21.345648,140000
2015-03-11,32.939999,33.060001,31.860001,31.860001,20.639523,143700
2015-03-12,32.080002,32.139999,31.680000,32.009998,20.736694,126300
2015-03-13,31.760000,31.850000,31.290001,31.420000,20.354481,143600
2015-03-16,31.480000,31.480000,30.860001,31.049999,20.114792,102100
2015-03-17,31.000000,31.059999,30.500000,30.850000,19.985226,159600
2015-03-18,30.690001,31.540001,30.510000,31.340000,20.302660,121100
2015-03-19,31.270000,31.430000,30.950001,31.430000,20.360966,98200
2015-03-20,31.570000,32.070000,31.570000,31.910000,20.671919,156000
2015-03-23,32.049999,33.090000,31.990000,32.880001,21.300299,137900
2015-03-24,32.910000,32.990002,32.389999,32.590000,21.112431,62300
2015-03-25,32.430000,32.820000,32.259998,32.330002,20.943998,129500
2015-03-26,32.590000,32.619999,32.130001,32.340000,20.950476,72400
2015-03-27,32.450001,32.709999,32.209999,32.520000,21.067085,62300
2015-03-30,32.560001,32.970001,32.560001,32.970001,21.358601,35000
2015-03-31,32.630001,33.180000,32.630001,32.779999,21.235518,51600
2015-04-01,32.810001,33.029999,32.770000,32.830002,21.267908,51900
2015-04-02,32.650002,32.939999,32.650002,32.900002,21.313257,102300
2015-04-06,32.869999,33.080002,32.869999,33.060001,21.416906,76100
2015-04-07,33.119999,33.439999,33.009998,33.439999,21.663076,59600
2015-04-08,33.500000,33.500000,33.189999,33.299999,21.572384,60200
2015-04-09,33.509998,33.509998,33.160000,33.310001,21.578865,52100
2015-04-10,33.500000,33.500000,33.189999,33.349998,21.604773,88100
2015-04-13,33.310001,33.459999,33.070000,33.090000,21.436340,107200
2015-04-14,33.150002,33.660000,33.150002,33.650002,21.799124,77000
2015-04-15,33.240002,33.790001,33.150002,33.680000,22.148981,93000
2015-04-16,33.549999,33.799999,33.500000,33.750000,22.195017,95500
2015-04-17,33.689999,33.689999,33.250000,33.380001,21.951691,72800
2015-04-20,33.590000,33.919998,33.369999,33.529999,22.050333,89800
2015-04-21,33.540001,33.720001,33.470001,33.540001,22.056910,50700
2015-04-22,33.540001,33.759998,33.520000,33.650002,22.129253,47400
2015-04-23,33.860001,34.090000,33.810001,34.009998,22.365995,75100
2015-04-24,34.020000,34.459999,34.000000,34.439999,22.648779,141700
2015-04-27,34.439999,34.750000,34.389999,34.750000,22.852646,138700
2015-04-28,34.720001,34.889999,34.560001,34.810001,22.892105,103400
2015-04-29,34.650002,35.029999,34.650002,34.970001,22.997324,116200
2015-04-30,34.880001,35.099998,34.759998,34.919998,22.964443,52700
2015-05-01,35.119999,35.119999,34.529999,34.939999,22.977592,68200
