Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,10.970000,11.080000,10.740000,10.740000,10.585092,542700
2014-07-08,10.770000,10.810000,10.550000,10.720000,10.565381,1314000
2014-07-09,10.760000,10.810000,10.590000,10.620000,10.466823,1069600
2014-07-10,10.250000,10.430000,9.820000,9.940000,9.796631,6691000
2014-07-11,10.000000,10.070000,9.880000,10.050000,9.905045,1432700
2014-07-14,10.100000,10.190000,10.000000,10.180000,10.033170,4365000
2014-07-15,10.160000,10.230000,9.870000,9.960000,9.816342,986100
2014-07-16,10.020000,10.110000,9.940000,10.070000,9.924755,638700
2014-07-17,10.090000,10.170000,9.920000,9.920000,9.776919,761600
2014-07-18,9.970000,10.110000,9.880000,10.080000,9.934611,1331600
2014-07-21,10.080000,10.270000,10.030000,10.220000,10.072593,1237900
2014-07-22,10.270000,10.270000,10.110000,10.200000,10.052880,1104200
2014-07-23,10.160000,10.310000,10.140000,10.300000,10.151439,713400
2014-07-24,10.280000,10.390000,10.220000,10.260000,10.112016,1051800
2014-07-25,10.220000,10.220000,10.010000,10.050000,9.905045,647800
2014-07-28,10.060000,10.130000,9.890000,9.920000,9.776919,778900
2014-07-29,9.900000,9.970000,9.830000,9.880000,9.737496,537800
2014-07-30,9.880000,9.960000,9.680000,9.840000,9.698072,1239800
2014-07-31,9.810000,9.810000,9.600000,9.630000,9.491102,2032500
2014-08-01,9.590000,9.590000,9.240000,9.350000,9.215141,3043000
2014-08-04,9.350000,9.700000,9.300000,9.680000,9.540381,1770500
2014-08-05,9.680000,9.820000,9.350000,9.450000,9.313698,1824300
2014-08-06,9.440000,9.540000,9.280000,9.480000,9.343266,1544100
2014-08-07,9.540000,9.540000,9.290000,9.410000,9.274275,1134200
2014-08-08,9.460000,9.650000,9.410000,9.650000,9.510814,1236800
2014-08-11,9.720000,9.820000,9.660000,9.720000,9.579804,1083700
2014-08-12,9.720000,9.770000,9.530000,9.580000,9.441823,854500
2014-08-13,9.580000,9.620000,9.420000,9.480000,9.343266,997000
2014-08-14,9.500000,9.530000,9.440000,9.490000,9.353121,1034900
2014-08-15,9.590000,9.790000,9.540000,9.770000,9.629084,1374500
2014-08-18,9.830000,10.050000,9.710000,10.020000,9.875478,2600100
2014-08-19,10.050000,10.050000,9.930000,9.970000,9.826199,709000
2014-08-20,10.000000,10.030000,9.880000,10.000000,9.855765,753600
2014-08-21,9.980000,10.100000,9.860000,10.080000,9.934611,1105000
2014-08-22,10.230000,10.230000,9.850000,9.870000,9.727640,1124800
2014-08-25,9.900000,10.110000,9.880000,10.100000,9.954324,932300
2014-08-26,10.150000,10.180000,10.070000,10.120000,9.974034,1238600
2014-08-27,10.150000,10.170000,10.010000,10.030000,9.885332,1472600
2014-08-28,10.050000,10.100000,9.950000,9.970000,9.826199,1432800
2014-08-29,9.990000,10.100000,9.960000,10.020000,9.875478,1093300
2014-09-02,10.000000,10.000000,9.740000,9.790000,9.648794,1741000
2014-09-03,9.810000,9.850000,9.730000,9.840000,9.698072,1141200
2014-09-04,9.840000,9.930000,9.790000,9.820000,9.678361,1939600
2014-09-05,9.850000,9.870000,9.730000,9.810000,9.668507,1230000
2014-09-08,9.790000,9.870000,9.740000,9.810000,9.668507,1606600
2014-09-09,9.840000,9.900000,9.700000,9.810000,9.668507,865200
2014-09-10,9.820000,9.870000,9.630000,9.810000,9.668507,1071000
2014-09-11,9.750000,10.090000,9.720000,10.090000,9.944467,1621900
2014-09-12,10.040000,10.120000,9.920000,9.970000,9.826199,1290200
2014-09-15,9.960000,10.160000,9.910000,10.120000,9.974034,1104800
2014-09-16,10.360000,10.470000,10.160000,10.450000,10.299274,2493300
2014-09-17,10.440000,10.440000,10.200000,10.220000,10.072593,1407100
2014-09-18,10.210000,10.300000,10.150000,10.210000,10.062737,893900
2014-09-19,10.200000,10.280000,10.080000,10.250000,10.102160,2156600
2014-09-22,10.180000,10.230000,9.850000,9.890000,9.747353,1451800
2014-09-23,9.850000,10.050000,9.820000,9.860000,9.717784,1247100
2014-09-24,9.820000,10.050000,9.780000,9.970000,9.826199,1739000
2014-09-25,9.970000,9.970000,9.720000,9.860000,9.717784,1092000
2014-09-26,9.850000,10.240000,9.810000,10.200000,10.052880,1766600
2014-09-29,10.120000,10.440000,10.020000,10.350000,10.200718,2046500
2014-09-30,10.310000,10.360000,9.880000,9.960000,9.816342,1820500
2014-10-01,9.920000,10.060000,9.820000,10.020000,9.875478,2989100
2014-10-02,9.920000,10.100000,9.830000,9.960000,9.816342,2581900
2014-10-03,10.000000,10.010000,9.810000,9.850000,9.707930,1447600
2014-10-06,9.850000,10.020000,9.760000,9.930000,9.786776,2357600
2014-10-07,9.400000,9.540000,9.380000,9.410000,9.274275,3804700
2014-10-08,9.380000,9.410000,8.970000,9.380000,9.244708,3904700
2014-10-09,9.210000,9.290000,8.980000,9.210000,9.077160,3369200
2014-10-10,9.150000,9.260000,8.970000,9.130000,8.998314,3841100
2014-10-13,9.120000,9.230000,8.710000,8.720000,8.594228,3217800
2014-10-14,8.740000,8.860000,8.400000,8.540000,8.416823,3274200
2014-10-15,8.490000,8.860000,8.320000,8.860000,8.732208,3424000
2014-10-16,8.680000,9.180000,8.580000,9.020000,8.889901,2563800
2014-10-17,9.180000,9.290000,8.790000,8.880000,8.751920,2297600
2014-10-20,8.880000,9.050000,8.720000,8.940000,8.811054,1407000
2014-10-21,9.190000,9.380000,9.180000,9.380000,9.244708,1316100
2014-10-22,9.450000,9.590000,9.100000,9.130000,8.998314,1887900
2014-10-23,9.220000,9.550000,9.200000,9.290000,9.156006,1802300
2014-10-24,9.260000,9.310000,9.100000,9.200000,9.067304,829400
2014-10-27,9.100000,9.120000,8.820000,8.900000,8.771631,1896700
2014-10-28,8.910000,9.280000,8.860000,9.250000,9.116583,994200
2014-10-29,9.290000,9.620000,8.980000,9.240000,9.106727,3119500
2014-10-30,9.150000,9.230000,8.910000,9.110000,8.978602,1170800
2014-10-31,9.240000,9.410000,8.850000,9.330000,9.195429,1632900
2014-11-03,9.490000,9.740000,9.090000,9.210000,9.077160,2698000
2014-11-04,9.090000,9.240000,8.830000,9.140000,9.008170,1952900
2014-11-05,9.190000,9.530000,9.120000,9.380000,9.244708,1735700
2014-11-06,9.290000,9.520000,9.290000,9.440000,9.303843,1701900
2014-11-07,9.790000,10.250000,9.710000,10.250000,10.102160,2769800
2014-11-10,10.320000,10.410000,9.820000,9.910000,9.767063,2441400
2014-11-11,9.910000,9.990000,9.710000,9.940000,9.796631,1298200
2014-11-12,9.830000,10.100000,9.810000,9.950000,9.806486,1673700
2014-11-13,9.850000,9.900000,9.510000,9.590000,9.451678,1991200
2014-11-14,9.590000,9.710000,9.430000,9.660000,9.520669,1685500
2014-11-17,9.510000,9.640000,9.370000,9.440000,9.303843,1626900
2014-11-18,9.420000,9.530000,9.280000,9.390000,9.254564,1165400
2014-11-19,9.400000,9.530000,9.290000,9.360000,9.224997,1268000
2014-11-20,9.380000,9.680000,9.290000,9.650000,9.510814,1272200
2014-11-21,9.790000,9.940000,9.710000,9.880000,9.737496,1380800
2014-11-24,9.850000,9.970000,9.650000,9.700000,9.560092,1517700
2014-11-25,9.740000,9.830000,9.340000,9.600000,9.461535,3263200
2014-11-26,9.550000,9.590000,9.160000,9.220000,9.087016,1511500
2014-11-28,8.970000,9.000000,8.280000,8.340000,8.219708,1762100
2014-12-01,8.220000,8.780000,8.180000,8.770000,8.643507,2012900
2014-12-02,8.600000,8.900000,8.400000,8.580000,8.456246,2495800
2014-12-03,8.490000,8.820000,8.480000,8.680000,8.554805,1523600
2014-12-04,8.570000,8.620000,8.300000,8.420000,8.298554,1273500
2014-12-05,8.400000,8.480000,8.230000,8.310000,8.190142,1496000
2014-12-08,8.150000,8.180000,7.690000,7.720000,7.608651,2000700
2014-12-09,7.660000,8.170000,7.640000,8.150000,8.032449,1901100
2014-12-10,7.940000,7.980000,7.290000,7.300000,7.194709,3495400
2014-12-11,7.390000,7.470000,7.180000,7.360000,7.253844,3590500
2014-12-12,7.270000,7.480000,7.150000,7.290000,7.184853,2753400
2014-12-15,7.400000,7.470000,7.070000,7.090000,6.987738,3504700
2014-12-16,7.020000,7.760000,6.960000,7.300000,7.194709,3754600
2014-12-17,7.300000,7.950000,7.290000,7.850000,7.736775,2768900
2014-12-18,8.080000,8.490000,7.720000,7.930000,7.815622,2856100
2014-12-19,8.100000,8.360000,7.930000,8.300000,8.180285,3301500
2014-12-22,8.190000,8.250000,7.880000,8.070000,7.953603,1446700
2014-12-23,8.130000,8.400000,8.080000,8.370000,8.249275,1422500
2014-12-24,8.300000,8.370000,8.080000,8.310000,8.190142,584600
2014-12-26,8.390000,8.490000,8.230000,8.300000,8.180285,868500
2014-12-29,8.390000,8.480000,8.170000,8.250000,8.131006,782000
2014-12-30,8.220000,8.380000,8.130000,8.260000,8.140862,759300
2014-12-31,8.210000,8.480000,8.130000,8.390000,8.268988,1049500
2015-01-02,8.320000,8.570000,8.270000,8.480000,8.357689,1467400
2015-01-05,8.410000,8.450000,8.010000,8.110000,7.993026,1162000
2015-01-06,7.990000,8.190000,7.770000,7.990000,7.874756,1612200
2015-01-07,8.140000,8.200000,7.610000,7.770000,7.657929,1568500
2015-01-08,7.900000,8.240000,7.740000,8.220000,8.101439,2851600
2015-01-09,8.170000,8.390000,8.000000,8.390000,8.268988,1304700
2015-01-12,8.230000,8.260000,7.920000,7.990000,7.874756,1162900
2015-01-13,8.050000,8.200000,7.840000,8.010000,7.894468,1575000
2015-01-14,7.750000,8.100000,7.580000,8.080000,7.963458,1872400
2015-01-15,8.240000,8.250000,7.690000,7.690000,7.579084,1189700
2015-01-16,7.740000,8.060000,7.730000,8.020000,7.904324,994100
2015-01-20,7.860000,7.900000,7.660000,7.890000,7.776199,1097300
2015-01-21,7.970000,8.260000,7.970000,8.240000,8.121150,1362200
2015-01-22,8.250000,8.510000,8.150000,8.480000,8.357689,1826700
2015-01-23,8.610000,8.770000,8.440000,8.640000,8.515382,2312600
2015-01-26,8.660000,8.880000,8.560000,8.740000,8.613938,1585400
2015-01-27,8.670000,8.960000,8.590000,8.950000,8.820910,1340000
2015-01-28,8.910000,8.910000,8.460000,8.520000,8.397113,1287100
2015-01-29,8.590000,8.630000,8.150000,8.590000,8.466103,1307700
2015-01-30,8.480000,8.890000,8.410000,8.770000,8.643507,1318300
2015-02-02,8.630000,9.110000,8.590000,8.970000,8.840622,2304900
2015-02-03,9.090000,9.320000,8.620000,8.800000,8.673073,3731500
2015-02-04,8.650000,8.810000,8.280000,8.360000,8.239420,5684700
2015-02-05,8.450000,8.620000,8.370000,8.530000,8.406967,3665200
2015-02-06,8.740000,8.780000,8.560000,8.680000,8.554805,2262900
2015-02-09,8.740000,9.030000,8.700000,8.910000,8.781487,1769400
2015-02-10,8.900000,8.900000,8.590000,8.800000,8.673073,1316400
2015-02-11,8.660000,8.890000,8.600000,8.790000,8.663218,1146500
2015-02-12,8.950000,9.100000,8.920000,8.950000,8.820910,2518500
2015-02-13,9.080000,9.190000,8.960000,9.050000,8.919468,1724300
2015-02-17,9.010000,9.080000,8.870000,8.900000,8.771631,1905000
2015-02-18,8.790000,8.980000,8.780000,8.870000,8.742064,1440500
2015-02-19,8.580000,8.900000,8.580000,8.800000,8.673073,2608800
2015-02-20,8.760000,8.920000,8.660000,8.730000,8.604083,1233400
2015-02-23,8.800000,8.950000,8.530000,8.630000,8.505526,2296300
2015-02-24,8.720000,8.770000,8.420000,8.540000,8.416823,2259400
2015-02-25,8.570000,8.880000,8.500000,8.840000,8.712497,2726500
2015-02-26,8.770000,8.810000,8.690000,8.770000,8.643507,1763700
2015-02-27,8.830000,9.050000,8.730000,8.980000,8.850477,3502000
2015-03-02,8.290000,8.430000,7.880000,7.970000,7.855045,5090200
2015-03-03,7.970000,8.280000,7.970000,8.130000,8.012737,2416400
2015-03-04,8.150000,8.280000,7.990000,8.240000,8.121150,1517600
2015-03-05,8.230000,8.330000,8.180000,8.270000,8.150719,1373600
2015-03-06,8.180000,8.380000,8.150000,8.280000,8.160574,1533600
2015-03-09,8.270000,8.430000,8.170000,8.250000,8.131006,1361800
2015-03-10,8.130000,8.310000,8.120000,8.200000,8.081727,1577600
2015-03-11,8.250000,8.470000,8.190000,8.410000,8.288698,1457700
2015-03-12,8.440000,8.450000,8.230000,8.230000,8.111295,1428600
2015-03-13,8.130000,8.230000,8.010000,8.140000,8.022593,1530100
2015-03-16,8.100000,8.120000,7.890000,8.060000,7.943747,1464800
2015-03-17,7.990000,8.130000,7.920000,8.040000,7.924035,1299000
2015-03-18,7.920000,8.410000,7.910000,8.370000,8.249275,1316600
2015-03-19,8.210000,8.390000,8.140000,8.350000,8.229565,952400
2015-03-20,8.460000,8.470000,8.210000,8.240000,8.121150,1250800
2015-03-23,8.210000,8.330000,7.970000,8.010000,7.894468,1713900
2015-03-24,7.990000,8.090000,7.850000,7.910000,7.795910,2103800
2015-03-25,7.940000,8.080000,7.760000,8.060000,7.943747,1537900
2015-03-26,8.210000,8.310000,8.060000,8.180000,8.062016,1159500
2015-03-27,8.240000,8.240000,8.010000,8.060000,7.943747,1050500
2015-03-30,8.110000,8.180000,7.810000,7.950000,7.835333,1804300
2015-03-31,7.860000,8.020000,7.830000,7.910000,7.795910,973800
2015-04-01,7.940000,8.280000,7.940000,8.100000,7.983170,1951400
2015-04-02,8.250000,8.490000,8.160000,8.450000,8.328121,2228900
2015-04-06,8.500000,8.750000,8.400000,8.710000,8.584372,2186900
2015-04-07,8.670000,8.850000,8.600000,8.620000,8.495669,1685000
2015-04-08,8.670000,8.670000,8.380000,8.400000,8.278843,1732100
2015-04-09,8.470000,8.610000,8.420000,8.560000,8.436536,975700
2015-04-10,8.600000,8.640000,8.520000,8.600000,8.475959,920300
2015-04-13,8.630000,8.790000,8.320000,8.340000,8.219708,1738600
2015-04-14,8.460000,8.560000,8.420000,8.470000,8.347834,1149400
2015-04-15,8.550000,8.690000,8.490000,8.640000,8.515382,1937200
2015-04-16,8.560000,8.790000,8.530000,8.670000,8.544949,1415200
2015-04-17,8.660000,8.760000,8.560000,8.620000,8.495669,1762000
2015-04-20,8.620000,8.790000,8.510000,8.520000,8.397113,917400
2015-04-21,8.530000,8.590000,8.400000,8.500000,8.377400,1409600
2015-04-22,8.510000,8.650000,8.440000,8.480000,8.357689,1012200
2015-04-23,8.500000,8.700000,8.490000,8.670000,8.544949,1132200
2015-04-24,8.670000,8.770000,8.610000,8.690000,8.564660,1358300
2015-04-27,8.850000,10.030000,8.840000,9.530000,9.392544,8469500
2015-04-28,9.540000,9.850000,9.440000,9.510000,9.372833,4622200
2015-04-29,9.500000,9.760000,9.460000,9.720000,9.579804,1772200
2015-04-30,9.790000,9.810000,9.570000,9.780000,9.638938,2116900
2015-05-01,9.730000,9.860000,9.590000,9.680000,9.540381,3116800
2015-05-04,9.300000,9.530000,9.110000,9.350000,9.215141,3602200
2015-05-05,9.720000,9.880000,9.300000,9.360000,9.224997,2628400
2015-05-06,9.510000,9.720000,9.450000,9.540000,9.402400,2136600
2015-05-07,9.500000,9.530000,9.270000,9.330000,9.195429,2045800
2015-05-08,9.420000,9.450000,9.090000,9.390000,9.254564,1812400
2015-05-11,9.370000,9.480000,9.070000,9.080000,8.949035,2767400
2015-05-12,9.100000,9.410000,9.100000,9.340000,9.205285,2010500
2015-05-13,9.410000,9.440000,9.280000,9.370000,9.234852,1479000
2015-05-14,9.400000,9.450000,9.230000,9.230000,9.096871,1544400
2015-05-15,9.160000,9.330000,9.020000,9.310000,9.175718,1730300
2015-05-18,9.320000,9.320000,9.140000,9.300000,9.165862,1169900
2015-05-19,9.170000,9.230000,8.790000,8.940000,8.811054,2461400
2015-05-20,8.920000,9.020000,8.810000,8.960000,8.830766,1295600
2015-05-21,9.000000,9.240000,8.940000,9.190000,9.057448,894900
2015-05-22,9.090000,9.180000,9.030000,9.110000,8.978602,1074200
2015-05-26,9.010000,9.130000,8.860000,8.900000,8.771631,1337600
2015-05-27,8.880000,8.930000,8.820000,8.840000,8.712497,1098100
2015-05-28,8.800000,8.840000,8.710000,8.760000,8.633651,1851900
2015-05-29,8.800000,9.010000,8.780000,8.890000,8.761776,2250800
2015-06-01,8.870000,8.910000,8.820000,8.870000,8.742064,1031800
2015-06-02,8.910000,9.020000,8.870000,8.900000,8.771631,2089900
2015-06-03,8.850000,8.890000,8.710000,8.720000,8.594228,1909900
2015-06-04,8.680000,8.710000,8.550000,8.650000,8.525237,1606500
