Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,4.560000,4.720000,4.450000,4.700000,4.700000,350900
2014-07-08,4.700000,4.700000,4.380000,4.520000,4.520000,327500
2014-07-09,4.520000,4.560000,4.450000,4.520000,4.520000,102400
2014-07-10,4.450000,4.460000,4.270000,4.380000,4.380000,182500
2014-07-11,4.360000,4.360000,4.170000,4.240000,4.240000,243100
2014-07-14,4.260000,4.380000,4.220000,4.350000,4.350000,181800
2014-07-15,4.350000,4.350000,4.130000,4.170000,4.170000,256100
2014-07-16,4.170000,4.310000,4.090000,4.280000,4.280000,249500
2014-07-17,4.240000,4.260000,4.160000,4.230000,4.230000,147800
2014-07-18,4.190000,4.320000,4.150000,4.280000,4.280000,170300
2014-07-21,4.240000,4.260000,4.140000,4.210000,4.210000,89500
2014-07-22,4.220000,4.230000,4.070000,4.190000,4.190000,207100
2014-07-23,4.190000,4.200000,4.140000,4.180000,4.180000,255800
2014-07-24,4.170000,4.190000,4.050000,4.070000,4.070000,239600
2014-07-25,4.030000,4.070000,3.960000,4.000000,4.000000,256300
2014-07-28,3.990000,4.080000,3.920000,3.940000,3.940000,267400
2014-07-29,3.930000,4.020000,3.910000,3.920000,3.920000,107900
2014-07-30,3.960000,3.980000,3.750000,3.810000,3.810000,234300
2014-07-31,3.780000,3.930000,3.750000,3.800000,3.800000,217600
2014-08-01,3.810000,3.860000,3.590000,3.700000,3.700000,337900
2014-08-04,3.710000,3.890000,3.640000,3.780000,3.780000,249900
2014-08-05,3.750000,3.790000,3.710000,3.780000,3.780000,143800
2014-08-06,3.740000,3.930000,3.720000,3.910000,3.910000,184200
2014-08-07,4.050000,4.260000,3.910000,4.150000,4.150000,684000
2014-08-08,4.130000,4.140000,3.950000,3.980000,3.980000,208000
2014-08-11,3.970000,4.210000,3.910000,4.090000,4.090000,458600
2014-08-12,4.070000,4.090000,3.880000,3.990000,3.990000,230300
2014-08-13,3.990000,4.020000,3.900000,4.020000,4.020000,186200
2014-08-14,4.000000,4.010000,3.840000,3.980000,3.980000,237000
2014-08-15,4.000000,4.040000,3.880000,3.990000,3.990000,229200
2014-08-18,3.990000,4.050000,3.900000,4.020000,4.020000,243300
2014-08-19,4.030000,4.030000,3.910000,3.960000,3.960000,103900
2014-08-20,3.920000,3.920000,3.870000,3.900000,3.900000,120000
2014-08-21,3.880000,3.950000,3.810000,3.940000,3.940000,101100
2014-08-22,3.940000,3.950000,3.750000,3.930000,3.930000,212700
2014-08-25,3.940000,3.950000,3.750000,3.810000,3.810000,123500
2014-08-26,3.790000,3.840000,3.700000,3.830000,3.830000,119600
2014-08-27,3.820000,3.890000,3.730000,3.830000,3.830000,96100
2014-08-28,3.810000,3.900000,3.690000,3.870000,3.870000,76800
2014-08-29,3.860000,4.080000,3.790000,4.060000,4.060000,106000
2014-09-02,4.000000,4.030000,3.920000,4.020000,4.020000,236000
2014-09-03,4.060000,4.060000,3.970000,3.990000,3.990000,110500
2014-09-04,4.000000,4.000000,3.770000,3.780000,3.780000,195900
2014-09-05,3.800000,3.930000,3.720000,3.830000,3.830000,102200
2014-09-08,3.800000,3.850000,3.710000,3.810000,3.810000,254100
2014-09-09,3.770000,3.900000,3.710000,3.770000,3.770000,256800
2014-09-10,3.760000,3.950000,3.740000,3.860000,3.860000,223900
2014-09-11,3.860000,3.880000,3.760000,3.830000,3.830000,390800
2014-09-12,3.810000,3.820000,3.720000,3.790000,3.790000,243700
2014-09-15,3.780000,3.820000,3.730000,3.750000,3.750000,150500
2014-09-16,3.730000,3.800000,3.700000,3.710000,3.710000,123800
2014-09-17,3.730000,3.760000,3.640000,3.710000,3.710000,75000
2014-09-18,3.730000,3.770000,3.640000,3.760000,3.760000,240700
2014-09-19,3.720000,3.950000,3.620000,3.880000,3.880000,400900
2014-09-22,3.850000,3.850000,3.720000,3.720000,3.720000,94200
2014-09-23,3.730000,3.750000,3.620000,3.640000,3.640000,178600
2014-09-24,3.650000,3.670000,3.610000,3.650000,3.650000,60800
2014-09-25,3.630000,3.660000,3.400000,3.450000,3.450000,329100
2014-09-26,3.450000,3.480000,3.240000,3.350000,3.350000,449100
2014-09-29,3.300000,3.450000,3.290000,3.300000,3.300000,232300
2014-09-30,3.320000,3.480000,3.310000,3.380000,3.380000,384000
2014-10-01,3.440000,3.440000,3.300000,3.410000,3.410000,228700
2014-10-02,3.450000,3.550000,3.410000,3.540000,3.540000,113000
2014-10-03,3.590000,3.670000,3.550000,3.650000,3.650000,128100
2014-10-06,3.650000,3.650000,3.430000,3.490000,3.490000,101900
2014-10-07,3.460000,3.510000,3.400000,3.450000,3.450000,107900
2014-10-08,3.440000,3.480000,3.200000,3.420000,3.420000,190500
2014-10-09,3.410000,3.410000,3.170000,3.260000,3.260000,178000
2014-10-10,3.210000,3.310000,3.170000,3.180000,3.180000,192500
2014-10-13,3.180000,3.350000,3.120000,3.300000,3.300000,131100
2014-10-14,3.270000,3.410000,3.150000,3.190000,3.190000,284600
2014-10-15,3.180000,3.300000,3.070000,3.220000,3.220000,306500
2014-10-16,3.190000,3.340000,3.120000,3.240000,3.240000,174600
2014-10-17,3.290000,3.350000,3.230000,3.250000,3.250000,156000
2014-10-20,3.250000,3.500000,3.240000,3.450000,3.450000,148100
2014-10-21,3.450000,3.610000,3.400000,3.570000,3.570000,141500
2014-10-22,3.560000,3.560000,3.400000,3.480000,3.480000,55900
2014-10-23,3.510000,3.530000,3.420000,3.450000,3.450000,113700
2014-10-24,3.470000,3.470000,3.300000,3.390000,3.390000,79900
2014-10-27,3.370000,3.370000,3.090000,3.280000,3.280000,286300
2014-10-28,3.300000,3.600000,3.280000,3.540000,3.540000,213300
2014-10-29,3.550000,3.570000,3.350000,3.450000,3.450000,102500
2014-10-30,3.430000,3.640000,3.370000,3.600000,3.600000,174100
2014-10-31,3.710000,3.750000,3.500000,3.730000,3.730000,555300
2014-11-03,3.720000,3.740000,3.470000,3.590000,3.590000,127300
2014-11-04,3.580000,3.640000,3.420000,3.560000,3.560000,89900
2014-11-05,3.590000,3.640000,3.450000,3.580000,3.580000,142400
2014-11-06,3.570000,3.600000,3.490000,3.580000,3.580000,233900
2014-11-07,3.560000,3.610000,3.420000,3.450000,3.450000,123600
2014-11-10,3.430000,3.470000,3.380000,3.450000,3.450000,205600
2014-11-11,3.480000,3.480000,3.280000,3.330000,3.330000,150300
2014-11-12,3.300000,3.360000,3.170000,3.300000,3.300000,171500
2014-11-13,3.300000,3.400000,3.210000,3.300000,3.300000,165600
2014-11-14,3.320000,3.350000,3.220000,3.290000,3.290000,123300
2014-11-17,3.300000,3.300000,3.150000,3.230000,3.230000,105900
2014-11-18,3.230000,3.300000,3.190000,3.270000,3.270000,135500
2014-11-19,3.250000,3.250000,3.160000,3.180000,3.180000,66000
2014-11-20,3.180000,3.220000,3.090000,3.130000,3.130000,90600
2014-11-21,3.160000,3.190000,3.080000,3.110000,3.110000,166800
2014-11-24,3.110000,3.350000,3.110000,3.310000,3.310000,1290100
2014-11-25,3.310000,3.400000,3.270000,3.370000,3.370000,162100
2014-11-26,3.380000,3.510000,3.340000,3.500000,3.500000,83900
2014-11-28,3.520000,3.560000,3.380000,3.550000,3.550000,134200
2014-12-01,3.470000,3.470000,3.350000,3.440000,3.440000,119700
2014-12-02,3.440000,3.630000,3.440000,3.610000,3.610000,166600
2014-12-03,3.630000,3.700000,3.540000,3.680000,3.680000,145100
2014-12-04,3.700000,3.750000,3.590000,3.660000,3.660000,147600
2014-12-05,3.650000,3.750000,3.650000,3.740000,3.740000,90500
2014-12-08,3.720000,3.730000,3.650000,3.650000,3.650000,138900
2014-12-09,3.630000,3.840000,3.550000,3.820000,3.820000,191900
2014-12-10,3.790000,3.870000,3.750000,3.810000,3.810000,169500
2014-12-11,3.830000,3.930000,3.650000,3.670000,3.670000,189200
2014-12-12,3.650000,3.690000,3.540000,3.650000,3.650000,450000
2014-12-15,3.640000,3.720000,3.600000,3.630000,3.630000,141300
2014-12-16,3.620000,3.800000,3.620000,3.690000,3.690000,196000
2014-12-17,3.670000,3.800000,3.660000,3.750000,3.750000,160400
2014-12-18,3.800000,3.810000,3.680000,3.710000,3.710000,94100
2014-12-19,3.660000,3.710000,3.620000,3.660000,3.660000,264500
2014-12-22,3.670000,3.740000,3.590000,3.680000,3.680000,91400
2014-12-23,3.700000,3.750000,3.610000,3.650000,3.650000,77400
2014-12-24,3.670000,3.680000,3.620000,3.680000,3.680000,21700
2014-12-26,3.700000,3.750000,3.660000,3.740000,3.740000,38800
2014-12-29,3.750000,3.750000,3.650000,3.740000,3.740000,90500
2014-12-30,3.720000,3.750000,3.650000,3.720000,3.720000,56400
2014-12-31,3.720000,3.730000,3.610000,3.680000,3.680000,66100
2015-01-02,3.710000,3.730000,3.550000,3.640000,3.640000,73800
2015-01-05,3.610000,3.610000,3.460000,3.520000,3.520000,76100
2015-01-06,3.520000,3.520000,3.290000,3.390000,3.390000,225300
2015-01-07,3.390000,3.450000,3.260000,3.300000,3.300000,430300
2015-01-08,3.350000,3.380000,3.260000,3.380000,3.380000,634600
2015-01-09,3.360000,3.470000,3.350000,3.430000,3.430000,56300
2015-01-12,3.450000,3.460000,3.270000,3.350000,3.350000,161200
2015-01-13,3.380000,3.420000,3.170000,3.300000,3.300000,119800
2015-01-14,3.280000,3.310000,3.170000,3.290000,3.290000,90900
2015-01-15,3.290000,3.300000,3.070000,3.150000,3.150000,200100
2015-01-16,3.130000,3.240000,3.050000,3.130000,3.130000,177600
2015-01-20,3.130000,3.180000,3.050000,3.160000,3.160000,244200
2015-01-21,3.180000,3.250000,2.890000,3.000000,3.000000,522200
2015-01-22,3.050000,3.100000,2.990000,3.070000,3.070000,174000
2015-01-23,3.080000,3.150000,3.080000,3.100000,3.100000,80000
2015-01-26,3.150000,3.210000,3.030000,3.150000,3.150000,100500
2015-01-27,3.110000,3.140000,2.990000,3.030000,3.030000,132200
2015-01-28,3.020000,3.160000,2.890000,2.890000,2.890000,262400
2015-01-29,2.910000,2.960000,2.740000,2.860000,2.860000,512300
2015-01-30,2.840000,3.010000,2.810000,2.950000,2.950000,336800
2015-02-02,2.950000,3.010000,2.890000,2.940000,2.940000,123600
2015-02-03,2.960000,3.090000,2.940000,3.050000,3.050000,69500
2015-02-04,3.050000,3.140000,2.950000,2.970000,2.970000,168100
2015-02-05,2.910000,3.090000,2.870000,2.950000,2.950000,152900
2015-02-06,2.950000,3.040000,2.930000,2.990000,2.990000,127300
2015-02-09,2.990000,3.030000,2.950000,2.960000,2.960000,61200
2015-02-10,2.990000,2.990000,2.900000,2.910000,2.910000,99600
2015-02-11,2.920000,2.920000,2.840000,2.880000,2.880000,78800
2015-02-12,2.910000,2.950000,2.840000,2.850000,2.850000,122700
2015-02-13,2.880000,3.000000,2.850000,2.970000,2.970000,207900
2015-02-17,2.960000,3.200000,2.960000,3.190000,3.190000,204600
2015-02-18,3.200000,3.300000,3.120000,3.130000,3.130000,152100
2015-02-19,3.110000,3.150000,2.980000,3.030000,3.030000,149300
2015-02-20,3.040000,3.060000,2.970000,3.020000,3.020000,141500
2015-02-23,2.990000,3.090000,2.920000,2.990000,2.990000,303100
2015-02-24,3.000000,3.080000,2.970000,2.970000,2.970000,116400
2015-02-25,2.990000,3.080000,2.900000,3.030000,3.030000,303900
2015-02-26,3.040000,3.070000,2.980000,3.020000,3.020000,107900
2015-02-27,3.000000,3.080000,2.990000,3.010000,3.010000,153800
2015-03-02,3.020000,3.090000,3.010000,3.080000,3.080000,201000
2015-03-03,3.090000,3.150000,3.070000,3.100000,3.100000,94100
2015-03-04,3.100000,3.180000,3.100000,3.150000,3.150000,77200
2015-03-05,3.180000,3.180000,3.110000,3.130000,3.130000,97000
2015-03-06,3.100000,3.110000,2.950000,3.030000,3.030000,131200
2015-03-09,3.040000,3.100000,3.030000,3.030000,3.030000,35400
2015-03-10,3.040000,3.070000,2.990000,3.010000,3.010000,119900
2015-03-11,3.010000,3.020000,2.970000,3.000000,3.000000,57300
2015-03-12,3.030000,3.060000,2.960000,3.050000,3.050000,138800
2015-03-13,3.060000,3.100000,2.930000,2.970000,2.970000,117400
2015-03-16,2.980000,3.010000,2.920000,3.010000,3.010000,68100
2015-03-17,3.000000,3.000000,2.900000,2.910000,2.910000,63500
2015-03-18,2.920000,3.040000,2.910000,3.000000,3.000000,189400
2015-03-19,3.000000,3.070000,2.990000,3.040000,3.040000,65000
2015-03-20,3.030000,3.090000,2.960000,2.970000,2.970000,346800
2015-03-23,2.950000,3.060000,2.950000,3.030000,3.030000,163100
2015-03-24,3.010000,3.090000,2.960000,3.050000,3.050000,46200
2015-03-25,3.070000,3.070000,2.960000,2.980000,2.980000,65100
2015-03-26,2.980000,3.030000,2.980000,3.010000,3.010000,46900
2015-03-27,3.010000,3.100000,3.010000,3.080000,3.080000,88400
2015-03-30,3.090000,3.170000,3.070000,3.170000,3.170000,94900
2015-03-31,3.140000,3.230000,3.100000,3.170000,3.170000,94100
2015-04-01,3.150000,3.190000,3.130000,3.160000,3.160000,154500
2015-04-02,3.170000,3.240000,3.150000,3.160000,3.160000,51200
2015-04-06,3.130000,3.270000,3.120000,3.240000,3.240000,58100
2015-04-07,3.220000,3.300000,3.170000,3.300000,3.300000,108600
2015-04-08,3.280000,3.450000,3.280000,3.440000,3.440000,165400
2015-04-09,3.500000,3.550000,3.240000,3.270000,3.270000,112300
2015-04-10,3.300000,3.320000,3.200000,3.240000,3.240000,92400
2015-04-13,3.230000,3.300000,3.030000,3.120000,3.120000,112000
2015-04-14,3.140000,3.140000,3.030000,3.040000,3.040000,107300
2015-04-15,3.060000,3.140000,3.040000,3.140000,3.140000,90300
2015-04-16,3.120000,3.180000,3.020000,3.060000,3.060000,131300
2015-04-17,3.050000,3.060000,3.000000,3.030000,3.030000,117400
2015-04-20,3.040000,3.210000,3.040000,3.170000,3.170000,231800
2015-04-21,3.170000,3.200000,3.130000,3.170000,3.170000,101800
2015-04-22,3.160000,3.190000,3.080000,3.080000,3.080000,60700
2015-04-23,3.090000,3.160000,2.990000,3.110000,3.110000,186500
2015-04-24,3.100000,3.110000,3.020000,3.060000,3.060000,121700
2015-04-27,3.050000,3.070000,2.950000,3.060000,3.060000,207600
2015-04-28,3.080000,3.110000,3.010000,3.100000,3.100000,101900
2015-04-29,3.100000,3.120000,3.000000,3.060000,3.060000,80200
2015-04-30,3.030000,3.100000,3.000000,3.000000,3.000000,185500
2015-05-01,3.000000,3.290000,3.000000,3.280000,3.280000,324100
2015-05-04,3.250000,3.400000,3.180000,3.330000,3.330000,162400
2015-05-05,3.310000,3.430000,3.290000,3.310000,3.310000,214300
2015-05-06,3.340000,3.340000,3.180000,3.190000,3.190000,166400
2015-05-07,3.200000,3.380000,3.130000,3.270000,3.270000,140100
2015-05-08,3.330000,3.330000,3.150000,3.180000,3.180000,105300
2015-05-11,3.190000,3.290000,3.190000,3.200000,3.200000,98700
2015-05-12,3.200000,3.220000,3.150000,3.160000,3.160000,173500
2015-05-13,3.170000,3.230000,3.160000,3.200000,3.200000,148700
2015-05-14,3.230000,3.270000,3.170000,3.220000,3.220000,173700
2015-05-15,3.230000,3.270000,3.180000,3.190000,3.190000,59500
2015-05-18,3.190000,3.220000,3.180000,3.210000,3.210000,94600
2015-05-19,3.220000,3.230000,3.160000,3.160000,3.160000,104900
2015-05-20,3.220000,3.230000,3.160000,3.170000,3.170000,112400
2015-05-21,3.160000,3.200000,3.110000,3.180000,3.180000,312600
2015-05-22,3.160000,3.170000,3.060000,3.070000,3.070000,180600
2015-05-26,3.040000,3.090000,3.000000,3.040000,3.040000,251300
2015-05-27,3.050000,3.140000,3.010000,3.140000,3.140000,274400
2015-05-28,3.170000,3.230000,3.050000,3.110000,3.110000,281900
2015-05-29,3.100000,3.120000,3.000000,3.010000,3.010000,206200
2015-06-01,3.020000,3.070000,2.970000,3.040000,3.040000,431000
2015-06-02,3.040000,3.040000,2.940000,2.940000,2.940000,330300
2015-06-03,2.990000,2.990000,2.930000,2.940000,2.940000,226200
2015-06-04,2.920000,2.980000,2.840000,2.950000,2.950000,196500
2015-06-05,2.960000,2.980000,2.860000,2.940000,2.940000,268200
2015-06-08,2.930000,2.950000,2.840000,2.870000,2.870000,197000
2015-06-09,2.860000,2.950000,2.780000,2.890000,2.890000,575300
2015-06-10,2.950000,3.120000,2.900000,3.090000,3.090000,369000
2015-06-11,3.070000,3.100000,3.050000,3.090000,3.090000,107000
2015-06-12,3.090000,3.210000,3.050000,3.200000,3.200000,162600
2015-06-15,3.200000,3.200000,3.060000,3.080000,3.080000,805500
2015-06-16,3.070000,3.150000,3.050000,3.120000,3.120000,420200
2015-06-17,3.140000,3.250000,3.110000,3.150000,3.150000,673700
2015-06-18,3.150000,3.210000,3.130000,3.180000,3.180000,181400
2015-06-19,3.140000,3.190000,3.000000,3.000000,3.000000,1634400
2015-06-22,3.040000,3.280000,3.010000,3.200000,3.200000,339300
2015-06-23,3.210000,3.340000,3.180000,3.310000,3.310000,299200
2015-06-24,3.310000,3.350000,3.250000,3.330000,3.330000,181200
2015-06-25,3.300000,3.390000,3.300000,3.340000,3.340000,189600
2015-06-26,3.360000,3.400000,3.170000,3.210000,3.210000,4356500
2015-06-29,3.160000,3.270000,3.090000,3.190000,3.190000,279000
2015-06-30,3.180000,3.330000,3.140000,3.330000,3.330000,188200
2015-07-01,3.350000,3.400000,3.320000,3.390000,3.390000,195400
2015-07-02,3.390000,3.400000,3.230000,3.310000,3.310000,102300
2015-07-06,3.250000,3.390000,3.250000,3.280000,3.280000,325500
2015-07-07,3.280000,3.280000,3.080000,3.150000,3.150000,138500
2015-07-08,3.120000,3.170000,3.080000,3.090000,3.090000,106100
2015-07-09,3.130000,3.250000,3.130000,3.250000,3.250000,88000
2015-07-10,3.280000,3.280000,3.140000,3.160000,3.160000,184100
2015-07-13,3.180000,3.180000,3.140000,3.140000,3.140000,67400
2015-07-14,3.130000,3.180000,3.080000,3.160000,3.160000,54100
2015-07-15,3.110000,3.190000,3.110000,3.160000,3.160000,105600
2015-07-16,3.190000,3.190000,3.100000,3.100000,3.100000,63600
2015-07-17,3.130000,3.180000,3.080000,3.080000,3.080000,88900
2015-07-20,3.080000,3.130000,2.950000,3.100000,3.100000,152900
2015-07-21,3.120000,3.120000,3.080000,3.100000,3.100000,50200
2015-07-22,3.060000,3.130000,3.050000,3.090000,3.090000,56700
2015-07-23,3.100000,3.140000,3.060000,3.090000,3.090000,119700
2015-07-24,3.110000,3.170000,3.050000,3.060000,3.060000,102700
2015-07-27,3.050000,3.080000,3.050000,3.050000,3.050000,116700
2015-07-28,3.050000,3.100000,3.050000,3.050000,3.050000,62000
2015-07-29,3.060000,3.130000,3.060000,3.090000,3.090000,41300
2015-07-30,3.100000,3.110000,3.050000,3.060000,3.060000,88100
2015-07-31,3.070000,3.130000,3.060000,3.060000,3.060000,165400
2015-08-03,3.070000,3.130000,3.050000,3.110000,3.110000,136800
2015-08-04,3.100000,3.100000,3.050000,3.050000,3.050000,62400
2015-08-05,3.060000,3.090000,3.040000,3.050000,3.050000,72300
2015-08-06,3.020000,3.050000,2.750000,2.780000,2.780000,556200
2015-08-07,2.740000,2.750000,2.470000,2.620000,2.620000,299800
2015-08-10,2.720000,2.720000,2.490000,2.560000,2.560000,738600
2015-08-11,2.490000,2.530000,2.270000,2.420000,2.420000,669800
2015-08-12,2.340000,2.420000,2.340000,2.380000,2.380000,472500
2015-08-13,2.390000,2.490000,2.390000,2.400000,2.400000,99700
2015-08-14,2.380000,2.590000,2.380000,2.530000,2.530000,207200
2015-08-17,2.490000,2.560000,2.330000,2.430000,2.430000,432000
2015-08-18,2.360000,2.500000,2.310000,2.490000,2.490000,170600
2015-08-19,2.480000,2.480000,2.260000,2.260000,2.260000,213100
2015-08-20,2.250000,2.290000,2.150000,2.260000,2.260000,202100
2015-08-21,2.250000,2.250000,2.130000,2.230000,2.230000,158800
2015-08-24,2.050000,2.200000,1.960000,2.130000,2.130000,307400
2015-08-25,2.290000,2.330000,2.140000,2.150000,2.150000,116600
2015-08-26,2.200000,2.210000,2.060000,2.150000,2.150000,115200
2015-08-27,2.150000,2.170000,2.060000,2.060000,2.060000,101900
2015-08-28,2.100000,2.120000,2.020000,2.030000,2.030000,237900
2015-08-31,2.040000,2.040000,1.830000,1.860000,1.860000,417200
2015-09-01,1.900000,1.930000,1.870000,1.920000,1.920000,231000
2015-09-02,1.930000,1.940000,1.820000,1.860000,1.860000,139500
2015-09-03,1.880000,1.890000,1.830000,1.840000,1.840000,82000
2015-09-04,1.830000,1.890000,1.830000,1.870000,1.870000,166800
2015-09-08,1.910000,1.910000,1.870000,1.870000,1.870000,74600
2015-09-09,1.890000,1.890000,1.660000,1.660000,1.660000,282000
2015-09-10,1.690000,1.700000,1.420000,1.460000,1.460000,492800
2015-09-11,1.510000,1.690000,1.360000,1.640000,1.640000,658600
2015-09-14,1.630000,1.660000,1.570000,1.570000,1.570000,73600
2015-09-15,1.570000,1.660000,1.510000,1.660000,1.660000,189100
2015-09-16,1.650000,1.850000,1.600000,1.820000,1.820000,358200
2015-09-17,1.860000,1.900000,1.800000,1.810000,1.810000,133800
2015-09-18,1.780000,1.880000,1.740000,1.830000,1.830000,153700
2015-09-21,1.850000,1.910000,1.830000,1.900000,1.900000,158600
2015-09-22,1.860000,1.860000,1.700000,1.700000,1.700000,114900
2015-09-23,1.750000,1.760000,1.700000,1.730000,1.730000,83700
2015-09-24,1.720000,1.790000,1.710000,1.750000,1.750000,45600
2015-09-25,1.790000,1.810000,1.730000,1.770000,1.770000,76400
2015-09-28,1.750000,1.760000,1.710000,1.760000,1.760000,34800
2015-09-29,1.840000,1.940000,1.820000,1.920000,1.920000,120600
2015-09-30,1.960000,2.100000,1.900000,2.080000,2.080000,184400
2015-10-01,2.110000,2.190000,2.090000,2.150000,2.150000,499500
2015-10-02,2.150000,2.280000,2.150000,2.280000,2.280000,138900
2015-10-05,2.280000,2.400000,2.270000,2.320000,2.320000,117800
2015-10-06,2.300000,2.350000,2.290000,2.350000,2.350000,40400
2015-10-07,2.400000,2.450000,2.320000,2.400000,2.400000,131700
2015-10-08,2.500000,2.540000,2.210000,2.260000,2.260000,214400
2015-10-09,2.270000,2.360000,2.270000,2.300000,2.300000,85700
2015-10-12,2.330000,2.430000,2.300000,2.360000,2.360000,67700
2015-10-13,2.390000,2.530000,2.340000,2.450000,2.450000,237000
2015-10-14,2.450000,2.500000,2.250000,2.250000,2.250000,102000
2015-10-15,2.280000,2.440000,2.260000,2.400000,2.400000,75000
2015-10-16,2.450000,2.450000,2.290000,2.290000,2.290000,44900
