Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12.300000,12.300000,12.300000,12.300000,10.984464,0
2014-07-08,12.300000,12.300000,12.300000,12.300000,10.984464,0
2014-07-09,12.330000,12.370000,12.310000,12.360000,11.038046,60400
2014-07-10,12.320000,12.450000,12.310000,12.390000,11.064840,87300
2014-07-11,12.360000,12.450000,12.320000,12.330000,11.011256,50100
2014-07-14,12.390000,12.430000,12.260000,12.290000,10.975533,43300
2014-07-15,12.330000,12.340000,12.280000,12.320000,11.002327,28500
2014-07-16,12.380000,12.390000,12.300000,12.320000,11.002327,5100
2014-07-17,12.340000,12.380000,12.330000,12.370000,11.046980,10200
2014-07-18,12.330000,12.330000,12.330000,12.330000,11.011256,100
2014-07-21,12.330000,12.330000,12.330000,12.330000,11.011256,0
2014-07-22,12.280000,12.450000,12.260000,12.260000,10.948742,19800
2014-07-23,12.350000,12.410000,12.300000,12.340000,11.020185,12200
2014-07-24,12.310000,12.410000,12.310000,12.370000,11.046980,11900
2014-07-25,12.300000,12.420000,12.300000,12.420000,11.091632,16100
2014-07-28,12.380000,12.420000,12.300000,12.400000,11.073771,14000
2014-07-29,12.340000,12.420000,12.270000,12.380000,11.055907,13200
2014-07-30,12.330000,12.400000,12.330000,12.400000,11.073771,400
2014-07-31,12.310000,12.400000,12.300000,12.350000,11.029118,6000
2014-08-01,12.250000,12.250000,11.950000,11.950000,10.671896,3700
2014-08-04,12.060000,12.260000,12.060000,12.200000,10.959355,7200
2014-08-05,12.150000,12.450000,12.150000,12.310000,11.058173,15900
2014-08-06,12.350000,12.430000,12.160000,12.260000,11.013255,27000
2014-08-07,12.210000,12.210000,12.180000,12.180000,10.941391,600
2014-08-08,12.350000,12.450000,12.100000,12.300000,11.049188,21700
2014-08-11,12.360000,12.360000,12.240000,12.240000,10.995291,700
2014-08-12,12.200000,12.200000,12.080000,12.160000,10.923425,1100
2014-08-13,12.160000,12.440000,12.160000,12.440000,11.174952,18500
2014-08-14,12.440000,12.440000,12.440000,12.440000,11.174952,0
2014-08-15,12.440000,12.440000,12.440000,12.440000,11.174952,0
2014-08-18,12.440000,12.440000,12.440000,12.440000,11.174952,0
2014-08-19,12.430000,12.430000,12.430000,12.430000,11.165970,200
2014-08-20,12.390000,12.430000,12.200000,12.310000,11.058173,8600
2014-08-21,12.330000,12.340000,12.330000,12.340000,11.085120,300
2014-08-22,12.340000,12.340000,12.340000,12.340000,11.085120,0
2014-08-25,12.390000,12.390000,12.220000,12.220000,10.977324,200
2014-08-26,12.170000,12.370000,12.170000,12.370000,11.112071,1300
2014-08-27,12.370000,12.370000,12.370000,12.370000,11.112071,0
2014-08-28,12.370000,12.370000,12.370000,12.370000,11.112071,0
2014-08-29,12.270000,12.330000,12.270000,12.330000,11.076138,1300
2014-09-02,12.250000,12.300000,12.250000,12.300000,11.049188,600
2014-09-03,12.250000,12.300000,12.250000,12.300000,11.049188,1200
2014-09-04,12.300000,12.300000,12.300000,12.300000,11.049188,0
2014-09-05,12.300000,12.300000,12.300000,12.300000,11.049188,0
2014-09-08,12.300000,12.300000,12.300000,12.300000,11.049188,0
2014-09-09,12.300000,12.300000,12.300000,12.300000,11.049188,0
2014-09-10,12.300000,12.300000,12.300000,12.300000,11.049188,0
2014-09-11,12.320000,12.420000,12.320000,12.340000,11.085120,2200
2014-09-12,12.340000,12.340000,12.340000,12.340000,11.085120,0
2014-09-15,12.340000,12.340000,12.340000,12.340000,11.085120,0
2014-09-16,12.450000,12.480000,12.450000,12.480000,11.210884,8200
2014-09-17,12.480000,12.480000,12.480000,12.480000,11.210884,0
2014-09-18,12.330000,12.590000,12.330000,12.590000,11.309698,4200
2014-09-19,12.580000,12.900000,12.580000,12.900000,11.588177,1800
2014-09-22,12.900000,12.900000,12.900000,12.900000,11.588177,0
2014-09-23,12.900000,12.900000,12.900000,12.900000,11.588177,0
2014-09-24,13.020000,13.020000,12.530000,12.850000,11.543259,5100
2014-09-25,12.440000,12.650000,12.400000,12.650000,11.363597,900
2014-09-26,12.400000,12.400000,12.400000,12.400000,11.139020,700
2014-09-29,12.400000,12.400000,12.400000,12.400000,11.139020,0
2014-09-30,12.600000,12.600000,12.590000,12.600000,11.318682,600
2014-10-01,12.600000,12.600000,12.600000,12.600000,11.318682,0
2014-10-02,12.600000,12.600000,12.600000,12.600000,11.318682,0
2014-10-03,12.600000,12.600000,12.600000,12.600000,11.318682,0
2014-10-06,12.720000,12.720000,12.720000,12.720000,11.426478,300
2014-10-07,12.720000,12.720000,12.720000,12.720000,11.426478,0
2014-10-08,13.090000,13.090000,13.090000,13.090000,11.758853,700
2014-10-09,12.840000,12.850000,12.660000,12.660000,11.372579,2000
2014-10-10,12.610000,12.630000,12.600000,12.600000,11.318682,1400
2014-10-13,12.610000,12.840000,12.610000,12.840000,11.534275,900
2014-10-14,12.840000,12.840000,12.840000,12.840000,11.534275,0
2014-10-15,12.840000,12.840000,12.840000,12.840000,11.534275,0
2014-10-16,12.840000,12.840000,12.840000,12.840000,11.534275,0
2014-10-17,12.500000,12.650000,12.500000,12.600000,11.318682,400
2014-10-20,12.900000,12.900000,12.520000,12.610000,11.327663,3900
2014-10-21,12.610000,12.610000,12.610000,12.610000,11.327663,0
2014-10-22,12.640000,12.640000,12.640000,12.640000,11.354611,100
2014-10-23,12.640000,12.640000,12.640000,12.640000,11.354611,0
2014-10-24,12.640000,12.640000,12.640000,12.640000,11.354611,0
2014-10-27,12.610000,12.610000,12.610000,12.610000,11.327663,200
2014-10-28,12.620000,12.620000,12.610000,12.610000,11.327663,700
2014-10-29,12.610000,12.610000,12.610000,12.610000,11.327663,0
2014-10-30,12.610000,12.610000,12.610000,12.610000,11.327663,0
2014-10-31,12.750000,12.750000,12.730000,12.750000,11.517363,10000
2014-11-03,12.990000,12.990000,12.990000,12.990000,11.734159,500
2014-11-04,12.990000,12.990000,12.990000,12.990000,11.734159,0
2014-11-05,12.630000,12.630000,12.630000,12.630000,11.408960,500
2014-11-06,12.630000,12.630000,12.630000,12.630000,11.408960,0
2014-11-07,12.630000,12.630000,12.630000,12.630000,11.408960,0
2014-11-10,12.750000,12.750000,12.750000,12.750000,11.517363,2500
2014-11-11,12.750000,12.780000,12.700000,12.770000,11.535429,34600
2014-11-12,12.800000,12.800000,12.800000,12.800000,11.562528,100
2014-11-13,12.830000,12.830000,12.700000,12.700000,11.472194,1100
2014-11-14,12.800000,12.800000,12.750000,12.750000,11.517363,500
2014-11-17,12.850000,13.150000,12.750000,13.150000,11.878691,69500
2014-11-18,13.150000,13.160000,13.000000,13.000000,11.743193,4500
2014-11-19,13.000000,13.000000,13.000000,13.000000,11.743193,0
2014-11-20,13.000000,13.000000,13.000000,13.000000,11.743193,0
2014-11-21,13.000000,13.000000,13.000000,13.000000,11.743193,0
