Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,8.300000,8.300000,7.910000,7.910000,6.904897,49400
2014-07-08,7.950000,7.950000,7.710000,7.850000,6.852521,50800
2014-07-09,7.850000,7.950000,7.660000,7.700000,6.721581,41300
2014-07-10,7.550000,7.610000,7.350000,7.460000,6.512078,47700
2014-07-11,7.410000,7.510000,7.350000,7.420000,6.477160,61600
2014-07-14,7.530000,7.530000,7.330000,7.410000,6.468431,47200
2014-07-15,7.380000,7.440000,7.230000,7.280000,6.354950,99800
2014-07-16,7.360000,7.360000,7.150000,7.260000,6.337492,90300
2014-07-17,7.220000,7.370000,7.170000,7.360000,6.424784,50600
2014-07-18,7.300000,7.570000,7.300000,7.450000,6.503348,37000
2014-07-21,7.360000,7.530000,7.330000,7.430000,6.485890,20900
2014-07-22,7.500000,7.590000,7.370000,7.460000,6.512078,25900
2014-07-23,7.500000,7.510000,7.440000,7.450000,6.503348,24000
2014-07-24,7.460000,7.530000,7.300000,7.330000,6.398596,32200
2014-07-25,7.230000,7.350000,7.210000,7.210000,6.293844,23700
2014-07-28,7.310000,7.320000,7.180000,7.270000,6.346221,47700
2014-07-29,7.280000,7.400000,7.280000,7.310000,6.381137,16300
2014-07-30,7.400000,7.400000,7.200000,7.330000,6.398596,14900
2014-07-31,7.210000,7.290000,7.120000,7.140000,6.232739,43100
2014-08-01,7.170000,7.180000,7.020000,7.050000,6.154175,41200
2014-08-04,7.090000,7.170000,6.960000,7.100000,6.197822,41600
2014-08-05,7.020000,7.120000,6.970000,7.110000,6.206551,25600
2014-08-06,7.030000,7.150000,6.960000,7.010000,6.119258,44500
2014-08-07,7.000000,7.030000,6.850000,6.860000,5.988319,41700
2014-08-08,6.850000,6.930000,6.820000,6.840000,5.970860,36500
2014-08-11,6.850000,7.040000,6.850000,6.950000,6.066882,23300
2014-08-12,6.900000,6.960000,6.850000,6.870000,5.997048,14300
2014-08-13,6.900000,7.070000,6.860000,7.010000,6.119258,22400
2014-08-14,6.980000,7.080000,6.980000,7.030000,6.136717,10000
2014-08-15,7.130000,7.180000,6.950000,7.060000,6.162904,31600
2014-08-18,7.160000,7.390000,7.090000,7.350000,6.416055,44600
2014-08-19,7.360000,7.500000,7.210000,7.250000,6.328762,29700
2014-08-20,7.180000,7.270000,6.830000,6.880000,6.005778,42900
2014-08-21,6.860000,6.990000,6.710000,6.730000,5.874838,82700
2014-08-22,6.850000,6.850000,6.650000,6.790000,5.927213,40400
2014-08-25,6.830000,7.040000,6.810000,6.960000,6.075612,29800
2014-08-26,7.010000,7.040000,6.900000,6.900000,6.023236,36700
2014-08-27,6.940000,7.040000,6.850000,6.920000,6.040694,40300
2014-08-28,6.800000,6.940000,6.800000,6.870000,6.049500,22900
2014-08-29,6.880000,7.070000,6.850000,7.030000,6.190391,28300
2014-09-02,7.090000,7.630000,6.990000,7.190000,6.331282,79300
2014-09-03,7.250000,7.250000,6.810000,6.830000,6.014278,17500
2014-09-04,6.830000,7.000000,6.780000,6.850000,6.031889,38200
2014-09-05,6.880000,6.880000,6.760000,6.810000,5.996666,33800
2014-09-08,6.890000,6.960000,6.760000,6.850000,6.031889,42200
2014-09-09,6.850000,6.970000,6.690000,6.750000,5.943831,55400
2014-09-10,6.720000,6.840000,6.660000,6.740000,5.935025,40400
2014-09-11,6.680000,6.820000,6.580000,6.780000,5.970249,42300
2014-09-12,6.760000,6.760000,6.670000,6.690000,5.890997,49400
2014-09-15,6.670000,6.710000,6.490000,6.540000,5.758913,42000
2014-09-16,6.510000,6.720000,6.500000,6.590000,5.802941,41900
2014-09-17,6.620000,6.660000,6.450000,6.500000,5.723690,66600
2014-09-18,6.520000,6.590000,6.420000,6.440000,5.670856,32600
2014-09-19,6.420000,6.450000,6.060000,6.410000,5.644438,134600
2014-09-22,6.330000,6.570000,6.170000,6.510000,5.732496,51400
2014-09-23,6.460000,6.610000,6.260000,6.280000,5.529964,46900
2014-09-24,6.240000,6.310000,6.150000,6.200000,5.459518,40300
2014-09-25,6.210000,6.210000,6.000000,6.160000,5.424297,629500
2014-09-26,6.160000,6.300000,6.140000,6.290000,5.538771,20300
2014-09-29,6.200000,6.270000,6.200000,6.220000,5.477131,27100
2014-09-30,6.240000,6.350000,6.030000,6.070000,5.345046,90200
2014-10-01,6.070000,6.100000,5.950000,5.960000,5.248183,74000
2014-10-02,5.950000,5.980000,5.610000,5.850000,5.151320,284300
2014-10-03,5.920000,6.170000,5.800000,6.110000,5.380268,77800
2014-10-06,6.110000,6.110000,5.630000,5.960000,5.248183,125100
2014-10-07,5.920000,6.030000,5.790000,5.920000,5.212960,53500
2014-10-08,5.880000,6.100000,5.620000,6.080000,5.353851,72700
2014-10-09,6.060000,6.090000,5.730000,5.830000,5.133708,36100
2014-10-10,5.770000,5.960000,5.690000,5.910000,5.204154,43800
2014-10-13,5.860000,6.260000,5.860000,6.180000,5.441906,34400
2014-10-14,6.260000,6.750000,6.150000,6.550000,5.767718,59100
2014-10-15,6.440000,7.000000,6.280000,6.960000,6.128751,50200
2014-10-16,6.800000,6.900000,6.560000,6.660000,5.864581,58000
