Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,9.500000,9.500000,9.050000,9.100000,9.100000,5900
2014-07-08,9.050000,9.200000,9.000000,9.150000,9.150000,6500
2014-07-09,9.100000,9.150000,8.850000,9.150000,9.150000,7400
2014-07-10,9.000000,9.050000,8.950000,8.950000,8.950000,12400
2014-07-11,9.000000,9.250000,9.000000,9.150000,9.150000,2700
2014-07-14,9.200000,9.200000,8.950000,9.000000,9.000000,1500
2014-07-15,9.150000,9.150000,8.900000,8.900000,8.900000,4200
2014-07-16,8.900000,8.950000,8.850000,8.900000,8.900000,1600
2014-07-17,9.050000,9.500000,9.050000,9.300000,9.300000,18100
2014-07-18,9.650000,9.650000,9.000000,9.450000,9.450000,14600
2014-07-21,9.250000,9.650000,9.250000,9.550000,9.550000,6000
2014-07-22,9.250000,9.550000,9.250000,9.500000,9.500000,3500
2014-07-23,9.250000,9.600000,9.250000,9.600000,9.600000,10100
2014-07-24,9.550000,9.600000,9.350000,9.450000,9.450000,10400
2014-07-25,9.400000,9.500000,9.350000,9.500000,9.500000,1600
2014-07-28,9.400000,9.500000,9.250000,9.250000,9.250000,1500
2014-07-29,9.450000,9.450000,9.300000,9.350000,9.350000,7000
2014-07-30,9.300000,9.500000,9.300000,9.450000,9.450000,5200
2014-07-31,9.500000,9.500000,9.250000,9.450000,9.450000,1600
2014-08-01,9.350000,9.350000,9.250000,9.250000,9.250000,6500
2014-08-04,9.250000,9.400000,9.250000,9.350000,9.350000,1000
2014-08-05,9.000000,9.350000,9.000000,9.300000,9.300000,3800
2014-08-06,9.250000,9.350000,9.250000,9.300000,9.300000,6900
2014-08-07,9.050000,9.200000,9.000000,9.200000,9.200000,5100
2014-08-08,9.000000,9.300000,9.000000,9.200000,9.200000,21800
2014-08-11,9.250000,9.250000,9.250000,9.250000,9.250000,1700
2014-08-12,9.000000,9.350000,9.000000,9.350000,9.350000,1900
2014-08-13,9.050000,9.350000,9.050000,9.250000,9.250000,4600
2014-08-14,9.000000,9.350000,9.000000,9.200000,9.200000,5500
2014-08-15,9.000000,9.250000,9.000000,9.250000,9.250000,7100
2014-08-18,9.250000,9.350000,9.100000,9.100000,9.100000,4100
2014-08-19,9.000000,9.450000,9.000000,9.450000,9.450000,6700
2014-08-20,9.450000,9.450000,9.150000,9.250000,9.250000,77500
2014-08-21,9.150000,9.250000,9.150000,9.150000,9.150000,1700
2014-08-22,9.350000,9.350000,9.150000,9.150000,9.150000,4700
