Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,6.580000,6.620000,6.580000,6.600000,4.249103,88600
2014-07-08,6.600000,6.640000,6.590000,6.640000,4.274856,136800
2014-07-09,6.620000,6.630000,6.600000,6.600000,4.249103,102300
2014-07-10,6.590000,6.610000,6.590000,6.600000,4.249103,109400
2014-07-11,6.590000,6.620000,6.590000,6.620000,4.261981,73600
2014-07-14,6.610000,6.630000,6.610000,6.620000,4.261981,105100
2014-07-15,6.600000,6.610000,6.580000,6.610000,4.276863,104000
2014-07-16,6.600000,6.600000,6.580000,6.580000,4.257450,155300
2014-07-17,6.600000,6.600000,6.530000,6.540000,4.231572,236900
2014-07-18,6.540000,6.550000,6.530000,6.530000,4.225100,92200
2014-07-21,6.520000,6.560000,6.520000,6.530000,4.225100,108100
2014-07-22,6.530000,6.560000,6.530000,6.550000,4.238041,140400
2014-07-23,6.550000,6.590000,6.550000,6.590000,4.263921,94400
2014-07-24,6.570000,6.590000,6.560000,6.570000,4.250980,90900
2014-07-25,6.570000,6.580000,6.560000,6.570000,4.250980,79900
2014-07-28,6.570000,6.590000,6.550000,6.580000,4.257450,132500
2014-07-29,6.580000,6.600000,6.560000,6.560000,4.244512,237100
2014-07-30,6.580000,6.580000,6.510000,6.520000,4.218629,275700
2014-07-31,6.480000,6.500000,6.430000,6.490000,4.199219,232000
2014-08-01,6.450000,6.480000,6.450000,6.460000,4.179809,155000
2014-08-04,6.440000,6.470000,6.430000,6.450000,4.173337,200700
2014-08-05,6.440000,6.450000,6.420000,6.420000,4.153926,179200
2014-08-06,6.390000,6.440000,6.380000,6.380000,4.128045,312400
2014-08-07,6.390000,6.420000,6.390000,6.410000,4.147456,158800
2014-08-08,6.400000,6.460000,6.400000,6.460000,4.179809,131600
2014-08-11,6.440000,6.460000,6.440000,6.450000,4.173337,105800
2014-08-12,6.400000,6.430000,6.400000,6.410000,4.168136,182800
2014-08-13,6.400000,6.430000,6.400000,6.410000,4.168136,174500
2014-08-14,6.400000,6.440000,6.400000,6.420000,4.174638,164200
2014-08-15,6.420000,6.450000,6.420000,6.450000,4.194146,145800
2014-08-18,6.470000,6.470000,6.440000,6.470000,4.207150,165600
2014-08-19,6.480000,6.510000,6.480000,6.510000,4.233161,91800
2014-08-20,6.510000,6.520000,6.500000,6.500000,4.226659,103700
2014-08-21,6.510000,6.530000,6.500000,6.520000,4.239662,294900
2014-08-22,6.510000,6.520000,6.480000,6.510000,4.233161,322300
2014-08-25,6.490000,6.520000,6.490000,6.520000,4.239662,215500
2014-08-26,6.520000,6.530000,6.490000,6.500000,4.226659,148800
2014-08-27,6.500000,6.540000,6.500000,6.540000,4.252669,290100
2014-08-28,6.510000,6.530000,6.500000,6.500000,4.226659,338300
2014-08-29,6.510000,6.530000,6.510000,6.530000,4.246164,322300
2014-09-02,6.510000,6.550000,6.510000,6.550000,4.259169,250500
2014-09-03,6.530000,6.590000,6.530000,6.580000,4.278679,286200
2014-09-04,6.550000,6.590000,6.550000,6.560000,4.265674,377300
2014-09-05,6.540000,6.560000,6.530000,6.560000,4.265674,130500
2014-09-08,6.540000,6.570000,6.540000,6.560000,4.265674,335900
2014-09-09,6.540000,6.560000,6.520000,6.560000,4.265674,197100
2014-09-10,6.530000,6.550000,6.480000,6.480000,4.213652,209900
2014-09-11,6.470000,6.480000,6.460000,6.480000,4.213652,163200
2014-09-12,6.450000,6.460000,6.440000,6.450000,4.194146,120200
2014-09-15,6.440000,6.460000,6.430000,6.430000,4.181141,91700
2014-09-16,6.390000,6.410000,6.380000,6.390000,4.175912,190300
2014-09-17,6.390000,6.400000,6.380000,6.380000,4.169377,164300
2014-09-18,6.390000,6.400000,6.380000,6.390000,4.175912,157600
2014-09-19,6.380000,6.420000,6.380000,6.390000,4.175912,190900
2014-09-22,6.380000,6.400000,6.380000,6.380000,4.169377,145000
2014-09-23,6.370000,6.420000,6.370000,6.410000,4.188982,142400
2014-09-24,6.410000,6.440000,6.410000,6.410000,4.188982,206700
2014-09-25,6.410000,6.440000,6.370000,6.370000,4.162842,200000
2014-09-26,6.350000,6.390000,6.350000,6.370000,4.162842,121700
2014-09-29,6.350000,6.390000,6.350000,6.380000,4.169377,191100
2014-09-30,6.360000,6.430000,6.360000,6.420000,4.195517,163500
2014-10-01,6.380000,6.410000,6.370000,6.400000,4.182448,161600
2014-10-02,6.370000,6.390000,6.350000,6.390000,4.175912,139100
2014-10-03,6.380000,6.410000,6.380000,6.400000,4.182448,80700
2014-10-06,6.390000,6.410000,6.390000,6.410000,4.188982,85400
2014-10-07,6.390000,6.400000,6.380000,6.380000,4.169377,84100
2014-10-08,6.370000,6.400000,6.360000,6.400000,4.182448,133900
2014-10-09,6.400000,6.410000,6.360000,6.360000,4.156308,87100
2014-10-10,6.360000,6.370000,6.340000,6.350000,4.149771,59900
2014-10-13,6.350000,6.360000,6.320000,6.320000,4.130168,121100
2014-10-14,6.290000,6.320000,6.280000,6.280000,4.124913,172900
2014-10-15,6.260000,6.280000,6.140000,6.230000,4.092071,557300
2014-10-16,6.160000,6.280000,6.160000,6.260000,4.111774,201000
2014-10-17,6.290000,6.330000,6.260000,6.290000,4.131481,267900
2014-10-20,6.300000,6.330000,6.300000,6.320000,4.151186,144900
2014-10-21,6.320000,6.370000,6.310000,6.360000,4.177459,195900
2014-10-22,6.340000,6.380000,6.340000,6.340000,4.164323,201700
2014-10-23,6.340000,6.390000,6.340000,6.350000,4.170891,238600
2014-10-24,6.350000,6.380000,6.350000,6.350000,4.170891,257200
2014-10-27,6.350000,6.360000,6.340000,6.350000,4.170891,205000
2014-10-28,6.350000,6.370000,6.350000,6.360000,4.177459,174400
2014-10-29,6.360000,6.370000,6.330000,6.330000,4.157755,124600
2014-10-30,6.340000,6.370000,6.340000,6.350000,4.170891,321300
2014-10-31,6.360000,6.380000,6.360000,6.370000,4.184027,110900
2014-11-03,6.370000,6.400000,6.370000,6.400000,4.203732,148600
2014-11-04,6.370000,6.380000,6.350000,6.370000,4.184027,158000
2014-11-05,6.370000,6.380000,6.340000,6.360000,4.177459,202600
2014-11-06,6.360000,6.370000,6.340000,6.350000,4.170891,204200
2014-11-07,6.340000,6.370000,6.340000,6.360000,4.177459,235700
2014-11-10,6.360000,6.370000,6.340000,6.350000,4.170891,331600
2014-11-11,6.350000,6.360000,6.340000,6.350000,4.170891,186100
2014-11-12,6.350000,6.380000,6.350000,6.380000,4.190595,115300
2014-11-13,6.350000,6.370000,6.330000,6.350000,4.170891,78500
2014-11-14,6.350000,6.370000,6.340000,6.340000,4.164323,249600
2014-11-17,6.350000,6.350000,6.330000,6.330000,4.157755,303200
2014-11-18,6.320000,6.320000,6.300000,6.300000,4.159074,138700
2014-11-19,6.310000,6.310000,6.290000,6.310000,4.165675,222000
2014-11-20,6.290000,6.330000,6.290000,6.330000,4.178881,154000
2014-11-21,6.340000,6.360000,6.310000,6.310000,4.165675,183500
2014-11-24,6.310000,6.330000,6.300000,6.320000,4.172279,130500
2014-11-25,6.320000,6.340000,6.320000,6.330000,4.178881,111100
2014-11-26,6.320000,6.350000,6.320000,6.330000,4.178881,86300
2014-11-28,6.350000,6.360000,6.310000,6.360000,4.198686,123400
2014-12-01,6.320000,6.350000,6.320000,6.350000,4.192083,243400
2014-12-02,6.350000,6.370000,6.340000,6.360000,4.198686,175700
2014-12-03,6.350000,6.380000,6.330000,6.380000,4.211888,132800
2014-12-04,6.350000,6.360000,6.320000,6.320000,4.172279,202200
2014-12-05,6.320000,6.330000,6.300000,6.320000,4.172279,234500
2014-12-08,6.320000,6.330000,6.290000,6.290000,4.152472,279100
2014-12-09,6.280000,6.300000,6.260000,6.270000,4.139269,249000
2014-12-10,6.260000,6.280000,6.240000,6.260000,4.132666,269400
2014-12-11,6.240000,6.270000,6.240000,6.270000,4.139269,201200
2014-12-12,6.230000,6.240000,6.200000,6.200000,4.093058,185800
2014-12-15,6.210000,6.230000,6.160000,6.200000,4.093058,326000
2014-12-16,6.030000,6.070000,5.970000,6.070000,4.092383,288000
2014-12-17,6.060000,6.110000,6.020000,6.060000,4.085640,258400
2014-12-18,6.100000,6.140000,6.070000,6.090000,4.105867,313200
2014-12-19,6.100000,6.180000,6.100000,6.170000,4.159804,130800
2014-12-22,6.170000,6.180000,6.110000,6.160000,4.153061,333100
2014-12-23,6.170000,6.230000,6.170000,6.230000,4.200254,264400
2014-12-24,6.230000,6.250000,6.210000,6.210000,4.186769,144700
2014-12-26,6.240000,6.300000,6.240000,6.290000,4.240707,467900
2014-12-29,6.290000,6.440000,6.290000,6.440000,4.341836,573000
2014-12-30,6.390000,6.460000,6.350000,6.450000,4.348577,867400
2014-12-31,6.460000,6.520000,6.420000,6.500000,4.382288,1867000
2015-01-02,6.450000,6.490000,6.380000,6.490000,4.375547,565100
2015-01-05,6.460000,6.460000,6.270000,6.330000,4.267674,243000
2015-01-06,6.330000,6.360000,6.300000,6.320000,4.260932,225200
2015-01-07,6.290000,6.310000,6.270000,6.290000,4.240707,242500
2015-01-08,6.290000,6.340000,6.260000,6.340000,4.274416,314600
2015-01-09,6.320000,6.330000,6.270000,6.280000,4.233965,232500
2015-01-12,6.290000,6.360000,6.280000,6.360000,4.287901,130700
2015-01-13,6.300000,6.310000,6.280000,6.310000,4.275703,148200
2015-01-14,6.270000,6.300000,6.250000,6.290000,4.262151,235200
2015-01-15,6.300000,6.320000,6.290000,6.310000,4.275703,138000
2015-01-16,6.240000,6.310000,6.240000,6.310000,4.275703,169200
2015-01-20,6.290000,6.310000,6.250000,6.310000,4.275703,137500
2015-01-21,6.290000,6.300000,6.250000,6.260000,4.241825,187500
2015-01-22,6.280000,6.320000,6.270000,6.280000,4.255376,156700
2015-01-23,6.280000,6.300000,6.270000,6.300000,4.268928,215300
2015-01-26,6.320000,6.320000,6.270000,6.290000,4.262151,221700
2015-01-27,6.270000,6.290000,6.260000,6.290000,4.262151,167600
2015-01-28,6.280000,6.280000,6.220000,6.220000,4.214719,162500
2015-01-29,6.230000,6.250000,6.220000,6.230000,4.221494,173700
2015-01-30,6.220000,6.270000,6.220000,6.240000,4.228271,184800
2015-02-02,6.240000,6.300000,6.240000,6.300000,4.268928,182400
2015-02-03,6.300000,6.340000,6.290000,6.300000,4.268928,143200
2015-02-04,6.320000,6.350000,6.290000,6.330000,4.289255,224300
2015-02-05,6.330000,6.330000,6.290000,6.320000,4.282480,109100
2015-02-06,6.300000,6.320000,6.280000,6.280000,4.255376,102000
2015-02-09,6.250000,6.300000,6.250000,6.300000,4.268928,137600
2015-02-10,6.260000,6.310000,6.250000,6.310000,4.275703,175600
2015-02-11,6.280000,6.310000,6.270000,6.310000,4.275703,129000
2015-02-12,6.290000,6.310000,6.290000,6.290000,4.262151,56400
2015-02-13,6.350000,6.430000,6.350000,6.390000,4.329911,497100
2015-02-17,6.370000,6.380000,6.340000,6.370000,4.338086,116200
2015-02-18,6.330000,6.350000,6.300000,6.340000,4.317655,127200
2015-02-19,6.320000,6.340000,6.310000,6.330000,4.310843,127000
2015-02-20,6.340000,6.370000,6.330000,6.370000,4.338086,109400
2015-02-23,6.360000,6.380000,6.320000,6.380000,4.344895,163500
2015-02-24,6.370000,6.410000,6.360000,6.410000,4.365324,92400
2015-02-25,6.400000,6.400000,6.350000,6.370000,4.338086,119500
2015-02-26,6.360000,6.400000,6.350000,6.400000,4.358517,143500
2015-02-27,6.390000,6.400000,6.340000,6.400000,4.358517,296500
2015-03-02,6.380000,6.420000,6.380000,6.420000,4.372136,256600
2015-03-03,6.410000,6.440000,6.380000,6.440000,4.385757,139800
2015-03-04,6.400000,6.430000,6.380000,6.430000,4.378946,101400
2015-03-05,6.400000,6.440000,6.400000,6.440000,4.385757,171200
2015-03-06,6.410000,6.450000,6.390000,6.450000,4.392564,176400
2015-03-09,6.420000,6.430000,6.390000,6.420000,4.372136,108200
2015-03-10,6.400000,6.410000,6.380000,6.390000,4.351703,89000
2015-03-11,6.370000,6.390000,6.330000,6.390000,4.351703,129400
2015-03-12,6.390000,6.390000,6.350000,6.370000,4.338086,135000
2015-03-13,6.360000,6.400000,6.350000,6.400000,4.358517,76000
2015-03-16,6.400000,6.410000,6.350000,6.410000,4.365324,155400
2015-03-17,6.360000,6.360000,6.320000,6.360000,4.353005,76500
2015-03-18,6.340000,6.380000,6.340000,6.380000,4.366694,119300
2015-03-19,6.360000,6.380000,6.320000,6.330000,4.332472,123300
2015-03-20,6.340000,6.360000,6.330000,6.360000,4.353005,153900
2015-03-23,6.350000,6.360000,6.330000,6.350000,4.346160,140600
2015-03-24,6.340000,6.360000,6.340000,6.340000,4.339318,92500
2015-03-25,6.340000,6.360000,6.340000,6.360000,4.353005,158100
2015-03-26,6.320000,6.360000,6.320000,6.360000,4.353005,151300
2015-03-27,6.350000,6.400000,6.350000,6.380000,4.366694,827700
2015-03-30,6.380000,6.410000,6.380000,6.400000,4.380384,233900
2015-03-31,6.400000,6.420000,6.350000,6.350000,4.346160,242600
2015-04-01,6.360000,6.390000,6.350000,6.350000,4.346160,152800
2015-04-02,6.380000,6.390000,6.350000,6.350000,4.346160,128600
2015-04-06,6.380000,6.390000,6.360000,6.370000,4.359850,126800
2015-04-07,6.370000,6.390000,6.370000,6.380000,4.366694,112800
2015-04-08,6.370000,6.380000,6.360000,6.370000,4.359850,174200
2015-04-09,6.370000,6.400000,6.370000,6.400000,4.380384,123500
2015-04-10,6.390000,6.410000,6.380000,6.380000,4.366694,92800
2015-04-13,6.380000,6.380000,6.370000,6.370000,4.359850,101300
2015-04-14,6.350000,6.400000,6.350000,6.400000,4.402499,115400
2015-04-15,6.400000,6.420000,6.390000,6.410000,4.409377,218800
2015-04-16,6.410000,6.450000,6.410000,6.430000,4.423135,188000
2015-04-17,6.430000,6.450000,6.420000,6.440000,4.430015,190200
2015-04-20,6.420000,6.450000,6.420000,6.440000,4.430015,127200
2015-04-21,6.440000,6.440000,6.420000,6.440000,4.430015,129800
2015-04-22,6.440000,6.440000,6.420000,6.440000,4.430015,158200
2015-04-23,6.430000,6.450000,6.430000,6.440000,4.430015,90100
2015-04-24,6.440000,6.460000,6.430000,6.460000,4.443773,122900
2015-04-27,6.450000,6.460000,6.430000,6.450000,4.436893,135600
2015-04-28,6.450000,6.470000,6.440000,6.470000,4.450650,156900
2015-04-29,6.420000,6.490000,6.420000,6.460000,4.443773,187500
2015-04-30,6.480000,6.480000,6.450000,6.480000,4.457531,285400
2015-05-01,6.460000,6.500000,6.440000,6.500000,4.471288,217100
2015-05-04,6.490000,6.490000,6.440000,6.450000,4.436893,128500
2015-05-05,6.440000,6.450000,6.420000,6.450000,4.436893,159800
2015-05-06,6.440000,6.440000,6.390000,6.390000,4.395620,66500
2015-05-07,6.380000,6.390000,6.360000,6.390000,4.395620,120900
2015-05-08,6.390000,6.430000,6.380000,6.430000,4.423135,138700
2015-05-11,6.420000,6.420000,6.380000,6.380000,4.388741,105000
2015-05-12,6.340000,6.390000,6.330000,6.380000,4.422010,110200
2015-05-13,6.360000,6.380000,6.350000,6.380000,4.422010,76900
2015-05-14,6.370000,6.390000,6.360000,6.380000,4.422010,73100
2015-05-15,6.380000,6.420000,6.370000,6.410000,4.442803,98600
2015-05-18,6.400000,6.410000,6.380000,6.410000,4.442803,76800
2015-05-19,6.400000,6.400000,6.390000,6.400000,4.435872,93900
2015-05-20,6.400000,6.440000,6.390000,6.440000,4.463597,72400
2015-05-21,6.430000,6.430000,6.390000,6.420000,4.449734,269400
2015-05-22,6.410000,6.420000,6.370000,6.380000,4.422010,136900
