Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,6.140000,6.150000,6.080000,6.100000,5.279855,1981100
2014-07-08,6.130000,6.140000,6.080000,6.100000,5.279855,1029500
2014-07-09,6.080000,6.080000,6.040000,6.040000,5.227922,2775700
2014-07-10,5.910000,5.930000,5.900000,5.910000,5.115401,2049300
2014-07-11,5.910000,5.920000,5.880000,5.900000,5.106745,765400
2014-07-14,5.950000,5.950000,5.920000,5.940000,5.141367,726100
2014-07-15,5.970000,5.990000,5.950000,5.980000,5.175990,954000
2014-07-16,5.970000,5.980000,5.960000,5.980000,5.175990,310800
2014-07-17,5.950000,5.960000,5.880000,5.910000,5.115401,859500
2014-07-18,5.910000,5.950000,5.910000,5.950000,5.150023,582900
2014-07-21,5.900000,5.930000,5.890000,5.920000,5.124057,416800
2014-07-22,5.890000,5.900000,5.850000,5.890000,5.098090,913200
2014-07-23,5.880000,5.890000,5.860000,5.870000,5.080779,863500
2014-07-24,5.880000,5.890000,5.860000,5.860000,5.072123,410600
2014-07-25,5.870000,5.880000,5.840000,5.850000,5.063468,680400
2014-07-28,5.920000,5.970000,5.920000,5.970000,5.167334,1180200
2014-07-29,5.960000,5.960000,5.890000,5.890000,5.098090,1241900
2014-07-30,5.930000,5.980000,5.930000,5.970000,5.167334,792900
2014-07-31,5.960000,5.990000,5.900000,5.900000,5.106745,597400
2014-08-01,5.980000,6.030000,5.960000,5.980000,5.175990,1130600
2014-08-04,5.890000,5.910000,5.850000,5.910000,5.115401,638300
2014-08-05,5.890000,5.890000,5.790000,5.800000,5.020191,1063400
2014-08-06,5.720000,5.740000,5.690000,5.730000,4.959602,2212500
2014-08-07,5.790000,5.790000,5.700000,5.720000,4.950946,1258700
2014-08-08,5.650000,5.690000,5.640000,5.690000,4.924980,605100
2014-08-11,5.710000,5.740000,5.710000,5.720000,4.950946,687100
2014-08-12,5.730000,5.780000,5.720000,5.720000,4.950946,885600
2014-08-13,5.800000,5.830000,5.790000,5.800000,5.020191,1448700
2014-08-14,5.790000,5.800000,5.740000,5.750000,4.976913,2071100
2014-08-15,5.740000,5.770000,5.700000,5.720000,4.950946,5354200
2014-08-18,5.760000,5.790000,5.750000,5.780000,5.002880,1964500
2014-08-19,5.750000,5.780000,5.740000,5.770000,4.994223,922700
2014-08-20,5.720000,5.720000,5.690000,5.710000,4.942291,611900
2014-08-21,5.770000,5.820000,5.770000,5.810000,5.028846,734700
2014-08-22,5.800000,5.820000,5.790000,5.800000,5.020191,861800
2014-08-25,5.810000,5.820000,5.800000,5.810000,5.028846,349700
2014-08-26,5.760000,5.760000,5.750000,5.750000,4.976913,390300
2014-08-27,5.760000,5.760000,5.720000,5.730000,4.959602,400200
2014-08-28,5.710000,5.720000,5.700000,5.710000,4.942291,2787500
2014-08-29,5.740000,5.770000,5.730000,5.770000,4.994223,907600
2014-09-02,5.820000,5.860000,5.800000,5.830000,5.046158,1872000
2014-09-03,5.870000,5.890000,5.840000,5.860000,5.072123,1996300
2014-09-04,5.850000,5.850000,5.790000,5.810000,5.028846,1070300
2014-09-05,5.750000,5.770000,5.730000,5.770000,4.994223,571500
2014-09-08,5.790000,5.790000,5.750000,5.770000,4.994223,1171300
2014-09-09,5.700000,5.700000,5.630000,5.640000,4.881702,1055400
2014-09-10,5.710000,5.740000,5.690000,5.730000,4.959602,972200
2014-09-11,5.750000,5.800000,5.740000,5.790000,5.011535,1092800
2014-09-12,5.770000,5.820000,5.770000,5.800000,5.020191,1731700
2014-09-15,5.810000,5.810000,5.770000,5.800000,5.020191,1286300
2014-09-16,5.740000,5.760000,5.720000,5.740000,4.968257,681900
2014-09-17,5.700000,5.710000,5.650000,5.670000,4.907669,1501500
2014-09-18,5.730000,5.780000,5.720000,5.770000,4.994223,1456700
2014-09-19,5.770000,5.800000,5.750000,5.750000,4.976913,1166100
2014-09-22,5.840000,5.850000,5.770000,5.790000,5.011535,2608200
2014-09-23,5.790000,5.800000,5.750000,5.770000,4.994223,866100
2014-09-24,5.790000,5.820000,5.760000,5.800000,5.020191,1202400
2014-09-25,5.790000,5.800000,5.700000,5.730000,4.959602,1712300
2014-09-26,5.720000,5.730000,5.690000,5.720000,5.015749,7151400
2014-09-29,5.640000,5.650000,5.600000,5.620000,4.928061,1049600
2014-09-30,5.620000,5.620000,5.580000,5.610000,4.919293,1021200
2014-10-01,5.610000,5.610000,5.540000,5.560000,4.875449,755600
2014-10-02,5.470000,5.470000,5.390000,5.470000,4.796529,2068400
2014-10-03,5.510000,5.530000,5.500000,5.520000,4.840374,1398900
2014-10-06,5.560000,5.570000,5.520000,5.540000,4.857911,1108700
2014-10-07,5.550000,5.560000,5.520000,5.530000,4.849143,1677400
2014-10-08,5.520000,5.610000,5.500000,5.610000,4.919293,1220000
2014-10-09,5.520000,5.540000,5.450000,5.470000,4.796529,875700
2014-10-10,5.420000,5.430000,5.330000,5.340000,4.682536,9950000
2014-10-13,5.380000,5.390000,5.300000,5.320000,4.664998,2063800
2014-10-14,5.350000,5.370000,5.310000,5.340000,4.682536,1023900
2014-10-15,5.290000,5.320000,5.220000,5.300000,4.647460,1962200
2014-10-16,5.160000,5.250000,5.130000,5.230000,4.586078,889500
2014-10-17,5.210000,5.260000,5.200000,5.250000,4.603616,2413700
2014-10-20,5.280000,5.360000,5.280000,5.340000,4.682536,1067000
2014-10-21,5.340000,5.370000,5.320000,5.370000,4.708841,835300
2014-10-22,5.380000,5.400000,5.330000,5.340000,4.682536,892200
2014-10-23,5.380000,5.430000,5.380000,5.410000,4.743917,735100
2014-10-24,5.390000,5.450000,5.380000,5.430000,4.761454,1281300
2014-10-27,5.410000,5.440000,5.380000,5.410000,4.743917,497000
2014-10-28,5.460000,5.500000,5.460000,5.470000,4.796529,2055000
2014-10-29,5.530000,5.560000,5.480000,5.520000,4.840374,945300
2014-10-30,5.530000,5.610000,5.520000,5.580000,4.892985,1830700
2014-10-31,5.790000,5.920000,5.790000,5.880000,5.156051,3203200
2014-11-03,5.880000,5.920000,5.850000,5.900000,5.173588,2105700
2014-11-04,5.580000,5.610000,5.560000,5.600000,4.910524,2784900
2014-11-05,5.580000,5.600000,5.560000,5.580000,4.892985,1668900
2014-11-06,5.460000,5.480000,5.450000,5.460000,4.787761,1833800
2014-11-07,5.450000,5.470000,5.420000,5.460000,4.787761,1962800
2014-11-10,5.510000,5.550000,5.500000,5.530000,4.849143,1185800
2014-11-11,5.530000,5.570000,5.510000,5.550000,4.866680,1536200
2014-11-12,5.490000,5.520000,5.480000,5.510000,4.831605,895100
2014-11-13,5.570000,5.590000,5.530000,5.570000,4.884218,953800
2014-11-14,5.700000,5.840000,5.670000,5.810000,5.094668,4981200
2014-11-17,5.700000,5.720000,5.680000,5.700000,4.998212,1806700
2014-11-18,5.740000,5.770000,5.710000,5.750000,5.042056,873500
2014-11-19,5.720000,5.730000,5.700000,5.720000,5.015749,1032400
2014-11-20,5.640000,5.650000,5.620000,5.630000,4.936830,1290800
2014-11-21,5.740000,5.760000,5.710000,5.740000,5.033286,4063200
2014-11-24,5.740000,5.760000,5.710000,5.720000,5.015749,1129500
2014-11-25,5.750000,5.770000,5.740000,5.770000,5.059593,1616900
2014-11-26,5.740000,5.750000,5.720000,5.720000,5.015749,600100
2014-11-28,5.760000,5.770000,5.740000,5.760000,5.050826,451000
2014-12-01,5.770000,5.790000,5.740000,5.780000,5.068362,1471100
2014-12-02,5.760000,5.790000,5.750000,5.760000,5.050826,1023700
2014-12-03,5.750000,5.770000,5.740000,5.770000,5.059593,506400
2014-12-04,5.730000,5.730000,5.690000,5.710000,5.006981,1017700
2014-12-05,5.750000,5.770000,5.730000,5.760000,5.050826,857700
2014-12-08,5.690000,5.700000,5.630000,5.660000,4.963137,922000
2014-12-09,5.700000,5.730000,5.680000,5.730000,5.024518,1087300
2014-12-10,5.690000,5.710000,5.610000,5.630000,4.936830,1344400
2014-12-11,5.660000,5.700000,5.620000,5.620000,4.928061,1579700
2014-12-12,5.600000,5.620000,5.560000,5.570000,4.884218,1581000
2014-12-15,5.570000,5.580000,5.450000,5.480000,4.805298,2018400
2014-12-16,5.500000,5.560000,5.460000,5.480000,4.805298,1901900
2014-12-17,5.480000,5.580000,5.480000,5.540000,4.857911,1316100
2014-12-18,5.530000,5.570000,5.520000,5.560000,4.875449,1224800
2014-12-19,5.660000,5.710000,5.610000,5.700000,4.998212,1857500
2014-12-22,5.600000,5.630000,5.600000,5.630000,4.936830,715300
2014-12-23,5.640000,5.650000,5.620000,5.630000,4.936830,821100
2014-12-24,5.620000,5.640000,5.600000,5.620000,4.928061,715200
2014-12-26,5.630000,5.660000,5.620000,5.650000,4.954368,550800
2014-12-29,5.540000,5.560000,5.530000,5.550000,4.866680,1609300
2014-12-30,5.520000,5.540000,5.500000,5.530000,4.849143,1716500
2014-12-31,5.550000,5.550000,5.510000,5.530000,4.849143,829000
2015-01-02,5.560000,5.560000,5.470000,5.510000,4.831605,1809800
2015-01-05,5.420000,5.420000,5.340000,5.370000,4.708841,996000
2015-01-06,5.330000,5.350000,5.230000,5.250000,4.603616,2330400
2015-01-07,5.290000,5.290000,5.230000,5.250000,4.603616,1088100
2015-01-08,5.260000,5.270000,5.240000,5.270000,4.621154,4177100
2015-01-09,5.270000,5.280000,5.200000,5.220000,4.577311,1195100
2015-01-12,5.220000,5.230000,5.180000,5.220000,4.577311,1384700
2015-01-13,5.280000,5.320000,5.210000,5.260000,4.612385,1551400
2015-01-14,5.180000,5.220000,5.170000,5.210000,4.568541,887400
2015-01-15,5.220000,5.230000,5.190000,5.200000,4.559772,1647800
2015-01-16,5.200000,5.250000,5.200000,5.250000,4.603616,903500
2015-01-20,5.270000,5.300000,5.240000,5.300000,4.647460,4282600
2015-01-21,5.250000,5.290000,5.230000,5.280000,4.629923,10246500
2015-01-22,5.230000,5.290000,5.180000,5.280000,4.629923,2013100
2015-01-23,5.280000,5.290000,5.250000,5.250000,4.603616,852200
2015-01-26,5.290000,5.340000,5.290000,5.330000,4.673766,1498300
2015-01-27,5.390000,5.430000,5.370000,5.390000,4.726379,1357800
2015-01-28,5.410000,5.420000,5.340000,5.350000,4.691304,2316400
2015-01-29,5.340000,5.380000,5.300000,5.370000,4.708841,1402900
2015-01-30,5.330000,5.350000,5.300000,5.300000,4.647460,1620500
2015-02-02,5.300000,5.350000,5.300000,5.350000,4.691304,1163100
2015-02-03,5.320000,5.460000,5.320000,5.390000,4.726379,2165200
2015-02-04,5.540000,5.610000,5.530000,5.560000,4.875449,2343400
2015-02-05,5.560000,5.700000,5.560000,5.680000,4.980674,2582400
2015-02-06,5.700000,5.760000,5.700000,5.710000,5.006981,1564000
2015-02-09,5.720000,5.750000,5.710000,5.720000,5.015749,1881900
2015-02-10,5.760000,5.800000,5.750000,5.800000,5.085900,696700
2015-02-11,5.780000,5.780000,5.750000,5.780000,5.068362,1895600
2015-02-12,5.870000,5.890000,5.850000,5.880000,5.156051,1815400
2015-02-13,5.980000,6.050000,5.970000,6.010000,5.270045,2464700
2015-02-17,6.070000,6.120000,6.060000,6.110000,5.357732,1981000
2015-02-18,6.270000,6.320000,6.250000,6.300000,5.524339,2126800
2015-02-19,6.460000,6.490000,6.420000,6.490000,5.690947,3086600
2015-02-20,6.450000,6.520000,6.440000,6.500000,5.699715,2666100
