Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,40.660000,40.689999,40.630001,40.689999,40.689999,6500
2014-07-08,40.849998,41.060001,40.799999,41.060001,41.060001,3300
2014-07-09,40.450001,40.660000,40.450001,40.570000,40.570000,4700
2014-07-10,40.169998,40.430000,40.099998,40.360001,40.360001,11300
2014-07-11,40.380001,40.529999,40.380001,40.529999,40.529999,3100
2014-07-14,40.540001,40.540001,40.330002,40.330002,40.330002,2200
2014-07-15,40.700001,40.860001,40.700001,40.820000,40.820000,2900
2014-07-16,40.599998,40.599998,40.090000,40.220001,40.220001,11400
2014-07-17,40.180000,40.419998,40.060001,40.160000,40.160000,3600
2014-07-18,40.500000,40.500000,40.470001,40.470001,40.470001,4300
2014-07-21,40.360001,41.029999,40.360001,40.950001,40.950001,6300
2014-07-22,41.060001,41.189999,40.990002,41.020000,41.020000,5600
2014-07-23,41.419998,42.099998,41.419998,41.950001,41.950001,20000
2014-07-24,42.040001,42.130001,41.930000,42.000000,42.000000,7900
2014-07-25,42.040001,42.099998,41.540001,41.919998,41.919998,7300
2014-07-28,41.820000,41.860001,41.570000,41.700001,41.700001,10400
2014-07-29,41.599998,41.849998,41.580002,41.799999,41.799999,3100
2014-07-30,41.939999,42.240002,41.860001,42.080002,42.080002,20300
2014-07-31,42.209999,42.380001,41.950001,42.279999,42.279999,6100
2014-08-01,41.630001,42.330002,41.630001,41.970001,41.970001,47300
2014-08-04,42.310001,42.310001,41.880001,41.959999,41.959999,5900
2014-08-05,42.160000,42.160000,41.880001,42.090000,42.090000,4100
2014-08-06,42.270000,42.480000,42.220001,42.400002,42.400002,10300
2014-08-07,42.349998,42.400002,42.299999,42.400002,42.400002,1200
2014-08-08,42.480000,42.630001,42.290001,42.340000,42.340000,6400
2014-08-11,42.400002,42.470001,42.340000,42.349998,42.349998,2600
2014-08-12,42.509998,42.599998,42.439999,42.490002,42.490002,7800
2014-08-13,42.340000,42.610001,42.240002,42.500000,42.500000,16700
2014-08-14,42.700001,42.720001,42.360001,42.470001,42.470001,10600
2014-08-15,42.549999,42.630001,42.160000,42.200001,42.200001,3200
2014-08-18,42.799999,42.950001,42.770000,42.820000,42.820000,27500
2014-08-19,42.360001,42.360001,42.080002,42.130001,42.130001,6400
2014-08-20,42.259998,42.790001,42.259998,42.349998,42.349998,3500
2014-08-21,42.360001,42.360001,41.709999,41.730000,41.730000,2700
2014-08-22,41.900002,42.029999,41.900002,42.029999,42.029999,1500
2014-08-25,41.990002,42.480000,41.990002,42.330002,42.330002,11600
2014-08-26,42.160000,42.500000,42.110001,42.500000,42.500000,1400
