Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,121.000000,121.000000,119.889999,120.110001,110.481201,725000
2014-07-08,119.870003,120.430000,118.769997,119.349998,109.782135,1078600
2014-07-09,119.790001,120.199997,119.169998,119.800003,110.196053,690700
2014-07-10,118.230003,120.709999,118.230003,119.919998,110.306435,804100
2014-07-11,120.209999,121.900002,119.599998,121.669998,111.916145,725800
2014-07-14,121.570000,122.699997,121.410004,122.339996,112.532440,926900
2014-07-15,122.690002,123.820000,122.440002,123.150002,113.277489,1048800
2014-07-16,123.440002,123.639999,122.680000,123.190002,113.314293,787600
2014-07-17,122.419998,124.000000,122.349998,122.559998,112.734802,803000
2014-07-18,123.000000,124.400002,122.800003,123.870003,113.939789,703000
2014-07-21,123.739998,125.300003,123.379997,125.120003,115.089569,1276700
2014-07-22,125.519997,127.010002,125.209999,126.529999,116.386536,1230300
2014-07-23,124.959999,127.970001,124.930000,126.610001,116.460121,1088900
2014-07-24,127.010002,128.289993,126.010002,127.919998,117.665100,1196100
2014-07-25,127.410004,128.309998,127.349998,127.559998,117.333969,952200
2014-07-28,127.970001,128.460007,126.599998,127.790001,117.545540,1262000
2014-07-29,127.559998,127.970001,126.209999,126.370003,116.239372,1060600
2014-07-30,127.080002,127.230003,125.309998,125.849998,115.761063,1027900
2014-07-31,124.910004,125.000000,123.029999,123.269997,113.387901,1445600
2014-08-01,122.910004,124.849998,122.849998,123.919998,113.985771,1030600
2014-08-04,123.529999,123.970001,122.220001,123.360001,113.470680,1372000
2014-08-05,123.120003,125.230003,122.879997,123.070000,113.203934,1230200
2014-08-06,122.000000,122.199997,120.580002,120.980003,111.281479,1212800
2014-08-07,121.800003,122.360001,119.970001,120.300003,110.655975,1302100
2014-08-08,120.750000,122.959999,120.540001,122.860001,113.010757,1258900
2014-08-11,123.260002,124.019997,123.180000,123.489998,113.590240,709100
2014-08-12,123.580002,124.389999,122.800003,123.029999,113.167130,769700
2014-08-13,123.500000,125.680000,123.160004,125.160004,115.126381,759700
2014-08-14,125.379997,125.930000,124.940002,125.010002,114.988403,725300
2014-08-15,125.510002,125.980003,123.680000,124.870003,114.859619,868100
2014-08-18,125.620003,126.940002,125.620003,126.730003,116.570526,727400
2014-08-19,127.070000,127.419998,126.449997,127.010002,116.828079,662800
2014-08-20,127.019997,128.389999,126.760002,128.169998,117.895058,935200
2014-08-21,128.559998,128.559998,127.660004,128.029999,117.766289,730700
2014-08-22,128.300003,128.660004,127.449997,127.599998,117.370766,686000
2014-08-25,128.309998,128.440002,127.489998,128.020004,117.757103,673000
2014-08-26,128.039993,128.059998,127.019997,127.269997,117.067223,776600
2014-08-27,127.570000,127.860001,126.940002,127.620003,117.389160,738000
2014-08-28,126.309998,127.190002,126.309998,126.879997,117.352150,682600
