Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12.690000,12.690000,12.000000,12.000000,11.274571,1900
2014-07-08,12.000000,12.100000,12.000000,12.100000,11.368527,1300
2014-07-09,12.100000,12.100000,12.100000,12.100000,11.368527,0
2014-07-10,12.720000,12.720000,12.390000,12.390000,11.640994,500
2014-07-11,12.050000,12.050000,12.050000,12.050000,11.321548,200
2014-07-14,12.530000,12.530000,12.530000,12.530000,11.772531,200
2014-07-15,12.060000,12.750000,12.060000,12.110000,11.377921,2700
2014-07-16,12.100000,12.110000,12.020000,12.020000,11.293364,1300
2014-07-17,12.020000,12.690000,12.000000,12.280000,11.537645,3200
2014-07-18,12.420000,12.420000,12.030000,12.210000,11.471875,400
2014-07-21,12.140000,12.200000,12.000000,12.000000,11.274571,1200
2014-07-22,12.250000,12.250000,12.050000,12.170000,11.434296,5100
2014-07-23,12.100000,12.100000,12.100000,12.100000,11.368527,800
2014-07-24,12.100000,12.100000,12.100000,12.100000,11.368527,0
2014-07-25,12.220000,12.220000,11.950000,11.950000,11.227593,200
2014-07-28,11.950000,12.230000,11.930000,12.090000,11.359129,2700
2014-07-29,12.240000,12.240000,12.240000,12.240000,11.500065,300
2014-07-30,12.240000,12.240000,12.240000,12.240000,11.500065,200
2014-07-31,11.940000,12.170000,11.910000,11.910000,11.190011,3400
2014-08-01,11.910000,11.910000,11.910000,11.910000,11.190011,200
2014-08-04,11.930000,12.000000,11.930000,12.000000,11.274571,600
2014-08-05,12.100000,12.100000,11.980000,12.000000,11.274571,900
2014-08-06,12.220000,12.220000,12.220000,12.220000,11.481273,100
2014-08-07,12.100000,12.100000,12.080000,12.080000,11.377667,2200
2014-08-08,12.090000,12.090000,11.910000,11.910000,11.217550,900
2014-08-11,11.960000,11.960000,9.660000,10.530000,9.917784,20200
2014-08-12,11.280000,11.950000,11.280000,11.340000,10.680691,4200
2014-08-13,11.950000,11.950000,11.170000,11.170000,10.520577,1200
2014-08-14,11.000000,11.500000,10.500000,11.500000,10.831388,3300
2014-08-15,11.600000,11.700000,11.600000,11.700000,11.019761,1500
2014-08-18,11.600000,11.730000,11.550000,11.600000,10.925574,800
2014-08-19,11.730000,11.730000,10.960000,11.000000,10.360459,2500
2014-08-20,10.880000,10.880000,10.850000,10.870000,10.238015,6700
2014-08-21,10.760000,10.800000,10.550000,10.800000,10.172088,3200
2014-08-22,11.000000,11.000000,10.600000,11.000000,10.360459,4000
2014-08-25,11.000000,11.690000,11.000000,11.690000,11.010341,2400
2014-08-26,11.680000,11.680000,11.680000,11.680000,11.000923,400
2014-08-27,11.110000,11.110000,11.110000,11.110000,10.464063,600
2014-08-28,11.690000,11.690000,11.150000,11.150000,10.501736,2700
2014-08-29,11.500000,11.500000,11.500000,11.500000,10.831388,200
2014-09-02,11.620000,11.750000,11.250000,11.700000,11.019761,6000
2014-09-03,11.650000,11.800000,11.650000,11.800000,11.113947,2900
2014-09-04,11.660000,11.720000,11.660000,11.720000,11.038597,1600
2014-09-05,11.820000,12.070000,11.770000,11.860000,11.170459,5200
2014-09-08,12.100000,12.100000,12.000000,12.100000,11.396503,7300
2014-09-09,11.510000,12.250000,11.510000,12.010000,11.311737,2000
