Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,5.310000,5.400000,5.250000,5.250000,5.250000,25900
2014-07-08,5.280000,5.450000,4.940000,5.110000,5.110000,25600
2014-07-09,5.150000,5.250000,5.130000,5.210000,5.210000,15600
2014-07-10,5.200000,5.200000,5.030000,5.180000,5.180000,16100
2014-07-11,5.180000,5.190000,5.060000,5.120000,5.120000,15800
2014-07-14,5.100000,5.100000,4.940000,5.000000,5.000000,42400
2014-07-15,5.010000,5.050000,4.930000,5.030000,5.030000,15600
2014-07-16,4.960000,5.050000,4.960000,5.050000,5.050000,3900
2014-07-17,5.100000,5.100000,4.900000,5.010000,5.010000,54300
2014-07-18,4.980000,4.980000,4.910000,4.950000,4.950000,6600
2014-07-21,4.950000,4.960000,4.910000,4.910000,4.910000,26900
2014-07-22,4.950000,5.130000,4.950000,5.050000,5.050000,34500
2014-07-23,5.080000,5.320000,5.070000,5.110000,5.110000,31100
2014-07-24,5.180000,5.180000,5.010000,5.150000,5.150000,21600
2014-07-25,5.100000,5.100000,4.940000,4.950000,4.950000,44800
2014-07-28,4.950000,4.990000,4.890000,4.890000,4.890000,19500
2014-07-29,4.900000,5.050000,4.900000,4.930000,4.930000,10500
2014-07-30,4.950000,5.010000,4.940000,4.940000,4.940000,12700
2014-07-31,5.010000,5.080000,4.830000,4.830000,4.830000,41300
2014-08-01,4.820000,4.880000,4.750000,4.750000,4.750000,7800
2014-08-04,4.730000,4.820000,4.730000,4.780000,4.780000,23000
2014-08-05,4.790000,4.830000,4.780000,4.810000,4.810000,6500
2014-08-06,4.860000,4.950000,4.840000,4.890000,4.890000,32700
2014-08-07,4.930000,4.970000,4.850000,4.970000,4.970000,9900
2014-08-08,4.990000,5.010000,4.880000,4.950000,4.950000,7800
2014-08-11,4.930000,5.000000,4.930000,4.990000,4.990000,23600
2014-08-12,4.970000,5.000000,4.950000,4.960000,4.960000,14000
2014-08-13,4.950000,4.990000,4.950000,4.970000,4.970000,10900
2014-08-14,4.950000,4.950000,4.910000,4.930000,4.930000,9900
2014-08-15,4.990000,5.000000,4.900000,4.930000,4.930000,14900
2014-08-18,4.980000,4.980000,4.910000,4.930000,4.930000,13700
2014-08-19,4.930000,4.930000,4.900000,4.900000,4.900000,6100
2014-08-20,4.930000,4.930000,4.910000,4.920000,4.920000,9900
2014-08-21,4.930000,4.950000,4.930000,4.940000,4.940000,3000
2014-08-22,4.960000,4.970000,4.930000,4.930000,4.930000,3500
2014-08-25,4.990000,4.990000,4.860000,4.880000,4.880000,34000
2014-08-26,4.880000,5.150000,4.880000,5.070000,5.070000,170200
2014-08-27,5.100000,5.150000,4.870000,4.970000,4.970000,33100
2014-08-28,4.860000,4.970000,4.860000,4.940000,4.940000,13400
2014-08-29,4.970000,5.010000,4.970000,4.970000,4.970000,42400
2014-09-02,4.970000,5.000000,4.860000,4.920000,4.920000,66700
2014-09-03,5.010000,5.150000,4.920000,4.920000,4.920000,58600
2014-09-04,5.010000,5.600000,5.010000,5.380000,5.380000,170000
2014-09-05,5.350000,5.430000,5.300000,5.310000,5.310000,55100
2014-09-08,5.350000,5.420000,5.240000,5.240000,5.240000,18300
2014-09-09,5.280000,5.290000,4.870000,4.950000,4.950000,49400
2014-09-10,4.980000,5.250000,4.870000,4.890000,4.890000,21700
2014-09-11,4.730000,4.980000,4.730000,4.910000,4.910000,84800
2014-09-12,4.940000,5.000000,4.940000,4.960000,4.960000,39600
