Date,Open,High,Low,Close,Adj Close,Volume
2019-03-20,24.580000,24.580000,24.580000,24.580000,24.165228,55000
2019-03-21,24.799999,25.100000,24.650000,24.879999,24.460165,77700
2019-03-22,25.000000,25.000000,24.799999,24.799999,24.381514,14700
2019-03-25,24.850000,25.200001,24.600000,24.900000,24.479828,58000
2019-03-26,24.950001,25.100000,24.920000,25.080000,24.656790,15400
2019-03-27,25.000000,25.000000,24.900000,25.000000,24.578140,6600
2019-03-28,24.950001,25.000000,24.950001,24.950001,24.528984,6100
2019-03-29,25.000000,25.670000,24.900000,24.910000,24.489658,10400
2019-04-01,25.100000,25.490000,24.900000,25.334999,24.907486,27500
2019-04-02,25.080000,25.200001,25.080000,25.150000,24.725609,12300
2019-04-03,25.139999,25.250000,25.129999,25.170000,24.745272,10600
2019-04-04,25.195000,25.370001,25.195000,25.323000,24.895689,10100
2019-04-05,25.299999,25.430000,25.250000,25.320000,24.892740,8600
2019-04-08,25.320000,25.450001,25.320000,25.320000,24.892740,2100
2019-04-09,25.280001,25.368000,25.160000,25.309999,24.882908,12700
2019-04-10,25.290001,25.290001,25.100000,25.290001,24.863247,2200
2019-04-11,25.280001,25.280001,25.052000,25.230000,24.804258,6800
2019-04-12,25.160999,25.223000,25.087000,25.169001,24.744289,10300
2019-04-15,25.193001,25.219999,25.129999,25.209999,24.784595,12600
2019-04-16,25.139999,25.219000,25.100000,25.209999,24.784595,12800
2019-04-17,25.200001,25.360001,25.195000,25.315001,24.887825,6300
2019-04-18,25.221001,25.221001,25.110001,25.150000,24.725609,7600
2019-04-22,25.150000,25.150000,25.080000,25.080000,24.797787,2300
2019-04-23,25.160000,25.179001,25.080000,25.150000,24.866999,3300
2019-04-24,25.110001,25.299999,25.110001,25.247999,24.963896,6200
2019-04-25,25.200001,25.200001,25.200001,25.200001,24.916437,700
2019-04-26,25.170000,25.170000,25.150000,25.150000,24.866999,1000
2019-04-29,25.150000,25.351999,25.150000,25.350000,25.064749,2600
2019-04-30,25.170000,25.319000,25.150000,25.264999,24.980705,4100
2019-05-01,25.285000,25.285000,25.280001,25.280001,24.995537,900
2019-05-02,25.200001,25.247999,25.010000,25.247999,24.963896,15200
2019-05-03,25.172001,25.230000,25.170000,25.228001,24.944122,2100
2019-05-06,25.160000,25.200001,25.160000,25.200001,24.916437,1600
2019-05-07,25.223000,25.223000,25.100000,25.100000,24.817562,2700
2019-05-08,25.049999,25.219999,25.030001,25.160000,24.876888,9600
2019-05-09,25.200001,25.290001,25.190001,25.290001,25.005424,2500
2019-05-10,25.160000,25.288000,25.160000,25.200001,24.916437,2900
2019-05-13,25.263000,25.263000,25.259001,25.259001,24.974773,200
2019-05-14,25.280001,25.280001,25.200001,25.219999,24.936213,1900
2019-05-15,25.280001,25.454000,25.280001,25.406000,25.120119,1800
2019-05-16,25.200001,25.450001,25.200001,25.350000,25.064749,3800
2019-05-17,25.450001,25.450001,25.450001,25.450001,25.163624,200
2019-05-20,25.450001,25.450001,25.450001,25.450001,25.163624,0
2019-05-21,25.270000,25.319000,25.209999,25.250000,24.965876,11800
2019-05-22,25.250000,25.280001,25.250000,25.280001,24.995537,3700
2019-05-23,25.180000,25.180000,25.030001,25.170000,25.028351,15100
2019-05-24,25.156000,25.170000,25.156000,25.160000,25.018408,1900
2019-05-28,25.170000,25.170000,25.059999,25.129999,24.988575,4100
2019-05-29,25.120001,25.149000,25.059999,25.139999,24.998520,6300
2019-05-30,25.139999,25.139999,25.040001,25.080000,24.938858,5100
2019-05-31,25.115999,25.215000,25.104000,25.170000,25.028351,11700
2019-06-03,25.180000,25.200001,25.010000,25.180000,25.038296,2900
2019-06-04,25.170000,25.230000,25.110001,25.170000,25.028351,8200
2019-06-05,25.200001,25.270000,25.049999,25.139999,24.998520,11600
2019-06-06,25.205000,25.260000,25.080000,25.100000,24.958746,18500
2019-06-07,25.183001,25.190001,25.100000,25.129999,24.988575,5500
2019-06-10,25.200001,25.230000,25.160000,25.230000,25.088013,4400
2019-06-11,25.184999,25.379999,25.184999,25.379999,25.237169,1200
2019-06-12,25.240000,25.240000,25.207001,25.207001,25.065144,1100
2019-06-13,25.263000,25.313999,25.129999,25.129999,24.988575,8800
2019-06-14,25.280001,25.280001,25.280001,25.280001,25.137733,100
2019-06-17,25.280001,25.280001,25.280001,25.280001,25.137733,100
2019-06-18,25.280001,25.320000,25.280001,25.320000,25.177507,700
2019-06-19,25.360001,25.410000,25.334999,25.410000,25.267000,1600
2019-06-20,25.355000,25.355000,25.120001,25.160000,25.160000,3900
2019-06-21,25.364000,25.364000,25.360001,25.360001,25.360001,2000
2019-06-24,25.309000,25.450001,25.309000,25.450001,25.450001,1200
2019-06-25,25.261000,25.350000,25.250000,25.348000,25.348000,4900
2019-06-26,25.290001,25.299000,25.187000,25.299000,25.299000,700
2019-06-27,25.250000,25.250000,25.250000,25.250000,25.250000,200
2019-06-28,25.250000,25.250000,25.250000,25.250000,25.250000,300
2019-07-01,25.233000,25.250000,25.233000,25.233000,25.233000,800
2019-07-02,25.290001,25.410000,25.290001,25.400000,25.400000,1200
2019-07-03,25.400000,25.400000,25.274000,25.386000,25.386000,1700
2019-07-05,25.389999,25.480000,25.389999,25.480000,25.480000,600
