Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,6.560000,6.610000,6.460000,6.590000,4.243228,173100
2014-07-08,6.620000,6.620000,6.500000,6.560000,4.223911,129000
2014-07-09,6.550000,6.600000,6.510000,6.550000,4.217474,57900
2014-07-10,6.580000,6.630000,6.450000,6.610000,4.256107,109400
2014-07-11,6.650000,6.650000,6.540000,6.590000,4.243228,64500
2014-07-14,6.630000,6.670000,6.550000,6.580000,4.236790,57900
2014-07-15,6.580000,6.600000,6.460000,6.490000,4.178840,71400
2014-07-16,6.530000,6.530000,6.470000,6.490000,4.178840,44000
2014-07-17,6.500000,6.540000,6.470000,6.470000,4.165962,45100
2014-07-18,6.500000,6.510000,6.470000,6.480000,4.172401,44100
2014-07-21,6.490000,6.680000,6.490000,6.590000,4.243228,421100
2014-07-22,6.620000,6.650000,6.570000,6.610000,4.256107,131700
2014-07-23,6.650000,6.650000,6.560000,6.600000,4.249668,38100
2014-07-24,6.600000,6.650000,6.540000,6.580000,4.236790,105100
2014-07-25,6.540000,6.660000,6.540000,6.610000,4.256107,73200
2014-07-28,6.580000,6.630000,6.530000,6.570000,4.230352,82200
2014-07-29,6.560000,6.590000,6.480000,6.480000,4.172401,49300
2014-07-30,6.490000,6.560000,6.390000,6.400000,4.120889,54600
2014-07-31,6.330000,6.350000,6.180000,6.200000,3.992112,118900
2014-08-01,6.220000,6.220000,6.120000,6.160000,3.966356,51000
2014-08-04,6.200000,6.210000,6.060000,6.120000,3.940601,53100
2014-08-05,6.120000,6.160000,6.030000,6.030000,3.882652,80900
2014-08-06,6.080000,6.150000,6.010000,6.100000,3.927722,53100
2014-08-07,6.100000,6.110000,6.020000,6.020000,3.876212,92300
2014-08-08,6.040000,6.130000,6.030000,6.110000,3.934162,97800
2014-08-11,6.110000,6.170000,6.070000,6.170000,3.972796,88500
2014-08-12,6.130000,6.140000,6.040000,6.100000,3.927722,62000
2014-08-13,6.080000,6.150000,6.050000,6.120000,3.940601,41600
2014-08-14,6.130000,6.150000,6.050000,6.130000,3.947039,70500
2014-08-15,6.160000,6.160000,6.050000,6.100000,3.927722,83400
2014-08-18,6.130000,6.130000,6.070000,6.120000,3.940601,55800
2014-08-19,6.100000,6.140000,6.060000,6.090000,3.921284,38800
2014-08-20,6.090000,6.130000,6.070000,6.120000,3.940601,46700
2014-08-21,6.120000,6.150000,6.100000,6.130000,3.947039,27100
