Date,Open,High,Low,Close,Adj Close,Volume
2017-09-21,16.750000,16.860001,16.500000,16.750000,14.412821,3904400
2017-09-22,16.750000,16.850000,16.670000,16.750000,14.412821,938900
2017-09-25,16.650000,17.000000,16.650000,16.900000,14.541891,218700
2017-09-26,16.850000,16.950001,16.850000,16.910000,14.550495,264200
2017-09-27,16.860001,17.000000,16.764999,16.940001,14.576309,265300
2017-09-28,17.049999,17.049999,16.952000,16.990000,14.619333,454400
2017-09-29,16.860001,17.070000,16.850000,16.959999,14.593517,253900
2017-10-02,16.889999,17.035000,16.840000,17.000000,14.627937,60300
2017-10-03,16.950001,17.100000,16.850000,17.070000,14.688171,106900
2017-10-04,17.100000,17.100000,17.030001,17.030001,14.653752,109300
2017-10-05,16.959999,17.250000,16.959999,17.240000,14.834448,189900
2017-10-06,17.129999,17.440001,17.094999,17.240000,14.834448,134400
2017-10-09,17.285000,17.510000,17.180000,17.410000,14.980728,141200
2017-10-10,17.360001,17.799999,17.360001,17.650000,15.187240,61700
2017-10-11,17.740000,17.860001,17.600000,17.700001,15.230266,67000
2017-10-12,17.799999,17.990000,17.615000,17.705000,15.234568,36400
2017-10-13,17.750000,17.980000,17.549999,17.980000,15.471194,32000
2017-10-16,18.049999,18.240000,17.610001,17.770000,15.290498,126600
2017-10-17,17.709999,17.940001,17.180000,17.180000,14.782821,79200
2017-10-18,17.230000,17.490000,16.559999,16.670000,14.343984,144200
2017-10-19,16.690001,16.950001,16.270000,16.400000,14.111658,266100
2017-10-20,16.400000,16.760000,16.270000,16.700001,14.369799,98600
2017-10-23,17.000000,17.150000,16.600000,16.850000,14.498867,119100
2017-10-24,16.980000,16.980000,16.670000,16.760000,14.421427,51500
2017-10-25,16.750000,16.750000,15.570000,16.330000,14.051425,114500
2017-10-26,16.230000,16.459999,15.869000,16.360001,14.077238,65100
2017-10-27,16.490000,16.629999,16.379999,16.559999,14.249332,70400
2017-10-30,16.500000,17.129999,16.500000,17.000000,14.627937,64900
2017-10-31,17.000000,17.000000,16.500000,16.620001,14.300960,66000
2017-11-01,16.639999,17.000000,16.530001,16.950001,14.584913,38300
2017-11-02,16.870001,17.120001,16.870001,17.049999,14.670960,20400
2017-11-03,17.040001,17.040001,16.709999,16.770000,14.430031,35800
2017-11-06,16.830000,17.440001,16.830000,17.110001,14.722588,51500
2017-11-07,17.200001,17.200001,16.950001,17.120001,14.731194,19200
2017-11-08,16.910000,17.950001,16.910000,17.770000,15.290498,48200
2017-11-09,17.900000,17.990000,17.309999,17.360001,14.937707,34700
2017-11-10,17.410000,17.469999,16.990999,17.020000,14.645147,20700
2017-11-13,16.969999,17.219999,16.660000,16.690001,14.361194,21800
2017-11-14,16.690001,16.950001,16.549999,16.709999,14.378400,31400
2017-11-15,16.600000,16.820000,16.150000,16.580000,14.266541,96100
2017-11-16,16.629999,16.629999,16.450001,16.590000,14.275146,72100
2017-11-17,16.570000,17.500000,16.570000,17.410000,14.980728,134400
2017-11-20,17.299999,17.879999,16.518999,17.750000,15.273286,72800
2017-11-21,17.730000,18.500000,17.580000,18.400000,15.832590,91500
2017-11-22,18.450001,18.613001,18.059999,18.400000,15.832590,31300
2017-11-24,18.350000,18.650000,18.280001,18.650000,16.047709,23900
2017-11-27,18.420000,18.600000,18.160000,18.280001,15.729336,21800
2017-11-28,18.100000,18.100000,17.510000,17.600000,15.144218,71500
2017-11-29,17.590000,18.120001,17.410000,17.870001,15.376546,44800
