Date,Open,High,Low,Close,Adj Close,Volume
2019-06-19,9.250000,9.250000,4.970000,5.025000,5.025000,106400
2019-06-20,18.600000,26.090000,10.810000,17.299999,17.299999,413500
2019-06-21,15.150000,17.600000,11.100000,11.100000,11.100000,324000
2019-06-24,9.100000,10.660000,6.310000,6.600000,6.600000,307400
2019-06-25,8.600000,9.000000,5.730000,6.872000,6.872000,350200
2019-06-26,7.110000,7.200000,6.050000,6.550000,6.550000,190300
2019-06-27,8.180000,8.428000,6.600000,7.280000,7.280000,292900
2019-06-28,7.000000,7.197000,6.600000,6.990000,6.990000,68300
2019-07-01,6.500000,6.780000,5.800000,5.870000,5.870000,86700
2019-07-02,5.800000,5.800000,5.320000,5.690000,5.690000,35700
2019-07-03,5.510000,5.790000,5.440000,5.440000,5.440000,24300
2019-07-05,5.750000,6.516000,5.500000,5.964000,5.964000,55000
