Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,21.620001,21.620001,21.250000,21.350000,20.979969,117100
2014-07-08,21.260000,21.540001,20.809999,21.209999,20.842388,194700
2014-07-09,21.290001,21.610001,21.070000,21.280001,20.911180,175700
2014-07-10,20.740000,21.379999,20.740000,21.100000,20.734299,112300
2014-07-11,21.030001,21.340000,20.930000,21.309999,20.940660,86400
2014-07-14,21.580000,21.709999,21.120001,21.570000,21.196154,214100
2014-07-15,21.459999,21.540001,20.950001,21.350000,20.979969,179300
2014-07-16,21.430000,21.580000,21.010000,21.430000,21.058578,166000
2014-07-17,21.450001,21.590000,21.030001,21.129999,20.763779,160700
2014-07-18,21.030001,22.090000,21.030001,21.830000,21.451647,237600
2014-07-21,21.730000,22.270000,21.530001,21.910000,21.530262,240400
2014-07-22,21.990000,22.280001,21.840000,22.049999,21.667837,154300
2014-07-23,22.160000,22.160000,21.760000,21.840000,21.461475,96900
2014-07-24,21.830000,22.250000,21.490000,21.799999,21.422167,152200
2014-07-25,21.549999,21.760000,21.219999,21.309999,20.940660,236000
2014-07-28,21.309999,22.000000,21.030001,21.850000,21.471298,220800
2014-07-29,21.840000,22.580000,21.780001,22.510000,22.119860,663500
2014-07-30,22.709999,22.879999,22.280001,22.799999,22.404835,165400
2014-07-31,22.299999,22.389999,21.350000,21.370001,20.999622,277200
2014-08-01,21.410000,21.600000,20.670000,20.870001,20.508287,274600
2014-08-04,20.889999,21.240000,20.530001,20.900000,20.537762,207900
2014-08-05,20.760000,21.600000,20.660000,20.840000,20.478807,261000
2014-08-06,21.500000,23.129999,21.459999,22.920000,22.522755,679800
2014-08-07,22.980000,23.379999,22.330000,22.830000,22.434319,418800
2014-08-08,22.879999,23.090000,22.760000,22.900000,22.503101,267700
2014-08-11,22.959999,23.190001,22.690001,22.990000,22.591539,195300
2014-08-12,22.850000,22.910000,22.570000,22.660000,22.267262,222700
2014-08-13,22.700001,22.820000,22.330000,22.389999,22.001945,214300
2014-08-14,22.410000,22.450001,21.950001,21.980000,21.599051,173100
