Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12.750000,12.750000,12.590000,12.640000,4.607585,201600
2014-07-08,12.630000,12.670000,12.550000,12.640000,4.607585,163700
2014-07-09,12.660000,12.750000,12.590000,12.730000,4.640392,125700
2014-07-10,12.730000,12.730000,12.580000,12.590000,4.589359,197100
2014-07-11,12.690000,12.690000,12.460000,12.480000,4.549261,162700
2014-07-14,12.570000,12.660000,12.480000,12.660000,4.614875,145300
2014-07-15,12.680000,12.680000,12.450000,12.540000,4.571133,215200
2014-07-16,12.520000,12.740000,12.520000,12.690000,4.625811,157100
2014-07-17,12.700000,12.790000,12.580000,12.600000,4.593004,175900
2014-07-18,12.670000,12.720000,12.580000,12.590000,4.589359,153200
2014-07-21,12.600000,12.780000,12.590000,12.780000,4.658618,149800
2014-07-22,12.760000,12.840000,12.700000,12.770000,4.654973,167500
2014-07-23,12.750000,12.760000,12.700000,12.710000,4.633101,130600
2014-07-24,12.730000,12.790000,12.700000,12.790000,4.662263,137100
2014-07-25,12.800000,12.820000,12.650000,12.660000,4.614875,134400
2014-07-28,12.720000,12.830000,12.660000,12.830000,4.676844,172500
2014-07-29,12.840000,12.880000,12.770000,12.810000,4.669554,238100
2014-07-30,12.850000,12.850000,12.700000,12.790000,4.662263,211100
2014-07-31,12.770000,12.770000,12.590000,12.670000,4.618520,280700
2014-08-01,12.670000,12.800000,12.580000,12.660000,4.614875,297900
2014-08-04,12.650000,12.930000,12.650000,12.920000,4.709651,362800
2014-08-05,12.950000,12.950000,12.840000,12.940000,4.716941,316700
2014-08-06,12.950000,13.080000,12.900000,13.030000,4.749749,467200
2014-08-07,13.030000,13.030000,12.450000,12.490000,4.552906,859400
2014-08-08,12.600000,12.610000,12.490000,12.530000,4.567487,502100
2014-08-11,12.730000,12.810000,12.580000,12.640000,4.607585,944800
2014-08-12,12.080000,12.150000,11.980000,12.040000,4.619864,444700
2014-08-13,12.090000,12.110000,11.920000,12.020000,4.612190,470300
2014-08-14,12.050000,12.080000,11.870000,11.880000,4.558470,330300
2014-08-15,11.880000,11.960000,11.810000,11.860000,4.550795,259800
2014-08-18,11.870000,11.930000,11.480000,11.540000,4.428009,698300
2014-08-19,11.510000,11.580000,11.410000,11.410000,4.378126,441900
2014-08-20,11.400000,11.410000,10.560000,10.810000,4.147901,1764100
2014-08-21,10.800000,10.950000,10.750000,10.830000,4.155576,579600
2014-08-22,10.870000,10.880000,10.750000,10.780000,4.136389,422400
2014-08-25,10.830000,10.880000,10.510000,10.520000,4.036625,629700
2014-08-26,10.700000,11.320000,10.700000,11.250000,4.316733,763200
2014-08-27,11.320000,11.380000,11.160000,11.180000,4.289873,353000
2014-08-28,11.180000,11.360000,11.000000,11.330000,4.347430,417200
2014-08-29,11.260000,11.600000,11.250000,11.590000,4.447195,383200
2014-09-02,11.610000,11.760000,11.610000,11.640000,4.466380,469600
2014-09-03,11.610000,11.690000,11.230000,11.240000,4.312896,286200
2014-09-04,11.240000,11.320000,10.940000,11.000000,4.220806,383200
2014-09-05,11.030000,11.140000,10.970000,11.100000,4.259177,154100
2014-09-08,11.100000,11.100000,10.920000,10.980000,4.213131,244800
2014-09-09,10.930000,11.090000,10.850000,10.970000,4.209294,243200
2014-09-10,10.960000,11.000000,10.850000,10.860000,4.167086,184200
2014-09-11,10.850000,10.890000,10.670000,10.830000,4.155576,310000
2014-09-12,10.800000,10.800000,10.650000,10.680000,4.098019,247500
2014-09-15,10.670000,10.880000,10.540000,10.880000,4.174760,276900
2014-09-16,10.840000,11.040000,10.800000,10.950000,4.201621,237100
2014-09-17,10.990000,10.990000,10.800000,10.810000,4.147901,165400
2014-09-18,10.810000,10.820000,10.620000,10.640000,4.082670,229100
2014-09-19,10.620000,10.840000,10.600000,10.670000,4.094182,271400
2014-09-22,10.700000,10.720000,10.400000,10.440000,4.005929,360400
2014-09-23,10.380000,10.530000,10.160000,10.290000,3.948373,510300
2014-09-24,10.290000,10.310000,10.160000,10.190000,3.910001,225700
2014-09-25,10.230000,10.240000,9.020000,9.810000,3.764191,1041400
2014-09-26,9.860000,10.150000,9.560000,10.140000,3.890816,527000
2014-09-29,10.100000,10.100000,9.900000,9.980000,3.829422,269200
2014-09-30,9.980000,9.980000,9.590000,9.710000,3.725820,410200
2014-10-01,9.620000,9.740000,9.570000,9.660000,3.706634,374800
2014-10-02,9.630000,9.720000,9.400000,9.640000,3.698961,346000
2014-10-03,9.640000,9.650000,9.200000,9.370000,3.595359,499600
2014-10-06,9.340000,9.500000,9.080000,9.160000,3.514779,501300
2014-10-07,9.150000,9.280000,9.080000,9.090000,3.487920,287800
2014-10-08,9.060000,9.090000,8.260000,8.610000,3.303739,1277400
2014-10-09,8.600000,8.600000,8.320000,8.430000,3.234672,499800
2014-10-10,8.420000,8.540000,8.000000,8.400000,3.223160,499600
2014-10-13,8.410000,8.490000,8.250000,8.280000,3.177115,292700
2014-10-14,8.300000,8.350000,8.000000,8.150000,3.127233,544500
2014-10-15,8.010000,8.210000,7.760000,7.990000,3.065840,601000
2014-10-16,7.940000,9.220000,7.900000,8.920000,3.422689,829600
2014-10-17,9.120000,9.250000,8.660000,8.840000,3.391993,563500
2014-10-20,8.930000,9.690000,8.930000,9.690000,3.718145,686800
2014-10-21,9.760000,9.890000,9.530000,9.650000,3.702798,422600
2014-10-22,9.700000,9.770000,9.380000,9.400000,3.606870,369500
2014-10-23,9.580000,9.710000,9.400000,9.710000,3.725820,293500
2014-10-24,9.710000,9.710000,9.410000,9.450000,3.626056,250500
2014-10-27,9.290000,9.410000,9.100000,9.310000,3.572337,351700
2014-10-28,9.510000,9.610000,9.220000,9.580000,3.675938,230400
2014-10-29,9.590000,9.800000,9.510000,9.590000,3.679774,215500
2014-10-30,9.580000,9.610000,9.450000,9.600000,3.683614,134600
2014-10-31,9.720000,9.930000,9.520000,9.930000,3.810236,537900
2014-11-03,10.000000,10.480000,9.960000,10.410000,3.994417,960900
2014-11-04,10.350000,10.350000,9.800000,9.870000,3.787214,589000
2014-11-05,9.900000,10.150000,9.850000,9.940000,3.814073,367800
2014-11-06,10.000000,10.040000,9.870000,9.970000,3.825585,456100
2014-11-07,9.950000,10.200000,9.900000,10.200000,3.913838,468900
2014-11-10,10.160000,10.300000,10.120000,10.200000,3.913838,690000
2014-11-11,10.250000,10.250000,9.860000,9.950000,3.817910,630100
2014-11-12,9.260000,9.400000,9.110000,9.260000,3.803944,582100
2014-11-13,9.230000,9.230000,8.720000,8.780000,3.606763,709900
2014-11-14,8.800000,9.100000,8.790000,8.930000,3.668382,392900
2014-11-17,8.920000,8.930000,8.600000,8.800000,3.614979,367600
2014-11-18,8.750000,8.900000,8.600000,8.660000,3.557468,220500
2014-11-19,8.630000,8.780000,8.610000,8.620000,3.541036,187100
2014-11-20,8.660000,8.780000,8.660000,8.760000,3.598547,203300
2014-11-21,8.770000,8.890000,8.700000,8.760000,3.598547,232800
2014-11-24,8.760000,9.090000,8.760000,8.800000,3.614979,533200
2014-11-25,8.960000,9.000000,8.800000,8.920000,3.664274,323900
2014-11-26,8.850000,9.140000,8.850000,8.890000,3.651951,347600
2014-11-28,8.740000,8.830000,8.250000,8.570000,3.520496,695700
2014-12-01,8.460000,8.480000,7.940000,8.180000,3.360287,912900
2014-12-02,8.060000,8.200000,7.810000,7.940000,3.261696,1283200
2014-12-03,7.900000,8.130000,7.860000,7.900000,3.245264,368700
2014-12-04,7.880000,7.880000,7.500000,7.560000,3.105595,537600
2014-12-05,7.550000,7.640000,7.160000,7.240000,2.974141,497100
2014-12-08,6.940000,6.950000,6.000000,6.050000,2.485298,1374100
2014-12-09,6.010000,6.520000,5.870000,6.480000,2.661939,1387500
2014-12-10,6.330000,6.990000,6.230000,6.530000,2.682478,999900
2014-12-11,6.470000,7.140000,6.470000,6.940000,2.850904,1007300
2014-12-12,6.530000,6.820000,6.380000,6.720000,2.760529,517300
2014-12-15,6.700000,6.700000,6.280000,6.280000,2.579781,423000
2014-12-16,6.190000,6.700000,6.110000,6.370000,2.616752,510300
2014-12-17,6.300000,6.900000,6.300000,6.720000,2.760529,584100
2014-12-18,6.820000,6.980000,6.500000,6.640000,2.727666,351400
2014-12-19,6.650000,7.050000,6.540000,6.990000,2.871443,486100
2014-12-22,6.950000,6.980000,6.550000,6.570000,2.698911,343200
2014-12-23,6.570000,6.650000,6.480000,6.540000,2.686587,327300
2014-12-24,6.500000,6.590000,6.360000,6.380000,2.620860,203400
2014-12-26,6.340000,6.500000,6.320000,6.370000,2.616752,317700
2014-12-29,6.450000,6.670000,6.070000,6.110000,2.509946,1114000
2014-12-30,6.090000,6.180000,6.000000,6.010000,2.468866,469300
2014-12-31,6.010000,6.270000,5.960000,6.270000,2.575672,657500
2015-01-02,6.220000,6.530000,6.130000,6.510000,2.674263,298100
2015-01-05,6.350000,6.350000,6.120000,6.230000,2.559241,250900
2015-01-06,6.230000,6.330000,6.120000,6.120000,2.514053,203100
2015-01-07,6.200000,6.400000,6.180000,6.180000,2.538701,210600
2015-01-08,6.260000,6.420000,6.210000,6.270000,2.575672,247800
2015-01-09,6.280000,6.460000,6.280000,6.330000,2.600320,199400
2015-01-12,6.350000,6.350000,5.950000,6.030000,2.477082,426000
2015-01-13,6.000000,6.120000,5.750000,5.840000,2.399032,358700
2015-01-14,5.750000,5.920000,5.610000,5.900000,2.423680,268200
