Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,8.830000,8.930000,8.750000,8.780000,8.780000,149300
2014-07-08,8.730000,8.850000,8.720000,8.790000,8.790000,169300
2014-07-09,8.830000,8.870000,8.740000,8.810000,8.810000,96200
2014-07-10,8.630000,8.840000,8.630000,8.730000,8.730000,206600
2014-07-11,8.750000,8.840000,8.710000,8.760000,8.760000,144900
2014-07-14,8.820000,8.830000,8.640000,8.640000,8.640000,398700
2014-07-15,8.670000,8.740000,8.600000,8.670000,8.670000,127400
2014-07-16,8.720000,8.760000,8.650000,8.700000,8.700000,152600
2014-07-17,8.660000,8.750000,8.440000,8.490000,8.490000,161200
2014-07-18,8.460000,8.630000,8.440000,8.570000,8.570000,112500
2014-07-21,8.510000,8.580000,8.460000,8.490000,8.490000,126700
2014-07-22,8.560000,8.620000,8.490000,8.610000,8.610000,226700
2014-07-23,8.600000,8.600000,8.320000,8.330000,8.330000,126500
2014-07-24,8.320000,8.340000,8.170000,8.190000,8.190000,207100
2014-07-25,8.100000,8.110000,8.000000,8.010000,8.010000,168600
2014-07-28,8.000000,8.090000,7.920000,8.000000,8.000000,159400
2014-07-29,8.050000,8.100000,7.990000,8.020000,8.020000,177800
2014-07-30,8.090000,8.110000,7.990000,8.040000,8.040000,63500
2014-07-31,7.930000,8.060000,7.930000,7.970000,7.970000,256100
2014-08-01,8.010000,8.090000,7.950000,8.050000,8.050000,188400
2014-08-04,8.110000,8.140000,7.980000,8.060000,8.060000,161100
2014-08-05,8.030000,8.130000,8.000000,8.060000,8.060000,94200
2014-08-06,8.040000,8.290000,8.040000,8.180000,8.180000,156200
2014-08-07,8.230000,8.250000,8.040000,8.060000,8.060000,89600
2014-08-08,8.040000,8.160000,8.000000,8.070000,8.070000,120000
2014-08-11,8.130000,8.300000,8.130000,8.220000,8.220000,69400
2014-08-12,8.170000,8.300000,8.040000,8.140000,8.140000,123700
2014-08-13,8.180000,8.280000,8.140000,8.210000,8.210000,87400
2014-08-14,8.200000,8.300000,8.200000,8.230000,8.230000,92800
2014-08-15,8.320000,8.370000,8.110000,8.320000,8.320000,165600
2014-08-18,8.420000,8.450000,8.360000,8.440000,8.440000,242900
2014-08-19,8.420000,8.520000,8.410000,8.510000,8.510000,268600
2014-08-20,8.840000,8.880000,8.480000,8.550000,8.550000,339100
2014-08-21,8.800000,9.090000,8.770000,9.020000,9.020000,663400
2014-08-22,9.060000,9.200000,9.030000,9.090000,9.090000,308200
2014-08-25,9.180000,9.190000,8.950000,9.100000,9.100000,196300
2014-08-26,9.080000,9.180000,9.080000,9.090000,9.090000,232300
2014-08-27,9.140000,9.160000,8.930000,8.970000,8.970000,313000
2014-08-28,8.900000,9.000000,8.830000,8.840000,8.840000,250200
2014-08-29,8.900000,8.960000,8.720000,8.830000,8.830000,211000
2014-09-02,8.890000,8.910000,8.750000,8.780000,8.780000,332400
2014-09-03,8.790000,8.940000,8.720000,8.740000,8.740000,201500
2014-09-04,8.770000,8.900000,8.720000,8.770000,8.770000,199100
2014-09-05,8.720000,8.820000,8.690000,8.750000,8.750000,118100
2014-09-08,8.710000,8.830000,8.470000,8.520000,8.520000,382600
2014-09-09,8.470000,8.760000,8.440000,8.450000,8.450000,190400
2014-09-10,8.420000,8.530000,8.350000,8.460000,8.460000,240600
