Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,11.410000,11.540000,11.410000,11.520000,8.694592,80100
2014-07-08,11.550000,11.590000,11.540000,11.590000,8.747421,90100
2014-07-09,11.580000,11.580000,11.510000,11.570000,8.732328,77400
2014-07-10,11.620000,11.620000,11.520000,11.530000,8.702136,110300
2014-07-11,11.560000,11.650000,11.540000,11.650000,8.792706,136700
2014-07-14,11.690000,11.690000,11.600000,11.620000,8.770062,76400
2014-07-15,11.620000,11.630000,11.580000,11.590000,8.747421,92700
2014-07-16,11.610000,11.660000,11.600000,11.650000,8.792706,72800
2014-07-17,11.700000,11.710000,11.620000,11.650000,8.792706,94900
2014-07-18,11.680000,11.700000,11.650000,11.700000,8.830446,43500
2014-07-21,11.680000,11.740000,11.670000,11.730000,8.853086,61100
2014-07-22,11.700000,11.700000,11.630000,11.650000,8.837914,63000
2014-07-23,11.690000,11.690000,11.630000,11.670000,8.853086,69800
2014-07-24,11.670000,11.670000,11.600000,11.620000,8.815153,86900
2014-07-25,11.670000,11.750000,11.640000,11.640000,8.830327,103200
2014-07-28,11.690000,11.690000,11.610000,11.620000,8.815153,83800
2014-07-29,11.620000,11.680000,11.610000,11.610000,8.807567,83800
2014-07-30,11.630000,11.650000,11.580000,11.580000,8.784811,167500
2014-07-31,11.530000,11.610000,11.520000,11.550000,8.762047,110900
2014-08-01,11.610000,11.610000,11.510000,11.510000,8.731707,90700
2014-08-04,11.540000,11.550000,11.440000,11.440000,8.678602,78100
2014-08-05,11.400000,11.450000,11.390000,11.390000,8.640671,128500
2014-08-06,11.390000,11.500000,11.390000,11.480000,8.708947,81600
2014-08-07,11.460000,11.580000,11.460000,11.550000,8.762047,111700
2014-08-08,11.560000,11.670000,11.550000,11.660000,8.845500,99900
2014-08-11,11.630000,11.750000,11.630000,11.720000,8.891017,87200
2014-08-12,11.720000,11.750000,11.670000,11.690000,8.868257,51600
2014-08-13,11.700000,11.760000,11.700000,11.730000,8.898602,71900
2014-08-14,11.730000,11.780000,11.730000,11.730000,8.898602,87900
2014-08-15,11.770000,11.810000,11.730000,11.730000,8.898602,94000
2014-08-18,11.740000,11.800000,11.720000,11.760000,8.921362,60600
2014-08-19,11.770000,11.810000,11.750000,11.750000,8.913776,61600
2014-08-20,11.720000,11.780000,11.690000,11.760000,8.967148,139700
2014-08-21,11.780000,11.790000,11.670000,11.690000,8.913774,93800
2014-08-22,11.680000,11.690000,11.620000,11.660000,8.890901,97300
2014-08-25,11.660000,11.700000,11.600000,11.600000,8.845151,99000
2014-08-26,11.590000,11.670000,11.590000,11.660000,8.890901,115000
2014-08-27,11.710000,11.720000,11.630000,11.640000,8.875651,147600
2014-08-28,11.660000,11.710000,11.650000,11.710000,8.929028,110800
2014-08-29,11.690000,11.750000,11.690000,11.740000,8.951900,76200
2014-09-02,11.740000,11.740000,11.690000,11.730000,8.944274,86300
2014-09-03,11.750000,11.750000,11.700000,11.720000,8.936654,86200
2014-09-04,11.720000,11.730000,11.670000,11.690000,8.913774,91000
2014-09-05,11.680000,11.750000,11.680000,11.700000,8.921401,107700
2014-09-08,11.690000,11.710000,11.670000,11.680000,8.906148,67800
2014-09-09,11.670000,11.670000,11.620000,11.660000,8.890901,86200
2014-09-10,11.670000,11.710000,11.650000,11.680000,8.906148,97700
2014-09-11,11.690000,11.700000,11.640000,11.640000,8.875651,60500
2014-09-12,11.620000,11.640000,11.610000,11.620000,8.860397,80500
2014-09-15,11.650000,11.660000,11.600000,11.600000,8.845151,89900
2014-09-16,11.590000,11.640000,11.580000,11.640000,8.875651,70700
2014-09-17,11.650000,11.670000,11.590000,11.620000,8.860397,79500
2014-09-18,11.650000,11.670000,11.630000,11.660000,8.890901,81100
2014-09-19,11.650000,11.690000,11.650000,11.670000,8.898524,38400
2014-09-22,11.650000,11.650000,11.570000,11.590000,8.883192,72100
2014-09-23,11.620000,11.660000,11.600000,11.620000,8.906190,55200
2014-09-24,11.620000,11.670000,11.610000,11.620000,8.906190,52100
2014-09-25,11.640000,11.670000,11.630000,11.650000,8.929182,73400
2014-09-26,11.670000,11.680000,11.630000,11.640000,8.921519,69500
2014-09-29,11.650000,11.700000,11.650000,11.690000,8.959840,104100
2014-09-30,11.700000,11.730000,11.660000,11.700000,8.967501,84300
2014-10-01,11.700000,11.730000,11.670000,11.680000,8.952173,67900
2014-10-02,11.650000,11.690000,11.590000,11.640000,8.921519,92700
2014-10-03,11.610000,11.640000,11.590000,11.600000,8.890860,108000
2014-10-06,11.620000,11.690000,11.620000,11.640000,8.921519,91700
2014-10-07,11.700000,11.750000,11.670000,11.730000,8.990502,216300
2014-10-08,11.750000,11.790000,11.730000,11.790000,9.036485,135300
2014-10-09,11.800000,11.830000,11.780000,11.790000,9.036485,79100
2014-10-10,11.780000,11.790000,11.750000,11.760000,9.013489,54700
2014-10-13,11.780000,11.820000,11.750000,11.790000,9.036485,93100
2014-10-14,11.760000,11.880000,11.760000,11.850000,9.082475,128200
2014-10-15,11.920000,11.980000,11.870000,11.970000,9.174446,179500
2014-10-16,11.990000,12.000000,11.900000,12.000000,9.197446,146400
2014-10-17,12.000000,12.010000,11.980000,12.010000,9.205105,123000
2014-10-20,12.010000,12.010000,11.960000,11.970000,9.174446,126800
2014-10-21,11.930000,11.950000,11.830000,11.850000,9.082475,200900
2014-10-22,11.820000,11.850000,11.780000,11.780000,9.074769,152900
2014-10-23,11.820000,11.840000,11.720000,11.720000,9.028548,204600
2014-10-24,11.720000,11.800000,11.720000,11.730000,9.036252,120100
2014-10-27,11.740000,11.780000,11.730000,11.760000,9.059362,135100
2014-10-28,11.750000,11.790000,11.740000,11.750000,9.051660,150100
2014-10-29,11.750000,11.840000,11.750000,11.760000,9.059362,149400
2014-10-30,11.770000,11.840000,11.770000,11.840000,9.120994,132600
2014-10-31,11.800000,11.840000,11.800000,11.840000,9.120994,143200
2014-11-03,11.840000,11.840000,11.780000,11.830000,9.113285,96700
2014-11-04,11.810000,11.810000,11.770000,11.800000,9.090176,65400
