Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,9.200000,9.200000,8.690000,8.690000,8.690000,10400
2014-07-08,8.680000,8.820000,8.260000,8.530000,8.530000,19600
2014-07-09,8.700000,8.700000,8.350000,8.650000,8.650000,9600
2014-07-10,8.370000,8.490000,8.280000,8.490000,8.490000,13400
2014-07-11,8.590000,8.590000,8.250000,8.460000,8.460000,9700
2014-07-14,8.320000,8.440000,8.320000,8.410000,8.410000,15400
2014-07-15,8.370000,8.410000,8.050000,8.400000,8.400000,7400
2014-07-16,8.410000,8.800000,8.410000,8.750000,8.750000,128500
2014-07-17,8.750000,8.790000,8.520000,8.690000,8.690000,16800
2014-07-18,8.670000,8.690000,8.610000,8.690000,8.690000,11800
2014-07-21,8.760000,8.780000,8.680000,8.680000,8.680000,5500
2014-07-22,8.790000,8.880000,8.690000,8.750000,8.750000,10900
2014-07-23,8.790000,8.890000,8.750000,8.830000,8.830000,6400
2014-07-24,8.880000,8.970000,8.810000,8.850000,8.850000,11100
2014-07-25,8.810000,9.000000,8.730000,8.730000,8.730000,5000
2014-07-28,8.630000,8.710000,8.610000,8.710000,8.710000,4800
2014-07-29,8.700000,8.730000,8.510000,8.520000,8.520000,14900
2014-07-30,8.610000,8.700000,8.510000,8.670000,8.670000,12200
2014-07-31,8.520000,8.720000,8.520000,8.600000,8.600000,7500
2014-08-01,8.660000,8.660000,8.100000,8.320000,8.320000,11800
2014-08-04,8.290000,8.640000,8.220000,8.460000,8.460000,12700
2014-08-05,8.420000,8.450000,8.400000,8.440000,8.440000,4900
2014-08-06,8.290000,8.520000,8.270000,8.270000,8.270000,10500
2014-08-07,8.340000,8.550000,8.320000,8.480000,8.480000,9200
2014-08-08,8.250000,8.500000,8.250000,8.470000,8.470000,8100
2014-08-11,8.600000,8.680000,8.540000,8.680000,8.680000,7000
2014-08-12,8.680000,8.960000,8.680000,8.900000,8.900000,11100
2014-08-13,8.970000,8.970000,8.700000,8.900000,8.900000,5100
2014-08-14,8.100000,8.470000,7.510000,8.270000,8.270000,147900
2014-08-15,8.350000,8.350000,8.170000,8.170000,8.170000,14700
2014-08-18,8.170000,8.180000,7.800000,7.860000,7.860000,42400
2014-08-19,7.890000,7.890000,7.360000,7.550000,7.550000,32100
2014-08-20,7.540000,7.540000,7.300000,7.410000,7.410000,34500
