Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,12090.900391,12090.900391,11818.200195,11818.200195,11818.200195,1874015
2014-07-08,11818.200195,12363.599609,11727.299805,12272.700195,12272.700195,2823271
2014-07-09,12363.599609,12454.500000,12181.799805,12272.700195,12272.700195,824747
2014-07-10,12272.700195,12272.700195,11818.200195,12000.000000,12000.000000,1348996
2014-07-11,12000.000000,12000.000000,11727.299805,11818.200195,11818.200195,936683
2014-07-14,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-07-15,12272.700195,12454.500000,12181.799805,12454.500000,12454.500000,1663541
2014-07-16,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-07-17,12272.700195,12545.500000,12181.799805,12363.599609,12363.599609,1496759
2014-07-18,12363.599609,12545.500000,12272.700195,12363.599609,12363.599609,1352967
2014-07-21,12454.500000,12272.700195,12272.700195,12272.700195,12272.700195,1399266
2014-07-22,12181.799805,12090.900391,12090.900391,12090.900391,12090.900391,800074
2014-07-23,12181.799805,12090.900391,12090.900391,12090.900391,12090.900391,599786
2014-07-24,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-07-25,12545.500000,12181.799805,12181.799805,12181.799805,12181.799805,1743544
2014-07-28,12000.000000,11636.400391,11636.400391,11636.400391,11636.400391,1605912
2014-07-29,11636.400391,11636.400391,11636.400391,11636.400391,11636.400391,1084061
2014-07-30,11909.099609,12000.000000,12000.000000,12000.000000,12000.000000,2139192
2014-07-31,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-08-01,12090.900391,12090.900391,12090.900391,12090.900391,12090.900391,431409
2014-08-04,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-08-05,12000.000000,12272.700195,12272.700195,12272.700195,12272.700195,2114431
2014-08-06,12363.599609,12272.700195,12272.700195,12272.700195,12272.700195,1761133
2014-08-07,12272.700195,13090.900391,13090.900391,13090.900391,13090.900391,4626336
2014-08-08,13181.799805,13363.599609,13363.599609,13363.599609,13363.599609,3409747
2014-08-11,13363.599609,13181.799805,13181.799805,13181.799805,13181.799805,1860474
2014-08-12,13090.900391,13000.000000,13000.000000,13000.000000,13000.000000,2128225
2014-08-13,13090.900391,13454.500000,13454.500000,13454.500000,13454.500000,2100329
2014-08-14,13454.500000,13272.700195,13272.700195,13272.700195,13272.700195,1458743
2014-08-15,1.100000,1.100000,1.100000,1.100000,1.100000,0
2014-08-18,14000.000000,14181.799805,14181.799805,14181.799805,14181.799805,2707287
2014-08-19,14181.799805,14000.000000,14000.000000,14000.000000,14000.000000,1800282
2014-08-20,13909.099609,14363.599609,14363.599609,14363.599609,14363.599609,1737252
2014-08-21,14636.400391,14727.299805,14727.299805,14727.299805,14727.299805,3835392
2014-08-22,14727.299805,14727.299805,14727.299805,14727.299805,14727.299805,2036155
2014-08-25,0.800000,0.800000,0.800000,0.800000,0.800000,9000
2014-08-26,15454.500000,15363.599609,15363.599609,15363.599609,15363.599609,2604723
2014-08-27,15272.700195,15818.200195,15818.200195,15818.200195,15818.200195,2120756
2014-08-28,15818.200195,16000.000000,16000.000000,16000.000000,16000.000000,1452561
2014-08-29,16000.000000,15636.400391,15636.400391,15636.400391,15636.400391,2002319
2014-09-02,15636.400391,15636.400391,15636.400391,15636.400391,15636.400391,0
2014-09-03,1.150000,1.150000,1.150000,1.150000,1.150000,0
2014-09-04,15272.700195,15272.700195,15181.799805,15181.799805,15181.799805,3343593
2014-09-05,15454.500000,15909.099609,15454.500000,15909.099609,15909.099609,3172587
2014-09-08,16363.599609,16363.599609,16181.799805,16181.799805,16181.799805,2177516
2014-09-09,16090.900391,16090.900391,15363.599609,15363.599609,15363.599609,3471314
2014-09-10,15272.700195,15181.799805,15181.799805,15181.799805,15181.799805,2353956
2014-09-11,15363.599609,15272.700195,15272.700195,15272.700195,15272.700195,1396725
2014-09-12,15181.799805,15636.400391,15636.400391,15636.400391,15636.400391,1785839
2014-09-15,15818.200195,16727.300781,16727.300781,16727.300781,16727.300781,6655902
2014-09-16,16818.199219,17818.199219,16818.199219,17818.199219,17818.199219,5074531
2014-09-17,18363.599609,16727.300781,16727.300781,16727.300781,16727.300781,3712632
2014-09-18,16545.500000,15636.400391,15636.400391,15636.400391,15636.400391,5784053
2014-09-19,15636.400391,15909.099609,15636.400391,15909.099609,15909.099609,3432297
2014-09-22,16272.700195,16272.700195,16000.000000,16000.000000,16000.000000,1985841
2014-09-23,15545.500000,15545.500000,15454.500000,15454.500000,15454.500000,2795023
2014-09-24,15545.500000,15545.500000,15090.900391,15090.900391,15090.900391,3151170
