Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,8.500000,8.510000,8.450000,8.470000,8.470000,1415200
2014-07-08,8.490000,8.500000,8.430000,8.440000,8.440000,444600
2014-07-09,8.420000,8.450000,8.370000,8.400000,8.400000,459300
2014-07-10,8.390000,8.400000,8.370000,8.390000,8.390000,370800
2014-07-11,8.350000,8.360000,8.290000,8.300000,8.300000,221700
2014-07-14,8.290000,8.330000,8.260000,8.330000,8.330000,717100
2014-07-15,8.280000,8.280000,8.230000,8.270000,8.270000,377000
2014-07-16,8.300000,8.320000,8.280000,8.290000,8.290000,293500
2014-07-17,8.300000,8.360000,8.270000,8.310000,8.310000,328100
2014-07-18,8.300000,8.320000,8.260000,8.260000,8.260000,190700
2014-07-21,8.260000,8.300000,8.250000,8.300000,8.300000,241500
2014-07-22,8.290000,8.320000,8.250000,8.250000,8.250000,358500
2014-07-23,8.270000,8.290000,8.260000,8.290000,8.290000,212000
2014-07-24,8.320000,8.330000,8.240000,8.240000,8.240000,246100
2014-07-25,8.220000,8.280000,8.220000,8.280000,8.280000,306400
2014-07-28,8.270000,8.290000,8.260000,8.290000,8.290000,254600
2014-07-29,8.250000,8.250000,8.190000,8.230000,8.230000,325600
2014-07-30,8.240000,8.240000,8.190000,8.190000,8.190000,356000
2014-07-31,8.190000,8.200000,8.130000,8.130000,8.130000,3919100
2014-08-01,8.130000,8.130000,8.080000,8.100000,8.100000,957500
2014-08-04,8.130000,8.170000,8.110000,8.170000,8.170000,446700
2014-08-05,8.130000,8.130000,8.080000,8.100000,8.100000,538700
2014-08-06,8.140000,8.170000,8.130000,8.150000,8.150000,325300
2014-08-07,8.170000,8.170000,8.130000,8.170000,8.170000,243000
2014-08-08,8.150000,8.150000,8.100000,8.110000,8.110000,412500
2014-08-11,8.130000,8.160000,8.120000,8.120000,8.120000,451600
2014-08-12,8.090000,8.110000,8.060000,8.060000,8.060000,494300
2014-08-13,8.080000,8.080000,8.020000,8.040000,8.040000,340500
2014-08-14,8.010000,8.030000,7.990000,8.000000,8.000000,401000
2014-08-15,8.000000,8.020000,7.960000,8.020000,8.020000,558900
2014-08-18,7.980000,7.980000,7.940000,7.950000,7.950000,478400
2014-08-19,7.960000,7.970000,7.940000,7.940000,7.940000,310800
2014-08-20,7.990000,7.990000,7.960000,7.970000,7.970000,437600
2014-08-21,7.980000,8.000000,7.970000,7.990000,7.990000,248400
2014-08-22,8.010000,8.010000,7.990000,7.990000,7.990000,293300
2014-08-25,7.990000,8.020000,7.980000,7.990000,7.990000,277700
2014-08-26,8.020000,8.020000,7.980000,8.020000,8.020000,285800
2014-08-27,8.020000,8.030000,7.990000,8.020000,8.020000,310100
2014-08-28,8.060000,8.060000,8.020000,8.050000,8.050000,358700
2014-08-29,8.070000,8.080000,8.030000,8.060000,8.060000,359700
2014-09-02,8.000000,8.020000,7.940000,7.960000,7.960000,323400
2014-09-03,7.980000,7.980000,7.930000,7.970000,7.970000,343200
2014-09-04,7.980000,7.990000,7.910000,7.940000,7.940000,561900
2014-09-05,7.930000,7.940000,7.890000,7.920000,7.920000,940000
2014-09-08,7.880000,7.900000,7.860000,7.890000,7.890000,255600
2014-09-09,7.860000,7.880000,7.830000,7.850000,7.850000,280300
2014-09-10,7.820000,7.820000,7.780000,7.800000,7.800000,278500
2014-09-11,7.740000,7.780000,7.710000,7.760000,7.760000,475500
2014-09-12,7.740000,7.760000,7.720000,7.740000,7.740000,448600
2014-09-15,7.710000,7.740000,7.700000,7.740000,7.740000,277200
2014-09-16,7.740000,7.810000,7.720000,7.800000,7.800000,1036800
2014-09-17,7.780000,7.790000,7.760000,7.760000,7.760000,222100
