Date,Open,High,Low,Close,Adj Close,Volume
2017-03-13,28.250000,28.250000,28.000000,28.250000,28.250000,100000
2017-03-14,27.500000,27.500000,22.000000,24.500000,24.500000,54200
2017-03-15,24.160000,27.100000,23.250000,27.000000,27.000000,311500
2017-03-16,26.000000,30.000000,26.000000,28.450001,28.450001,1065700
2017-03-17,29.100000,29.250000,27.250000,28.500000,28.500000,268000
2017-03-20,27.549999,27.549999,24.500000,27.250000,27.250000,27000
2017-03-21,25.879999,27.000000,25.000000,26.400000,26.400000,152900
2017-03-22,26.400000,27.250000,26.200001,27.250000,27.250000,195000
2017-03-23,26.500000,28.200001,26.500000,27.500000,27.500000,36900
2017-03-24,26.250000,28.700001,26.250000,28.549999,28.549999,623500
2017-03-27,28.000000,28.000000,26.000000,26.750000,26.750000,58200
2017-03-28,26.750000,28.450001,26.500000,28.000000,28.000000,236800
2017-03-29,26.500000,28.750000,26.500000,28.750000,28.750000,182700
2017-03-30,27.250000,29.100000,27.000000,28.000000,28.000000,334900
2017-03-31,27.750000,29.000000,27.000000,29.000000,29.000000,254400
2017-04-03,28.000000,28.250000,27.000000,28.000000,28.000000,14600
2017-04-04,28.000000,28.379999,27.100000,28.000000,28.000000,27400
2017-04-05,29.000000,29.000000,27.000000,28.500000,28.500000,55500
2017-04-06,28.500000,30.000000,28.250000,29.750000,29.750000,232100
2017-04-07,28.000000,29.000000,28.000000,28.750000,28.750000,203700
2017-04-10,29.000000,30.000000,29.000000,30.000000,30.000000,1227500
2017-04-11,30.000000,30.000000,28.500000,29.450001,29.450001,132300
2017-04-12,28.750000,29.000000,28.150000,28.700001,28.700001,5100
2017-04-13,28.500000,29.350000,28.000000,28.250000,28.250000,20600
2017-04-17,29.350000,29.350000,28.100000,28.750000,28.750000,18500
2017-04-18,29.000000,29.000000,28.350000,28.799999,28.799999,11600
2017-04-19,28.299999,28.600000,28.010000,28.500000,28.500000,15900
2017-04-20,28.500000,28.500000,27.500000,27.750000,27.750000,1163300
2017-04-21,27.520000,27.520000,27.000000,27.000000,27.000000,330200
2017-04-24,26.750000,27.049999,26.250000,26.280001,26.280001,90400
2017-04-25,26.500000,27.000000,26.250000,27.000000,27.000000,12700
2017-04-26,27.000000,27.500000,27.000000,27.500000,27.500000,43200
2017-04-27,27.500000,27.750000,27.500000,27.500000,27.500000,10700
2017-04-28,27.500000,28.030001,27.500000,28.030001,28.030001,26000
2017-05-01,27.850000,28.049999,27.850000,28.000000,28.000000,182100
2017-05-02,29.500000,30.639999,28.400000,29.500000,29.500000,3015700
2017-05-03,29.600000,30.000000,29.600000,30.000000,30.000000,99400
2017-05-04,29.700001,29.969999,28.049999,28.900000,28.900000,358200
2017-05-05,28.250000,29.000000,28.250000,29.000000,29.000000,17100
2017-05-08,28.950001,29.250000,28.950001,29.000000,29.000000,264800
2017-05-09,28.950001,29.270000,28.950001,29.270000,29.270000,251200
2017-05-10,29.200001,30.129999,29.200001,29.799999,29.799999,277000
2017-05-11,29.900000,30.350000,29.850000,30.000000,30.000000,923500
2017-05-12,30.000000,30.250000,29.750000,30.000000,30.000000,235100
2017-05-15,30.000000,30.450001,30.000000,30.299999,30.299999,454700
2017-05-16,30.250000,30.400000,30.200001,30.350000,30.350000,706100
2017-05-17,30.250000,30.500000,30.250000,30.450001,30.450001,400500
2017-05-18,30.500000,30.700001,30.250000,30.299999,30.299999,135000
2017-05-19,30.299999,30.549999,30.299999,30.500000,30.500000,214000
2017-05-22,30.549999,30.700001,30.500000,30.549999,30.549999,69500
2017-05-23,30.549999,30.900000,30.299999,30.799999,30.799999,1089200
2017-05-24,30.799999,31.700001,30.799999,31.320000,31.320000,928100
2017-05-25,31.450001,31.750000,31.379999,31.549999,31.549999,153200
2017-05-26,31.600000,31.650000,30.879999,31.650000,31.650000,247600
2017-05-30,31.650000,31.700001,31.200001,31.389999,31.389999,99200
2017-05-31,31.200001,31.350000,30.549999,30.700001,30.700001,338500
2017-06-01,30.900000,31.750000,30.900000,31.400000,31.400000,954800
2017-06-02,31.500000,31.500000,31.100000,31.350000,31.350000,314800
2017-06-05,31.350000,31.400000,31.150000,31.200001,31.200001,494700
2017-06-06,31.200001,31.230000,31.000000,31.150000,31.150000,26800
2017-06-07,31.240000,31.250000,30.440001,30.440001,30.440001,679200
2017-06-08,30.400000,30.400000,29.799999,29.910000,29.910000,285800
2017-06-09,30.000000,30.100000,29.750000,29.750000,29.750000,110200
2017-06-12,29.910000,29.990000,29.850000,29.980000,29.980000,101300
2017-06-13,29.950001,30.200001,29.910000,30.200001,30.200001,82200
2017-06-14,30.100000,30.299999,29.639999,29.650000,29.650000,2036900
2017-06-15,29.600000,29.750000,29.490000,29.549999,29.549999,67300
2017-06-16,29.500000,29.580000,29.400000,29.400000,29.400000,12800
2017-06-19,29.490000,29.500000,28.980000,28.980000,28.980000,171500
2017-06-20,29.000000,29.049999,27.500000,28.000000,28.000000,169200
2017-06-21,27.900000,27.950001,26.250000,26.500000,26.500000,527200
2017-06-22,26.750000,27.000000,26.500000,26.799999,26.799999,2600000
2017-06-23,26.500000,26.750000,26.500000,26.700001,26.700001,451000
2017-06-26,26.750000,26.750000,26.350000,26.350000,26.350000,248700
2017-06-27,26.500000,26.700001,26.500000,26.629999,26.629999,237000
2017-06-28,27.600000,30.160000,27.600000,29.799999,29.799999,943300
2017-06-29,29.799999,30.600000,29.600000,30.480000,30.480000,589900
2017-06-30,30.299999,30.750000,30.299999,30.540001,30.540001,22900
2017-07-03,30.750000,31.700001,30.750000,31.700001,31.700001,44500
2017-07-05,31.450001,31.510000,31.290001,31.500000,31.500000,309000
2017-07-06,31.400000,31.700001,31.400000,31.549999,31.549999,214100
2017-07-07,31.400000,31.510000,31.000000,31.500000,31.500000,300500
2017-07-10,31.450001,31.500000,31.350000,31.350000,31.350000,96400
2017-07-11,31.350000,31.500000,31.350000,31.420000,31.420000,29500
2017-07-12,31.400000,32.000000,31.400000,31.900000,31.900000,103200
2017-07-13,31.799999,31.900000,31.450001,31.750000,31.750000,18700
2017-07-14,31.750000,32.250000,31.750000,32.150002,32.150002,69400
2017-07-17,32.099998,32.200001,31.950001,32.099998,32.099998,218100
2017-07-18,32.060001,32.250000,32.000000,32.250000,32.250000,33300
2017-07-19,32.150002,32.599998,31.879999,32.599998,32.599998,285700
2017-07-20,32.450001,33.000000,32.450001,32.860001,32.860001,241100
2017-07-21,33.000000,33.150002,32.880001,33.000000,33.000000,473900
2017-07-24,33.000000,33.200001,33.000000,33.049999,33.049999,1000
2017-07-25,33.000000,33.849998,33.000000,33.849998,33.849998,304100
2017-07-26,33.750000,34.200001,33.630001,34.200001,34.200001,474400
2017-07-27,34.000000,34.099998,34.000000,34.099998,34.099998,5200
2017-07-28,34.169998,34.500000,33.950001,34.500000,34.500000,417000
2017-07-31,34.750000,35.150002,34.500000,35.150002,35.150002,348200
2017-08-01,35.000000,35.500000,35.000000,35.500000,35.500000,40500
2017-08-02,35.250000,37.099998,35.250000,37.099998,37.099998,912500
2017-08-03,37.099998,37.360001,36.000000,36.709999,36.709999,16500
2017-08-04,36.480000,36.689999,36.000000,36.049999,36.049999,104500
2017-08-07,35.750000,35.990002,35.750000,35.799999,35.799999,36400
2017-08-08,35.500000,35.599998,35.500000,35.500000,35.500000,52400
2017-08-09,35.299999,35.299999,33.250000,34.500000,34.500000,1212000
2017-08-10,34.630001,34.990002,34.500000,34.500000,34.500000,128900
2017-08-11,34.500000,34.590000,34.500000,34.509998,34.509998,54900
2017-08-14,34.509998,35.250000,34.349998,35.049999,35.049999,45800
2017-08-15,34.750000,34.750000,34.000000,34.200001,34.200001,87400
2017-08-16,33.849998,34.500000,33.299999,34.500000,34.500000,79700
2017-08-17,34.250000,34.500000,32.099998,32.450001,32.450001,1465600
2017-08-18,32.200001,32.549999,32.200001,32.549999,32.549999,15600
2017-08-21,32.500000,34.750000,32.000000,34.750000,34.750000,33300
2017-08-22,35.000000,35.029999,33.750000,33.750000,33.750000,258000
2017-08-23,34.000000,34.450001,34.000000,34.250000,34.250000,25900
2017-08-24,34.250000,34.500000,34.200001,34.340000,34.340000,82000
2017-08-25,34.299999,34.520000,34.299999,34.480000,34.480000,390500
2017-08-28,34.000000,34.200001,34.000000,34.000000,34.000000,30000
2017-08-29,34.000000,34.000000,33.779999,33.900002,33.900002,890200
2017-08-30,33.860001,33.860001,33.349998,33.650002,33.650002,788200
2017-08-31,33.750000,33.750000,33.400002,33.529999,33.529999,61400
2017-09-01,33.250000,34.200001,33.250000,33.750000,33.750000,76300
2017-09-05,34.000000,34.500000,33.750000,34.400002,34.400002,58800
2017-09-06,34.000000,34.500000,33.250000,34.000000,34.000000,76600
2017-09-07,34.009998,34.560001,34.000000,34.549999,34.549999,357400
2017-09-08,34.400002,35.000000,34.349998,35.000000,35.000000,205800
2017-09-11,34.750000,35.000000,34.599998,35.000000,35.000000,252600
2017-09-12,35.000000,35.049999,34.750000,34.930000,34.930000,431900
2017-09-13,34.939999,35.000000,34.880001,34.900002,34.900002,399400
2017-09-14,34.950001,35.029999,34.880001,34.970001,34.970001,431200
2017-09-15,35.000000,35.000000,34.900002,34.900002,34.900002,399300
2017-09-18,34.250000,35.250000,34.250000,35.000000,35.000000,64500
2017-09-19,34.900002,35.250000,34.799999,35.250000,35.250000,67300
2017-09-20,34.750000,35.250000,34.750000,35.000000,35.000000,138900
2017-09-21,34.750000,35.750000,34.750000,35.750000,35.750000,154400
2017-09-22,35.250000,36.139999,35.250000,35.930000,35.930000,439600
2017-09-25,36.000000,36.099998,35.959999,36.099998,36.099998,261100
2017-09-26,36.000000,36.099998,36.000000,36.000000,36.000000,17000
2017-09-27,36.000000,36.099998,36.000000,36.099998,36.099998,45900
2017-09-28,36.150002,36.200001,36.099998,36.099998,36.099998,22900
2017-09-29,36.099998,36.160000,36.080002,36.150002,36.150002,56800
2017-10-02,36.160000,36.509998,36.160000,36.500000,36.500000,55300
2017-10-03,36.500000,37.000000,36.500000,37.000000,37.000000,385800
2017-10-04,37.099998,38.299999,37.099998,38.000000,38.000000,539300
2017-10-05,37.950001,38.049999,37.799999,38.000000,38.000000,183900
2017-10-06,37.950001,38.099998,37.910000,38.000000,38.000000,103300
2017-10-09,37.910000,38.500000,37.910000,38.200001,38.200001,102900
2017-10-10,38.500000,38.500000,38.049999,38.070000,38.070000,100900
2017-10-11,38.500000,38.500000,37.759998,38.009998,38.009998,266000
2017-10-12,38.000000,38.049999,37.759998,37.900002,37.900002,92200
2017-10-13,37.790001,38.090000,37.750000,37.810001,37.810001,178900
2017-10-16,37.900002,38.009998,37.869999,37.910000,37.910000,47800
