Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,20.549999,20.549999,20.270000,20.400000,20.400000,58100
2014-07-08,20.350000,20.350000,19.820000,20.000000,20.000000,59500
2014-07-09,19.280001,20.180000,19.280001,20.049999,20.049999,67500
2014-07-10,19.709999,20.049999,19.500000,19.570000,19.570000,69400
2014-07-11,19.520000,19.690001,19.480000,19.570000,19.570000,32200
2014-07-14,19.780001,19.840000,19.620001,19.730000,19.730000,42400
2014-07-15,19.770000,19.850000,19.400000,19.520000,19.520000,44700
2014-07-16,19.650000,19.770000,19.379999,19.510000,19.510000,52300
2014-07-17,19.410000,19.740000,19.200001,19.240000,19.240000,63300
2014-07-18,19.180000,19.620001,19.180000,19.590000,19.590000,51300
2014-07-21,19.450001,19.629999,19.340000,19.549999,19.549999,25400
2014-07-22,19.690001,19.780001,19.590000,19.730000,19.730000,49800
2014-07-23,19.700001,19.940001,19.700001,19.799999,19.799999,40700
2014-07-24,20.190001,20.820000,19.700001,19.940001,19.940001,82700
2014-07-25,19.840000,19.840000,19.340000,19.490000,19.490000,74000
2014-07-28,19.820000,20.049999,19.200001,19.910000,19.910000,109800
2014-07-29,20.030001,20.190001,19.900000,20.020000,20.020000,58400
2014-07-30,20.110001,20.110001,20.020000,20.080000,20.080000,50100
2014-07-31,19.780001,20.040001,19.610001,19.850000,19.850000,108100
2014-08-01,19.940001,20.040001,19.549999,19.709999,19.709999,52000
2014-08-04,19.809999,19.850000,19.520000,19.790001,19.790001,53400
2014-08-05,19.629999,19.809999,19.559999,19.700001,19.700001,40600
2014-08-06,19.600000,19.799999,19.530001,19.740000,19.740000,123100
2014-08-07,19.809999,19.920000,19.650000,19.750000,19.750000,28300
2014-08-08,19.740000,20.090000,19.559999,19.799999,19.799999,65500
2014-08-11,19.950001,20.320000,19.940001,20.250000,20.250000,21000
2014-08-12,20.129999,20.250000,19.980000,20.120001,20.120001,45200
2014-08-13,20.200001,20.219999,20.070000,20.120001,20.120001,21100
2014-08-14,20.100000,20.209999,20.100000,20.180000,20.180000,14500
2014-08-15,20.299999,20.299999,19.600000,19.840000,19.840000,45000
2014-08-18,20.080000,20.250000,20.010000,20.230000,20.230000,30800
2014-08-19,20.230000,20.330000,20.180000,20.250000,20.250000,33400
2014-08-20,20.190001,20.190001,19.650000,20.000000,20.000000,19700
2014-08-21,19.959999,20.230000,19.610001,20.110001,20.110001,26500
2014-08-22,20.129999,20.240000,19.910000,20.129999,20.129999,27700
2014-08-25,20.180000,20.250000,19.820000,20.090000,20.090000,62300
2014-08-26,20.110001,20.250000,20.049999,20.110001,20.110001,40700
2014-08-27,20.180000,20.250000,19.879999,19.930000,19.930000,25700
2014-08-28,19.910000,19.910000,19.080000,19.340000,19.340000,143100
2014-08-29,19.340000,19.600000,19.250000,19.600000,19.600000,67400
2014-09-02,19.620001,19.820000,19.459999,19.730000,19.730000,38100
2014-09-03,19.770000,19.959999,19.709999,19.910000,19.910000,138500
2014-09-04,19.969999,20.020000,19.750000,19.860001,19.860001,43000
2014-09-05,19.760000,19.760000,19.530001,19.580000,19.580000,23800
2014-09-08,19.600000,20.010000,19.480000,19.990000,19.990000,189500
2014-09-09,19.900000,20.070000,19.660000,20.010000,20.010000,56600
2014-09-10,20.000000,20.030001,19.690001,19.790001,19.790001,26000
2014-09-11,19.620001,19.959999,19.520000,19.860001,19.860001,53400
2014-09-12,19.879999,19.900000,19.639999,19.719999,19.719999,46300
2014-09-15,19.540001,19.570000,19.420000,19.520000,19.520000,27400
2014-09-16,19.430000,19.590000,19.219999,19.530001,19.530001,44100
2014-09-17,19.440001,19.700001,19.370001,19.459999,19.459999,29200
2014-09-18,19.600000,19.770000,19.459999,19.510000,19.510000,23700
2014-09-19,19.670000,19.670000,19.020000,19.049999,19.049999,100600
2014-09-22,19.000000,19.110001,18.770000,18.940001,18.940001,70700
2014-09-23,18.870001,19.020000,18.730000,18.750000,18.750000,46300
2014-09-24,18.830000,19.080000,18.770000,19.000000,19.000000,57400
2014-09-25,19.000000,19.000000,18.480000,18.600000,18.600000,60300
2014-09-26,18.600000,18.879999,18.540001,18.730000,18.730000,92800
2014-09-29,18.459999,18.750000,18.459999,18.690001,18.690001,47800
2014-09-30,18.670000,18.670000,18.400000,18.400000,18.400000,63900
2014-10-01,18.190001,18.500000,18.059999,18.170000,18.170000,57800
2014-10-02,18.219999,18.600000,18.170000,18.559999,18.559999,38500
2014-10-03,18.790001,18.790001,18.610001,18.719999,18.719999,66300
2014-10-06,18.740000,18.740000,18.280001,18.280001,18.280001,34800
2014-10-07,18.110001,18.309999,18.040001,18.070000,18.070000,29300
2014-10-08,18.020000,18.350000,17.830000,18.260000,18.260000,66000
2014-10-09,18.290001,18.299999,17.990000,18.139999,18.139999,67400
2014-10-10,18.030001,18.299999,18.030001,18.160000,18.160000,72200
2014-10-13,18.209999,18.680000,18.160000,18.480000,18.480000,63500
2014-10-14,18.459999,18.900000,18.440001,18.530001,18.530001,84500
2014-10-15,18.260000,18.530001,18.020000,18.469999,18.469999,97300
2014-10-16,18.299999,18.850000,18.290001,18.660000,18.660000,113500
2014-10-17,18.940001,18.940001,18.360001,18.700001,18.700001,100900
2014-10-20,18.760000,19.090000,18.750000,19.030001,19.030001,53800
2014-10-21,19.180000,19.469999,19.080000,19.440001,19.440001,31400
2014-10-22,19.570000,19.620001,19.299999,19.309999,19.309999,51100
2014-10-23,19.600000,19.600000,19.150000,19.240000,19.240000,80200
2014-10-24,19.049999,19.510000,18.650000,19.270000,19.270000,92700
2014-10-27,19.180000,19.219999,18.670000,18.809999,18.809999,36400
2014-10-28,19.000000,19.309999,18.990000,19.139999,19.139999,71900
2014-10-29,19.110001,19.440001,19.110001,19.379999,19.379999,38700
2014-10-30,19.250000,19.660000,19.250000,19.639999,19.639999,61100
2014-10-31,20.000000,20.040001,19.760000,19.950001,19.950001,60700
2014-11-03,19.969999,20.200001,19.900000,20.000000,20.000000,87900
2014-11-04,19.889999,20.170000,19.850000,20.030001,20.030001,51000
2014-11-05,20.110001,20.120001,19.830000,19.950001,19.950001,36400
2014-11-06,19.930000,20.160000,19.889999,20.040001,20.040001,23000
2014-11-07,19.980000,19.980000,19.620001,19.780001,19.780001,78000
2014-11-10,19.860001,20.100000,19.840000,20.100000,20.100000,32900
2014-11-11,20.000000,20.000000,19.730000,19.760000,19.760000,42200
2014-11-12,19.639999,19.740000,19.530001,19.610001,19.610001,39900
2014-11-13,19.600000,19.690001,19.360001,19.370001,19.370001,13000
2014-11-14,19.430000,19.450001,19.330000,19.379999,19.379999,29500
2014-11-17,19.309999,19.540001,19.309999,19.420000,19.420000,26400
