Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,7.960000,7.960000,7.760000,7.880000,7.880000,6700
2014-07-08,7.960000,8.040000,7.600000,7.600000,7.600000,10800
2014-07-09,7.600000,8.160000,7.440000,7.560000,7.560000,7100
2014-07-10,7.480000,7.720000,7.040000,7.520000,7.520000,6100
2014-07-11,7.400000,7.720000,7.400000,7.480000,7.480000,2800
2014-07-14,7.480000,7.640000,7.360000,7.520000,7.520000,5600
2014-07-15,7.360000,7.480000,7.040000,7.480000,7.480000,5400
2014-07-16,7.440000,7.720000,7.440000,7.640000,7.640000,1300
2014-07-17,7.600000,7.640000,7.120000,7.280000,7.280000,3200
2014-07-18,7.200000,7.440000,7.120000,7.400000,7.400000,5400
2014-07-21,7.280000,7.600000,7.080000,7.120000,7.120000,12500
2014-07-22,7.160000,7.600000,7.040000,7.280000,7.280000,9200
2014-07-23,7.320000,7.400000,7.160000,7.280000,7.280000,2100
2014-07-24,7.200000,7.400000,7.200000,7.360000,7.360000,1000
2014-07-25,7.080000,7.320000,7.040000,7.200000,7.200000,3100
2014-07-28,7.040000,7.480000,6.840000,7.480000,7.480000,8700
2014-07-29,7.240000,7.480000,7.040000,7.360000,7.360000,4400
2014-07-30,7.240000,7.360000,7.040000,7.360000,7.360000,9400
2014-07-31,7.320000,7.320000,7.000000,7.040000,7.040000,1100
2014-08-01,6.800000,7.040000,6.000000,6.800000,6.800000,8500
2014-08-04,6.720000,7.080000,6.560000,6.760000,6.760000,5200
2014-08-05,6.440000,6.640000,6.440000,6.520000,6.520000,4300
2014-08-06,6.440000,6.520000,6.280000,6.320000,6.320000,2000
2014-08-07,6.280000,6.280000,5.800000,5.840000,5.840000,20600
2014-08-08,5.480000,5.720000,5.480000,5.520000,5.520000,12200
2014-08-11,5.080000,6.200000,5.080000,5.680000,5.680000,31000
2014-08-12,5.640000,6.320000,5.480000,5.960000,5.960000,32500
2014-08-13,5.720000,6.160000,5.720000,5.960000,5.960000,13200
2014-08-14,5.840000,6.200000,5.720000,5.800000,5.800000,10300
2014-08-15,5.960000,6.160000,5.840000,5.960000,5.960000,3200
2014-08-18,6.400000,6.400000,5.640000,5.880000,5.880000,5700
2014-08-19,5.880000,5.880000,5.640000,5.720000,5.720000,3000
2014-08-20,5.600000,6.720000,5.600000,6.280000,6.280000,63000
2014-08-21,6.200000,7.040000,5.880000,6.880000,6.880000,63500
2014-08-22,6.840000,7.200000,6.640000,7.120000,7.120000,14900
2014-08-25,7.080000,7.120000,6.800000,7.000000,7.000000,13500
2014-08-26,6.840000,6.840000,6.640000,6.800000,6.800000,9700
2014-08-27,6.760000,6.760000,6.440000,6.440000,6.440000,4000
2014-08-28,8.320000,12.880000,8.280000,11.360000,11.360000,2166800
2014-08-29,10.960000,10.960000,9.400000,9.680000,9.680000,317600
2014-09-02,9.720000,9.720000,8.280000,8.360000,8.360000,129800
2014-09-03,8.360000,12.600000,8.360000,12.560000,12.560000,586600
2014-09-04,15.200000,17.360001,10.040000,10.760000,10.760000,2047600
2014-09-05,12.200000,13.360000,10.800000,11.160000,11.160000,807600
2014-09-08,11.240000,11.720000,10.400000,10.560000,10.560000,177600
2014-09-09,10.640000,11.280000,9.640000,10.720000,10.720000,303600
2014-09-10,10.520000,10.880000,9.840000,10.040000,10.040000,119300
2014-09-11,9.840000,10.160000,9.040000,9.120000,9.120000,119900
2014-09-12,9.280000,9.800000,8.840000,9.200000,9.200000,136200
2014-09-15,9.080000,10.200000,8.840000,9.120000,9.120000,112700
2014-09-16,9.000000,9.240000,8.840000,8.840000,8.840000,41700
2014-09-17,8.600000,9.200000,8.400000,8.760000,8.760000,94500
2014-09-18,8.840000,9.480000,8.600000,8.600000,8.600000,123000
2014-09-19,8.520000,9.600000,8.280000,8.560000,8.560000,132300
2014-09-22,8.320000,8.320000,7.520000,7.520000,7.520000,59200
2014-09-23,7.640000,8.840000,7.400000,7.840000,7.840000,49500
2014-09-24,7.600000,8.360000,7.600000,7.760000,7.760000,15300
2014-09-25,7.640000,7.720000,7.360000,7.520000,7.520000,22500
2014-09-26,7.520000,8.080000,7.400000,7.720000,7.720000,45600
2014-09-29,7.720000,8.160000,7.520000,7.520000,7.520000,48200
2014-09-30,7.440000,7.800000,7.240000,7.320000,7.320000,26800
2014-10-01,7.320000,7.480000,6.640000,6.760000,6.760000,43000
2014-10-02,6.560000,6.920000,6.400000,6.600000,6.600000,36800
2014-10-03,6.600000,6.920000,6.280000,6.520000,6.520000,45900
2014-10-06,6.680000,6.680000,6.360000,6.360000,6.360000,11600
2014-10-07,6.440000,6.480000,6.040000,6.240000,6.240000,14300
2014-10-08,6.320000,6.480000,6.080000,6.280000,6.280000,11500
2014-10-09,6.240000,6.400000,6.000000,6.080000,6.080000,22500
2014-10-10,5.960000,6.040000,5.720000,5.760000,5.760000,16600
2014-10-13,5.800000,6.400000,5.760000,5.760000,5.760000,33100
2014-10-14,5.840000,6.200000,5.800000,6.040000,6.040000,18100
2014-10-15,5.920000,6.240000,5.800000,6.240000,6.240000,19400
2014-10-16,6.080000,6.680000,6.080000,6.200000,6.200000,21200
2014-10-17,6.320000,6.440000,6.040000,6.240000,6.240000,12400
2014-10-20,6.160000,6.720000,6.160000,6.520000,6.520000,37200
2014-10-21,6.720000,6.840000,6.520000,6.680000,6.680000,17500
2014-10-22,6.720000,6.800000,6.240000,6.280000,6.280000,36300
2014-10-23,6.440000,6.440000,6.160000,6.240000,6.240000,8300
2014-10-24,6.160000,6.600000,6.160000,6.240000,6.240000,20800
2014-10-27,6.120000,6.720000,6.000000,6.200000,6.200000,18300
2014-10-28,6.200000,6.560000,6.040000,6.240000,6.240000,39300
2014-10-29,6.200000,6.280000,5.800000,5.800000,5.800000,28700
2014-10-30,5.840000,6.040000,5.840000,6.000000,6.000000,10200
2014-10-31,5.960000,6.080000,5.800000,5.920000,5.920000,20400
2014-11-03,5.960000,6.280000,5.800000,6.080000,6.080000,28900
2014-11-04,6.000000,6.560000,6.000000,6.360000,6.360000,29900
