Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,83.470001,84.400002,82.550003,82.690002,81.202301,557200
2014-07-08,82.860001,83.309998,81.930000,83.099998,81.604919,852200
2014-07-09,83.000000,83.000000,81.239998,82.370003,80.888069,809300
2014-07-10,80.910004,82.059998,80.089996,80.879997,79.424866,863300
2014-07-11,80.860001,80.860001,78.230003,78.480003,77.068047,767500
2014-07-14,79.160004,80.000000,78.720001,78.919998,77.500122,805300
2014-07-15,78.349998,78.820000,76.760002,77.529999,76.135132,770900
2014-07-16,78.129997,78.599998,77.169998,78.260002,76.852005,935600
2014-07-17,78.370003,79.139999,76.470001,76.550003,75.172768,1044100
2014-07-18,76.760002,77.830002,76.760002,77.459999,76.066399,678800
2014-07-21,77.430000,77.430000,75.669998,76.300003,74.927261,786000
2014-07-22,76.720001,77.500000,76.360001,76.919998,75.536118,698600
2014-07-23,77.059998,77.690002,76.489998,77.639999,76.243156,584000
2014-07-24,77.419998,78.129997,76.900002,77.959999,76.557411,676200
2014-07-25,77.379997,77.550003,76.519997,77.300003,75.909286,470500
2014-07-28,77.440002,77.959999,76.440002,76.980003,75.595039,630000
2014-07-29,76.900002,78.489998,76.419998,77.050003,75.663773,1031700
2014-07-30,77.629997,82.180000,77.260002,80.169998,78.727638,2057500
2014-07-31,80.320000,80.449997,78.120003,78.540001,77.126968,1086700
2014-08-01,78.410004,79.099998,76.889999,78.190002,76.783272,1281900
2014-08-04,78.330002,80.849998,77.949997,80.739998,79.287376,1097300
2014-08-05,80.639999,81.220001,77.809998,78.699997,77.284088,980600
2014-08-06,78.360001,80.940002,77.730003,80.290001,78.845474,861200
2014-08-07,80.699997,80.919998,78.300003,79.070000,77.647430,734500
2014-08-08,79.309998,81.620003,78.580002,81.260002,79.798027,790700
2014-08-11,81.529999,82.589996,79.739998,79.959999,78.521416,1317400
2014-08-12,79.500000,79.580002,77.889999,78.080002,76.675240,1051300
2014-08-13,78.290001,78.500000,77.040001,77.169998,75.781616,810000
2014-08-14,77.519997,77.650002,75.099998,75.199997,73.847054,1282900
2014-08-15,75.599998,75.959999,74.570000,75.239998,73.886337,1746700
2014-08-18,75.589996,76.830002,75.459999,76.190002,74.819252,1103200
2014-08-19,76.150002,78.279999,76.150002,77.970001,76.567215,947900
2014-08-20,77.879997,78.660004,76.900002,78.449997,77.038574,852700
2014-08-21,78.239998,79.809998,77.839996,79.699997,78.266098,642500
2014-08-22,79.430000,80.650002,78.760002,80.010002,78.570518,904100
2014-08-25,80.389999,83.980003,80.389999,83.820000,82.311966,1305500
2014-08-26,84.209999,86.680000,83.760002,84.849998,83.323441,1423300
2014-08-27,85.000000,86.610001,84.589996,86.519997,84.963387,1012700
2014-08-28,86.529999,87.790001,86.099998,87.760002,86.181084,943200
2014-08-29,88.000000,89.190002,87.669998,89.040001,87.438057,1107800
2014-09-02,88.919998,89.500000,87.970001,88.190002,86.603355,1743000
2014-09-03,88.790001,90.000000,88.410004,89.209999,87.605003,1112200
2014-09-04,88.889999,90.379997,87.309998,87.919998,86.338203,1655900
2014-09-05,88.330002,89.540001,88.129997,89.199997,87.595169,921900
2014-09-08,88.510002,88.510002,86.430000,87.529999,85.955215,844200
2014-09-09,87.900002,88.290001,86.150002,86.849998,85.287453,634200
2014-09-10,86.660004,87.529999,85.269997,87.190002,85.621353,684600
2014-09-11,86.290001,87.449997,85.150002,87.160004,85.591881,842700
2014-09-12,86.629997,86.760002,84.680000,85.300003,83.765366,741900
2014-09-15,85.480003,86.910004,84.760002,86.290001,84.737526,793700
2014-09-16,86.459999,88.589996,86.309998,87.900002,86.318573,813100
2014-09-17,89.410004,89.410004,87.449997,87.690002,86.112350,611500
2014-09-18,88.029999,88.269997,85.739998,86.519997,84.963387,816900
2014-09-19,86.760002,87.309998,85.809998,86.529999,84.973221,1219200
2014-09-22,85.650002,85.879997,81.779999,82.230003,80.750580,1043900
2014-09-23,82.209999,83.610001,81.510002,81.610001,80.141739,980600
2014-09-24,81.639999,83.089996,79.739998,81.889999,80.416695,1189600
2014-09-25,81.379997,81.519997,78.680000,78.760002,77.343010,1242700
2014-09-26,78.919998,80.139999,78.150002,79.599998,78.167877,847200
2014-09-29,78.669998,80.769997,77.900002,80.660004,79.208832,1222200
