Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,3.750000,3.830000,3.690000,3.710000,3.710000,179100
2014-07-08,3.680000,3.710000,3.600000,3.660000,3.660000,354500
2014-07-09,3.660000,3.740000,3.600000,3.720000,3.720000,135200
2014-07-10,3.610000,3.760000,3.610000,3.730000,3.730000,85600
2014-07-11,3.710000,3.780000,3.710000,3.750000,3.750000,52600
2014-07-14,3.780000,3.820000,3.750000,3.770000,3.770000,68800
2014-07-15,3.750000,3.840000,3.750000,3.750000,3.750000,58500
2014-07-16,3.780000,3.780000,3.730000,3.760000,3.760000,58800
2014-07-17,3.730000,3.780000,3.720000,3.750000,3.750000,184300
2014-07-18,3.710000,3.770000,3.680000,3.760000,3.760000,88000
2014-07-21,3.720000,3.760000,3.680000,3.740000,3.740000,76900
2014-07-22,3.750000,3.780000,3.710000,3.740000,3.740000,81500
2014-07-23,3.720000,3.760000,3.720000,3.740000,3.740000,68700
2014-07-24,3.750000,3.830000,3.710000,3.760000,3.760000,136900
2014-07-25,3.710000,3.780000,3.710000,3.740000,3.740000,59700
2014-07-28,3.510000,3.780000,3.510000,3.760000,3.760000,79000
2014-07-29,3.750000,3.780000,3.740000,3.740000,3.740000,95900
2014-07-30,3.770000,3.780000,3.700000,3.740000,3.740000,61400
2014-07-31,3.700000,3.750000,3.700000,3.730000,3.730000,350400
2014-08-01,3.750000,3.780000,3.640000,3.660000,3.660000,125900
2014-08-04,3.680000,3.780000,3.680000,3.750000,3.750000,65100
2014-08-05,3.710000,3.820000,3.680000,3.750000,3.750000,108400
2014-08-06,3.720000,3.780000,3.720000,3.750000,3.750000,41100
2014-08-07,3.750000,3.830000,3.680000,3.740000,3.740000,144400
2014-08-08,3.720000,3.810000,3.640000,3.790000,3.790000,164000
2014-08-11,3.810000,3.880000,3.800000,3.850000,3.850000,77100
2014-08-12,3.820000,3.880000,3.790000,3.820000,3.820000,49700
2014-08-13,3.820000,3.880000,3.710000,3.760000,3.760000,107200
2014-08-14,3.740000,3.790000,3.690000,3.780000,3.780000,88200
2014-08-15,3.830000,3.830000,3.680000,3.740000,3.740000,132200
2014-08-18,3.780000,3.870000,3.740000,3.830000,3.830000,55400
2014-08-19,3.810000,3.920000,3.800000,3.890000,3.890000,295300
2014-08-20,3.850000,4.060000,3.760000,3.900000,3.900000,232600
2014-08-21,3.870000,3.940000,3.820000,3.880000,3.880000,90500
2014-08-22,3.860000,3.980000,3.830000,3.910000,3.910000,42500
