Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,2.460000,2.560000,2.460000,2.530000,2.530000,478700
2014-07-08,2.540000,2.560000,2.440000,2.530000,2.530000,428700
2014-07-09,2.530000,2.590000,2.520000,2.560000,2.560000,319000
2014-07-10,2.540000,2.580000,2.510000,2.550000,2.550000,366000
2014-07-11,2.480000,2.600000,2.480000,2.600000,2.600000,539000
2014-07-14,2.570000,2.570000,2.440000,2.480000,2.480000,695000
2014-07-15,2.450000,2.490000,2.330000,2.330000,2.330000,514600
2014-07-16,2.350000,2.440000,2.320000,2.380000,2.380000,404600
2014-07-17,2.420000,2.490000,2.330000,2.340000,2.340000,341400
2014-07-18,2.330000,2.370000,2.320000,2.370000,2.370000,145400
2014-07-21,2.390000,2.400000,2.330000,2.380000,2.380000,152200
2014-07-22,2.370000,2.410000,2.370000,2.400000,2.400000,203000
2014-07-23,2.400000,2.410000,2.340000,2.360000,2.360000,216200
2014-07-24,2.340000,2.430000,2.340000,2.390000,2.390000,221600
2014-07-25,2.390000,2.420000,2.320000,2.320000,2.320000,235800
2014-07-28,2.320000,2.420000,2.320000,2.400000,2.400000,257400
2014-07-29,2.390000,2.400000,2.360000,2.360000,2.360000,67900
2014-07-30,2.370000,2.400000,2.360000,2.360000,2.360000,172600
2014-07-31,2.360000,2.370000,2.270000,2.300000,2.300000,382200
2014-08-01,2.300000,2.340000,2.260000,2.260000,2.260000,175100
2014-08-04,2.270000,2.300000,2.210000,2.260000,2.260000,274000
2014-08-05,2.220000,2.260000,2.170000,2.230000,2.230000,381000
2014-08-06,2.210000,2.280000,2.210000,2.250000,2.250000,192700
2014-08-07,2.240000,2.260000,2.200000,2.200000,2.200000,320700
2014-08-08,2.170000,2.230000,2.170000,2.230000,2.230000,333600
2014-08-11,2.230000,2.260000,2.210000,2.260000,2.260000,159500
2014-08-12,2.240000,2.260000,2.220000,2.260000,2.260000,215100
2014-08-13,2.260000,2.260000,2.210000,2.220000,2.220000,331600
2014-08-14,2.210000,2.260000,2.210000,2.230000,2.230000,555900
