Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,31.900000,32.209999,31.850000,32.049999,30.827951,1310700
2014-07-08,31.950001,32.110001,31.830000,31.879999,30.664442,1071100
2014-07-09,31.940001,32.009998,31.820000,31.969999,30.751005,735500
2014-07-10,31.610001,31.830000,31.540001,31.690001,30.481686,796000
2014-07-11,31.680000,31.740000,31.530001,31.670000,30.462442,728900
2014-07-14,31.820000,31.959999,31.750000,31.889999,30.674053,496500
2014-07-15,31.860001,31.870001,31.580000,31.740000,30.529774,980700
2014-07-16,31.900000,31.959999,31.650000,31.860001,30.645197,755400
2014-07-17,31.780001,31.959999,31.230000,31.270000,30.077696,1091600
2014-07-18,31.389999,31.790001,31.299999,31.740000,30.529774,860300
2014-07-21,31.510000,31.690001,31.430000,31.580000,30.375875,1071900
2014-07-22,31.690001,31.940001,31.540001,31.920000,30.702917,1138400
2014-07-23,31.000000,32.590000,30.910000,32.250000,31.020334,1848300
2014-07-24,32.320000,32.680000,32.310001,32.410000,31.174229,804400
2014-07-25,32.230000,32.349998,32.130001,32.250000,31.020334,674300
2014-07-28,32.230000,32.369999,31.920000,32.330002,31.097279,631700
2014-07-29,32.380001,32.509998,32.200001,32.330002,31.097279,749400
2014-07-30,32.369999,32.400002,32.070000,32.320000,31.087656,1236500
2014-07-31,32.169998,32.180000,31.860001,32.000000,30.779861,1908300
2014-08-01,31.889999,32.099998,31.820000,31.959999,30.741386,1051800
2014-08-04,31.990000,32.139999,31.830000,32.099998,30.876051,1031400
2014-08-05,31.980000,32.139999,31.760000,31.850000,30.635580,973800
2014-08-06,31.600000,31.770000,31.490000,31.580000,30.375875,1768800
2014-08-07,31.670000,31.820000,31.410000,31.500000,30.298929,1186200
2014-08-08,31.440001,31.580000,31.040001,31.540001,30.337408,1359500
2014-08-11,31.639999,31.709999,31.340000,31.379999,30.183502,675900
2014-08-12,31.299999,31.420000,31.070000,31.160000,29.971891,852900
2014-08-13,31.299999,31.530001,31.230000,31.340000,30.145027,885400
2014-08-14,31.420000,31.530001,31.350000,31.469999,30.270073,679800
2014-08-15,31.520000,31.629999,30.889999,31.030001,29.846849,1240600
2014-08-18,31.209999,31.740000,31.180000,31.730000,30.520161,696400
2014-08-19,31.760000,31.830000,31.590000,31.650000,30.443207,544900
2014-08-20,31.559999,31.590000,31.270000,31.379999,30.183502,673200
2014-08-21,31.420000,31.730000,31.260000,31.680000,30.472067,831000
2014-08-22,31.650000,31.709999,31.420000,31.510000,30.308544,511800
2014-08-25,31.620001,31.770000,31.540001,31.570000,30.366253,530600
2014-08-26,31.570000,31.790001,31.570000,31.750000,30.539392,704100
2014-08-27,31.750000,31.809999,31.250000,31.389999,30.193119,813900
2014-08-28,31.260000,31.330000,31.150000,31.260000,30.068083,337800
2014-08-29,31.330000,31.530001,31.150000,31.459999,30.260452,475600
2014-09-02,31.450001,31.610001,31.260000,31.290001,30.096935,785700
2014-09-03,31.440001,31.500000,31.350000,31.389999,30.193119,950700
2014-09-04,31.410000,31.610001,31.049999,31.180000,29.991127,996700
2014-09-05,31.180000,31.469999,31.049999,31.469999,30.270073,721600
2014-09-08,31.450001,31.450001,31.240000,31.420000,30.221975,640600
2014-09-09,31.360001,31.440001,30.920000,31.010000,29.827610,608900
2014-09-10,31.010000,31.730000,31.000000,31.629999,30.423973,1105600
2014-09-11,31.540001,31.780001,31.440001,31.700001,30.491302,980500
2014-09-12,31.730000,31.820000,31.510000,31.750000,30.539392,1240000
2014-09-15,31.750000,31.889999,31.440001,31.820000,30.606728,878200
2014-09-16,31.540001,31.790001,31.270000,31.680000,30.568132,1179100
