Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,17.660000,17.660000,17.660000,17.660000,15.973989,900
2017-11-03,18.030001,18.360001,17.650000,18.360001,16.607162,1300
2017-11-06,18.379999,18.379999,18.379999,18.379999,16.625248,100
2017-11-07,0,0,0,0,0,0
2017-11-08,0,0,0,0,0,0
2017-11-09,0,0,0,0,0,0
2017-11-10,0,0,0,0,0,0
2017-11-13,0,0,0,0,0,0
2017-11-14,0,0,0,0,0,0
2017-11-15,0,0,0,0,0,0
2017-11-16,0,0,0,0,0,0
2017-11-17,0,0,0,0,0,0
2017-11-20,0,0,0,0,0,0
2017-11-21,0,0,0,0,0,0
2017-11-22,0,0,0,0,0,0
2017-11-24,0,0,0,0,0,0
2017-11-27,0,0,0,0,0,0
2017-11-28,0,0,0,0,0,0
2017-11-29,0,0,0,0,0,0
2017-11-30,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0
2017-12-04,0,0,0,0,0,0
2017-12-05,0,0,0,0,0,0
2017-12-06,0,0,0,0,0,0
2017-12-07,0,0,0,0,0,0
2017-12-08,0,0,0,0,0,0
2017-12-11,0,0,0,0,0,0
2017-12-12,0,0,0,0,0,0
2017-12-13,0,0,0,0,0,0
2017-12-14,0,0,0,0,0,0
2017-12-15,0,0,0,0,0,0
2017-12-18,0,0,0,0,0,0
2017-12-19,0,0,0,0,0,0
2017-12-20,0,0,0,0,0,0
2017-12-21,0,0,0,0,0,0
2017-12-22,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0
2017-12-27,0,0,0,0,0,0
2017-12-28,0,0,0,0,0,0
2017-12-29,0,0,0,0,0,0
2018-01-02,17.070000,17.910000,17.070000,17.700001,16.010174,5600
2018-01-03,17.730000,17.900000,17.700001,17.700001,16.010174,3000
2018-01-04,17.459999,17.610001,17.459999,17.459999,16.010172,2500
2018-01-05,17.459999,17.650000,17.459999,17.620001,16.156883,7000
2018-01-08,17.620001,17.620001,17.620001,17.620001,16.156883,0
2018-01-09,17.700001,17.700001,17.459999,17.459999,16.010172,1900
2018-01-10,17.459999,17.459999,17.350000,17.350000,15.909304,1800
2018-01-11,17.360001,17.559999,17.360001,17.530001,16.074356,4000
2018-01-12,17.500000,17.680000,17.500000,17.680000,16.211903,500
2018-01-16,17.629999,17.629999,17.500000,17.540001,16.083529,2700
2018-01-17,17.500000,17.750000,17.500000,17.700001,16.230242,2800
2018-01-18,17.700001,17.700001,17.500000,17.500000,16.046848,2400
2018-01-19,17.639999,17.639999,17.510000,17.510000,16.056019,800
2018-01-22,17.660000,17.700001,17.600000,17.700001,16.230242,1000
2018-01-23,17.750000,17.750000,17.500000,17.500000,16.046848,400
2018-01-24,17.500000,17.639999,17.500000,17.549999,16.092695,2300
2018-01-25,17.610001,17.639999,17.500000,17.510000,16.056019,1700
2018-01-26,17.719999,18.160000,17.719999,18.160000,16.652044,12600
2018-01-29,17.799999,17.799999,17.500000,17.500000,16.046848,3900
2018-01-30,17.500000,17.820000,17.110001,17.110001,15.689234,4600
2018-01-31,17.440001,17.450001,17.110001,17.219999,15.790099,9800
2018-02-01,17.080000,17.080000,16.670000,16.959999,15.551687,4000
2018-02-02,16.780001,17.000000,16.750000,16.750000,15.359126,3600
2018-02-05,16.940001,16.959999,16.750000,16.750000,15.359126,1000
2018-02-06,16.639999,16.930000,16.629999,16.760000,15.368298,8900
2018-02-07,16.639999,16.940001,16.450001,16.760000,15.368298,4600
2018-02-08,16.270000,16.500000,16.250000,16.280001,14.928154,2900
2018-02-09,16.209999,16.490000,16.030001,16.080000,14.744762,2400
2018-02-12,16.010000,16.010000,15.440000,15.770000,14.460504,9200
2018-02-13,15.960000,15.990000,15.950000,15.990000,14.662235,900
2018-02-14,15.550000,15.870000,15.550000,15.580000,14.286281,1100
2018-02-15,15.900000,15.930000,15.600000,15.930000,14.607218,1300
2018-02-16,15.990000,16.000000,15.740000,15.780000,14.469673,1700
2018-02-20,15.780000,15.780000,15.780000,15.780000,14.469673,0
2018-02-21,15.560000,15.760000,15.470000,15.480000,14.194583,1900
2018-02-22,15.520000,15.610000,15.520000,15.610000,14.313789,200
2018-02-23,15.750000,15.850000,15.500000,15.750000,14.442163,8300
2018-02-26,15.400000,15.650000,15.400000,15.650000,14.350468,1000
2018-02-27,15.650000,15.700000,15.600000,15.700000,14.396317,2500
2018-02-28,15.700000,15.700000,15.700000,15.700000,14.396317,900
2018-03-01,15.600000,15.750000,15.450000,15.500000,14.212924,1800
2018-03-02,15.830000,15.840000,15.520000,15.670000,14.368808,1300
2018-03-05,15.400000,15.890000,15.400000,15.650000,14.350468,4600
2018-03-06,15.520000,15.550000,15.370000,15.550000,14.258771,1800
2018-03-07,15.520000,15.870000,15.360000,15.680000,14.377977,6900
2018-03-08,15.530000,15.980000,15.470000,15.980000,14.653065,4000
2018-03-09,15.630000,15.750000,15.360000,15.410000,14.130397,11700
2018-03-12,15.600000,15.770000,15.450000,15.770000,14.460504,9800
2018-03-13,15.730000,16.290001,15.730000,15.930000,14.607218,4900
2018-03-14,16.129999,16.590000,16.100000,16.580000,15.203245,3700
2018-03-15,16.440001,16.850000,16.430000,16.850000,15.450823,5000
2018-03-16,16.860001,17.330000,16.850000,17.330000,15.890965,5900
2018-03-19,17.340000,17.670000,16.770000,17.120001,15.698404,20300
2018-03-20,16.950001,16.980000,16.740000,16.980000,15.570026,4500
2018-03-21,16.740000,16.750000,16.740000,16.740000,15.349957,900
2018-03-22,16.750000,17.590000,16.750000,17.420000,15.973491,10600
2018-03-23,17.000000,17.260000,16.900000,16.969999,15.560858,2500
2018-03-26,17.250000,17.480000,16.500000,16.500000,15.129886,7100
2018-03-27,16.480000,16.600000,16.110001,16.360001,15.001511,2300
2018-03-28,16.440001,17.570000,16.440001,17.299999,15.863457,6100
2018-03-29,16.580000,16.750000,16.580000,16.750000,15.575200,600
2018-04-02,16.959999,16.959999,16.500000,16.520000,15.361331,2000
2018-04-03,16.650000,16.900000,16.500000,16.500000,15.342732,2200
2018-04-04,16.900000,16.900000,16.900000,16.900000,15.714679,400
2018-04-05,16.790001,16.799999,16.790001,16.799999,15.621692,500
2018-04-06,17.000000,17.000000,16.830000,16.850000,15.668187,500
2018-04-09,16.770000,17.030001,16.750000,16.750000,15.575200,700
2018-04-10,16.889999,17.000000,16.830000,16.900000,15.714679,3700
2018-04-11,17.000000,17.500000,16.750000,16.879999,15.696080,1100
2018-04-12,16.750000,17.160000,16.750000,16.809999,15.630991,700
2018-04-13,17.040001,17.559999,16.980000,17.510000,16.281895,1600
2018-04-16,17.480000,17.480000,17.049999,17.049999,15.854158,700
2018-04-17,17.030001,17.469999,17.030001,17.170000,15.965740,1100
2018-04-18,16.760000,16.850000,16.760000,16.850000,15.668187,600
2018-04-19,16.990000,17.010000,16.990000,17.000000,15.807666,700
2018-04-20,16.750000,16.920000,16.750000,16.920000,15.733274,800
2018-04-23,16.750000,16.750000,16.510000,16.510000,15.352032,1200
2018-04-24,16.520000,17.000000,16.520000,16.760000,15.584497,1500
2018-04-25,16.750000,16.879999,16.750000,16.780001,15.603095,1000
2018-04-26,17.010000,17.200001,16.600000,17.000000,15.807666,2900
2018-04-27,16.660000,16.940001,16.500000,16.940001,15.751874,700
2018-04-30,16.900000,17.150000,16.889999,17.150000,15.947145,1100
2018-05-01,16.799999,16.850000,16.750000,16.809999,15.630991,700
2018-05-02,17.049999,17.049999,16.850000,17.049999,15.854158,1000
2018-05-03,17.049999,17.049999,17.049999,17.049999,15.854158,0
2018-05-04,17.000000,17.160000,16.770000,17.040001,15.844859,2800
