Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,13.890000,13.900000,13.430000,13.570000,13.570000,114500
2014-07-08,13.570000,13.570000,13.030000,13.400000,13.400000,128800
2014-07-09,13.410000,13.410000,13.030000,13.130000,13.130000,89600
2014-07-10,12.810000,13.070000,12.720000,12.970000,12.970000,80900
2014-07-11,12.920000,13.340000,12.920000,13.200000,13.200000,104400
2014-07-14,13.330000,13.580000,13.220000,13.310000,13.310000,74500
2014-07-15,13.220000,13.280000,12.700000,13.130000,13.130000,125100
2014-07-16,13.230000,13.350000,13.000000,13.320000,13.320000,184900
2014-07-17,13.230000,13.680000,13.230000,13.300000,13.300000,83500
2014-07-18,13.260000,13.510000,13.170000,13.210000,13.210000,128500
2014-07-21,13.150000,13.170000,12.880000,13.040000,13.040000,176100
2014-07-22,13.070000,13.170000,12.880000,12.980000,12.980000,163000
2014-07-23,12.960000,13.070000,12.880000,12.900000,12.900000,66300
2014-07-24,12.930000,13.000000,12.630000,12.690000,12.690000,69800
2014-07-25,12.560000,12.560000,12.110000,12.240000,12.240000,115600
2014-07-28,12.260000,12.380000,12.110000,12.140000,12.140000,189700
2014-07-29,12.170000,12.610000,12.110000,12.290000,12.290000,102000
2014-07-30,12.380000,12.570000,12.230000,12.440000,12.440000,88000
2014-07-31,12.340000,12.610000,12.240000,12.570000,12.570000,146300
2014-08-01,9.750000,9.950000,8.960000,9.150000,9.150000,2084400
2014-08-04,9.280000,9.290000,8.970000,9.050000,9.050000,557100
2014-08-05,8.990000,9.150000,8.850000,8.940000,8.940000,1017800
2014-08-06,8.910000,9.020000,8.810000,8.960000,8.960000,334100
2014-08-07,8.980000,9.000000,8.850000,8.860000,8.860000,112300
2014-08-08,8.860000,8.900000,8.500000,8.520000,8.520000,180700
2014-08-11,8.460000,8.710000,8.450000,8.560000,8.560000,204600
2014-08-12,8.520000,8.570000,8.410000,8.500000,8.500000,161600
2014-08-13,8.500000,8.700000,8.470000,8.670000,8.670000,139500
2014-08-14,8.680000,8.940000,8.670000,8.800000,8.800000,193000
2014-08-15,8.880000,8.880000,8.700000,8.820000,8.820000,162600
2014-08-18,8.890000,9.070000,8.860000,9.030000,9.030000,293300
2014-08-19,9.060000,9.100000,8.870000,8.910000,8.910000,124200
2014-08-20,8.900000,8.900000,8.460000,8.490000,8.490000,234700
2014-08-21,8.500000,8.540000,8.340000,8.480000,8.480000,280000
2014-08-22,8.500000,8.790000,8.360000,8.600000,8.600000,622600
2014-08-25,8.830000,8.970000,8.820000,8.920000,8.920000,117400
2014-08-26,8.920000,9.140000,8.900000,9.130000,9.130000,68000
2014-08-27,9.180000,9.220000,9.040000,9.070000,9.070000,121000
2014-08-28,9.060000,9.060000,8.780000,8.790000,8.790000,53100
2014-08-29,8.810000,8.850000,8.720000,8.780000,8.780000,67800
2014-09-02,8.820000,9.040000,8.750000,9.010000,9.010000,94100
2014-09-03,9.030000,9.050000,8.590000,8.650000,8.650000,145800
2014-09-04,8.700000,8.840000,8.440000,8.450000,8.450000,130600
2014-09-05,8.410000,8.560000,8.210000,8.220000,8.220000,1044000
2014-09-08,8.180000,8.290000,8.120000,8.220000,8.220000,249400
2014-09-09,8.200000,8.280000,8.020000,8.060000,8.060000,325100
2014-09-10,8.050000,8.130000,7.750000,8.100000,8.100000,1915300
2014-09-11,8.080000,8.520000,8.060000,8.490000,8.490000,368900
2014-09-12,8.510000,8.670000,8.410000,8.640000,8.640000,180800
2014-09-15,8.660000,8.660000,8.350000,8.580000,8.580000,195500
