Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,68.980003,68.980003,66.919998,67.330002,46.917442,130700
2014-07-08,67.230003,67.230003,66.169998,66.320000,46.213631,57900
2014-07-09,66.349998,66.820000,65.800003,66.230003,46.150921,31000
2014-07-10,65.839996,65.980003,65.040001,65.809998,45.858261,31000
2014-07-11,65.599998,65.599998,63.860001,64.480003,44.931458,130500
2014-07-14,64.519997,64.620003,63.509998,64.279999,44.792095,39600
2014-07-15,63.900002,64.029999,62.189999,63.619999,44.332203,119400
2014-07-16,64.010002,65.769997,63.939999,65.199997,45.433189,20000
2014-07-17,65.669998,65.970001,64.970001,65.059998,45.335617,37000
2014-07-18,64.959999,66.720001,64.959999,66.089996,46.053349,14700
2014-07-21,66.089996,66.290001,65.779999,66.239998,46.157879,19000
2014-07-22,66.559998,68.029999,66.559998,67.879997,47.300686,29100
2014-07-23,68.269997,69.099998,67.610001,68.970001,48.060219,37800
2014-07-24,68.800003,69.110001,68.559998,68.580002,47.788464,24800
2014-07-25,68.500000,68.500000,67.379997,67.459999,47.008003,12800
2014-07-28,67.470001,67.540001,66.349998,66.750000,46.513275,18300
2014-07-29,66.459999,66.750000,66.139999,66.180000,46.265091,16900
2014-07-30,66.129997,66.360001,65.379997,66.129997,46.230137,39400
2014-07-31,65.570000,66.239998,63.509998,65.860001,46.041389,73500
2014-08-01,65.550003,65.760002,63.369999,63.529999,44.412537,48700
2014-08-04,63.560001,64.820000,63.560001,64.180000,44.866928,12200
2014-08-05,63.500000,63.500000,61.009998,61.459999,42.965439,71000
2014-08-06,61.700001,63.279999,61.700001,62.770000,43.881218,50000
2014-08-07,62.650002,62.680000,61.790001,62.070000,43.391876,16200
2014-08-08,60.930000,63.480000,60.930000,63.169998,44.160877,18700
2014-08-11,63.360001,63.450001,62.630001,63.349998,44.286701,24000
2014-08-12,63.009998,63.720001,63.000000,63.200001,44.181839,83400
2014-08-13,63.560001,63.560001,63.169998,63.389999,44.314671,40800
2014-08-14,63.389999,63.669998,63.200001,63.340000,44.279713,34000
2014-08-15,63.930000,63.930000,63.099998,63.709999,44.538364,16300
2014-08-18,63.700001,64.449997,63.340000,63.500000,44.391567,16300
2014-08-19,63.360001,64.769997,63.360001,64.510002,45.097633,24200
2014-08-20,64.410004,64.510002,63.869999,64.370003,44.999763,28200
2014-08-21,64.410004,65.419998,64.400002,65.019997,45.454163,19000
2014-08-22,64.760002,64.809998,64.290001,64.639999,45.188515,9600
2014-08-25,64.790001,64.790001,64.290001,64.419998,45.034702,22300
2014-08-26,64.699997,64.730003,64.500000,64.629997,45.181526,25400
2014-08-27,64.900002,65.410004,64.650002,65.220001,45.746166,35400
2014-08-28,64.769997,65.180000,64.650002,64.779999,45.437538,9200
2014-08-29,64.779999,65.309998,64.610001,65.150002,45.697060,19000
2014-09-02,64.879997,65.000000,63.980000,64.580002,45.297268,22000
