Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,25200.000000,25200.000000,23640.000000,23880.000000,23880.000000,0
2014-07-08,24000.000000,24360.000000,22320.000000,22560.000000,22560.000000,0
2014-07-09,23160.000000,23160.000000,22560.000000,22800.000000,22800.000000,0
2014-07-10,22560.000000,28200.000000,22560.000000,24240.000000,24240.000000,300
2014-07-11,24240.000000,25440.000000,24120.000000,25080.000000,25080.000000,0
2014-07-14,25440.000000,26760.000000,24000.000000,25440.000000,25440.000000,100
2014-07-15,25800.000000,25800.000000,24360.000000,25080.000000,25080.000000,0
2014-07-16,25440.000000,26760.000000,24600.000000,24840.000000,24840.000000,0
2014-07-17,24600.000000,26640.000000,24600.000000,25680.000000,25680.000000,100
2014-07-18,25440.000000,27720.000000,25440.000000,27000.000000,27000.000000,100
2014-07-21,27000.000000,28680.000000,26400.000000,27840.000000,27840.000000,100
2014-07-22,27840.000000,28920.000000,25680.000000,25920.000000,25920.000000,100
2014-07-23,25920.000000,27000.000000,25200.000000,26520.000000,26520.000000,0
2014-07-24,26280.000000,26400.000000,25560.000000,26160.000000,26160.000000,0
2014-07-25,26160.000000,27240.000000,26040.000000,26760.000000,26760.000000,0
2014-07-28,30960.000000,32880.000000,26400.000000,26640.000000,26640.000000,400
2014-07-29,26400.000000,27600.000000,26400.000000,27360.000000,27360.000000,0
2014-07-30,27240.000000,27600.000000,26520.000000,27480.000000,27480.000000,0
2014-07-31,27480.000000,27480.000000,26640.000000,26760.000000,26760.000000,0
2014-08-01,26520.000000,26640.000000,24240.000000,25080.000000,25080.000000,100
2014-08-04,25080.000000,25440.000000,24240.000000,25080.000000,25080.000000,0
2014-08-05,25200.000000,26160.000000,24960.000000,25920.000000,25920.000000,0
2014-08-06,25320.000000,25920.000000,25320.000000,25560.000000,25560.000000,0
2014-08-07,25800.000000,25800.000000,24240.000000,24480.000000,24480.000000,0
2014-08-08,24000.000000,24960.000000,24000.000000,24600.000000,24600.000000,0
2014-08-11,24480.000000,25080.000000,24000.000000,24240.000000,24240.000000,0
2014-08-12,24360.000000,24480.000000,22920.000000,23280.000000,23280.000000,0
2014-08-13,23400.000000,25800.000000,23400.000000,24960.000000,24960.000000,0
2014-08-14,24840.000000,25440.000000,24240.000000,24360.000000,24360.000000,0
2014-08-15,24000.000000,24720.000000,22920.000000,24600.000000,24600.000000,0
2014-08-18,24600.000000,24600.000000,23760.000000,23880.000000,23880.000000,0
2014-08-19,24360.000000,24360.000000,23520.000000,23520.000000,23520.000000,0
2014-08-20,23400.000000,24240.000000,23160.000000,23760.000000,23760.000000,0
2014-08-21,23760.000000,24000.000000,23400.000000,23760.000000,23760.000000,0
2014-08-22,23400.000000,23520.000000,23040.000000,23280.000000,23280.000000,0
2014-08-25,26520.000000,26880.000000,24120.000000,24120.000000,24120.000000,100
2014-08-26,24360.000000,25200.000000,24000.000000,24480.000000,24480.000000,0
