Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,14.060000,14.060000,13.980000,14.000000,12.768910,17900
2017-11-03,14.000000,14.000000,13.910000,13.950000,12.723307,11200
2017-11-06,14.000000,14.060000,13.940000,13.980000,12.750669,16800
2017-11-07,0,0,0,0,0,0
2017-11-08,0,0,0,0,0,0
2017-11-09,0,0,0,0,0,0
2017-11-10,0,0,0,0,0,0
2017-11-13,0,0,0,0,0,0
2017-11-14,0,0,0,0,0,0
2017-11-15,0,0,0,0,0,0
2017-11-16,0,0,0,0,0,0
2017-11-17,0,0,0,0,0,0
2017-11-20,0,0,0,0,0,0
2017-11-21,0,0,0,0,0,0
2017-11-22,0,0,0,0,0,0
2017-11-24,0,0,0,0,0,0
2017-11-27,0,0,0,0,0,0
2017-11-28,0,0,0,0,0,0
2017-11-29,0,0,0,0,0,0
2017-11-30,0,0,0,0,0,0
2017-12-01,0,0,0,0,0,0
2017-12-04,0,0,0,0,0,0
2017-12-05,0,0,0,0,0,0
2017-12-06,0,0,0,0,0,0
2017-12-07,0,0,0,0,0,0
2017-12-08,0,0,0,0,0,0
2017-12-11,0,0,0,0,0,0
2017-12-12,0,0,0,0,0,0
2017-12-13,0,0,0,0,0,0
2017-12-14,0,0,0,0,0,0
2017-12-15,0,0,0,0,0,0
2017-12-18,0,0,0,0,0,0
2017-12-19,0,0,0,0,0,0
2017-12-20,0,0,0,0,0,0
2017-12-21,0,0,0,0,0,0
2017-12-22,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0
2017-12-27,0,0,0,0,0,0
2017-12-28,0,0,0,0,0,0
2017-12-29,0,0,0,0,0,0
2018-01-02,13.870000,13.890000,13.800000,13.840000,12.622979,24000
2018-01-03,13.900000,13.900000,13.800000,13.800000,12.586497,33800
2018-01-04,13.860000,13.920000,13.840000,13.860000,12.641220,47800
2018-01-05,13.830000,13.890000,13.820000,13.870000,12.650340,15100
2018-01-08,13.890000,13.890000,13.810000,13.810000,12.595617,21300
2018-01-09,13.860000,13.870000,13.760000,13.760000,12.550014,41500
2018-01-10,13.760000,13.800000,13.690000,13.730000,12.522652,45400
2018-01-11,13.730000,13.780000,13.730000,13.740000,12.531774,25200
2018-01-12,13.740000,13.770000,13.630000,13.630000,12.431446,24200
2018-01-16,13.680000,13.710000,13.660000,13.690000,12.486171,34500
2018-01-17,13.670000,13.730000,13.550000,13.550000,12.358480,34000
2018-01-18,13.520000,13.540000,13.480000,13.520000,12.393313,22000
2018-01-19,13.530000,13.590000,13.370000,13.520000,12.393313,44900
2018-01-22,13.580000,13.580000,13.500000,13.520000,12.393313,31400
2018-01-23,13.510000,13.520000,13.380000,13.380000,12.264980,36500
2018-01-24,13.480000,13.530000,13.460000,13.470000,12.347485,33100
2018-01-25,13.510000,13.510000,13.400000,13.430000,12.310816,23000
2018-01-26,13.450000,13.460000,13.420000,13.430000,12.310816,25400
2018-01-29,13.430000,13.460000,13.410000,13.430000,12.310816,21900
2018-01-30,13.490000,13.510000,13.380000,13.400000,12.283316,37800
2018-01-31,13.460000,13.500000,13.380000,13.410000,12.292480,33000
2018-02-01,13.410000,13.410000,13.270000,13.300000,12.191648,51900
2018-02-02,13.330000,13.330000,13.210000,13.230000,12.127481,26200
2018-02-05,13.220000,13.220000,13.050000,13.110000,12.017481,46400
2018-02-06,13.040000,13.390000,13.040000,13.340000,12.228314,79600
2018-02-07,13.340000,13.380000,13.210000,13.260000,12.154982,25500
2018-02-08,13.310000,13.310000,13.200000,13.210000,12.109150,20600
2018-02-09,13.240000,13.240000,13.000000,13.110000,12.017481,59600
2018-02-12,13.140000,13.140000,13.010000,13.060000,11.971648,40600
2018-02-13,13.030000,13.050000,13.010000,13.020000,11.934982,26000
