Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,34.266365,34.505642,34.266365,34.451466,29.997112,1249200
2014-07-08,34.257336,34.302483,34.076748,34.230247,29.804495,2632900
2014-07-09,34.406319,34.785553,34.239277,34.776524,30.280142,2383500
2014-07-10,34.221218,34.835213,34.221218,34.627541,30.150421,2035800
2014-07-11,34.613995,34.781040,34.442436,34.699776,30.213314,1428000
2014-07-14,34.907448,35.110611,34.654629,34.659142,30.177935,1527000
2014-07-15,34.668171,34.866817,34.329571,34.528217,30.063940,1730500
2014-07-16,34.704288,34.785553,34.451466,34.496613,30.036425,1613800
2014-07-17,34.302483,34.496613,33.927765,33.968399,29.576500,1387200
2014-07-18,34.162529,34.510159,34.094807,34.469524,30.012833,1079100
2014-07-21,34.379234,34.654629,34.176071,34.501129,30.040354,1597900
2014-07-22,34.595936,34.966141,34.595936,34.826183,30.323372,1909900
2014-07-23,34.952595,34.975170,34.523701,34.559818,30.091461,2644000
2014-07-24,34.988712,35.656883,34.920994,35.209930,30.657509,3874200
2014-07-25,35.214447,35.602707,35.024830,35.273136,30.712543,2876300
2014-07-28,35.327312,35.503387,34.939053,34.943565,30.425577,2966100
2014-07-29,34.957111,35.205418,34.501129,34.523701,30.060007,2111500
2014-07-30,34.722347,34.839729,34.365688,34.785553,30.288002,2278700
2014-07-31,34.817154,34.911964,34.094807,34.108353,29.698355,1647500
2014-08-01,34.158012,34.532730,33.941311,34.261852,29.832014,2416300
2014-08-04,34.261852,34.866817,34.148983,34.799099,30.299801,2094900
2014-08-05,34.546276,34.713318,34.139954,34.275394,29.843805,2040000
2014-08-06,34.135441,34.433407,34.076748,34.234764,29.808432,1231300
2014-08-07,34.365688,34.487583,33.760723,33.778782,29.411400,2046800
2014-08-08,33.860046,34.487583,33.832958,34.460495,30.004978,1966000
2014-08-11,34.654629,35.516930,34.654629,35.345371,30.775440,3040700
2014-08-12,35.399548,35.467270,35.069977,35.300224,30.736134,1822200
2014-08-13,35.534988,35.774265,35.399548,35.589165,30.987713,1883400
2014-08-14,35.661400,36.045147,35.498871,36.040630,31.380806,1768200
2014-08-15,36.049660,36.117382,35.435665,35.751694,31.129227,2918400
2014-08-18,36.040630,36.072235,35.837471,35.972912,31.321842,1953600
2014-08-19,35.860046,36.027088,35.647854,35.751694,31.266563,2349400
2014-08-20,35.715576,35.769753,35.512417,35.715576,31.234978,1266700
2014-08-21,35.783295,35.945824,35.611736,35.932281,31.424492,1571000
2014-08-22,35.787811,36.063206,35.729118,35.914223,31.408705,1093100
2014-08-25,36.036118,36.392776,35.918736,36.239277,31.692978,2675900
2014-08-26,36.239277,36.632053,36.216705,36.577877,31.989103,1961100
2014-08-27,36.546276,36.695259,36.248306,36.356659,31.795635,1233000
2014-08-28,36.117382,36.343117,35.986458,36.279911,31.728512,1052500
2014-08-29,36.279911,36.604965,36.135441,36.541759,31.957516,1588500
2014-09-02,36.659142,36.839729,36.230247,36.492100,31.914085,1846400
2014-09-03,36.699776,36.767494,36.501129,36.677200,32.075962,1209100
2014-09-04,36.839729,37.237019,36.726864,36.830700,32.210209,1935900
2014-09-05,36.817154,36.952595,36.595936,36.952595,32.316807,1184800
2014-09-08,36.785553,37.345371,36.776524,37.083523,32.431316,2432000
2014-09-09,37.038376,37.060947,36.695259,36.740406,32.131241,1381400
2014-09-10,36.826183,36.835213,36.519188,36.523701,31.941723,1707100
2014-09-11,36.501129,37.020317,36.397293,36.857788,32.233898,1930800
2014-09-12,36.857788,36.948082,36.144470,36.347630,31.787745,1690700
2014-09-15,36.284424,36.433407,36.081264,36.361176,31.799585,1664100
2014-09-16,36.185101,36.704288,36.081264,36.686230,32.083851,2247100
2014-09-17,36.722347,36.857788,36.297970,36.600452,32.008846,1539200
2014-09-18,36.668171,37.065464,36.604965,36.993229,32.352345,1210400
2014-09-19,37.232506,37.444695,36.889389,37.196388,32.530022,2810600
2014-09-22,37.065464,37.119640,36.794582,36.839729,32.218098,1540300
2014-09-23,36.826183,36.925507,36.469524,36.523701,31.941723,1840600
2014-09-24,36.523701,36.984200,36.383747,36.957111,32.320747,1330700
2014-09-25,36.758465,36.920994,36.446953,36.510159,31.929882,1493700
2014-09-26,36.577877,37.128670,36.577877,36.952595,32.316807,1233700
2014-09-29,36.650112,36.830700,36.523701,36.731377,32.123348,1239700
2014-09-30,36.799099,37.020317,36.501129,36.686230,32.083851,1912200
2014-10-01,36.672688,36.672688,35.404064,35.643341,31.171806,3379200
2014-10-02,35.670429,35.792324,35.006771,35.476299,31.025721,3111400
2014-10-03,35.702030,36.185101,35.562077,36.054176,31.531101,3040500
2014-10-06,36.103836,36.334087,35.697517,35.747177,31.262609,2018500
2014-10-07,35.530476,35.760723,35.097065,35.106094,30.701956,2158000
2014-10-08,35.115124,35.575623,34.753952,35.534988,31.077044,2205600
2014-10-09,35.404064,35.575623,34.623024,34.632053,30.287380,1830000
2014-10-10,34.537247,34.930023,34.049660,34.049660,29.778061,2368900
2014-10-13,33.927765,34.203159,32.821671,32.853271,28.731752,3866200
2014-10-14,32.997742,33.814899,32.930023,33.422123,29.229246,4069300
2014-10-15,32.848759,33.246048,31.539503,32.428894,28.360619,6417900
2014-10-16,31.832956,33.620766,31.629797,33.408577,29.217402,3930500
2014-10-17,33.873589,35.060947,33.801353,34.419865,30.101818,3326400
2014-10-20,34.474041,35.065464,34.474041,34.762981,30.401890,2436500
2014-10-21,35.060947,35.774265,35.056435,35.656883,31.183647,2299600
2014-10-22,35.783295,36.045147,35.413094,35.444695,30.998075,2784400
2014-10-23,35.819412,36.040630,35.345371,35.395035,30.954639,3794200
2014-10-24,34.279911,34.695259,33.693001,34.455982,30.133402,5849500
2014-10-27,34.428894,34.744923,34.284424,34.510159,30.180782,3490100
2014-10-28,34.505642,34.966141,34.297970,34.875847,30.500601,3736700
2014-10-29,34.970654,35.124153,34.334087,34.582394,30.243959,3064200
2014-10-30,34.406319,35.291195,34.320541,34.817154,30.449259,2303100
2014-10-31,35.354401,35.471783,34.821671,35.065464,30.666424,3042700
2014-11-03,35.056435,35.471783,34.884876,35.024830,30.630892,3461100
2014-11-04,34.930023,34.975170,34.293453,34.568848,30.232103,2804400
2014-11-05,34.817154,34.817154,34.311512,34.659142,30.311073,1459600
2014-11-06,34.663658,34.939053,34.510159,34.762981,30.401890,1516600
2014-11-07,34.618511,34.961624,34.550789,34.907448,30.528231,1888200
2014-11-10,34.848759,35.155758,34.817154,35.065464,30.666424,1380100
2014-11-11,35.065464,35.864559,35.060947,35.805870,31.313946,3627900
2014-11-12,35.693001,36.189617,35.589165,36.148983,31.614014,2672600
2014-11-13,36.230247,36.374718,35.968399,36.162529,31.625858,1779700
2014-11-14,36.198647,36.239277,35.864559,36.009029,31.491608,1768400
2014-11-17,35.814899,35.936794,35.516930,35.787811,31.298143,1322700
2014-11-18,35.729118,36.401806,35.729118,36.248306,31.700874,1459200
2014-11-19,36.198647,36.239277,35.625282,35.715576,31.234978,1936300
2014-11-20,35.404064,35.769753,35.286682,35.589165,31.124426,2299300
2014-11-21,35.963882,36.153500,35.905193,35.941311,31.432392,2491200
2014-11-24,36.153500,36.713318,36.117382,36.708805,32.103603,2094900
2014-11-25,36.713318,37.232506,36.690746,37.155758,32.494484,3921200
2014-11-26,36.979683,37.300224,36.830700,37.246048,32.712563,2643300
2014-11-28,37.363430,37.950340,37.304741,37.634312,33.053570,1401400
2014-12-01,37.471783,37.702030,37.119640,37.227989,32.696697,2067200
2014-12-02,37.227989,37.580135,37.133183,37.431152,32.875137,2633800
2014-12-03,37.358917,37.864559,37.340858,37.760723,33.164600,2696000
2014-12-04,37.729118,37.869076,37.485329,37.688488,33.101158,1961300
2014-12-05,37.819412,38.419865,37.819412,38.392776,33.719711,2436700
2014-12-08,38.334087,38.514671,37.959370,38.081264,33.446117,3021200
2014-12-09,37.697517,37.900677,37.530476,37.873589,33.263721,2380000
2014-12-10,37.665913,37.923252,37.449211,37.503387,32.938572,2664800
2014-12-11,37.643341,38.076748,37.498871,37.652370,33.069431,1497300
2014-12-12,37.404064,37.656883,37.304741,37.336342,32.791855,2053000
2014-12-15,37.693001,37.905193,37.002258,37.255077,32.720497,2128800
2014-12-16,37.142212,37.525959,36.735893,36.785553,32.308113,2673200
2014-12-17,37.011288,37.566593,36.762981,37.426636,32.871166,2435800
2014-12-18,37.923252,38.063206,37.589165,38.063206,33.430264,1848800
2014-12-19,38.297970,38.483070,38.058689,38.266365,33.608692,2801900
2014-12-22,38.288940,38.519188,38.158012,38.243793,33.588860,1468300
2014-12-23,38.311512,38.550789,38.243793,38.446953,33.767296,1746900
2014-12-24,38.492100,38.821671,38.356659,38.681717,33.973488,664700
2014-12-26,38.862301,39.106094,38.862301,38.970654,34.227253,965700
2014-12-29,38.970654,39.286682,38.699776,39.173817,34.405693,1021700
2014-12-30,39.155758,39.155758,38.659142,38.930023,34.191578,1138200
